,Batter,xWOBA,Percentile
64,Cameron Heinold,0.694,100.0
8,Braxton Waller,0.641,98.83720930232558
24,Kaileb Hackman,0.599,97.67441860465115
53,Braden Mehn,0.596,96.51162790697676
6,Chase Peterson,0.578,95.34883720930233
31,Kaiden Maurer,0.567,94.18604651162791
1,Lawson Alwan,0.515,93.02325581395348
22,Lawson Shickel,0.506,91.86046511627907
81,Brandon Ward,0.501,90.69767441860465
57,Logan Lynch,0.496,89.53488372093024
75,Ryan Theile,0.479,88.37209302325581
55,Jake Morrill,0.476,87.20930232558139
28,Zach Pomatto,0.465,86.04651162790698
35,Jake Zimmerman,0.462,84.88372093023256
70,Kam Ross,0.453,83.72093023255815
13,Taylor Vorhees,0.452,82.55813953488372
26,Kyler Lapp,0.451,81.3953488372093
79,Brayden  Windy,0.446,80.23255813953489
20,Tyler Pippin,0.445,79.06976744186046
21,Jake Parpet,0.444,77.90697674418605
38,Bennett Summers,0.439,76.74418604651163
0,Jackson Newton,0.436,75.5813953488372
2,Jaxson Grubbs,0.431,74.4186046511628
69,Cameron Steinbaugh,0.426,73.25581395348837
23,Sammy Driscoll,0.417,72.09302325581395
80,Gabe Peters,0.4,70.93023255813954
25,Cody Delfavero,0.392,69.76744186046511
33,Nolan Galla,0.392,68.6046511627907
27,Nick Guidici,0.391,67.44186046511628
14,Deegan Aeilts,0.38,66.27906976744185
11,Grayson Schnierle,0.38,65.11627906976744
82,Donte Frantz,0.377,63.95348837209303
46,Owen Laroe,0.371,62.7906976744186
4,Brady Hart,0.369,61.627906976744185
42,Drew Wichtowski,0.367,60.46511627906976
60,Owen Shissler,0.365,59.30232558139535
7,Trey Blanchette,0.363,58.139534883720934
5,Riley Hendren,0.362,56.97674418604651
39,Sammy Descarpentrie,0.36,55.81395348837209
62,Luke Mcclure,0.357,54.65116279069767
30,Colin Karr,0.353,53.48837209302325
68,Teagan Disharoom,0.352,52.32558139534884
45,Will Vogel,0.343,51.162790697674424
37,Brandon Schultz,0.338,50.0
40,Ty Cribbett,0.334,48.837209302325576
10,Ethan Hamrick,0.316,47.674418604651166
61,Lucas Rink,0.31,46.51162790697674
56,Thomas Mickels,0.304,45.348837209302324
73,Zayn Giles,0.304,44.18604651162791
17,Michael Lucas,0.304,43.02325581395349
16,Trey Schilling,0.298,41.86046511627907
34,Jake Folmar,0.295,40.69767441860465
65,Noah Dill,0.287,39.53488372093023
49,Cameron Anderson,0.285,38.372093023255815
3,Blake Willan,0.283,37.2093023255814
19,Jackson Natanek,0.278,36.04651162790697
77,Braden Alexander,0.278,34.883720930232556
67,Gavin Bailey,0.278,33.72093023255814
32,Zach Spidle,0.272,32.55813953488372
43,Kaden Griswold,0.272,31.3953488372093
9,Josh Eisfelder,0.271,30.23255813953488
51,Gavin Kleist,0.264,29.069767441860467
63,Trey Thompson,0.264,27.906976744186046
12,Jacob Blunck,0.263,26.744186046511626
29,Brady Veselack,0.26,25.581395348837212
48,Nolan Bowles,0.25,24.418604651162788
72,Will Strehl,0.242,23.25581395348837
15,Cole Yates,0.235,22.093023255813954
66,Clint Goodman,0.232,20.930232558139537
52,Justin Trusner,0.231,19.767441860465116
44,Adan Nieves,0.206,18.6046511627907
74,Luke Gallet,0.205,17.441860465116278
18,Zach Bava,0.195,16.27906976744186
58,Cal Darling,0.192,15.11627906976744
54,Nolan Vanduzer,0.192,13.953488372093023
47,Nolan Hunter,0.17,12.790697674418606
83,Brayden Zilis,0.115,11.627906976744185
41,Jacob Trusner,0.113,10.465116279069768
59,Brooks Neuhof,0.111,9.30232558139535
71,Max Michalak,0.097,8.13953488372093
36,Kam  Ross,0.087,6.976744186046512
50,Andrew Schweigert,0.064,5.813953488372093
78,Brayden Elliott,0.056,4.651162790697675
76,Connor Hale,0.0,3.488372093023256
84,Braden Deverman,0.0,2.3255813953488373
85,Brandown Ward,,1.1627906976744187
