Batter,PitchType,#,%,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff %,Put Away %
Grayson Schnierle,Fastball,67,63.8,4,2,2,0,0,6,6,0.333,0.173,0.5,0.198,0.256,0.163,87.33,-1.82,20.9,32
Grayson Schnierle,Breaking,32,30.5,3,3,0,0,0,3,6,0.333,0.32,0.333,0.389,0.164,0.422,69.86,29.59,15.62,23
Grayson Schnierle,Offspeed,6,5.7,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,33.33,0
Jake Morrill,Fastball,69,80.2,4,3,1,0,0,1,13,0.308,0.303,0.385,0.341,0.337,0.397,80.77,16.1,5.8,6
Jake Morrill,Breaking,14,16.3,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,14.29,17
Jake Morrill,Offspeed,3,3.5,1,1,0,0,0,0,1,1.0,,1.0,,0.05,,77.96,12.98,0.0,0
Michael Lucas,Fastball,96,66.7,3,2,1,0,0,4,14,0.158,0.184,0.211,0.203,0.24,0.347,75.75,26.55,9.38,17
Michael Lucas,Offspeed,3,2.1,0,0,0,0,0,0,1,0.0,0.147,0.0,0.134,0.0,0.13,69.22,-11.32,0.0,0
Michael Lucas,Breaking,45,31.2,2,2,0,0,0,2,6,0.25,0.229,0.25,0.263,0.069,0.269,78.7,29.76,8.89,12
Cameron Anderson,Fastball,46,58.2,1,1,0,0,0,0,14,0.071,0.228,0.071,0.336,0.095,0.31,81.68,23.16,6.52,0
Cameron Anderson,Breaking,25,31.6,1,1,0,0,0,3,4,0.143,0.191,0.143,0.226,0.037,0.182,86.06,22.06,24.0,30
Cameron Anderson,Offspeed,8,10.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,37.5,100
Ethan Hamrick,Fastball,119,73.0,4,3,0,0,1,8,13,0.19,0.151,0.333,0.175,0.28,0.351,78.33,19.08,10.92,24
Ethan Hamrick,Offspeed,22,13.5,1,0,1,0,0,0,5,0.2,0.364,0.4,0.424,0.034,0.347,81.53,2.15,0.0,0
Ethan Hamrick,Breaking,22,13.5,1,1,0,0,0,1,2,0.333,0.202,0.333,0.228,0.043,0.392,77.03,-2.55,13.64,11
Andrew Schweigert,Fastball,30,65.2,2,1,1,0,0,4,3,0.286,0.066,0.429,0.089,0.196,0.062,88.29,24.27,33.33,44
Andrew Schweigert,Breaking,13,28.3,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,,,38.46,60
Andrew Schweigert,Offspeed,3,6.5,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,33.33,NaN
Riley Hendren,Fastball,68,76.4,6,3,2,1,0,1,19,0.286,0.291,0.476,0.319,0.305,0.328,76.69,22.93,5.88,10
Riley Hendren,Offspeed,4,4.5,0,0,0,0,0,0,1,0.0,0.088,0.0,0.045,0.0,0.056,68.56,26.52,0.0,0
Riley Hendren,Breaking,17,19.1,1,1,0,0,0,1,3,0.25,0.411,0.25,0.474,0.033,0.393,71.58,9.52,17.65,20
Trey Schilling,Fastball,86,69.9,5,5,0,0,0,3,15,0.263,0.261,0.263,0.305,0.195,0.301,75.19,14.64,3.49,11
Trey Schilling,Breaking,32,26.0,2,2,0,0,0,2,5,0.286,0.233,0.286,0.285,0.059,0.217,66.03,24.91,9.38,18
Trey Schilling,Offspeed,5,4.1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,50.08,52.6,20.0,33
Trey Blanchette,Fastball,84,66.7,10,9,1,0,0,6,16,0.455,0.28,0.5,0.315,0.333,0.281,79.32,13.0,8.33,33
Trey Blanchette,Breaking,37,29.4,1,0,1,0,0,3,3,0.167,0.135,0.333,0.195,0.042,0.234,78.09,0.98,13.51,30
Trey Blanchette,Offspeed,5,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,100
Owen Laroe,Fastball,62,72.1,2,2,0,0,0,0,9,0.222,0.235,0.222,0.237,0.336,0.473,70.66,15.69,12.9,0
Owen Laroe,Offspeed,7,8.1,0,0,0,0,0,0,1,0.0,0.171,0.0,0.175,0.035,0.424,60.77,-2.28,0.0,0
Owen Laroe,Breaking,17,19.8,0,0,0,0,0,2,2,0.0,0.196,0.0,0.171,0.0,0.167,75.84,33.76,11.76,50
Nolan Hunter,Breaking,29,30.5,2,2,0,0,0,4,4,0.222,0.107,0.222,0.123,0.089,0.101,85.66,36.48,10.34,33
Nolan Hunter,Offspeed,1,1.1,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Nolan Hunter,Fastball,65,68.4,3,1,2,0,0,4,7,0.273,0.197,0.455,0.231,0.208,0.189,78.89,18.59,16.92,20
Cal Darling,Fastball,43,71.7,2,1,1,0,0,3,6,0.222,0.18,0.333,0.212,0.237,0.275,73.88,2.38,9.3,27
Cal Darling,Breaking,14,23.3,0,0,0,0,0,2,1,0.0,0.141,0.0,0.204,0.0,0.145,80.9,32.56,14.29,67
Cal Darling,Offspeed,3,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,33.33,100
Braxton Waller,Fastball,70,89.7,11,9,2,0,0,1,20,0.524,0.332,0.619,0.429,0.519,0.398,77.8,12.46,8.57,17
Braxton Waller,Breaking,7,9.0,0,0,0,0,0,0,0,0.0,,0.0,,0.063,0.72,,,0.0,0
Braxton Waller,Offspeed,1,1.3,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Jacob Trusner,Fastball,78,67.2,2,2,0,0,0,6,7,0.154,0.13,0.154,0.145,0.123,0.256,78.07,26.51,14.1,23
Jacob Trusner,Offspeed,5,4.3,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,87.39,45.41,0.0,100
Jacob Trusner,Breaking,33,28.4,1,1,0,0,0,2,7,0.111,0.186,0.111,0.201,0.061,0.228,73.76,14.33,9.09,17
Brandon Ward,Fastball,6,75.0,1,1,0,0,0,0,1,0.5,0.292,0.5,0.383,0.297,0.288,69.7,21.2,0.0,0
Brandon Ward,Breaking,2,25.0,0,0,0,0,0,0,1,0.0,0.19,0.0,0.236,0.0,0.183,89.51,-13.96,50.0,0
Chase Peterson,Fastball,56,68.3,9,8,0,1,0,3,15,0.529,,0.647,,0.429,,86.97,11.82,3.57,17
Chase Peterson,Breaking,25,30.5,1,1,0,0,0,0,2,0.5,,0.5,,0.105,,66.78,-10.48,4.0,0
Chase Peterson,Offspeed,1,1.2,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,NaN
Jackson Natanek,Breaking,20,37.7,1,1,0,0,0,0,3,0.333,0.266,0.333,0.282,0.081,0.236,76.87,26.26,0.0,0
Jackson Natanek,Fastball,31,58.5,1,1,0,0,0,1,7,0.125,0.328,0.125,0.331,0.147,0.402,80.64,29.18,3.23,14
Jackson Natanek,Offspeed,2,3.8,0,0,0,0,0,0,0,0.0,,0.0,,0.066,,,,0.0,NaN
Josh Eisfelder,Fastball,19,82.6,3,2,1,0,0,2,8,0.3,0.256,0.4,0.299,0.277,0.236,73.13,20.22,15.79,50
Josh Eisfelder,Offspeed,1,4.3,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,68.2,38.86,0.0,NaN
Josh Eisfelder,Breaking,3,13.0,1,1,0,0,0,0,1,1.0,0.269,1.0,0.321,0.081,0.257,82.47,-8.43,66.67,NaN
Zach Bava,Fastball,19,63.3,4,3,1,0,0,1,5,0.667,0.344,0.833,0.556,0.584,0.384,91.69,6.57,5.26,50
Zach Bava,Offspeed,5,16.7,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,0.0,0
Zach Bava,Breaking,6,20.0,0,0,0,0,0,1,1,0.0,0.132,0.0,0.16,0.0,0.126,90.66,-11.03,33.33,20
Max Michalak,Breaking,10,37.0,0,0,0,0,0,0,3,0.0,0.173,0.0,0.199,0.0,0.164,70.05,38.36,20.0,0
Max Michalak,Fastball,17,63.0,1,1,0,0,0,0,5,0.25,0.244,0.25,0.276,0.202,0.378,70.27,43.53,5.88,0
Brady Veselack,Fastball,108,71.1,1,1,0,0,0,7,8,0.067,0.106,0.067,0.094,0.198,0.326,66.87,21.26,8.33,27
Brady Veselack,Offspeed,10,6.6,0,0,0,0,0,0,1,0.0,0.145,0.0,0.151,0.0,0.134,57.74,43.79,10.0,0
Brady Veselack,Breaking,34,22.4,2,2,0,0,0,3,3,0.333,0.216,0.333,0.245,0.061,0.286,74.82,4.23,5.88,33
Kyler Lapp,Fastball,109,66.9,13,9,3,0,1,1,25,0.5,0.305,0.731,0.362,0.388,0.382,82.12,22.59,0.92,12
Kyler Lapp,Breaking,45,27.6,3,2,1,0,0,0,10,0.3,0.321,0.4,0.348,0.088,0.348,69.74,17.74,0.0,0
Kyler Lapp,Offspeed,9,5.5,1,1,0,0,0,0,2,0.5,0.413,0.5,0.442,0.037,0.54,82.23,9.85,11.11,0
Zach Spidle,Fastball,74,64.3,0,0,0,0,0,1,7,0.0,0.251,0.0,0.275,0.063,0.389,68.19,18.34,8.11,10
Zach Spidle,Breaking,28,24.3,2,1,1,0,0,3,3,0.286,0.109,0.429,0.102,0.194,0.278,84.05,26.18,10.71,27
Zach Spidle,Offspeed,13,11.3,0,0,0,0,0,1,2,0.0,0.088,0.0,0.071,0.033,0.235,58.27,0.09,7.69,20
Will Strehl,Fastball,39,76.5,2,2,0,0,0,2,6,0.25,0.268,0.25,0.311,0.391,0.429,77.2,21.06,15.38,25
Will Strehl,Breaking,7,13.7,1,1,0,0,0,1,2,0.333,0.233,0.333,0.262,0.074,0.22,74.47,-16.62,42.86,50
Will Strehl,Offspeed,5,9.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,40.0,100
Connor Hale,Fastball,7,100.0,0,0,0,0,0,0,2,0.0,0.219,0.0,0.285,0.0,0.218,75.25,54.07,28.57,0
