Batter,PitchType,#,%,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff %,Put Away %
Zach Zychowski,Fastball,67,68.4,4,4,0,0,0,1,16,0.154,NaN,0.25,NaN,0.203,0.437,72.77,22.94,4.48,17
Zach Zychowski,Offspeed,3,3.1,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,89.37,8.41,0.0,NaN
Zach Zychowski,Breaking,28,28.6,0,0,0,0,0,0,9,0.0,NaN,0.0,NaN,0.0,,78.31,18.49,7.14,0
Jackson Smith,Fastball,91,73.4,8,7,0,0,1,0,29,0.229,NaN,0.407,NaN,0.286,0.437,85.08,18.12,2.2,0
Jackson Smith,Breaking,20,16.1,0,0,0,0,0,1,2,0.0,NaN,0.0,NaN,0.0,,83.92,17.86,10.0,17
Jackson Smith,Offspeed,13,10.5,3,3,0,0,0,0,5,0.086,NaN,0.6,NaN,0.069,,78.42,19.69,0.0,0
Jackson Stanek,Fastball,81,73.0,6,3,3,0,0,2,13,0.286,NaN,0.6,NaN,0.387,0.437,88.16,8.78,7.41,10
Jackson Stanek,Breaking,22,19.8,0,0,0,0,0,3,2,0.0,NaN,0.0,NaN,0.0,,79.34,7.82,22.73,25
Jackson Stanek,Offspeed,8,7.2,1,1,0,0,0,0,1,0.048,NaN,1.0,NaN,0.037,,91.42,-2.67,12.5,0
Caleb Royer,Breaking,25,19.8,0,0,0,0,0,2,2,0.0,NaN,0.0,NaN,0.0,,89.23,30.22,12.0,33
Caleb Royer,Fastball,87,69.0,5,3,1,0,1,1,15,0.25,NaN,0.6,NaN,0.339,0.437,90.43,11.97,2.3,8
Caleb Royer,Offspeed,14,11.1,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.05,,82.06,9.19,28.57,0
Ryan Colucci,Fastball,40,74.1,2,2,0,0,0,4,6,0.154,NaN,0.2,NaN,0.193,0.437,83.38,34.66,25.0,33
Ryan Colucci,Offspeed,2,3.7,0,0,0,0,0,1,0,0.0,NaN,0.0,NaN,0.0,,58.96,-35.68,50.0,100
Ryan Colucci,Breaking,12,22.2,1,0,1,0,0,1,1,0.077,NaN,1.0,NaN,0.098,,66.0,27.77,8.33,14
Shea Zbrozek,Fastball,75,68.2,8,8,0,0,0,2,17,0.308,NaN,0.421,NaN,0.274,0.437,72.8,20.31,8.0,8
Shea Zbrozek,Offspeed,3,2.7,1,1,0,0,0,0,1,0.038,NaN,1.0,NaN,0.034,,57.06,-4.02,0.0,0
Shea Zbrozek,Breaking,32,29.1,1,1,0,0,0,2,4,0.038,NaN,0.167,NaN,0.034,,76.27,26.38,3.12,17
Tyler Thompson,Offspeed,6,4.8,1,1,0,0,0,0,3,0.034,NaN,0.333,NaN,0.027,,80.32,6.64,0.0,0
Tyler Thompson,Fastball,94,75.8,9,8,1,0,0,1,21,0.31,NaN,0.455,NaN,0.383,0.437,81.77,14.57,2.13,5
Tyler Thompson,Breaking,24,19.4,1,1,0,0,0,1,3,0.034,NaN,0.25,NaN,0.027,,83.49,4.92,8.33,25
Cole Freeman,Breaking,29,39.2,1,1,0,0,0,2,3,0.04,NaN,0.167,NaN,0.034,,82.69,9.51,20.69,22
Cole Freeman,Fastball,41,55.4,5,4,0,0,1,2,14,0.2,NaN,0.5,NaN,0.244,0.437,88.18,23.43,12.2,40
Cole Freeman,Offspeed,4,5.4,1,1,0,0,0,2,1,0.04,NaN,0.333,NaN,0.034,,65.05,9.19,75.0,67
Jack Novak,Fastball,71,68.3,7,4,2,0,1,0,19,0.241,NaN,0.6,NaN,0.296,0.437,84.81,25.68,15.49,0
Jack Novak,Offspeed,2,1.9,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Jack Novak,Breaking,31,29.8,2,2,0,0,0,2,6,0.069,NaN,0.25,NaN,0.059,,71.5,16.33,19.35,40
Michael Kuska,Fastball,56,70.9,0,0,0,0,0,1,4,0.0,NaN,0.0,NaN,0.263,0.437,78.83,20.82,3.57,7
Michael Kuska,Breaking,21,26.6,2,2,0,0,0,1,5,0.182,NaN,0.333,NaN,0.111,,64.24,21.27,19.05,10
Michael Kuska,Offspeed,2,2.5,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,50.0,NaN
Kannon Kleine,Breaking,13,38.2,0,0,0,0,0,3,0,0.0,NaN,0.0,NaN,0.0,,74.01,-6.52,23.08,75
Kannon Kleine,Fastball,19,55.9,0,0,0,0,0,1,1,0.0,NaN,0.0,NaN,0.0,0.437,80.37,46.19,15.79,50
Kannon Kleine,Offspeed,2,5.9,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,50.0,NaN
Charlie Graham,Offspeed,3,4.9,1,1,0,0,0,0,1,0.091,NaN,1.0,NaN,0.069,,91.1,0.03,0.0,0
Charlie Graham,Fastball,43,70.5,2,2,0,0,0,2,5,0.182,NaN,0.286,NaN,0.3,0.437,77.6,22.18,16.28,20
Charlie Graham,Breaking,15,24.6,0,0,0,0,0,0,3,0.0,NaN,0.0,NaN,0.0,,69.28,4.84,13.33,0
Will Vogel,Offspeed,1,1.4,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,100.0,NaN
Will Vogel,Fastball,60,81.1,3,2,1,0,0,2,14,0.15,NaN,0.25,NaN,0.178,0.437,82.57,13.04,13.33,15
Will Vogel,Breaking,13,17.6,1,1,0,0,0,1,3,0.05,NaN,0.25,NaN,0.042,,81.07,-2.14,7.69,33
Drew Wichtowski,Fastball,21,80.8,1,1,0,0,0,1,5,0.167,NaN,0.167,NaN,0.391,0.437,83.4,6.31,9.52,25
Drew Wichtowski,Offspeed,1,3.8,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,NaN
Drew Wichtowski,Breaking,4,15.4,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Nolan Bowles,Fastball,44,73.3,1,1,0,0,0,3,6,0.083,NaN,0.111,NaN,0.198,0.437,83.98,12.76,18.18,43
Nolan Bowles,Breaking,15,25.0,0,0,0,0,0,2,1,0.0,NaN,0.0,NaN,0.0,,,,6.67,29
Nolan Bowles,Offspeed,1,1.7,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Ryan Theile,Fastball,23,54.8,2,2,0,0,0,0,4,0.222,NaN,0.5,NaN,0.322,0.437,85.86,24.04,0.0,0
Ryan Theile,Breaking,11,26.2,1,1,0,0,0,0,2,0.111,NaN,0.5,NaN,0.135,,89.82,3.5,0.0,0
Ryan Theile,Offspeed,4,9.5,0,0,0,0,0,0,2,0.0,NaN,0.0,NaN,0.0,,89.14,10.62,0.0,NaN
Ryan Theile,Other,4,9.5,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,,,0.0,NaN
Zach Pomatto,Offspeed,7,24.1,0,0,0,0,0,0,2,0.0,NaN,0.0,NaN,0.0,,77.55,10.94,0.0,0
Zach Pomatto,Fastball,21,72.4,4,2,1,0,1,1,5,0.444,NaN,1.333,NaN,0.582,0.437,85.66,15.59,4.76,33
Zach Pomatto,Breaking,1,3.4,0,0,0,0,0,1,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,100
Jake Zimmerman,Fastball,44,66.7,1,1,0,0,0,1,9,0.062,NaN,0.1,NaN,0.052,0.437,69.86,16.64,6.82,17
Jake Zimmerman,Breaking,19,28.8,3,3,0,0,0,0,5,0.188,NaN,0.6,NaN,0.157,,81.64,17.06,5.26,0
Jake Zimmerman,Offspeed,3,4.5,1,1,0,0,0,0,1,0.062,NaN,1.0,NaN,0.093,,91.84,10.3,0.0,0
Zach Bava,Fastball,4,36.4,0,0,0,0,0,1,0,0.0,NaN,0.0,NaN,0.0,0.437,,,25.0,100
Zach Bava,Offspeed,3,27.3,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Zach Bava,Breaking,4,36.4,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,90.66,-11.03,0.0,0
Braxton Waller,Fastball,45,88.2,9,8,1,0,0,0,14,0.643,NaN,0.714,NaN,0.606,0.437,76.08,12.81,6.67,0
Braxton Waller,Breaking,5,9.8,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.048,,,,0.0,0
Braxton Waller,Other,1,2.0,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.048,,,,0.0,NaN
Nolan Hunter,Breaking,29,30.5,2,2,0,0,0,4,4,0.095,NaN,0.2,NaN,0.085,,85.66,36.48,10.34,40
Nolan Hunter,Offspeed,1,1.1,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,NaN
Nolan Hunter,Fastball,63,66.3,3,2,1,0,0,4,7,0.143,NaN,0.364,NaN,0.145,0.437,80.64,7.25,15.87,21
Nolan Hunter,Other,2,2.1,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Gabe Peters,Fastball,20,69.0,4,4,0,0,0,1,7,0.444,NaN,0.5,NaN,0.396,0.437,68.86,26.29,10.0,50
Gabe Peters,Breaking,9,31.0,1,1,0,0,0,0,1,0.111,NaN,1.0,NaN,0.099,,68.75,25.91,0.0,0
Cameron Heinold,Breaking,5,14.3,2,2,0,0,0,0,2,0.25,NaN,1.0,NaN,0.162,,,,0.0,0
Cameron Heinold,Fastball,30,85.7,5,3,0,2,0,0,6,0.625,NaN,1.5,NaN,0.725,0.437,77.81,31.3,3.33,0
Clint Goodman,Fastball,58,74.4,4,3,1,0,0,3,13,0.2,NaN,0.333,NaN,0.255,0.437,69.15,23.94,12.07,20
Clint Goodman,Breaking,16,20.5,0,0,0,0,0,1,2,0.0,NaN,0.0,NaN,0.0,,86.37,34.02,0.0,25
Clint Goodman,Offspeed,4,5.1,1,1,0,0,0,1,1,0.05,NaN,0.5,NaN,0.042,,96.35,2.78,25.0,33
Lucas Rink,Fastball,50,62.5,2,2,0,0,0,1,10,0.105,NaN,0.2,NaN,0.168,0.437,83.18,20.99,6.0,11
Lucas Rink,Breaking,20,25.0,1,1,0,0,0,1,6,0.053,NaN,0.125,NaN,0.039,,79.16,22.55,10.0,25
Lucas Rink,Offspeed,10,12.5,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,,,10.0,0
Cameron Steinbaugh,Fastball,61,69.3,4,3,0,1,0,3,8,0.235,NaN,0.545,NaN,0.419,0.437,88.77,1.88,9.84,18
Cameron Steinbaugh,Breaking,24,27.3,1,1,0,0,0,2,4,0.059,NaN,0.167,NaN,0.041,,77.28,11.29,8.33,20
Cameron Steinbaugh,Offspeed,3,3.4,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Brayden Zilis,Fastball,6,60.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,0.437,,,0.0,NaN
Brayden Zilis,Breaking,2,20.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,91.24,29.43,0.0,0
Brayden Zilis,Offspeed,2,20.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Ty Cribbett,Offspeed,7,8.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,85.53,26.96,42.86,0
Ty Cribbett,Fastball,65,74.7,5,5,0,0,0,0,17,0.238,NaN,0.294,NaN,0.317,0.437,78.22,15.19,3.08,0
Ty Cribbett,Breaking,15,17.2,0,0,0,0,0,1,2,0.0,NaN,0.0,NaN,0.0,,63.2,33.51,13.33,33
Kyler Lapp,Fastball,79,70.5,11,7,3,0,1,1,19,0.393,NaN,0.85,NaN,0.436,0.437,81.6,22.74,1.27,50
Kyler Lapp,Breaking,25,22.3,2,1,1,0,0,0,6,0.071,NaN,0.5,NaN,0.093,,71.87,22.57,0.0,0
Kyler Lapp,Offspeed,6,5.4,1,1,0,0,0,0,1,0.036,NaN,1.0,NaN,0.051,,81.6,3.16,16.67,0
Kyler Lapp,Other,2,1.8,1,1,0,0,0,0,1,0.036,NaN,1.0,NaN,0.029,,75.51,2.12,0.0,NaN
Nolan Galla,Offspeed,5,8.1,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.046,,38.69,-20.02,0.0,0
Nolan Galla,Fastball,40,64.5,1,1,0,0,0,1,8,0.083,NaN,0.111,NaN,0.201,0.437,77.03,8.41,7.5,11
Nolan Galla,Breaking,13,21.0,1,0,1,0,0,0,3,0.083,NaN,0.667,NaN,0.085,,81.76,-0.94,0.0,0
Nolan Galla,Other,4,6.5,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,NaN
Colin Karr,Fastball,93,65.5,3,3,0,0,0,4,10,0.158,NaN,0.231,NaN,0.252,0.437,81.44,30.48,9.68,18
Colin Karr,Offspeed,14,9.9,0,0,0,0,0,1,1,0.0,NaN,0.0,NaN,0.023,,,,7.14,33
Colin Karr,Breaking,35,24.6,0,0,0,0,0,1,4,0.0,NaN,0.0,NaN,0.069,,74.92,40.16,0.0,8
Max Michalak,Breaking,10,37.0,0,0,0,0,0,0,3,0.0,NaN,0.0,NaN,0.0,,70.05,38.36,20.0,0
Max Michalak,Fastball,17,63.0,1,1,0,0,0,0,5,0.143,NaN,0.25,NaN,0.202,0.437,70.27,43.53,5.88,0
Will Strehl,Fastball,32,74.4,2,2,0,0,0,1,6,0.2,NaN,0.286,NaN,0.396,0.437,77.2,21.06,18.75,14
Will Strehl,Breaking,6,14.0,1,1,0,0,0,1,1,0.1,NaN,0.5,NaN,0.089,,87.68,10.84,50.0,50
Will Strehl,Offspeed,5,11.6,0,0,0,0,0,1,0,0.0,NaN,0.0,NaN,0.0,,,,40.0,100
Jake Folmar,Fastball,87,71.3,2,2,0,0,0,4,10,0.091,NaN,0.133,NaN,0.214,0.437,72.64,19.01,4.6,22
Jake Folmar,Breaking,18,14.8,2,2,0,0,0,1,4,0.091,NaN,0.5,NaN,0.064,,71.65,41.05,5.56,25
Jake Folmar,Offspeed,14,11.5,0,0,0,0,0,1,2,0.0,NaN,0.0,NaN,0.051,,70.85,47.22,7.14,33
Jake Folmar,Other,3,2.5,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,33.33,NaN
Luke Gallet,Fastball,31,73.8,0,0,0,0,0,3,5,0.0,NaN,0.0,NaN,0.058,0.437,79.2,38.9,22.58,100
Luke Gallet,Breaking,8,19.0,0,0,0,0,0,0,2,0.0,NaN,0.0,NaN,0.0,,69.51,17.81,0.0,0
Luke Gallet,Offspeed,3,7.1,0,0,0,0,0,1,0,0.0,NaN,0.0,NaN,0.0,,,,66.67,50
Brady Veselack,Fastball,79,69.9,1,1,0,0,0,4,7,0.062,NaN,0.091,NaN,0.208,0.437,66.87,21.26,6.33,20
Brady Veselack,Offspeed,9,8.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,57.74,43.79,11.11,0
Brady Veselack,Breaking,25,22.1,2,2,0,0,0,2,2,0.125,NaN,0.5,NaN,0.085,,80.85,12.27,8.0,29
Trey Schilling,Fastball,77,67.0,5,5,0,0,0,2,14,0.185,NaN,0.294,NaN,0.202,0.437,75.68,10.86,2.6,11
Trey Schilling,Breaking,26,22.6,1,1,0,0,0,2,4,0.037,NaN,0.167,NaN,0.031,,75.8,5.31,11.54,22
Trey Schilling,Offspeed,5,4.3,0,0,0,0,0,1,1,0.0,NaN,0.0,NaN,0.0,,50.08,52.6,20.0,33
Trey Schilling,Other,7,6.1,1,1,0,0,0,0,2,0.037,NaN,0.5,NaN,0.031,,61.15,34.71,0.0,0
Michael Lucas,Fastball,95,64.6,3,2,1,0,0,4,14,0.107,NaN,0.222,NaN,0.24,0.437,75.78,24.22,9.47,18
Michael Lucas,Offspeed,3,2.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,69.22,-11.32,0.0,0
Michael Lucas,Breaking,45,30.6,2,2,0,0,0,3,5,0.071,NaN,0.25,NaN,0.069,,80.7,22.37,13.33,19
Michael Lucas,Other,4,2.7,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,82.54,46.15,0.0,0
Jackson Natanek,Breaking,2,33.3,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,,82.22,42.91,0.0,NaN
Jackson Natanek,Fastball,3,50.0,0,0,0,0,0,0,1,0.0,NaN,0.0,NaN,0.0,0.437,94.31,-0.95,0.0,0
Jackson Natanek,Offspeed,1,16.7,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,NaN
Ethan Hamrick,Fastball,101,73.7,3,2,0,0,1,7,10,0.125,NaN,0.353,NaN,0.282,0.437,80.64,20.85,11.88,28
Ethan Hamrick,Offspeed,16,11.7,1,0,1,0,0,0,4,0.042,NaN,0.5,NaN,0.041,,80.72,5.7,0.0,0
Ethan Hamrick,Breaking,17,12.4,1,1,0,0,0,1,2,0.042,NaN,0.333,NaN,0.051,,77.03,-2.55,11.76,14
Ethan Hamrick,Other,3,2.2,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,33.33,0
Jake Morrill,Fastball,41,83.7,2,2,0,0,0,1,7,0.222,NaN,0.25,NaN,0.288,0.437,79.41,16.85,4.88,11
Jake Morrill,Breaking,5,10.2,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Jake Morrill,Offspeed,3,6.1,1,1,0,0,0,0,1,0.111,NaN,1.0,NaN,0.081,,77.96,12.98,0.0,0
Adan Nieves,Fastball,62,71.3,8,8,0,0,0,5,14,0.364,NaN,0.421,NaN,0.34,0.437,77.93,20.07,9.68,33
Adan Nieves,Offspeed,1,1.1,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,NaN
Adan Nieves,Breaking,24,27.6,2,2,0,0,0,1,2,0.091,NaN,0.667,NaN,0.077,,66.41,36.65,4.17,9
Gavin Bailey,Fastball,31,73.8,2,0,0,0,2,3,2,0.222,NaN,1.6,NaN,0.504,0.437,83.0,30.45,3.23,50
Gavin Bailey,Breaking,7,16.7,0,0,0,0,0,1,3,0.0,NaN,0.0,NaN,0.0,,75.99,3.99,14.29,33
Gavin Bailey,Offspeed,4,9.5,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,0
Kaden Griswold,Fastball,77,80.2,6,4,2,0,0,7,9,0.273,NaN,0.471,NaN,0.312,0.437,83.06,21.6,23.38,35
Kaden Griswold,Breaking,17,17.7,0,0,0,0,0,3,1,0.0,NaN,0.0,NaN,0.0,,70.55,26.21,11.76,38
Kaden Griswold,Offspeed,2,2.1,0,0,0,0,0,1,0,0.0,NaN,0.0,NaN,0.0,,,,0.0,100
Brandon Schultz,Offspeed,11,10.4,1,1,0,0,0,3,1,0.04,NaN,0.25,NaN,0.032,,57.74,-23.18,27.27,100
Brandon Schultz,Fastball,75,70.8,9,9,0,0,0,7,10,0.36,NaN,0.529,NaN,0.361,0.437,76.27,20.81,9.33,35
Brandon Schultz,Breaking,20,18.9,2,2,0,0,0,1,3,0.08,NaN,0.5,NaN,0.064,,91.78,13.02,5.0,14
Bennett Summers,Fastball,24,66.7,2,1,1,0,0,0,9,0.154,NaN,0.333,NaN,0.166,0.437,84.83,40.1,8.33,0
Bennett Summers,Breaking,12,33.3,1,1,0,0,0,0,4,0.077,NaN,0.25,NaN,0.069,,76.65,18.79,0.0,0
Trey Thompson,Breaking,18,25.7,0,0,0,0,0,3,1,0.0,NaN,0.0,NaN,0.0,,86.9,31.74,5.56,60
Trey Thompson,Fastball,46,65.7,4,2,1,0,1,4,12,0.211,NaN,0.5,NaN,0.308,0.437,79.28,14.32,10.87,36
Trey Thompson,Offspeed,6,8.6,0,0,0,0,0,0,0,0.0,NaN,0.0,NaN,0.0,,,,16.67,0
Zayn Giles,Fastball,52,71.2,3,3,0,0,0,1,10,0.188,NaN,0.273,NaN,0.198,0.437,71.37,-1.16,11.54,9
Zayn Giles,Breaking,19,26.0,1,1,0,0,0,1,2,0.062,NaN,0.333,NaN,0.052,,77.19,-20.57,10.53,17
Zayn Giles,Offspeed,2,2.7,1,1,0,0,0,0,2,0.062,NaN,0.5,NaN,0.052,,81.19,2.88,0.0,0
Kaileb Hackman,Fastball,41,55.4,9,7,1,0,1,1,12,0.429,NaN,1.0,NaN,0.5,0.437,84.68,18.87,7.32,10
Kaileb Hackman,Breaking,22,29.7,5,3,1,0,1,0,5,0.238,NaN,1.8,NaN,0.274,,83.29,11.87,4.55,0
Kaileb Hackman,Offspeed,11,14.9,2,2,0,0,0,0,3,0.095,NaN,0.667,NaN,0.081,,85.59,9.74,0.0,0
Zach Spidle,Fastball,61,62.2,0,0,0,0,0,1,6,0.0,NaN,0.0,NaN,0.039,0.437,68.05,22.63,8.2,11
Zach Spidle,Breaking,24,24.5,1,0,1,0,0,2,2,0.071,NaN,0.4,NaN,0.188,,83.02,39.47,12.5,22
Zach Spidle,Offspeed,13,13.3,0,0,0,0,0,1,2,0.0,NaN,0.0,NaN,0.04,,58.27,0.09,7.69,20
Cody Delfavero,Offspeed,8,6.9,0,0,0,0,0,0,2,0.0,NaN,0.0,NaN,0.0,,80.02,41.77,0.0,0
Cody Delfavero,Fastball,77,66.4,5,3,1,0,1,5,12,0.2,NaN,0.529,NaN,0.294,0.437,87.29,22.21,10.39,26
