Batter,avgExitVelo,maxExitVelo,LASweetSpot,hardHitPct,squaredUpPct,kPct,bbPct,whiffPct,chasePct,xBA,xSLG,xWOBA,xBABIP,babip,avgExitVelo_pct,maxExitVelo_pct,LASweetSpot_pct,hardHitPct_pct,squaredUpPct_pct,bbPct_pct,xBA_pct,xSLG_pct,xWOBA_pct,xBABIP_pct,babip_pct,kPct_pct,whiffPct_pct,chasePct_pct,AB,H,HR,SB,AVG,OBP,SLG,OPS,xWOBA_2,xWOBA_2_pct
Adan Nieves,75.81411954690182,94.1786351207055,0,0.3333333333333333,0,0.25,0,0.3333333333333333,NA,0.1136541064480983,0.1266659004529228,0.10309900102143672,0.3030776171949288,0.3333333333333333,32.30769230769231,58.46153846153847,0,72.3076923076923,0,0,27.142857142857142,27.142857142857142,12.857142857142856,40,35.714285714285715,24.285714285714285,21.428571428571427,NA,11,2,0,2,0.182,0.25,0.273,0.523,0.156,14.492753623188406
Andrew Schweigert,86.88569666161835,95.37062622,0,0.5,0,0.4,0,0.375,0.2727272727272727,0.06557719597332005,0.08913001577181952,0.06216622691112799,0.16394298993330012,0.3333333333333333,93.84615384615384,64.61538461538461,0,93.84615384615384,0,0,11.428571428571429,12.857142857142856,5.714285714285714,1.5384615384615385,35.714285714285715,10,12.857142857142856,28.35820895522388,3,1,0,1,0.333,0.333,0.333,0.667,0.172,15.942028985507244
Bennett Summers,81.55437053957466,95.8639541415523,0.3,0.3,0.1,0,0,0.09090909090909091,0.43478260869565216,0.21451941838750888,0.2827391537988342,0.21223719333286478,0.27887524390376156,0.23076923076923078,73.84615384615385,67.6923076923077,44.61538461538462,67.6923076923077,56.92307692307692,0,72.85714285714285,80,40,32.30769230769231,25.71428571428571,75.71428571428571,77.14285714285715,2.9850746268656714,13,3,0,2,0.231,0.231,0.308,0.538,0.446,78.26086956521739
Blake Willan,80.332355515,95.41417012,0.25,0.25,0,0.2,0.2,0.4444444444444444,0.3125,0.18587744158160807,0.19647746240069022,0.30908739699513554,0.33296598940920846,0.3333333333333333,64.61538461538461,66.15384615384615,26.153846153846157,58.46153846153847,0,78.57142857142857,61.42857142857143,50,81.42857142857143,60,35.714285714285715,44.285714285714285,7.142857142857142,17.91044776119403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braden Deverman,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,75.71428571428571,85.71428571428571,94.02985074626866,1,0,0,0,0,0,0,0,0,1.4492753623188406
Braden Mehn,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,0.5,NA,NA,NA,NA,NA,0,0,0,0,NA,68.57142857142857,75.71428571428571,85.71428571428571,0,4,3,0,1,0.75,0.833,0.75,1.583,0.606,95.65217391304348
Brady Hart,76.15695948080483,84.3744704730489,0.3333333333333333,0,0,0,0.16666666666666666,0,0.23076923076923078,0.13095005017068748,0.14996240763787003,0.23831583435401033,0.26190010034137495,0.6,35.38461538461539,15.384615384615385,47.69230769230769,0,0,72.85714285714285,34.285714285714285,35.714285714285715,52.85714285714286,23.076923076923077,84.28571428571429,75.71428571428571,85.71428571428571,47.76119402985074,5,3,0,1,0.6,0.667,0.6,1.267,0.325,55.072463768115945
Brady Veselack,67.01263482407886,86.72027863,0.2727272727272727,0,0,0.25,0.25,0.32142857142857145,0.208955223880597,0.09772846380096982,0.09556938588536905,0.2416312861546445,0.2564465632259493,0.2222222222222222,3.076923076923077,23.076923076923077,36.92307692307693,0,0,85.71428571428571,20,15.714285714285714,55.714285714285715,18.461538461538463,24.285714285714285,24.285714285714285,28.57142857142857,61.19402985074627,12,2,0,3,0.167,0.444,0.167,0.611,0.316,44.927536231884055
Brandon Schultz,74.16121647701706,99.0593033904025,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.46153846153846156,0,0.30434782608695654,0.2631578947368421,0.18282329490633112,0.20838566938468633,0.17438712225498498,0.33010503445736084,0.8571428571428571,23.076923076923077,81.53846153846153,84.61538461538461,55.38461538461539,89.23076923076924,0,58.57142857142858,60,24.285714285714285,56.92307692307692,97.14285714285714,7.142857142857142,32.857142857142854,34.32835820895522,13,6,0,2,0.462,0.5,0.462,0.962,0.322,50.72463768115942
Braxton Waller,72.57337109651361,97.66183745,0.4444444444444444,0.3333333333333333,0.1111111111111111,0,0.15384615384615385,0.10526315789473684,0.14285714285714285,0.22200175284525772,0.3092619748192311,0.2852678258328888,0.3186971961714448,0.5454545454545454,20,75.38461538461539,69.23076923076923,72.3076923076923,58.46153846153847,71.42857142857143,77.14285714285715,85.71428571428571,80,47.69230769230769,78.57142857142857,75.71428571428571,75.71428571428571,80.59701492537313,9,5,0,2,0.556,0.583,0.667,1.25,0.596,94.20289855072464
Brayden Windy,NA,NA,NA,NA,NA,0.6666666666666666,0,0.6666666666666666,0.2857142857142857,0,0,0,NA,1,NA,NA,NA,NA,NA,0,0,0,0,NA,98.57142857142858,0,0,25.37313432835821,3,1,0,0,0.333,0.333,0.333,0.667,NA,NA
Brooks Neuhoff,77.657713887773,82.972946495546,0,0,0,0.5,0,0.3333333333333333,0.2,0.09267908686889663,0.1030171891713257,0.0864716346298754,0.23169771717224158,0,46.15384615384615,6.153846153846154,0,0,0,0,15.714285714285714,17.142857142857142,7.142857142857142,13.846153846153847,0,4.285714285714286,21.428571428571427,68.65671641791045,3,0,0,0,0,0.25,0,0.25,NA,NA
Cal Darling,75.43802293533027,101.9182119,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.4,0.13333333333333333,0.28,0.23684210526315788,0.1242802967559049,0.15376351167816854,0.2125593633132521,0.33505591328799694,0.2857142857142857,29.230769230769234,92.3076923076923,21.53846153846154,72.3076923076923,58.46153846153847,60,32.857142857142854,37.142857142857146,41.42857142857143,63.07692307692307,30,10,35.714285714285715,43.28358208955223,9,2,0,1,0.222,0.364,0.333,0.697,0.259,28.985507246376812
Cameron Anderson,81.06145697996847,102.5418418,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.125,0.0625,0.34615384615384615,0.2916666666666667,0.14776314950291092,0.20700806172499006,0.19504411362710053,0.2206076708558906,0.15384615384615385,69.23076923076923,95.38461538461539,16.923076923076923,83.07692307692308,87.6923076923077,40,42.857142857142854,57.14285714285714,30,10.76923076923077,17.142857142857142,57.14285714285714,18.571428571428573,23.88059701492537,14,2,0,1,0.143,0.2,0.143,0.343,0.301,42.028985507246375
Cameron Steinbaugh,91.20294092244528,99.6928852177232,0.3,0.6,0.2,0.21428571428571427,0.07692307692307693,0.16,0.4090909090909091,0.29727293850718195,0.35945076952526467,0.3411090360520227,0.4367454742629956,0.4444444444444444,100,87.6923076923077,44.61538461538462,100,80,42.857142857142854,92.85714285714286,92.85714285714286,90,96.92307692307692,65.71428571428571,40,60,4.477611940298507,12,5,0,2,0.417,0.533,0.583,1.117,0.476,84.05797101449275
Chase Peterson,NA,NA,NA,NA,NA,0,0.5,0,0,0,0,0.3475,NA,0,NA,NA,NA,NA,NA,100,0,0,91.42857142857143,NA,0,75.71428571428571,85.71428571428571,94.02985074626866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clint Goodman,65.87911773945876,84.80428842,0.4,0,0,0.3333333333333333,0,0.35,0.3181818181818182,0.16841480348613413,0.2026697958673932,0.16151840651562088,0.33682960697226827,0.3333333333333333,1.5384615384615385,16.923076923076923,63.07692307692307,0,0,0,52.85714285714286,52.85714285714286,21.428571428571427,66.15384615384615,35.714285714285715,15.714285714285714,17.142857142857142,16.417910447761194,10,2,0,0,0.2,0.333,0.2,0.533,0.202,20.28985507246377
Cody Delfavero,85.562753139674,99.1921079,0.5882352941176471,0.29411764705882354,0.23529411764705882,0.21739130434782608,0.13636363636363635,0.21212121212121213,0.24390243902439024,0.15799367795964986,0.2027317549357078,0.28407399482970214,0.364749237939377,0.38461538461538464,92.3076923076923,83.07692307692308,87.6923076923077,66.15384615384615,90.76923076923077,64.28571428571429,48.57142857142857,54.285714285714285,78.57142857142857,72.3076923076923,58.57142857142858,38.57142857142858,51.42857142857142,40.298507462686565,15,6,1,1,0.4,0.55,0.667,1.217,0.387,69.56521739130434
Cole Yates,61.843959149415255,85.9147220851059,0.2,0,0,0.2222222222222222,0.1111111111111111,0.25,0.4,0.11941384154534578,0.1459945382021836,0.1151766510360137,0.31101407890295296,0.3333333333333333,0,18.461538461538463,12.307692307692308,0,0,52.85714285714286,31.428571428571427,34.285714285714285,15.714285714285714,41.53846153846154,35.714285714285715,34.285714285714285,41.42857142857143,5.970149253731343,8,3,0,0,0.375,0.375,0.375,0.75,0.244,26.08695652173913
