Number,Batter,Year,Position,GP,AB,H,RBI,BB,K,AVG,OBP,SLG,HBP,SF,SH,HDP,GO,FO,GO/FO,PA,2B,3B,HR,XBH,SB,OPS
37,Cole Freeman,Jr,OF,8,29,4,2,3,9,0.138,0.265,0.241,2,-,-,-,4,11,0.36,34,-,-,1,1,1,0.506
43,Kannon Kleine,So,C,7,21,3,1,4,14,0.143,0.269,0.143,-,1,-,-,-,5,-,26,-,-,-,0,,0.412
27,Zach Zychowski,So,IF,11,33,5,3,7,5,0.152,0.31,0.152,1,1,-,1,13,10,1.3,42,-,-,-,0,2,0.462
6,Ryan Colucci,Fr,IF,8,15,3,2,2,8,0.2,0.333,0.267,1,-,-,-,-,3,-,18,1,-,-,1,2,0.6
10,Michael Kuska,Fr,OF,7,18,4,2,8,3,0.222,0.517,0.222,3,-,-,2,6,5,1.2,29,-,-,-,0,2,0.739
11,Charlie Graham,Fr,C,4,13,3,1,3,4,0.231,0.375,0.231,-,-,-,-,5,-,-,16,-,-,-,0,,0.606
32,Caleb Royer,Jr,IF,10,33,8,5,7,10,0.242,0.357,0.455,-,2,-,-,8,8,1,42,1,-,2,3,,0.812
33,Nolan McCrossin,So,IF,8,29,8,4,3,7,0.276,0.4,0.414,3,-,-,-,7,5,1.4,35,1,-,1,2,,0.814
12,Jack Novak,So,OF,9,31,9,3,6,8,0.29,0.405,0.484,-,-,1,2,9,6,1.5,38,3,-,1,4,5,0.889
1,Shea Zbrozek,Jr,IF,9,34,11,5,4,4,0.324,0.41,0.382,1,-,-,2,9,10,0.9,39,2,-,-,2,2,0.792
7,Tyler Thompson,Jr,IF,10,36,12,6,7,7,0.333,0.468,0.417,3,1,-,1,15,3,5,47,1,1,-,2,,0.885
3,Jackson Smith,Fr,IF,11,46,17,8,3,7,0.37,0.431,0.478,2,-,-,-,10,11,0.91,51,2,-,1,3,3,0.909
5,Jackson Stanek,Fr,IF,7,21,8,3,5,7,0.381,0.536,0.476,2,-,-,-,3,3,1,28,2,-,-,2,,1.012
