Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Nicholas Currie,Fastball,70,29,41,54.3,84.47,4,2,2,0,0,2,12,0.286,,0.429,,0.215,,85.99,12.27,1983.0,11.43,22.22
Nicholas Currie,Changeup,22,0,22,17.1,80.02,0,0,0,0,0,4,3,0.0,,0.0,,0.0,,77.7,22.74,1704.0,31.82,50.0
Nicholas Currie,Slider,37,32,5,28.7,77.2,3,2,0,0,1,3,5,0.375,,0.75,,0.117,,84.94,14.86,2236.0,13.51,30.0
Zach O'Donnell,Fastball,74,61,13,43.8,82.68,4,2,1,0,1,0,15,0.267,0.217,0.533,0.312,0.21,0.434,76.23,20.17,1859.0,8.11,0.0
Zach O'Donnell,Changeup,36,34,2,21.3,75.37,0,0,0,0,0,2,4,0.0,0.125,0.0,0.156,0.034,0.067,74.96,19.75,1387.0,13.89,7.14
Zach O'Donnell,Sinker,4,4,0,2.4,82.67,1,0,0,0,1,0,1,1.0,0.833,4.0,2.125,0.051,0.765,111.64,22.55,1887.0,0.0,0.0
Zach O'Donnell,Slider,52,30,22,30.8,73.75,2,2,0,0,0,2,8,0.2,0.167,0.2,0.146,0.078,0.188,73.42,0.82,1746.0,19.23,22.22
Zach O'Donnell,Curveball,2,2,0,1.2,71.13,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,1657.0,0.0,0.0
Zach O'Donnell,Cutter,1,0,1,0.6,72.28,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1771.0,0.0,NaN
Dom Panozzo,Fastball,10,6,4,55.6,92.03,1,1,0,0,0,0,2,0.5,,0.5,,0.396,,76.4,-5.5,2399.0,10.0,0.0
Dom Panozzo,Curveball,8,3,5,44.4,82.47,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,2698.0,0.0,100.0
Nick Krueger,Slider,13,12,1,15.5,75.6,0,0,0,0,0,0,0,0.0,,0.0,,0.095,,,,2652.0,7.69,0.0
Nick Krueger,Fastball,48,29,19,57.1,85.67,2,0,1,1,0,1,10,0.182,0.396,0.455,0.523,0.24,0.345,83.03,25.53,2032.0,10.42,7.69
Nick Krueger,Changeup,8,3,5,9.5,78.62,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1123.0,12.5,0.0
Nick Krueger,Curveball,15,11,4,17.9,73.38,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,91.87,7.42,2555.0,0.0,0.0
Graham Kasey,Fastball,236,185,44,59.4,86.85,14,7,6,0,1,18,40,0.241,0.305,0.397,0.453,0.207,0.3,83.4,15.49,2017.0,12.71,24.0
Graham Kasey,Splitter,8,8,0,2.0,78.63,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1311.0,12.5,0.0
Graham Kasey,Slider,49,39,10,12.3,79.68,1,1,0,0,0,1,8,0.1,0.222,0.1,0.292,0.023,0.263,72.88,19.98,2107.0,4.08,7.14
Graham Kasey,Cutter,65,47,18,16.4,78.5,4,3,0,1,0,1,17,0.222,0.375,0.333,0.5,0.05,0.375,78.34,23.32,2042.0,13.85,6.67
Graham Kasey,Changeup,17,15,1,4.3,77.27,1,1,0,0,0,1,3,0.25,0.312,0.25,0.438,0.009,0.364,75.03,11.44,1672.0,5.88,16.67
Graham Kasey,Curveball,17,10,7,4.3,74.79,1,1,0,0,0,0,1,1.0,,1.0,,0.009,,,,1946.0,5.88,0.0
Graham Kasey,Sinker,5,4,1,1.3,80.59,2,1,1,0,0,0,5,0.4,0.0,0.6,0.5,0.021,0.267,86.07,12.18,2034.0,0.0,0.0
