Name,Position,College,BatSide/ThrowSide
Carter Sellers,LHP,ISU,R/R
Mike Knezevic,LHP,McKendree University,R/R
Braden Alexander,RHP,Coa College,R/R
Sammy Driscoll,LHP/OF,Lindenwood University,R/R
Jack Wisdom,RHP,IWU,R/R
Brady Backes,RHP,Parkland CC,R/R
Cameron Clifton,RHP,Illinois CC,R/R
Connor Hale,RHP,Parkland CC,R/R
Marshall Ingold,LHP,IWU,R/R
Canden Hardman,RHP,Carl Sandburg CC,R/R
Andrew Tay,RHP,Southeastern CC,R/R
Jackson Beiler,RHP,Black Hawk CC,R/R
Lucas Frank,RHP,Kankakee CC,R/R
Ryan Theile,C,Augustana College,R/R
Zach Pomatto,C/3B/OF,Northern Kentucky,R/R
Jake Zimmerman,C/1B,ICC,R/R
Kyler Lapp,1B/3B,Ohio Northern University,R/R
Nolan Galla,SS,DMACC,R/R
Colin Karr,UTL,ICC,R/R
Max Michalak,INF/OF,Parkland CC,R/R
Will Strehl,UTL,Marian University,R/R
Jake Folmar,MIF,Marymount University,R/R
Luke Gallet,RHP/1B,Kankakee CC,R/R
Brady Veselack,2B,Carl Sandburg CC,R/R
Kaileb Hackman,OF/INF,Augustana College,R/R
Zach Spidle,OF,Wartburg College,R/R
Max Wille,OF,South Suburban CC,R/R
Cody Delfavero,OF,Parkland CC,R/R
Nick Guidici,OF/1B,Parkland CC,R/R
Zayn Giles,OF,Kaskaskia CC,R/R
Devan Tupper,RHP,Eastern Illinois University,R/R
Braden Deverman,RHP,,R/R
Garrett Frampton,LHP,SRC,R/R
Mason Orton,LHP,Northern Illinois University,R/R
Kellen Hershberger,RHP,Trinity Christian College,R/R
Benedict Hendrickson,RHP,SRC,R/R
Noah Suttles,RHP,SRC,R/R
Cade Starrick,RHP,Parkland CC,R/R
Joey Kahwaji,RHP,Fontbonne University,R/R
Mitchell Wilson,LHP,Spoon River CC,R/R
Tyler Dowling,LHP/OF,Heartland CC,R/R
Cooper Stolfa,RHP,IWU,R/R
Jonah Roper,RHP,RVC,R/R
Tate Wesbecker,RHP,KVCC,R/R
Madden Johnson,RHP,Lakeland CC,R/R
Will Vogel,C/INF,RVC,R/R
Drew Wichtowski,C,Parkland CC,R/R
Nolan Bowles,C,Grace College,R/R
Sammy DesCarpentrie,C,Uncommitted,R/R
Lucas Rink,MIF,KCC,R/R
Gabe Peters,2B,Eureka College,R/R
