PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision,xBA
1,05/28/2025,6:30:18 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Connor Kave,,Left,Burlington bees 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,86.40840754108443,-0.192379387337257,2.6811485421514063,2047.8107759671188,127.24583462745495,10:15,4.498045986751974,-1.3123828649978853,6.000000192000004,-24.414169853143186,13.718078683785071,-14.565944747140096,2.284538931653361,-0.0325487221046091,77.3420760807271,-4.821923746384922,-0.085652546806837,0.4444446982823233,59.26003492952422,-6.015963508697585,-12.823907755591204,1987.257339744488,,,,14.68934767705931,,-14.091725747521846,0.1867597835435835,8.79729566356743,7.488137121798515,1.1022583973841158,49.99999999999993,4.4682342768360135,-5.420202914808867,-125.46312383124676,-1.1845521092738414,13.718697432356914,30.5087285668264,-20.49688293905156,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,baa69949-f5be-4735-9d25-2f75ba7bae21,86.64983054782306,4.498038776930071,-1.3204324465078645,-0.1936233798267523,2.7765538386659565,77.53385969451172,2.2853497972944274,-0.0263473091868586,-4.808551041936806,0.008422444320243,0.4442580544035556,-15.461379233923696,12.377674466235268,27.34708928351345,67.96567741495751,1818.947409865836,940.7227510321096,88.8239983504727,-0.5375949190453468,0.459379724959126,0.7070798903328427,-13.080645915088455,57.46368112256975,-6.210780477213005,0.0695730440593235,-1.1706383751786185,2.1807979134092648,-3.576488149610763,14.24730387453084,-0.0735787625307083,-0.4583395646777112,-0.0565134751518235,-0.3858952599654023,-0.0804726768793397,0.919026113128516,,,0.9946187728864302,0.0,0.995780189102983,27.298598450450463,medium,high,28.83089032653824,-66.55014487963847,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,-1,0.011098061688244343
2,05/28/2025,6:30:50 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,0,0,Cutter,,Foul,,,,,,,80.18208241934745,0.4628404201940173,1.64017741433317,2259.441812394324,221.99362820257872,1:30,4.870185501234656,-1.995494972708364,6.000000192000004,-37.714833578126594,6.622848646646311,4.191433959490448,2.157629176297555,-0.1214217473057577,71.92371498522664,-6.67960746932116,2.4370088042651155,0.4792454690897674,,,,,,,,,,,,-1.695599238940282,3.423907840073962,1.8594393434768817,49.99999999999998,4.886133950847832,-3.456556540177181,-116.4772132545218,-0.1502453441968354,-2.272523271625079,26.85691960219285,-27.58516438967816,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,be90e530-9399-4f98-a2ce-ee570b9404e6,80.4109968491803,4.864607718664658,-1.9980529539346616,0.5285494777548774,1.6712757787330097,72.10081304506497,2.163067839708387,-0.1196446348903948,-6.597258623943462,2.4634969664257658,0.4790369522429618,3.8963338160444407,4.314965010587283,78.51925261627451,26.24354275544768,449.71621494566847,2214.2340954855445,19.90386353296284,-0.1479293421106239,0.9799916436613728,-0.1331663925192793,,,,,,,,,,,,,,,,,0.9974641492720744,0.0,,,medium,high,66.3808115200971,44.64097065181396,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Cutter,Fastball,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2,
3,05/28/2025,6:31:08 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,0,1,Splitter,,BallCalled,,,,,,,80.5257936836262,0.7904770640091685,-0.4015062894560888,1316.5332390420726,123.1832735600004,10:00,4.941344226139893,-1.936786198185088,6.000000192000004,-34.291011295244424,9.64046917294165,-10.94747086054648,2.8184888447188707,-3.222238996568126,72.12584011103837,-5.712459589492107,-2.4838404909213483,0.4770451028755031,,,,,,,,,,,,5.786934334666469,4.943219183681443,1.975809937062639,49.999999999999964,4.985945665432157,1.1383136435516776,-117.0142925123432,0.617471392474506,7.827647033003847,27.10439495635842,-25.487646606647395,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,87e067df-8a19-420a-acf7-47084397475f,80.75806774551019,4.938150694357533,-1.9438901887780065,0.826661536303921,-0.3175694663031749,72.30487736664543,2.8219565076955453,-3.216798899829249,-5.659669244921778,-2.4019100743143222,0.4768319766052419,-11.733103032126907,7.619365354525843,39.40830827673934,12.883953262295952,1017.2082445669936,835.7913356140676,77.26415212327855,-0.4228813247592168,0.6348425628981466,0.6466423319755696,,,,,,,,,,,,,,,,,0.9964766533567492,0.0,,,medium,high,78.40444206393363,54.44110208026908,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Splitter,Offspeed,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,
4,05/28/2025,6:31:25 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,1,1,Fastball,,StrikeSwinging,,,,,,,88.15206459696849,0.134743712460492,0.9958804563102897,2024.1693754826715,133.024444170535,10:30,4.655608259825617,-0.7425258217149613,6.000000192000004,-21.97575860307998,14.645061101833504,-13.237599965107778,2.949544053876348,-0.9200009926813072,78.80389269906694,-4.037657894344959,-1.5219088329294437,0.4355475278100562,,,,,,,,,,,,7.509836954626366,7.8803294590016115,0.6690470305591656,50.0,4.653888356221977,-1.8050386922027009,-128.10257311783786,-0.3989011018480766,12.189677728007602,32.18548003254603,-19.383002712928,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,bc5425d6-d6dd-47b6-be90-21a7fa74d9d5,88.40198722323842,4.6562547769725136,-0.749762483994243,0.1256850479470433,1.082374111838564,79.00544422983064,2.9498296404035287,-0.9143161927921988,-4.032367665837786,-1.4360209578139256,0.4353581972071763,-14.047499796924647,13.371875244056712,27.1878553361911,65.78351770088582,1800.5254591764235,924.8620067336732,88.95132398429261,-0.6069240600628629,0.4569093959902126,0.6502899270115363,,,,,,,,,,,,,,,,,0.993114936432193,0.0,,,medium,high,30.794834069202743,21.86027798680272,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,-1,
5,05/28/2025,6:31:43 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,88.42070230995267,1.588373455764266,0.6063782645247197,1960.145099783428,132.40128561659597,10:30,4.643416011209578,-1.0470313832477125,6.000000192000004,-22.200880460469,14.264644653622874,-13.435095801690515,4.270027774744763,-1.6030375921647502,78.82082406246836,-2.63411196312642,-1.9504755993119112,0.4346230532232745,,,,,,,,,,,,7.486927662005103,7.167240861196168,1.005390685885273,50.0,4.760024492635132,-0.9306718026993116,-128.4439530918713,2.853407357910069,12.200052839813154,32.6991189577344,-20.49493083799765,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,3ee4f22c-81fd-4031-a380-8e84deeba114,88.67494016089435,4.643964663294351,-1.054277910992855,1.5805091207183182,0.6938426317941375,79.02686540008717,4.270404154583258,-1.5972750105736135,-2.627379248875803,-1.862925802532248,0.4344315186606766,-14.254578189708736,12.936742943544555,26.87112421168166,65.119253740289,1748.4992782252336,885.9565938864171,89.20254313920033,-0.6015096585618969,0.4519852096583587,0.6587074471317595,,,,,,,,,,,,,,,,,0.997364821575074,0.0,,,medium,high,31.39267163373988,26.17818509092719,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,
6,05/28/2025,6:31:59 PM,2,5,Graham Kasey,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,2,2,Curveball,,BallCalled,,,,,,,73.38161733809054,4.13937373520884,-3.3553098513115023,1941.2959233982565,298.834862520445,4:00,4.820032021266036,-0.2501998355314425,6.000000192000004,-59.7493190521147,-6.445062214994039,16.671261244451,3.701354485196709,-1.9829014071136657,65.63720913642189,-7.176594952409001,-0.187218158629329,0.5254754960721787,,,,,,,,,,,,-10.189895378335413,-4.930016401517958,0.5141880975463865,49.99999999999999,5.123857606478255,5.785608766672248,-106.19182407760424,6.120700133381553,-11.362280056346725,22.16733481439926,-37.671282379530446,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,2fe54617-5a72-416d-b6da-692ec048abd3,73.53480717949216,4.805716775756106,-0.2460449948725354,4.309226353281766,-3.4049782777755206,65.71884020528069,3.713100638951018,-1.9862741837112845,-7.001649768947743,-0.2380907628244677,0.5253304638965751,17.136800495967417,-9.940142677613425,32.60427303645021,44.06246449970093,1635.371391368813,1046.0355034582344,84.24122111718447,0.4062842790813168,0.5388336166838179,-0.7379643745485355,,,,,,,,,,,,,,,,,0.996908912992004,0.0,,,medium,high,50.34378195026917,-83.31590458374832,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Curveball,Breaking,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,
7,05/28/2025,6:32:18 PM,2,6,Graham Kasey,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,3,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,86.9021498915142,-0.6192314155543012,2.6633623556652104,2055.6559037505704,136.17938187741876,10:30,4.54612018521038,-1.7189206984730487,6.000000192000004,-21.913877270170087,15.775727302300108,-12.4371246024132,2.143809118338321,-0.2782512471936079,77.80593668241093,-4.773439344068709,0.3016477978019337,0.4418575833391494,,,,,,,,,,,,7.63560372738167,8.745820891057477,1.509018944911908,50.00000000000001,4.48294246327108,-5.478628812559484,-126.17859459435124,-2.0540465774432333,12.04814258978528,30.76416626236041,-18.37410646135644,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,dc995acf-05e9-4102-b080-c605b57bd23b,87.14899554583756,4.547022673580036,-1.725744986112053,-0.631359974594649,2.74517964046918,78.00572020535736,2.143898755680838,-0.2729898788473694,-4.770908467376127,0.3828112632966472,0.4416704447520777,-13.206618210341816,14.56302322122127,28.445998810273448,60.41994962917296,1807.46925163305,979.1711285703004,87.9266441594286,-0.6344005069600095,0.4763302684966828,0.6088065966156748,,,,,,,,,,,,,,,,,0.99379487856915,0.0,,,medium,high,35.62204533374434,-49.20993612345457,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,
8,05/28/2025,6:32:52 PM,3,1,Graham Kasey,,Left,Normal cornbelters,Kooper Schulte,,Right,Burlington bees 2025,Windup,1,Top,2,0,0,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,87.71828795191783,-0.3087146435269995,2.349253217078553,2051.729611406281,136.39656809562456,10:30,4.888377501396994,-1.7201781919738697,6.000000192000004,-21.58813120341806,15.399522108342286,-12.082530186785725,2.802204911705509,-0.5424503046779993,78.47874853732425,-4.404092834210768,0.053733133759611,0.4377235488217654,75.80325529267519,34.33389315698502,12.544579580696402,,24.099708047695525,107.32755504535908,49.59455772996276,239.80153300650863,,12.595454412420592,3.504672636456954,7.341063351865456,8.437996019486272,1.5357029370582815,50.00000000000002,4.85072175884459,-4.843117646078532,-127.39530666340887,-1.371851564342101,11.8017331790098,31.48390633085122,-18.608851628374623,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,8acb1199-7e4a-46aa-933a-e2bb27dbddd0,87.96926081876842,4.889287046442269,-1.726976416016038,-0.3208953983245807,2.430237848505892,78.6816748180467,2.802288682063317,-0.5371518924131111,-4.401662872035595,0.1338917509824581,0.4375339294716622,-12.842142974114036,14.19182900864392,30.53460897938988,50.66048838077798,1767.2007285430698,1042.3991478115356,86.13224270481761,-0.623709885655713,0.508058733478561,0.5940221392098936,13.595725077508902,61.10133290011221,42.754144716190375,0.4562713864032022,0.6740662482743878,2.659260643342546,52.29251694803663,234.03048498755663,,,,,,,,,0.989332560362772,0.0,,38.5146080126044,medium,high,44.40556045729984,-59.744765272669135,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-1,
9,05/28/2025,6:35:13 PM,1,1,Alex Logan,,Right,Burlington bees 2025,Ryan Colucci,,Right,Normal cornbelters,Windup,1,Bottom,0,0,0,Slider,,BallCalled,,,,,,,76.12721377923651,2.5329197173161044,-4.908739944801268,2375.316908872628,81.61663287192721,8:45,4.855868640054641,3.696026602527468,6.000000192000004,-46.47114087933215,3.3582520843072814,-12.105663001357852,3.347559277218658,-1.8861254508660288,68.08793079752812,-6.2500993575607735,-7.193035877147232,0.5080592007661321,,,,,,,,,,,,4.767560588454736,0.8925622428761589,-3.2882485473014773,49.99999999999993,5.036371740084987,9.784306189539834,-110.08470713702754,3.621660940233429,5.67845066213307,24.893885866566325,-31.110954410801003,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,f7a00df5-8873-4d0e-a4cb-7e8ef834b32a,76.33507945702895,4.846808078755404,3.695536014119536,2.639949140797921,-4.903197883393503,68.2361758028469,3.3557134584555044,-1.885415749651489,-6.127864607042651,-7.182155648092285,0.507852577807856,-12.153523994726674,0.2568000329486509,-61.06127472321738,8.147075253340043,1149.3540383189716,-2078.729350390783,48.38739765737103,0.0705468120249094,-0.8751376890494116,0.4787036374609844,,,,,,,,,,,,,,,,,0.9972888100327176,0.0,,,medium,high,82.66763227199394,17.239973465570333,54.667001749344,Dominic Texeira,,Burlington bees 2025,2022-11,Slider,Breaking,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,
10,05/28/2025,6:35:26 PM,1,2,Alex Logan,,Right,Burlington bees 2025,Ryan Colucci,,Right,Normal cornbelters,Windup,1,Bottom,0,1,0,Fastball,,StrikeCalled,,,,,,,85.87607862925127,-2.0814211973495667,-5.177523519426006,2196.079152419012,204.81535476555777,12:45,5.533461395899354,2.8988108602520097,6.000000192000004,-21.86130969589417,16.97038183508346,5.175057975475763,1.768445725965578,-1.495032647219586,77.09132314476942,-6.201818093592122,-4.201231970665367,0.4485023025288709,,,,,,,,,,,,-4.546497495213049,9.882203375345066,-2.47892435385297,50.000000000000014,5.35048596635726,11.098155665102595,-124.25007052600654,-5.2115456744791855,-6.9650054104886845,29.54593102174345,-17.035011227505848,Normal Cornbelters,Burlington Bees 2025,,,,e8f9f5d5-0242-4138-9c3a-20cabf554a40,fa92f38b-f9a1-44f6-a232-9496ab03c766,86.1290179694439,5.534399893553729,2.902944029979232,-2.093879203055953,-5.226869764478076,77.29864870147676,1.7685414062595384,-1.498203840100598,-6.198817270380613,-4.249294061059774,0.4483058902500667,5.642312685847222,15.771139787798642,-47.616194227018745,89.72945019659441,1480.362981307047,-1622.1248679633495,67.40936362318301,-0.6118512249099338,-0.7386459027110006,-0.2829139603916084,,,,,,,,,,,,,,,,,0.99732905658309,0.0,,,medium,high,9.243494823065044,25.843872184669912,54.667001749344,Dominic Texeira,,Burlington bees 2025,2022-11,Other,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
