PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Slider,PitchType_Knuckleball,PitchType_Sinker,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/16/2025,6:33:33 PM,1,1,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.91232860148766,-0.164378291084567,-6.874475107954792,1871.450678599897,226.138711847055,1:30,4.909568832434555,5.387803942350567,6.000000192000004,-23.239878593302517,16.60989845329449,14.82268053496905,2.8190333503106824,-0.203097566737874,75.95284879494997,-4.554174301398843,-4.088038473753263,0.4543436581154626,,,,,,,,,,,,-10.301515043100776,9.03427714195884,-4.833744187461949,50.00000000000004,4.882598793985434,14.323212780678771,-122.56762823014068,-1.065525000787366,-15.385058402884692,28.346340633115307,-18.68157970410913,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,1a9dd26d-53d7-4991-9cea-73d7827fcb91,85.15353117812651,4.909866679724721,5.394666332474576,-0.1691071241337429,-6.956325680727158,76.14853447471425,2.819571359739603,0.1975762364702951,-4.544575672245543,-4.171005133263716,0.4541567935790993,15.600361268585722,15.383460676370284,-7.45629592360268,6.473827362545899,1855.6259453515056,-242.8579695425827,99.154413555786,-0.6870556363931448,-0.1297699011358792,-0.7149226008873932,,,,,,,,,,,,,,,,,0.9932492657097596,0.0,,,medium,high,95.82644462629132,-34.27913468131836,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,91.97818,0.0,,-2
2,07/16/2025,6:33:46 PM,1,2,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,1,Fastball,,StrikeCalled,,,,,,,86.68416607220226,-1.3607126532196008,-6.553908772811689,2089.138656133204,225.73381370260876,1:30,5.107545952518484,3.7991884244571374,6.000000192000004,-21.01036454482322,17.17286282050356,14.908963631885063,2.0834861523827874,1.076265513217987,77.68030385613083,-5.328390569072714,-3.749280363913027,0.4447416870953745,,,,,,,,,,,,-10.224960087553164,9.732990432251706,-3.271657508516605,49.99999999999997,4.983762134545045,13.915339474853416,-125.17906944872296,-3.650165232409489,-15.940076104480484,29.39752516735097,-17.000923540928195,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,86deac5f-d781-4c4a-b9f9-ae873486957b,86.92608525049674,5.108588632806694,3.806471406984746,-1.3740812412140762,-6.639854773590495,77.87471160589989,2.0834009951292933,-1.081947162229943,-5.328089655422966,-3.834763996255772,0.4445623584780306,15.724740259029206,16.111824300505983,-12.734460328617129,5.466734495456568,2037.7503188908331,-460.5148883699173,97.54021414081316,-0.6808236623358979,-0.2204328980357322,-0.698490141853916,,,,,,,,,,,,,,,,,0.9961410500812165,0.0,,,medium,high,94.92006104591093,6.575810660699136,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.49332,0.0,,-1
3,07/16/2025,6:34:00 PM,1,3,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,2,Changeup,,BallCalled,,,,,,,79.62294479358269,0.2419045176466536,-5.844689144574232,1803.3024290808455,249.84043446947328,2:15,4.561607028775903,5.033815869102092,6.000000192000004,-35.34109567335582,9.82774976597527,18.88800248317989,1.8425162827469304,-1.1568786978122876,71.41443528073944,-6.4331133482909815,-2.278461218948629,0.4837166286164205,,,,,,,,,,,,-12.168236664483304,5.232823398810089,-4.567033257922105,49.99999999999999,4.560921960048237,11.245093546270397,-115.15682577112324,-0.527005431037366,-16.03006635408348,25.16524520287724,-25.28048656491224,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,c6a54440-b247-4647-8858-f11fa2369d9a,79.83155477136872,4.558202701156955,5.04319605792429,0.2816710355871138,-5.957339044581112,71.57178060379862,1.8460569823358264,1.1494554849751528,-6.378474230630122,-2.390682610643149,0.4835377410298666,19.956136707655865,7.9970030168724255,-13.46303280211284,19.2032777037034,1753.7482847746323,-419.8411656554341,97.2520336296851,-0.3351653288017593,-0.2328179449463891,-0.9129403084978494,,,,,,,,,,,,,,,,,0.9946310091655458,0.0,,,medium,high,72.71705006666693,-25.2640222752777,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68.62982,0.0,,-1
4,07/16/2025,6:34:14 PM,1,4,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,1,2,Changeup,,BallCalled,,,,,,,80.56370077903574,-0.9586560240219196,-5.124537597332281,1671.0457869756856,244.00308537320336,2:15,4.542860067448377,3.829869258596633,6.000000192000004,-32.79750773508911,11.2327572859192,18.067149957628065,0.9151063748716568,-0.5600117615787351,72.40980589111048,-7.148205433885936,-1.70795662947621,0.4775811447434364,,,,,,,,,,,,-11.484281684509428,6.39506487621283,-3.421810813841716,49.99999999999997,4.445436985322756,9.93444514639033,-116.64183886470408,-2.914330785572432,-15.519789894290447,25.84383920023553,-23.53179698668827,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,071e9e25-767f-468f-8572-97265a485d28,80.77622161412657,4.539668460854736,3.838001645072549,-0.9218127001304088,-5.220998927755126,72.57071603828372,0.9183632268504724,0.5536774424998325,-7.098147240588567,-1.803888404234072,0.4773980150704952,18.978172874662818,9.4549120976886,-0.0084428904832106,46.25933755578766,1671.0457688332576,-0.2462390208676302,99.99999891430696,-0.4383227414062289,-0.0001473562381036,-0.8988176414892328,,,,,,,,,,,,,,,,,0.9967933899459048,0.0,,,medium,high,48.366596199793214,-45.0153665740434,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106.331535,0.0,,-1
5,07/16/2025,6:34:27 PM,1,5,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,2,2,Fastball,,Foul,,,,,,,87.78290596720056,-0.4381228616749301,-5.524401812917078,2132.3310560603045,219.82099519134107,1:15,5.188412156993223,4.005047218234886,6.000000192000004,-18.54730422407142,18.58123415980803,13.820942327488272,3.233706704408082,-0.0064782965226629,78.49039044366985,-3.9498448246560662,-2.9152661556410093,0.4385563956793349,,,,,,,,,,,,-9.324238036542424,10.194441722059542,-3.561672593276244,49.99999999999999,5.14180504353774,11.8475961930251,-127.02474682406589,-1.5637853688437957,-14.942763984751725,30.66731614930292,-15.83672142985082,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,ffcf84e6-526f-4faf-85bf-f1a057c0bb20,88.03361756843046,5.190095451632028,4.011507100203211,-0.4590343388751641,-5.600265366133671,78.69263559498806,3.233124543640718,0.0015013891114712,-3.9573806625485455,-2.9907711012035767,0.4383718866440321,14.537810718583124,17.55247193170171,-2.301634750176742,25.35892817307196,2130.6107972603136,-85.63505845752856,99.91932496621004,-0.7674292895619265,-0.0401603016633579,-0.6398745468392887,,,,,,,,,,,,,,,,,0.9971970442820848,0.0,,,medium,high,112.8230353557648,6.835178454922712,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.13906,0.0,,-2
6,07/16/2025,6:34:43 PM,1,6,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,2,2,Curveball,,BallCalled,,,,,,,72.13745312472491,3.4705660767243485,-3.259644027325196,2038.948991743695,47.04730538579423,7:30,4.896072537678412,5.090874118218338,6.000000192000004,-59.507248799032645,-4.206536573454123,-10.106345589998464,3.1718411094798555,-1.215913370820399,64.6389078114557,-7.7886818043316275,-5.17657335207257,0.5352256087309977,,,,,,,,,,,,4.298509770284073,-3.536810467454508,-4.819259988924552,50.000000000000014,5.145334591176663,6.210155694926424,-104.4487210071234,4.805086038319521,4.614611278581942,22.216186001243152,-35.97094812654784,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,110e8ee3-887b-4129-9dc5-8313cab4bb5b,72.30796476098527,4.882327858085634,5.092400528383876,3.6315811457255394,-3.278144227419102,64.73902647238471,3.1831208064189096,1.215059770107329,-7.619014078038085,-5.189169064429857,0.5350493441816593,-9.92790503567972,-7.950174273547946,-55.78717339723727,73.33127608847381,1146.4368159324606,-1686.1185065134869,56.22685121475431,0.3831265573693411,-0.8269547268426417,0.4115336204867455,,,,,,,,,,,,,,,,,0.9467733957726644,0.0,,,medium,high,24.00185152037356,25.06007506849377,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,13.489727841271304,21.19605020297911,25.286783938389725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122.099884,0.0,,-1
7,07/16/2025,6:34:55 PM,1,7,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,3,2,Fastball,,Foul,,,,,,,85.58793699220891,-1.2715683687111023,-5.393297216906737,1990.4239520879391,224.9417367290077,1:30,4.991227747283729,4.175025764594575,6.000000192000004,-21.864877182089664,17.165269443895532,14.7516677071024,1.9819169578875333,-0.376977909878952,76.72353598848201,-5.404994701412647,-2.608072462594399,0.4496469106008584,66.98660910103925,45.36516855146751,-84.53372767715666,,-109.375356478853,11.706040964999252,69.22906576505363,216.37920741004592,,-84.20704133566093,4.026194944930035,-9.769546781336444,9.703775218486763,-3.7429728075188566,50.00000000000002,4.874490795770953,11.236936324204832,-123.85525314506144,-3.437600926058672,-14.896410364958816,28.98050627410315,-17.377926390188605,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,0f52021f-b453-4bdc-8103-5c91de11573e,85.8267466216001,4.991925319890898,4.181917715235093,-1.2809415136379485,-5.475631144653221,76.91575626500081,1.9821124772987309,0.3715613353609219,-5.400652688977573,-2.690400295386904,0.4494642112698494,15.530523819583014,15.999629787735516,-7.155025770510683,7.164909553785666,1974.9240742043,-247.91613536367583,99.22127756414002,-0.7023134667098597,-0.1245544373115153,-0.7008865718673675,-46.84981371005039,4.483291282646472,47.66760801072312,-0.7282555561706318,1.869291038823896,2.54490502927131,-215.27418488839527,21.84002564185028,,,,,,,,,0.996468281779626,0.0,,23.073130642261464,medium,high,83.5515814015929,-4.654171799802783,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125.61229,0.0,,-2
8,07/16/2025,6:35:11 PM,1,8,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,3,2,Fastball,,Foul,,,,,,,85.50816340265405,0.1967422027735783,-6.448237908057647,2034.592188367184,227.42075560982124,1:30,4.843519259009584,5.501585023194929,6.000000192000004,-22.86826175910503,16.37331224229841,15.859391559190064,3.121846495087701,-0.8048185975824574,76.42627636311737,-4.127460794664909,-3.4614294587253984,0.450863140565072,,,,,,,,,,,,-10.726819304147154,8.786538140188846,-4.983316563425258,49.99999999999996,4.846382981422848,13.472505164434654,-123.5315844435696,-0.2783715886703605,-16.26703468499385,28.879408568580985,-18.84941749937447,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,e5fbb8a6-83fc-4838-9731-014430df3eaa,85.74866299546045,4.843546289645925,5.5084522611641145,0.1953244940117615,-6.530513048347315,76.620569183856,3.1225593350715863,0.7992872881505102,-4.115332439605818,-3.5450503297986957,0.4506796073429225,16.640073369708098,15.11900629570723,4.455124066816941,12.226252853776604,2028.444626621063,158.04356898305758,99.69784796278736,-0.6745648826634603,0.077678254092724,-0.7341173665827135,,,,,,,,,,,,,,,,,0.9966000321927816,0.0,,,medium,high,101.0036275683989,-24.883191084727027,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.9572,0.0,,-2
9,07/16/2025,6:35:30 PM,1,9,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,3,2,Fastball,,BallCalled,Walk,,,,,,84.96274131371982,0.4379866799970089,-6.430768364418467,1998.8301538877693,224.1879512945015,1:30,4.685415108990381,5.15437500931282,6.000000192000004,-22.29107836856933,17.467471375007918,14.832300939726576,3.2374726658495776,-0.3884606056049108,75.89696247521607,-3.777474116744997,-3.637500362168829,0.4538233001778138,,,,,,,,,,,,-10.172915771052448,9.297763850162998,-4.6369494393602615,50.000000000000064,4.708392304499605,13.380099468186309,-122.74208658148876,0.2613645084713348,-15.22515910692564,28.589092968314127,-18.25867496349804,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,1d237d89-5ed0-4d6f-ad43-8ea7835606fa,85.20832657391107,4.686146193632263,5.161356876937358,0.4280862879482104,-6.512739226997915,76.09415266245644,3.237682366986975,0.3830743511024967,-3.772876124036823,-3.719529606965836,0.4536325562181131,15.609845718164433,16.258092999795107,-4.51550275630528,34.93690318522943,1992.6259213764977,-157.3655665940525,99.68960681830798,-0.7148315017031207,-0.078728833606984,-0.6948508436576479,,,,,,,,,,,,,,,,,0.9833906370759048,0.0,,,medium,high,121.4432128667065,-12.045247924591902,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,157.0369,,0.695,-2
10,07/16/2025,6:36:03 PM,2,1,Jackson Mcdonal,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.72739372137508,-1.7928576576059057,-6.266586631757527,2062.5982906194,226.35900496662836,1:30,4.754349612688179,3.7154362446163938,6.000000192000004,-21.952548759235672,17.048772296388297,15.647001737133577,1.2481363876475482,0.8281079411305173,76.91847706449255,-5.936270012353849,-3.320449609506352,0.4494808374010455,,,,,,,,,,,,-10.52155996400709,9.80644619973452,-3.212035359772782,50.0,4.594639511406854,13.11510030847952,-123.84415789569772,-4.579308693842637,-16.059652539727747,28.70113956046474,-17.205915663272123,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,45f0020e-d7c9-4ad3-96d4-200476e5c67c,85.96334695567865,4.754826969537551,3.722593519128702,-1.7993946523998503,-6.350967410673031,77.10759882901476,1.2484809603250395,-0.8337209396050208,-5.929637313880173,-3.404832699730529,0.44930090425107,16.446336579633225,15.910245990090363,-1.9496753832807192,29.946265265615992,2061.4042417262517,-70.17307645449429,99.9421094791662,-0.6897379867132661,-0.0340216884565638,-0.7232593133857972,,,,,,,,,,,,,,,,,0.9686237431031848,0.0,,,medium,high,116.95163873905447,13.362127831973416,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,132.57263,0.0,,-1
