PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Cutter,PitchType_Knuckleball,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,7/24/2025,6:31:42 PM,1,1,Will Davidsmeier,,Right,Normal cornbelters,Jarrett Chapman,,Right,Springfield lucky horseshoes 2025,,1,Top,0,0,0,,,,,,,,,,85.02501833,-0.380846829,-6.945348306,2065.061445,219.4251057,1:15,5.560707425,3.913650625,6.000000192,-21.18563664,18.57918467,12.77108174,3.438659177,1.508858838,76.05423125,-4.381718651,-4.546390161,0.453859092,,,,,,,,,,,,-9.220739409,10.17186425,-3.352541559,50.0,5.517166189,14.5565628,-122.7079924,-1.470783915,-13.79968181,28.45669012,-16.95092226,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,877df197-902c-4754-bd81-35e4175becf2,85.27347543,5.562285034,3.920238293,-0.400854157,-7.022917873,76.2558754,3.438234824,-1.514019331,-4.386416666,-4.623664918,0.453665813,13.50819872,17.48783146,-19.67986017,80.85349479,1944.439093,-695.4389876,94.15889768,-0.727335466,-0.336764308,-0.597974014,,,,,,,,,,,,,,,,,0.982384717,0.0,,,medium,high,17.23185469,37.67188123,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113.87037,0.0,,-1
2,7/24/2025,6:33:26 PM,1,1,Will Davidsmeier,,Right,Normal cornbelters,Jarrett Chapman,,Right,Springfield lucky horseshoes 2025,,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,e24a763e-93d9-4c4f-86d6-2fadc7f5e740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,109.11818,0.0,0.0,-2
3,7/24/2025,6:33:40 PM,2,1,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,eeca5e7a-d69c-4703-be59-e4da41138d38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
4,7/24/2025,6:33:59 PM,2,2,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,2cc45417-9d4c-431b-9f13-3bdc57c57051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
5,7/24/2025,6:34:01 PM,2,3,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,2,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,0d44eb33-d054-4a40-8f31-89d8de29bdc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
6,7/24/2025,6:34:07 PM,2,4,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,3,0,Fastball,,BallCalled,Walk,,Walk,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,1490be33-3eb2-459e-a476-1ffef719d2ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.695,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,,0.695,-1
7,7/24/2025,6:34:35 PM,3,1,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,86.52570661,-0.863076927,-4.455783488,2109.950348,210.2837452,1:00,6.263369438,4.030051307,6.000000192,-17.6441202,20.47775457,10.43653252,3.988395172,-0.750216722,77.43025357,-4.205040428,-2.48123019,0.444384239,,,,,,,,,,,,-7.144893519,11.36583446,-3.672421017,50.0,6.182626331,9.44489497,-125.3929715,-2.446518806,-11.14990653,30.05053665,-14.43718737,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,82f03b83-ea24-4035-ac49-9bb432188ac9,86.77514869,6.265851367,4.035070486,-0.894285076,-4.51640904,77.6389319,3.987201456,0.746260247,-4.222295463,-2.542921014,0.444195472,11.0091268,19.48151074,-12.95514625,6.854290355,2056.243393,-473.0259836,97.45458677,-0.841558023,-0.224188206,-0.491446581,,,,,,,,,,,,,,,,,0.997061635,0.0,,,medium,high,83.83113868,4.258235684,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,113.317665,0.0,,-1
8,7/24/2025,6:35:06 PM,3,2,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,1,0,Fastball,,BallCalled,,Throwdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,f8c5c697-72d9-4872-b4f0-d6773e49a835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
9,7/24/2025,6:35:26 PM,3,3,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,0,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,2fcd9821-0bb5-4b83-ac6f-17936c13b890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
10,7/24/2025,6:35:49 PM,3,4,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,1,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,48f5102f-19fd-4f49-b0c3-829c371679b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
11,7/24/2025,6:36:12 PM,3,5,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,2,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,85c2c4d0-e196-4d39-9cb3-1c2dd609f13f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11818,0.0,,-1
