PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Fastball,PitchType_Slider,PitchType_Cutter,PitchType_Knuckleball,PitchType_Sinker,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/25/2025,8:39:13 PM,1,1,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.22099811007037,2.396301355543563,-4.880019398704685,1604.4889283999714,234.3678654433163,1:45,5.170498152792671,3.57216073297958,6.000000192000004,-24.813034238507164,12.866783629307896,14.67905088938856,5.3392592829311125,-0.2489567089186216,77.64580354248045,-2.307279303741914,-2.10069413345286,0.4418002119435947,,,,,,,,,,,,-9.61220655933294,6.140234782835517,-3.182189431098409,50.000000000000014,5.352156819247157,10.314506716129085,-126.21269064722168,4.520993074649014,-15.1695791819113,30.867423730922525,-22.48378989809195,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,b084b3e3-1fdc-46fe-aebb-5eaf22a93e8b,87.47216368454563,5.169808630656487,3.5793989567409707,2.403187799701841,-4.96704176894629,77.84760228436878,5.340586493525012,0.2431581595933544,-2.285960735489024,-2.188656707410379,0.4416139075928856,15.500348386952057,11.46738633077047,-17.26636633385179,69.60679928763854,1532.182953586993,-476.2353599802589,95.49351986585016,-0.5563251064332139,-0.2968143634715949,-0.7761466418074778,,,,,,,,,,,,,,,,,0.9758884469416368,0,,,medium,high,27.35388064112532,-70.88310582295362,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,117.12874,0.0,,-1
2,07/25/2025,8:39:30 PM,1,2,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,1,0,Changeup,,BallCalled,,,,,,,74.0604287202165,1.0407701124806514,-5.866264007602653,,,,4.973727855482099,4.253016747756506,6.000000192000004,,,,1.814907557053557,1.2181831430119614,66.58331893702103,-8.2922038182991,-5.866264007602724,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,f252ce94-2660-4cb3-a147-0e9ac0b5c3db,74.26585379354466,4.9651189985468,4.253016747756529,1.1404702127924906,-5.86626400760271,66.72798070447169,1.8226347061700328,-1.2181831430119616,-8.176925191532064,-5.866264007602709,0.5214238154481904,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.78675,0.0,,-1
3,07/25/2025,8:39:45 PM,1,3,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,2,0,Fastball,,Foul,,,,,,,86.67794778127578,-0.6226927027589086,-5.980775082354926,1823.5170547852388,232.08176353516384,1:45,4.978679954312587,3.834228008850472,6.000000192000004,-23.531663025015256,14.592522176505987,15.692685430304488,2.435791066618656,0.4368196166713479,77.60913105795868,-5.0717276905381725,-3.0215433405138348,0.4443977053002709,74.57351272035288,61.13459254617998,-85.97772576121336,,-109.63979834690964,8.894639871204431,98.96447018107531,187.0083853618389,,-85.61554252664801,5.042862969576524,-10.47854911976768,8.097481986201066,-3.3543918928271435,50.00000000000005,4.9140299753905685,12.63882679518868,-125.32657883221388,-2.105850648656391,-16.35646328174104,29.71387294307977,-19.534306691442318,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,a41bc370-262f-405f-90bf-2501b5130a3d,86.91853964851451,4.978403116883166,3.84172059896609,-0.6204936075924318,-6.069170895070847,77.79905525654179,2.436713129620581,-0.4425921143785965,-5.0564198237006455,-3.1091677709232584,0.444219318269433,16.530340798755372,13.34451741888418,-8.797112761968672,87.61312887124639,1802.0653628373384,-278.88147510109764,98.82360892147362,-0.607306973190615,-0.152936038831807,-0.7796081120284021,-35.911966687487656,2.5252390828218805,65.30821246722344,0.635422953819156,0.8321967320034335,2.096779179819812,-186.46111036746103,14.296521121432397,,,,,,,,,0.933699664091032,0,,28.8705829151099,medium,high,11.14818401587827,-63.01089690353389,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114.94533,0.0,,-2
4,07/25/2025,8:40:06 PM,1,4,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,2,1,Fastball,,BallCalled,,,,,,,86.17543878462807,3.7113073223331305,-2.8546933507693586,,,,4.298845506691237,2.950598534268343,6.000000192000004,,,,4.7191382140657145,-0.2952670219965526,76.69027516525021,-3.211682180947472,-2.854693350769424,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,1d90d6d4-b240-4ccb-9a99-af6d2b28e4c2,86.42482359395906,4.2926643623035625,2.9505985342683445,3.783647301358144,-2.8546933507693866,76.88085125849975,4.72478243222323,0.2952670219965563,-3.12525549154829,-2.854693350769389,0.4470407034238972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111.67693,0.0,,-1
5,07/25/2025,8:40:22 PM,1,5,Cody DelFavero,,Right,Normal cornbelters,Will Geary,,Left,O'fallon hoots 2025,Windup,1,Top,0,3,1,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,85.54250636099157,1.3317797531795066,-2.8824477041425034,,,,4.294246102119454,3.0726820699361164,6.000000192000004,,,,2.461449569536065,-0.3914910713511962,76.51292145404673,-5.65932957429064,-2.882447704142578,,81.75591048713714,43.54891469316525,-14.511636459208315,,-27.591401139394787,106.48340050526625,75.33750434805914,272.2046001825914,,-14.517718562584845,4.456214788228393,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,ac3f8b60-09a3-4dbf-8062-abd070aa735e,85.77960911776339,4.288043353025896,3.072682069936134,1.4051144040463484,-2.882447704142552,76.69411903335308,2.467076589945989,0.3914910713511983,-5.5725351147618944,-2.882447704142552,0.4495608768763112,,,,,,,,,,,-14.848062098084206,57.36513127601866,56.32766340970805,-0.5629482876508896,2.653718317693928,3.029743206085026,-68.23608287807141,263.5131521461906,,,,,,,,,,0,,42.77644649308084,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,112.24517,0.0,0.0,-1
6,07/25/2025,8:41:08 PM,2,1,Cody DelFavero,,Right,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,0,0,Fastball,,Foul,,,,,,,86.38483077648566,0.4045905168415918,-5.991307245436603,1578.3491073861587,235.3096689349398,1:45,5.170805939754264,4.499517176084949,6.000000192000004,-25.621594587261903,12.796374917648649,14.758193241670195,3.413768320154852,-0.1406990451458028,77.21465181191337,-4.442411565652148,-3.2075361041867017,0.4461066797533551,70.40002554898557,45.43875840688437,70.68491613014542,,103.53830948880643,37.14590782528165,70.31873035892549,223.29539172584293,,70.47746538577101,4.121750672784861,-9.997205541436545,6.783724801748612,-4.018264326274856,50.00000000000003,5.189094556417178,12.648115752605824,-124.89581923449684,0.0885366645590464,-15.481852625569898,29.7496404144472,-21.66865113262341,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,433387d0-ba0d-4058-bd10-4b049bdba9e9,86.62496315671291,5.169853775727037,4.5065788365234845,0.4150174577050582,-6.0766332355227535,77.4088493421556,3.4152680716641037,0.1350850641282902,-4.417883032286118,-3.2945184685135063,0.4459290003472537,15.568335592793442,11.422943866505792,-16.64307774535193,81.51943400079153,1512.2281308431625,-452.05307771685386,95.8107508514072,-0.5452980495587011,-0.2864088024641652,-0.7877944116446366,46.617270772393134,16.338915003560363,50.160078942697375,0.2119607730098571,1.3750344147461948,3.691842550679805,210.4581688798882,74.62031303688107,,,,,,,,,0.9487383177387912,0,,26.997605095882328,medium,high,16.632509399287603,-71.4024900386667,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,115.58223,0.0,,-2
7,07/25/2025,8:41:27 PM,2,2,Cody DelFavero,,Right,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,0,1,Slider,,BallCalled,,,,,,,75.60009226581626,-0.9762059790274564,-7.987906211730764,,,,5.038527599734083,4.081012168904995,6.000000192000004,,,,0.1202525331975529,3.3913728039725544,68.22644224801294,-9.936148474880424,-7.987906211730716,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,4c0e69a2-3252-402d-80ca-60e0868dd9e1,75.8029065354118,5.030195252698394,4.081012168904984,-0.8795257382487105,-7.98790621173072,68.3707347060186,0.1277399984620884,-3.391372803972553,-9.825198115730084,-7.987906211730724,0.5132994323955518,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,11.001357680808681,,,1.423443732002255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.40432,0.0,,-1
8,07/25/2025,8:41:43 PM,2,3,Cody DelFavero,,Right,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,1,1,Fastball,,BallCalled,,,,,,,87.79006718779705,-0.7957887645596472,-4.847246039052841,,,,4.238516155971949,3.554878933451862,6.000000192000004,,,,0.5656522573079628,0.9608994998744466,78.77552700227173,-7.426625017950882,-4.847246039052705,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,c9afff25-aaa6-4b25-a8ba-38d2f5a125c6,88.02620233028,4.232620196682445,3.554878933451851,-0.7258573330060323,-4.847246039052777,78.95910704191449,0.5712009508110071,-0.9608994998744552,-7.343685598118427,-4.847246039052775,0.4390953492389277,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113.94107,0.0,,-1
9,07/25/2025,8:41:59 PM,2,4,Cody DelFavero,,Right,Normal cornbelters,Daniel Gierer,,Right,O'fallon hoots 2025,Windup,1,Top,1,2,1,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,85.77791608211682,0.031411412877999,-1.9598784703622851,,,,4.448723187375139,1.9913834109482995,6.000000192000004,,,,1.4279743200935429,-0.1691739977630218,76.92262059964138,-6.898782307476061,-1.959878470362304,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,9b5aadb4-0c6a-4ab1-a7c7-07d7988649c7,86.0101458797344,4.442587654135766,1.9913834109482984,0.1042848069513625,-1.959878470362293,77.1012489372244,1.4336968664762724,0.1691739977630224,-6.812561111283986,-1.959878470362292,0.4479137137642962,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,108.03588,0.0,0.0,-2
10,07/25/2025,8:42:31 PM,3,1,Cody DelFavero,,Right,Normal cornbelters,Baden Hackworth,,Right,O'fallon hoots 2025,Windup,1,Top,2,0,0,Fastball,,Foul,,,,,,,87.55447592495857,1.2799119760239284,-4.064665642442524,,,,4.337521095544639,3.024301936844926,6.000000192000004,,,,2.590202781500204,0.7597227304807207,78.27031081907627,-5.403874968055798,-4.064665642442495,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,O'Fallon Hoots 2025,,,,040cdbbe-15cd-404b-a01e-d95a3a6f7e46,b97469b1-71df-48ad-801e-51860f415b98,87.79871648681787,4.331495564933692,3.024301936844921,1.3503404135421846,-4.064665642442511,78.45781002462476,2.595710028092346,-0.7597227304807246,-5.320614038522065,-4.064665642442511,0.4397941448330202,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,112.64972,0.0,,-2
