PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Knuckleball,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/26/2025,6:39:16 PM,1,1,Mason Orton,,Right,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,0,Fastball,,InPlay,,LineDrive,HomeRun,0.0,1.0,,88.11457114792925,1.7557066648249158,-1.2540061018969693,,,,3.9740509002095536,1.274811292232696,6.000000192000004,,,,2.716030473819417,-0.10915982474893,78.70590631766069,-4.833796918204854,-1.2540061018969646,,101.09310952024914,23.07540268318383,-9.331260311358934,1661.5901213237628,-20.842657444949648,108.00733136885088,44.24532098936978,374.1668390952723,,-14.129444901246051,4.538251745755428,,,,,,,,,,,,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,50421ae4-0763-4a41-b2f4-832d12125713,88.3599960005379,3.968218229569325,1.2748112922326982,1.82457153928378,-1.25400610189697,78.89564177627312,2.721313147537926,0.1091598247489292,-4.751864740062507,-1.25400610189697,0.4360445188768135,,,,,,,,,,,-15.079977930469692,91.77394091643136,39.62265547331477,-0.2095256617217258,0.1483672076419847,2.5147864909875897,-91.33914187122504,362.8470540610404,-42.13861089694693,65.31584036718614,1.362633832121784,0.9551662816512656,-0.0240810919592895,0.2950889279633228,,,,0.0,0.9976780089190064,59.063292040590696,low,high,,,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,2.078,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,111.31624,0.8333333333333334,0.71615,-1
2,07/26/2025,6:40:06 PM,2,1,Mason Orton,,Right,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.7576543088756,0.1146071171267398,-1.2215691565718465,1517.6941542198324,123.7968953843754,10:15,5.028653336466275,0.9713960475869532,6.000000192000004,-27.729169103156988,11.04545007185843,-13.447605654615195,2.8244286121869964,1.2847285146511485,76.7594564965131,-5.141041176715218,-3.777232426161806,0.4481725912259339,,,,,,,,,,,,6.852079189002476,5.941328373197769,-0.8641227043800227,49.99999999999997,5.02199795306304,3.072869091388697,-124.5956126794994,-0.6085941545403224,10.49874814365605,30.936720594827325,-23.07075283352305,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,6617a1e9-504e-4c22-aa4d-c771f8ae43d1,85.9963421808566,5.027059236021478,0.9641872915046286,0.1324812834170545,-1.1348813337131478,76.94923027557681,2.826539868223736,-1.2790023237199353,-5.108594627362315,-3.690560433815232,0.4479781043441737,-14.25960075630798,9.368269333524765,25.71040241089272,70.11040576591515,1367.4398091330745,658.4101412882047,90.09982711806674,-0.5011808173696799,0.4338226772881385,0.748742728159153,,,,,,,,,,,,,,,,,0.9923241947926732,0.0,,,medium,high,26.900634810676355,-43.084856000968855,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111.48369,0.0,,-1
3,07/26/2025,6:40:17 PM,2,2,Mason Orton,,Right,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,89.42966336934342,0.076149124258922,1.0690081625764256,2232.448776404932,140.5226604509843,10:45,5.01031798182745,-0.6741893364085376,6.000000192000004,-18.315785661672784,17.262073871977265,-12.362435985094494,3.554787308613215,0.710747662068126,79.89191711294926,-3.4029632025218994,-1.282207349738519,0.4293005357876379,,,,,,,,,,,,7.060611375533805,9.316766524064503,0.5942474171666217,49.999999999999936,5.005937791524811,-2.025337335664543,-129.9579748338237,-0.4193759187050292,11.79698079428777,33.08089849524581,-16.607449202057666,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,e9cc7ffc-15c1-473a-b5ec-8bfaa795bf06,89.68452259779455,5.012302895024828,-0.6807113672627845,0.0510170121071714,1.147495039313543,80.1016236989685,3.5539726001654466,-0.7055359231101458,-3.4142307914651475,-1.2033958733326495,0.4291128301818868,-13.09730090794849,16.18233835127854,23.502803605168975,69.49487337049302,2047.2460764800053,890.2870557348909,91.70405601766277,-0.7078416834623003,0.3987939455294389,0.5830296220281775,,,,,,,,,,,,,,,,,0.996481890218751,0.0,,,medium,high,27.45461396655628,20.23852188804916,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111.42729,0.0,,-1
4,07/26/2025,6:40:29 PM,2,3,Mason Orton,,Right,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,,1,Top,0,2,0,Fastball,,Foul,,,,,,,88.9547252258546,-0.4495996544314646,1.4568616675093709,2193.124113590111,135.96476541038038,10:30,4.83417767395536,0.1676426789767217,6.000000192000004,-20.213897714357635,15.736386962305438,-12.840022512775692,2.7316873429893147,-0.4519306432358287,79.57759754254705,-4.284873634406618,-0.9843125792030796,0.4315416217267964,,,,,,,,,,,,7.449228205440647,8.670470301884672,-0.2789124447366595,49.999999999999936,4.785855907833192,-2.8741032494017182,-129.25043304894922,-1.664852057860155,12.319344228666267,32.558472871909075,-17.835046225177766,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,5408baaa-de01-478c-bd6c-c898e3fd7465,89.20510156287311,4.835467333210502,0.1606585047042043,-0.4663424384318811,1.540513296642934,79.78107343100693,2.7314477408255127,0.4572849752666446,-4.287574761558945,-0.9011110160153792,0.4313586215128847,-13.625542704527671,14.589940301883203,27.69446731963145,85.21250039369598,1941.8765394529455,1019.2687982728906,88.54385063844487,-0.6365527903111858,0.4647565506925931,0.6154688405885116,,,,,,,,,,,,,,,,,0.99737141853951,0.0,,,medium,high,13.308749645673537,11.65794857283599,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112.20894,0.0,,-2
5,07/26/2025,6:40:45 PM,2,4,Mason Orton,,Right,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,,1,Top,0,2,1,Fastball,,StrikeCalled,,,,,,,86.94278270744849,0.1346922986247947,1.3298389180375043,1465.2686735913053,128.34828022490785,10:15,5.090329011398569,-0.3096643610421835,6.000000192000004,-26.556367624951484,11.092720978295098,-10.868311927762385,3.0025143903102176,-0.0208087949407544,77.7987273097021,-4.904303235849528,-0.7372107085376479,0.4416200231121798,,,,,,,,,,,,6.342009719818284,5.957354118175183,0.2076039245866641,50.00000000000002,5.085957223466231,-2.5911392183785305,-126.33192338620512,-0.5375258713450536,10.013419680277943,31.25706994706532,-22.767963880563794,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,467eac65-0496-401a-9dd6-e27d1badfda1,87.19059152584411,5.088943664130586,-0.3160602564392257,0.1498709429836418,1.4060516562593697,77.99543211256997,3.004355426373439,0.0256354238946703,-4.87484308834348,-0.6621227124463733,0.4414303315340501,-11.584106057842694,9.55963994588025,36.57817248774784,69.26093805967936,1176.6760263002852,873.1814330012941,80.30445525163022,-0.4982410445666507,0.5959189933823993,0.6297907706812167,,,,,,,,,,,,,,,,,0.9962803838300776,0.0,,,medium,high,27.66515574628856,69.3543320664767,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,118.55626,0.0,,-2
6,07/26/2025,6:40:56 PM,2,5,Mason Orton,,Right,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,,1,Top,0,2,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,86.77881579841598,-1.5857826074404435,1.49131594381748,1524.0013837354268,123.61576229164784,10:00,5.257268696106198,-0.705363699392709,6.000000192000004,-25.796923374062267,12.00051301346722,-14.544786965590443,1.6328327015843918,0.531096654434921,77.90155391493727,-6.462527502292936,-1.2736409200113403,0.4424892200305855,,,,,,,,,,,,8.38249341038112,7.038307522151223,0.5922725295554553,50.00000000000002,5.113105277447495,-2.8251023271205717,-126.04402651354444,-4.3000186905276,13.185863442172469,30.92100743612664,-21.102622826968197,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,8bd1ae6e-9fd7-482c-9c17-c4c2ccfea52a,87.01299536727403,5.255943671772658,-0.7123836342278593,-1.5709223765178628,1.5757598015686276,78.08669177180678,1.6346182591459462,-0.5255570897146704,-6.434902255549333,-1.189396438416358,0.4423080859625566,-15.33652714229243,10.506509710371922,13.728905449093569,57.72398374182524,1480.459920694596,361.68859650871735,97.1429512134623,-0.5378034555883534,0.2373282599141708,0.808976353302949,,,,,,,,,,,,,,,,,0.997187820535967,0.0,,,medium,high,38.04841463235729,-45.39344280908613,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,112.60848,0.0,0.0,-1
7,07/26/2025,6:41:27 PM,3,1,Mason Orton,,Right,Normal cornbelters,Felix Polanco,,Right,Rex baseball 2025,,1,Top,1,0,0,Slider,,StrikeCalled,,,,,,,79.60836108947892,1.2332935913904517,1.1593438510385872,1905.5112435263263,138.38656244851074,10:30,4.964313167226526,-0.8319020399525169,6.000000192000004,-40.57175206487913,4.397980824480371,-0.3876402486483614,2.729960698953456,-0.2134285209456809,71.34098000109745,-6.459715641003406,1.085591601274576,0.482649295285868,,,,,,,,,,,,0.6146544589484771,1.9504030755612192,0.737679100889199,50.000000000000014,5.0413851601332125,-2.32920556930434,-115.64618305794176,1.324106875224624,0.8122540736858629,26.432253996021544,-29.59662934542409,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,4f0f3367-7512-4548-b300-3d5ee5ae4410,79.83538782237417,4.957954093574254,-0.8368265553562743,1.3068258100766506,1.2179084976516144,71.51078158613271,2.735857414136988,0.2169674332241551,-6.37018804273403,1.1387919981290922,0.4824410430659844,-0.9395156714747878,2.002338692649858,84.67301188238582,2.62183944702822,176.9068668017394,1897.281491946737,9.283958171475112,-0.069410803941214,0.9956810794963564,0.0616549124498956,,,,,,,,,,,,,,,,,0.9958698110403504,0.0,,,medium,high,92.3596555023254,-27.062574956104857,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,7.3343094965399445,11.301005258319076,-11.805539916507854,-1.70569428561295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,106.02868,0.0,,-2
8,07/26/2025,6:41:38 PM,3,2,Mason Orton,,Right,Normal cornbelters,Felix Polanco,,Right,Rex baseball 2025,,1,Top,1,0,1,Slider,,Foul,,,,,,,79.43431783452812,2.013649926562345,1.0924196418558103,1837.526651090953,321.44935610350507,4:45,5.07674282292068,-1.0260347305516015,6.000000192000004,-42.52907567013553,2.6841632194715146,0.906334937963874,3.4052377644837164,-0.0649041342267243,71.0865062480393,-6.057025973046489,1.2648803415583805,0.4839542766698331,,,,,,,,,,,,-0.1082590287187253,0.7479931031234203,0.9365183298294452,50.0,5.216316500144727,-2.225520577755334,-115.34889104213212,2.837455753303753,-0.1422802443579202,26.361300244031387,-31.190994013176155,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,b65385a7-f262-4779-b413-849b0c0d3387,79.657761490259,5.069414228705539,-1.0305153285921211,2.098816108049947,1.145853354224026,71.25166478828632,3.411850779475363,0.0680827023017175,-5.956054726817852,1.3129498595384028,0.4837505683600888,0.4020860433785426,0.1608259687298647,89.06076177621101,5.59216108512941,30.12083125541241,1837.2797633986,1.6392051368359448,0.0128195284966546,0.9998656412998383,-0.0102156271068591,,,,,,,,,,,,,,,,,0.9969242336828238,0.0,,,medium,high,95.03294497661648,-20.735375436869635,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,7.508352751490747,13.014822863327932,-13.09951510312009,-2.4860506207848436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103.89768,0.0,,-2
9,07/26/2025,6:41:53 PM,3,3,Mason Orton,,Right,Normal cornbelters,Felix Polanco,,Right,Rex baseball 2025,,1,Top,1,0,2,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,87.02028105628473,-0.6935613337567816,1.2686154284534783,1652.1440917750858,122.59815100629554,10:00,5.0743231638401545,-0.0777034131260896,6.000000192000004,-26.16033201249195,11.41836171551128,-14.141561323201367,2.249514339312696,0.0769310511844154,77.9906064489754,-5.649256085900013,-1.4205657150621216,0.4412069675391789,,,,,,,,,,,,8.091344272853773,6.419144361253182,-0.0174746446948861,50.00000000000004,5.002693074114557,-2.3551577790856104,-126.4404151636196,-2.3539855540275103,12.800015691520546,31.26295991251659,-22.019352692699083,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,ded9b3e1-cd40-412e-86f8-71cd7b6b5f6e,87.26066202393773,5.073085498272126,-0.0853909145966408,-0.6801823520983443,1.359138648601802,78.17741789908139,2.251218689661912,-0.0711476560617806,-5.6226259962553184,-1.332322510131059,0.441021575858763,-14.990022305894284,9.919206910656069,24.805933307188752,59.26995514129043,1499.707423432586,693.1505926481757,90.77340353656928,-0.4890359001686603,0.4195460892902176,0.7647384960282257,,,,,,,,,,,,,,,,,0.9946218889054204,0.0,,,medium,high,36.657040372838566,-24.468199167308917,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,112.68963,0.0,0.0,-1
10,07/26/2025,6:42:27 PM,4,1,Mason Orton,,Right,Normal cornbelters,Ben Jones,,Right,Rex baseball 2025,,1,Top,2,0,0,Slider,,BallCalled,,,,,,,78.0275758115297,-1.3834871453516382,3.5508990883129377,1926.8030842156943,126.80745808221148,10:15,4.979197671681969,-0.9258485508956508,6.000000192000004,-40.69365840166726,6.262660777269353,-1.2611248369341073,0.2995313924823886,-2.273472566478961,70.3668258609505,-9.038852369922813,3.311785095589834,0.4931948641389697,,,,,,,,,,,,1.9187785011868543,3.872246265659068,0.6369691211866917,50.00000000000006,4.842766252227734,-6.98611443806767,-113.15230665750528,-3.882812698071164,2.428643980360337,25.212294746673724,-27.272854592545208,Normal Cornbelters,REX Baseball 2025,,,,df2952b2-b59a-42ad-959c-c2cc1988583d,9efc4bfb-3c55-4876-8090-d55c81ee941d,78.24436379399098,4.973417063457142,-0.9311205456670872,-1.3164284702109126,3.6137946832497576,70.53059132206849,0.3050588549397289,2.277336805775489,-8.9552779811589,3.3699013545343584,0.4929873008412448,-1.8556965981749776,3.889932362868084,79.54426559598754,0.5331744298022479,349.6681609971856,1894.8093050563052,18.147581549025706,-0.1087272102825126,0.9833954079576264,0.1452992269492033,,,,,,,,,,,,,,,,,0.9947284800519076,0.0,,,medium,high,90.479856986822,-25.446905356271124,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,8.915094774489162,9.436325305530094,-10.93205532822211,0.9110864511291399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,102.71941,0.0,,-1
