PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,ff_diff,ivb_diff,hb_diff,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/07/2025,6:34:00 PM,1,1,Nicholas Currie,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.59065586807796,-1.450564332600168,-5.874958795875545,2056.96448552084,222.3328891970436,1:30,5.724442489009284,4.583838172073213,6.000000192000004,-22.5146245319814,17.506824086097556,12.882933729360122,2.4926704172481524,-0.1780498320916393,75.87130540077816,-5.701451711394558,-3.4469185424735875,0.4553212553933502,,,,,,,,,,,,-8.917054665912044,9.947278091375512,-4.111086680453024,50.00000000000001,5.592574953232302,12.191285572337696,-122.30306674678351,-3.8010443861285568,-13.26037375195619,28.217424314904708,-17.381651171024778,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,c9c44688-28f6-41a1-be01-c66b7905779f,84.83191611746223,5.72551967887523,4.590651562170498,-1.4645731860793825,-5.955844945783947,76.06647721775406,2.492637245157899,0.1727369875203284,-5.7002850610077465,-3.5272445944638715,0.4551321012000912,13.649204331557511,16.360252989372928,-23.7975656628434,62.59957847505153,1882.0748053685368,-829.9983865592726,91.4976811032292,-0.6763917099465695,-0.4035064253183303,-0.6161792104918652,,,,,,,,,,,,,,,,,0.9973134154917256,0.0,,,medium,high,33.660379372453605,-85.12611273650043,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.73342058350684,0.0,,-2
2,07/07/2025,6:34:15 PM,1,2,Nicholas Currie,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,Stretch,1,Top,0,0,1,Slider,,BallCalled,,,,,,,75.40784959530008,1.1661746820530063,-2.9934002291274893,2250.8708604214385,59.22194000867774,8:00,5.412417886800708,3.6947460259748617,6.000000192000004,-48.28055850085613,2.0357381378276145,-4.951257114131491,2.474503927500563,-0.4975600366122878,67.75262401253147,-7.959453100125532,-3.933197231516102,0.5105353951238574,,,,,,,,,,,,1.6196169629996844,0.6885859924002039,-3.4478439608486644,50.00000000000001,5.479721955169683,5.855527833958482,-109.40619693204444,0.9193207862972348,1.9120079686176543,23.98067152827568,-31.36115250315564,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,f9ac5121-550e-4b06-b29b-5e7d4882fe00,75.61030078341734,5.403424929953439,3.698442401102594,1.2723467688286358,-3.038135507706693,67.89680080964939,2.482635538456017,0.494978106830656,-7.837208668926399,-3.971721586964013,0.5103318250357716,-4.526291758923791,-0.9277117894509792,-79.5529476475937,66.95812599217024,408.1432083524976,-2213.5579395557,18.13267991199102,0.0927874453264034,-0.9834228957681064,0.1557879907723055,,,,,,,,,,,,,,,,,0.9884830090887698,0.0,,,medium,high,29.737686607046783,51.9439077768303,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-10.265149398334614,-13.964693675813486,-9.395878749998454,104.57295618534413,0.0,,-2
3,07/07/2025,6:34:31 PM,1,3,Nicholas Currie,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,Stretch,1,Top,0,1,1,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,84.646003944248,-1.681746089007785,-6.391317184751502,1970.5736464912068,224.9628847236336,1:30,5.594284236881258,4.41564087957509,6.000000192000004,-23.170663782729864,16.864894309990742,13.56822170270216,2.0901643499438536,0.418484866032173,75.95978225175182,-6.051929019522452,-3.83833410554506,0.4554015095796213,82.11384137556537,-13.477400744561702,-43.63635206683824,,76.91543199988386,-78.63851675494182,16.374051974256957,9.567496416544634,,-35.22485234459764,0.0730357158279383,-9.449089261961973,9.67383306687053,-3.900744940854069,50.00000000000005,5.44295201303363,13.279980406794598,-122.2557457095277,-4.31967478318271,-14.048499595342186,28.072937292296345,-17.79141056570566,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,15b53f60-532a-42d6-8188-cbaf0c7df31d,84.88528610604918,5.594981819874519,4.422696052162521,-1.69108010161669,-6.474449389754655,76.15249881449687,2.0904190013850035,-0.424009256696471,-6.046441109517826,-3.9209630702914735,0.4552138473755107,14.356203901580672,15.700476108477057,-21.52934465071498,83.33251430887057,1833.0862052606344,-723.1565946106133,93.02297371755776,-0.6581977110510216,-0.3669777051460432,-0.6573455233687527,-55.104580619404,57.79204425946978,-19.13760069921524,0.3728520019078332,1.6837099380830856,2.12014434392585,-5.518404712285457,7.815637984964507,,,,,,,,,0.9956676166508578,0.0,,42.71746477261631,medium,high,15.000737122016458,-41.76273247373702,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0.0,105.9840377480858,0.25,0.27755,-1
4,07/07/2025,6:35:09 PM,2,1,Nicholas Currie,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Stretch,1,Top,1,0,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,83.82845710854689,-2.011729489138286,-6.112021194103638,1945.868174413443,227.7803732519575,1:30,5.761083763323661,4.814103778906393,6.000000192000004,-24.461581817832585,16.32301101264554,14.51083781146546,1.8414679879759988,-0.3212209147617966,75.3117156710063,-6.622692825703588,-3.3789752601694656,0.459641875333953,66.90084588299237,13.868352375518844,-19.66271708229212,3019.152232294641,-45.61112269412299,100.09807930369956,3.841274830761597,123.14828229751336,,-25.128445939391856,1.4558151350541515,-9.861510133455264,9.48851088757815,-4.322779380140492,50.0,5.582012979665098,12.530385996247253,-121.118758645975,-5.019049957073072,-14.393094961281223,27.510112247135503,-18.325355380155056,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,9de39d91-3ffa-462e-8c1d-f115979aef34,84.06031702346425,5.761325812660938,4.821333328901677,-2.0155716857094905,-6.198644692411206,75.49854654303847,1.8420676635639408,0.3155394564375449,-6.611916690984614,-3.465675378383163,0.4594592164015253,15.33323018455762,15.094556501925524,-18.49444224106428,55.43628887589234,1845.3727009837912,-617.2540373775561,94.83544287577728,-0.637269816257704,-0.3172126691283284,-0.7023270632912801,-21.854751422391253,61.16333056388587,16.035585878233707,-0.3975606783256761,2.3746169249430205,1.929695058109819,-52.29479037154056,111.4932927705728,-10.625605544616064,-6.3180443373113455,-0.0300545771619973,0.0881088138493583,-0.3045291918769433,0.9484191100019206,,,0.9917833018339784,0.0,0.987442656117369,33.51161583508787,medium,high,40.10734001169688,-61.15244195024192,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,105.50365918771439,0.25,0.50895,-1
5,07/07/2025,6:35:45 PM,3,1,Nicholas Currie,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,Stretch,1,Top,2,0,0,Slider,,BallCalled,,,,,,,76.03926601960217,-0.8236592766693371,-5.907452642680169,2281.0619616254025,21.876591455505302,6:45,5.278191820648964,4.05171436484605,6.000000192000004,-48.33927042703146,1.589105420627554,-3.684398259489613,0.4802753823555798,1.765206158966264,68.62055662205479,-9.87791735058182,-6.60150385796753,0.5085635638807624,,,,,,,,,,,,-0.1295042613170434,1.1579724143734702,-3.566691815692754,49.99999999999995,5.182906867838895,11.470595754280495,-109.88766551110852,-2.9050142613981382,-0.1540202456235674,24.43439707910077,-30.796865593185352,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,70531dc7-cdb3-4a8c-aa24-a074c66b0749,76.23755718172839,5.268981928715496,4.0562403430786445,-0.7167373016840988,-5.960959123398249,68.75941201506818,0.4883417809683681,-1.7683492741725833,-9.75761767440029,-6.64816472025452,0.508365586269703,-3.173237000516706,-1.4011423986776987,-80.09424404665502,57.94055093367869,392.4066445986764,-2247.0560068785867,17.202805149539277,0.1596400642891241,-0.985092051281858,0.0640991448856052,,,,,,,,,,,,,,,,,0.9970007430968691,0.0,,,medium,high,37.85350415968917,57.77380981675405,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-9.633732974032526,-14.411326393013546,-8.129019895356576,103.84704571769879,0.0,,-1
6,07/07/2025,6:36:00 PM,3,2,Nicholas Currie,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,Stretch,1,Top,2,1,0,Fastball,,BallCalled,,,,,,,83.7141462151266,-0.9724079115519458,-4.317206856266736,2077.4544011830326,228.75402918617024,1:45,5.594856469346977,3.642109238612504,6.000000192000004,-24.23382069938525,16.45975822695032,15.780401964004737,2.6689628960784884,-0.9371472813809788,75.06458315797131,-5.557306571751777,-1.3290915287694556,0.4591287260834961,,,,,,,,,,,,-9.980304355438188,9.226941416817215,-3.298933359455228,49.99999999999997,5.501369020845985,8.682609945747398,-121.34162121955318,-2.799126129340676,-14.592301343651757,28.02472819701913,-18.683247618517672,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,7538247c-434b-43a8-9318-f864ae1f6adc,83.94512802044824,5.59515959394564,3.6497262048711288,-0.977212542365162,-4.408872558785761,75.25076669625734,2.669521527487174,0.9311046094864645,-5.547499319188868,-1.4212693389962634,0.4589429046952781,16.644759939796323,15.158950296577384,-11.57410775769448,66.84445619744889,2035.211479336544,-416.81053654089305,97.96660173034688,-0.6458868908882255,-0.2006352275667446,-0.7365973320872009,,,,,,,,,,,,,,,,,0.9974125906942856,0.0,,,medium,high,29.839989422295936,80.65242104886308,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,106.21642074098654,0.0,,-2
7,07/07/2025,6:36:22 PM,3,3,Nicholas Currie,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,Stretch,1,Top,2,2,0,Fastball,,InPlay,,LineDrive,Double,0.0,0.0,,85.48879593192208,-1.6477962361907506,-6.456182585775946,2074.1885961651337,222.4538097351069,1:30,5.58716180426386,4.420746561307383,6.000000192000004,-21.501256980987247,17.75578061063774,13.298835004159432,2.253739600474175,0.4968777557116933,76.67388445241416,-5.704843297717194,-3.954644795634674,0.4509519656991168,93.84089736399932,11.66182044765499,5.223242179939242,1902.1357403618529,16.954527285867346,108.68552799995366,15.707596982994104,223.7553082144768,,12.457744430401076,2.171923208380667,-9.324131778065142,10.14384099735566,-3.900343998969933,50.0,5.43956593209475,13.560606075504992,-123.45979587865416,-4.237530325044433,-14.137799939848517,28.617810581742727,-16.793358058278237,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,9b5c58a0-8f31-4619-8ac0-77bc5a4609b4,85.7315854019923,5.588440175604399,4.4276639201841,-1.6638445893174003,-6.5372582462413575,76.86972592899986,2.253537461095951,-0.5021938519052015,-5.706220206523975,-4.034982378324663,0.4507658802384438,14.067974090276508,16.67977858688247,-20.730349439120268,71.55901357985469,1939.898706268412,-734.2011590018298,93.5256663668384,-0.690052698200255,-0.3539702996917727,-0.6312941474801302,8.366606099165784,91.52218166108464,18.968505066490643,0.4427507519929465,-0.6885985243776342,1.9285518329383409,48.26839171129141,218.48707127828143,31.350727550992755,36.67047050677005,0.4585579892461209,0.5330752225220168,0.1745249635625093,-0.8278718766974799,,,0.9968215233971564,0.0,0.996072600518718,54.35781807015885,medium,high,25.5968877781308,-12.69835068595976,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,1.269,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,105.9840377480858,1.0,0.9201499999999999,-1
8,07/07/2025,6:37:16 PM,4,1,Nicholas Currie,,Right,Normal cornbelters,Tripp Johns,,Left,Lafayette aviators 2025,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,83.17191709591894,-0.4390892354651794,-4.291990964193487,1929.3257284923584,231.44901138609768,1:45,5.656846596653284,4.260606557064836,6.000000192000004,-25.928586684506097,15.301466849285614,15.90973060386379,3.086888505464627,-1.589990257347247,74.53053535398557,-5.347307357165606,-1.278535633828418,0.4621452267318959,,,,,,,,,,,,-10.04826363245184,8.423100904426112,-3.919567852061146,50.00000000000004,5.605955222169715,8.570301929394907,-120.56987882495297,-1.7063454099697912,-14.498937150042726,27.764368705429767,-20.02010786144925,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,d81d9d41-b15e-43f9-b77f-5526b35acd3a,83.40446211873508,5.656519339446762,4.268527669732008,-0.4364445558134562,-4.3855787190239,74.7131895938506,3.087928215757982,1.5840431397898709,-5.329980752759758,-1.3708671049614929,0.4619568526634675,16.793078766742124,13.891974995156492,-12.093274479146135,70.74975863464326,1886.509813921953,-404.20104972492135,97.78078351736576,-0.6093804502016356,-0.2095037886841315,-0.7646983911576163,,,,,,,,,,,,,,,,,0.9955571097872684,0.0,,,medium,high,26.32521722882108,65.89936904732743,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.81587043031932,0.0,,-1
9,07/07/2025,6:37:35 PM,4,2,Nicholas Currie,,Right,Normal cornbelters,Tripp Johns,,Left,Lafayette aviators 2025,Stretch,1,Top,2,1,0,Fastball,,Foul,,,,,,,83.9237935619835,-1.180715765380368,-6.143032765901734,1960.367711472143,223.1506501491905,1:30,5.727599708860256,3.977116161929637,6.000000192000004,-23.787074817881464,16.91157883174846,12.570282386359622,2.6414998167728663,0.7066337984776313,75.25305208768262,-5.67082079090496,-3.775736952161139,0.459157353187179,,,,,,,,,,,,-8.841795309897304,9.536950175013818,-3.482104209755545,50.00000000000002,5.617056712203963,12.673674724973193,-121.29060883932536,-3.234675135761455,-12.929034416128824,27.796271674240305,-18.228515594771284,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,45e6d606-0dbe-4f1b-83cb-820475eb15b0,84.16400821077484,5.728297706136876,3.98382036777562,-1.1902333806526253,-6.2232707757027255,75.4490113098144,2.6417914609054227,-0.7120346131514572,-5.664772343995049,-3.8562363018407777,0.4589650474362299,13.33039771956206,15.693998235081606,-26.41194895424694,61.28233876895324,1755.74259071782,-872.0146325159944,89.56190108841065,-0.6534059868206988,-0.4448219726395886,-0.6125308392594563,,,,,,,,,,,,,,,,,0.9964093320556724,0.0,,,medium,high,34.845895107942084,-58.34999153108691,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.73342058350684,0.0,,-2
10,07/07/2025,6:37:58 PM,4,3,Nicholas Currie,,Right,Normal cornbelters,Tripp Johns,,Left,Lafayette aviators 2025,Stretch,1,Top,2,1,1,Fastball,,BallCalled,,,,,,,84.40846576550253,1.0942451748873023,-5.060837906925866,2044.465978833484,227.68714729607424,1:30,5.497036132536906,4.194333421111016,6.000000192000004,-24.00021140784011,16.15538990452053,14.721585218424792,4.518107240042927,-0.7053511383475063,75.34427327441246,-3.453658852668786,-2.276232068837544,0.4560837399284255,,,,,,,,,,,,-9.67707651031594,8.3673285719702,-3.789555348630568,50.00000000000003,5.572628036873407,10.373746408660574,-122.20387060369062,1.612160055010034,-14.334584194082987,28.671865828914264,-19.7795856415843,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,7927d8a8-fdc5-4a8f-bb2d-7afa08636f08,84.65475110724319,5.497662164981776,4.202206070708395,1.0853836685515417,-5.15333782593117,75.53910732883476,4.518464116440415,0.6994617761309665,-3.446797472586736,-2.367063565841032,0.4558900566963217,15.59630735927763,14.85882685017607,-20.847571251135008,58.87011852152767,1910.615847445324,-727.5906968195392,93.45305166366566,-0.6291057692509869,-0.3558830053189158,-0.6910667244342623,,,,,,,,,,,,,,,,,0.9939945252890894,0.0,,,medium,high,37.016893330625095,76.57111831346138,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,106.06546229580407,0.0,,-1
