PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Knuckleball,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/12/2025,6:33:42 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Jayden Lepper,,Right,Rex baseball 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.22524809364053,0.8448209281245929,2.477869531572244,1942.1073303280607,126.44637594432028,10:15,4.563723393871485,-0.7334063447427386,6.000000192000004,-26.20754564147188,13.01431439614298,-14.113682043854286,3.165724158396919,-0.3948064829178743,76.15819372573033,-4.130766353460154,-0.2044470900067888,0.4507498752788667,,,,,,,,,,,,8.490322858844305,6.752218344568265,0.5396064711471512,50.00000000000002,4.617455466658716,-4.9202878497372575,-123.74557748966056,1.0193159197245856,12.869683578066107,29.85863415675645,-21.93899551451849,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,5f0ada39-e37d-4fc5-9a15-c35cd92acf3b,85.46764109945173,4.563254439871148,-0.7414182366835476,0.8489204301523895,2.5732856619151248,76.3502521953713,3.166918720351669,0.4009074470526171,-4.111240685015564,-0.1103523053778683,0.4505586555179833,-15.010548088510156,11.551729240862462,30.589112599391576,66.17295449482462,1671.8412224906815,988.2954058857352,86.08387375831975,-0.5113986268723576,0.5088778516266619,0.6924700546282851,,,,,,,,,,,,,,,,,0.996697974620154,0.0,,,medium,high,30.444340954657857,89.5482147405745,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,51.150463,0.0,,-2
2,07/12/2025,6:34:03 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Jayden Lepper,,Right,Rex baseball 2025,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,1bc7f0e8-6df2-444a-8e6f-09fc07c33fac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Graham,,Normal cornbelters,2019-02,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.71344,0.0,,-1
3,07/12/2025,6:34:10 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Jayden Lepper,,Right,Rex baseball 2025,Windup,1,Top,0,1,1,Fastball,,StrikeCalled,,,,,,,86.16410533802787,0.062799962185052,-0.7198336867892516,2060.7120758819383,129.29028676371283,10:15,4.347696043886299,0.2486798044250714,6.000000192000004,-24.608495911631405,13.771005932828816,-14.266229260291311,2.355358464574129,1.609216770134924,77.08373872266937,-4.60412799556932,-3.43187782415864,0.4458832819739609,,,,,,,,,,,,7.472403233628067,7.434747011489124,-0.1818112477692887,49.999999999999936,4.338612464744272,2.0168777336405106,-125.2094584475186,-0.6281621220368027,11.568607477859798,31.117419503022337,-20.66374062863011,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,8283c3d3-a70c-4d45-b7bc-09e82b7726bb,86.40427055462567,4.347717489601293,0.2409021469491735,0.06117242458817,-0.6257947879971226,77.2770627083002,2.3561634730728205,-1.6032477341154658,-4.590785384294836,-3.33804455187438,0.4456936764820079,-15.150203655502366,12.309917136376075,27.01506713560264,63.64852485462345,1835.8618156675604,936.0265239080868,89.08871050711211,-0.5641539706200872,0.4542247967889878,0.6894999140069508,,,,,,,,,,,,,,,,,0.9964444858839866,0.0,,,medium,high,32.71632763083891,-63.1983909651882,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.61615,0.0,,-1
4,07/12/2025,6:34:27 PM,1,4,Graham Kasey,,Left,Normal cornbelters,Jayden Lepper,,Right,Rex baseball 2025,Windup,1,Top,0,1,2,Fastball,,InPlay,,LineDrive,Single,0.0,0.0,,86.4932838672771,-0.7117286756937067,2.5767586296435785,2066.043726521674,125.07719262562225,10:15,4.548123484190726,-0.8862648199264432,6.000000192000004,-25.200360537290862,12.853066026404893,-14.394585981891616,1.7859136412719887,-0.3106253245373914,77.50680518465182,-5.485620742930991,-0.1575649523835972,0.443985111822283,,,,,,,,,,,,8.667998774961449,7.197287143689378,0.6845628052297532,50.00000000000001,4.475508051724213,-5.201654735997149,-125.58865733581072,-2.3499593248621578,13.545367481372988,30.548702254207253,-20.926943793617426,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,f088e744-db11-40e3-84fa-10a0cb83ec4f,86.73112713434698,4.547796067939908,-0.8943224902270429,-0.7091368157168277,2.6729945828181627,77.69640827712225,1.786961415444392,0.3168264321317562,-5.46851568331206,-0.0622854837138686,0.4438027593504469,-15.299029679108678,11.486502696430398,30.691541353528628,65.26619601951045,1776.6480890618277,1054.5417239410317,85.99276318575,-0.4941828079370718,0.5104159754239203,0.7037463210358398,,,,,,,,,,,,,,,,,0.994571285464004,0.0,,,medium,high,31.26042358244063,0.1977414710821667,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.891,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,81.05505,0.0,0.891,-1
5,07/12/2025,6:35:22 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,83.72000439227024,0.9682842658509718,2.937594067256192,1913.394445061257,122.5148153592718,10:00,4.564858610663594,-1.5651860863329492,6.000000192000004,-29.11655451766585,11.551668306956577,-13.664470364182003,3.0396661061493235,-0.0286841131894528,74.84539965132298,-4.556664834960128,0.342095240268561,0.4589856626195085,,,,,,,,,,,,8.402667892812515,5.918430874006274,1.3335977436161677,50.0,4.627003445388417,-5.822135011585908,-121.5120509523867,1.175675074254658,12.28468040871158,28.72887667265597,-23.52131777085709,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,c7a9c3ac-773a-4fbe-9302-956d5047c2ba,83.9585821457883,4.563561890839249,-1.5734435819745316,0.9821842227779763,3.0362245380029846,75.03244501026617,3.0415587424445816,0.0350243665852997,-4.526659192191548,0.4387347082303248,0.4587916188940454,-14.592290901466662,9.956987523821573,37.00497469764139,63.74808239190358,1528.0047564875836,1151.6422042208233,79.85832510549933,-0.4292526098794444,0.6018843669131451,0.6734073104572358,,,,,,,,,,,,,,,,,0.9965934951630228,0.0,,,medium,high,32.62672584728676,11.595997726237544,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,36.176212,0.0,,-2
6,07/12/2025,6:35:41 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,Windup,1,Top,0,0,1,Cutter,,Foul,,,,,,,75.99707992058875,1.687240481704996,3.770255023983805,1963.2742226333976,165.6937820907889,11:30,4.665945409556935,-4.2486028726824205,6.000000192000004,-38.01745537422941,11.509665605212348,-1.276227861983851,3.069790175894912,0.8458376465272507,68.00322589573051,-5.514356887893356,3.528419323197308,0.5065158780405264,,,,,,,,,,,,2.000929525535036,5.643452870740781,3.9417916143902048,49.99999999999997,4.781756714352822,-7.224867322668933,-110.16682995241858,2.210670801014756,2.4012984014491128,23.858340985701517,-25.401390087390407,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,a4680af4-7990-435e-9198-68c19da8ff45,76.23379636783295,4.6623311624889725,-4.253312635408199,1.7285540248750275,3.826855597729012,68.18934555819403,3.0738926230852925,-0.8422818426252334,-5.451500362358747,3.5813612107789647,0.5062794706741094,-1.81107437552176,9.259764851894971,69.53506304077611,62.47713617515499,686.4276050171901,1839.3647860952256,34.96340944651453,-0.3387915638111528,0.9368863324798468,0.0863960433287062,,,,,,,,,,,,,,,,,0.9972162826478356,0.0,,,medium,high,33.77057744236053,-37.14265528839516,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,9.825754519147381,2.155607947356369,-12.084887826242895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71.204926,0.0,,-2
7,07/12/2025,6:36:19 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Nomar Garcia,,Right,Rex baseball 2025,Windup,1,Top,0,0,2,Fastball,,InPlay,,GroundBall,Single,0.0,0.0,,87.10655445600366,-0.4997245482732353,1.3449523219532045,2133.6092753987377,130.43052110881703,10:15,4.711672004983974,-0.3757350497462047,6.000000192000004,-23.66052219712984,13.833191001450768,-13.216949139781905,2.2753811197896274,0.2269277134392029,77.99896435576598,-4.98568251279245,-1.1680762674263436,0.4407078120441619,91.82501112121824,-8.037490005806307,-34.47400437239954,3058.1649223668373,57.277976438229565,-93.9107730713484,2.2242184804162872,15.280704234199057,,-31.645409738465997,0.1003688869936643,7.61553526706905,7.658220707257655,0.2738033001992824,50.00000000000001,4.657276519787948,-2.555288464412413,-126.56897937555208,-1.849524657985293,12.075515412630956,31.254861915697287,-20.03085033069533,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,79230ced-a24d-4666-95e2-514ea0373d65,87.3519437330802,4.71193280875264,-0.3834264803731232,-0.5041426761935861,1.4359445228601582,78.19466470589764,2.276001529643995,-0.221031485522829,-4.975317025598588,-1.0787536593242253,0.4405181019684842,-14.069306206784947,12.510705520031426,32.5905609603902,72.57305828148495,1797.6535937262129,1149.2302193341245,84.25411411797785,-0.5464093945096201,0.5386319944261356,0.6413363767728708,-51.46534878227877,74.95537933140334,-12.839067388859783,-0.0986557104225707,2.201613849721786,2.240521384350296,-8.017186157304678,13.008637438724747,0.2189107572737755,-0.4936858673472993,-0.0055633495335844,-0.5914979047497955,-0.3049096935468125,0.7464317165406295,,,0.995987443453773,0.0,0.7020658388981522,50.69845686886431,medium,high,24.68424754666356,-62.15831599040904,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.891,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,25.597145,0.5833333333333334,0.2673,-1
8,07/12/2025,6:37:05 PM,3,1,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,Windup,1,Top,0,0,0,Fastball,,Foul,,,,,,,86.23465474201133,2.2413872661962326,3.539083701450244,,,,4.045516114143483,-3.5740093095073933,6.000000192000004,,,,3.10344631151806,0.2806177408418487,76.97003204624178,-4.65664086157391,3.53908370145024,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,2a158cde-e980-4e89-bc9f-f9d25240320e,86.47783008560481,4.039372041431525,-3.574009309507391,2.313616829660928,3.539083701450239,77.15698054215584,3.1091397162583663,-0.2806177408418484,-4.570427143656511,3.5390837014502408,0.4464617661664167,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,124.57495,0.0,,-2
9,07/12/2025,6:37:33 PM,3,2,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,Windup,1,Top,0,0,1,Cutter,,Foul,,,,,,,76.7914283823891,0.8462014705550731,1.1772644114770034,2031.602297856624,170.38540469226092,11:45,4.8330287279469655,-1.4804970557784924,6.000000192000004,-35.633812229601574,12.631643424168011,-0.7842753969052645,2.650221760290173,0.4515572430542976,68.83155333068268,-5.909674045576223,1.0281381094935511,0.5000227078819126,96.5807578432246,24.518947335684064,-41.85831022766698,3242.17555627858,-78.07006456916186,77.49235450687368,45.77896667894824,345.58457905780296,,-55.05861583199727,4.284197167616418,0.8312972641865078,6.544385336828759,1.3850432281953635,50.00000000000003,4.881383566048403,-2.271125742204726,-111.57619839322984,0.6592674981436194,1.0238357564619305,24.38112741051249,-24.11390551892274,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,4ae50829-72b1-46d8-829d-b6661a78babc,77.0293134815479,4.830045681195922,-1.484686463310133,0.8799022874751513,1.227519405616592,69.01840399324146,2.6536742574328467,-0.4485070051821608,-5.85586233862783,1.0744858130719743,0.4997880328377821,-1.2581266551446015,10.511391664204677,64.02787387427892,72.20786103757963,889.7073770164681,1826.4251093156788,43.79338308265969,-0.4317824033651073,0.8990072078785251,0.0731436690815424,-58.63584327005259,65.44645390363635,40.08044836351784,0.1501999133915258,2.746218215521091,2.943042600488052,-283.2889522289653,197.9294592211424,-87.3317211311913,-23.14755445322613,1.0448246197925464,0.5812239536816504,0.321080281506075,0.747720648701539,,,0.8458695424183478,0.0,0.978282338855762,56.08574294723302,medium,high,25.012925066178312,-51.369725093435,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,9.031406057347027,1.0336301284007057,-12.57684029132148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73.519745,0.0,,-2
10,07/12/2025,6:38:00 PM,3,3,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,Windup,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,87.09805660935183,2.936919836285523,-1.1607482500919657,,,,3.993498798008511,-1.055574402535271,6.000000192000004,,,,3.762802051511004,2.134514093921746,77.63178292332042,-3.822121455211085,-1.1607482500919772,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,REX Baseball 2025,,,,7466ffa9-cb11-44f9-a72b-048a48315ae9,c6c9042f-059d-4d39-8040-bd378cd46653,87.34602799923296,3.987478983554248,-1.055574402535273,3.0075437828277063,-1.160748250091966,77.82252141253744,3.7683359725977623,-2.134514093921744,-3.737791326044901,-1.160748250091966,0.4414779869530331,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115.926346,0.0,,-1
