PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/01/2025,6:02:47 PM,1,1,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,84.49453637184571,-0.2949018274805129,-3.45812942510709,2164.996801158286,192.65206949594312,12:30,5.88342591687093,3.031745131289143,6.000000192000004,-21.55075909133887,18.396989082195887,2.882092370523108,3.812946947002272,-0.0540475761619249,75.60422753594418,-4.378258231896177,-2.9119084951218204,0.4549018197718224,,,,,,,,,,,,-2.744543028754674,10.055757406728407,-2.7513892250191327,50.000000000000014,5.846895891508937,7.320147158420863,-122.59182976525072,-1.2899430402061414,-4.085119491481813,29.189108030162576,-17.206541278258776,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,9f1fd6dd-8c23-4cc0-b46d-71fb8676d3a0,84.75190704079202,5.884746958185403,3.034716853266351,-0.3122020217286921,-3.4938219518102227,75.81777779773873,3.812785449041885,0.0517389557154387,-4.379250441301055,-2.9466993104295027,0.454691003281187,3.2182658592436124,17.114055549241552,-44.1540200585624,97.3030206471387,1553.3199255958866,-1508.1141726581577,71.74698478837712,-0.700048326719874,-0.6965895616341363,-0.1571474558466223,,,,,,,,,,,,,,,,,0.9953718101974622,0.0,,,medium,high,2.427281417575287,49.39807330312488,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
2,06/01/2025,6:02:59 PM,1,2,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,83.93038830989546,-0.0979394970555337,-3.1678082558097245,1997.538702477984,193.6249683318105,12:30,6.039161548367893,3.601842277203025,6.000000192000004,-23.004325095668097,17.46319694705903,2.956904787889785,4.030970621123294,-0.901106475631724,75.10008617552622,-4.458151237087538,-2.6070562915528157,0.4578516972089798,,,,,,,,,,,,-2.686835024649952,9.48333721532456,-3.34525669371763,49.99999999999996,6.017867791666645,6.651872890606432,-121.80919531600878,-0.906139754880122,-3.947707276343992,28.851608148359297,-18.24039196076565,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,c33ee62d-d4f5-4456-936b-3836f6ae7ac2,84.18820407234018,6.039933939063439,3.605013815151465,-0.1086321330965578,-3.205427101880356,75.31074458631517,4.031268591449276,0.8987157764046839,-4.452232819916305,-2.6432374531425804,0.4576374388555517,3.311011010626233,16.09054017630238,-45.467833541285664,75.40597912152487,1400.893018736857,-1423.9591349304108,70.13095751281429,-0.6815736283482385,-0.712856843856874,-0.1652044469941216,,,,,,,,,,,,,,,,,0.9956627167842426,0.0,,,medium,high,22.1346187906276,69.84794971274702,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,06/01/2025,6:03:11 PM,1,3,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,86.03073393411945,-0.1538500966469393,-4.279720814525419,2305.920708921297,194.51503147097867,12:30,5.693975163302722,3.2466816268308905,6.000000192000004,-20.45270393402433,18.15939085153557,3.3405242878241634,3.846195611689797,0.4599007388329382,76.91811274143016,-4.027955173551465,-3.647654078646728,0.4472323439055868,,,,,,,,,,,,-3.2766743526975963,9.87922275901605,-2.8993610852638403,49.99999999999996,5.669579701300959,9.228137863200162,-124.69986931426308,-0.9707427494158254,-5.045731355358178,30.22931870370691,-16.961093192973937,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,b8398a63-8ab8-4cf4-9bc3-bb4e45549da9,86.29093749415739,5.69552640681097,3.249849193887766,-0.1739193400339364,-4.317802181616071,77.13579777091572,3.845814393599532,-0.4623833395286313,-4.032289832742254,-3.685164543923925,0.4470273315935308,3.6998330072647168,16.951923748461653,-46.447662382373125,93.63218619132726,1588.818307023048,-1671.2051648736945,68.9016886346579,-0.6670247903867205,-0.7247452865174534,-0.1726910497978573,,,,,,,,,,,,,,,,,0.996658425245128,0.0,,,medium,high,5.731032427805543,-78.72969511411878,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
4,06/01/2025,6:03:23 PM,1,4,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,85.99244994483612,-1.1629095536265517,-2.8901311766298465,2209.5187532375703,193.6898469879347,12:30,5.76766342156402,1.6675262926258996,6.000000192000004,-19.88584949565423,18.628559075999977,3.129116035827209,3.028183336168921,0.7600641458945295,77.05003141371874,-4.927466976305143,-2.2967023210948128,0.4466662505360833,,,,,,,,,,,,-2.676430205235132,10.474059334186462,-1.433723111187254,50.00000000000004,5.661296324587329,6.204053138945169,-124.816087162138,-3.15528954749434,-4.132759680431352,30.083476375169905,-16.00072661942236,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,c7d25092-eb1c-446d-a8bb-7f029355f31e,86.25263276279026,5.76936642441484,1.670540231296335,-1.1842188923377166,-2.925489699703669,77.2616864421615,3.027720556341089,-0.7623029323703452,-4.933091627331335,-2.330545244846134,0.4464599707274055,3.4614446202204667,17.46160039488633,-42.05889458928649,88.77344509280896,1640.4718391391484,-1480.1436639393917,74.24566262383576,-0.7213642303578417,-0.6698941395136666,-0.1757142253930591,,,,,,,,,,,,,,,,,0.9967600287204932,0.0,,,medium,high,10.103899416471938,67.86341104014889,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2
5,06/01/2025,6:03:35 PM,1,5,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,1,Fastball,,Foul,,,,,,,84.60333434541083,-0.7104695302608383,-4.647459332770354,2045.707935137253,193.9070562172652,12:30,5.769484866157434,3.1938764483725204,6.000000192000004,-21.49282308915672,18.457839948046296,3.13213918352318,3.315898163450158,0.873929074610101,75.75325478864737,-4.774799873325107,-4.055579669792729,0.4549184158587169,,,,,,,,,,,,-3.282321047312668,10.229412771577133,-2.816299667994382,50.000000000000014,5.6989837692718535,9.867944700246415,-122.565378928834,-2.181047428385546,-4.885781032813336,29.07216839522225,-16.94742483608132,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,a780bbcf-b50f-407d-84c0-7faaa7b3c713,84.85855435273982,5.770745280560491,3.1968265939894627,-0.727047754093633,-4.682849820727068,75.96499042915877,3.315769903932113,-0.8760957385381581,-4.775437939020804,-4.0902040311809165,0.4547163465591342,3.4680661232457006,17.193566743415108,-43.30677990108455,83.7072646733477,1488.6444680529798,-1403.1602202238998,72.7691593938654,-0.7063606895581384,-0.6859044715636583,-0.1748989197677622,,,,,,,,,,,,,,,,,0.996682181793796,0.0,,,medium,high,14.663461793987166,64.81452000986353,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2
6,06/01/2025,6:03:54 PM,1,6,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,2,Curveball,,Foul,,,,,,,78.10993481714664,2.466273179744812,-3.223399440338797,2302.215758699605,18.3241327464014,6:30,5.344073095421957,3.160382788747476,6.000000192000004,-61.84808725420091,-14.70150796289508,-6.863576900027801,2.4872553778196425,0.4105536802381226,70.14365768462103,-9.224321603063284,-4.527490843957512,0.4941930306505915,,,,,,,,,,,,2.540211992886911,-8.8752117036472,-2.8936013822761453,50.00000000000002,5.509869777947157,6.566932700017292,-113.1909684464787,3.151046235754193,3.1973938255415963,26.394396831876705,-43.34537984547391,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,1b01ff5e-04e9-4ce5-87b4-674a5ea67af4,78.24409051564305,5.3271698945468735,3.1618720325182808,2.665275403294566,-3.2413810438835178,70.20302257599083,2.5004051287820444,-0.4114823165664888,-9.029328450823202,-4.5412334551309534,0.4940767502646641,-6.69140796793054,-18.48692221601961,-33.92066322818291,75.64160298527757,1910.40415019979,-1284.7386436564502,82.98110822066792,0.7877339687470949,-0.5580444138659395,0.2608862331265698,,,,,,,,,,,,,,,,,0.9963203624157142,0.0,,,medium,high,21.922557313250167,65.6336578825266,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Curveball,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2
7,06/01/2025,6:04:14 PM,1,7,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,2,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,84.40166378943567,-1.1305438003920072,-5.532552579388894,2123.1583662328767,197.17637455976495,12:30,5.665797353578629,4.096899146441853,6.000000192000004,-20.584735502959447,19.64429228179108,4.388361981825367,2.8946277616975604,0.6953644166171706,75.61825015374636,-5.016776374558339,-4.705508629051801,0.4565005351466609,,,,,,,,,,,,-4.250699701774027,11.010160523527896,-3.6473828314612176,49.99999999999999,5.561346609408002,11.693183942255756,-122.09823260840764,-3.04727432800551,-6.284842604755,28.6504446914234,-15.895052997607651,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,679fee28-eda5-4a0d-80d3-aba595e5d6dd,84.65692422375437,5.667624074338836,4.100268335949808,-1.15372858829872,-5.572577574890548,75.82981694189057,2.894053364577148,-0.6979876705847884,-5.023813858286516,-4.744892688371034,0.4562927124931323,4.76705909875198,18.471000719727076,-39.10515015250938,72.05465268113117,1647.5490458431443,-1339.1727258445796,77.59897104455725,-0.7413807351683178,-0.6307455662012985,-0.2291607214133519,,,,,,,,,,,,,,,,,0.997464184706779,0.0,,,medium,high,25.15081258698199,-22.68494618285246,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1
8,06/01/2025,6:04:50 PM,2,1,Luka Zachman,,Right,Normal cornbelters,Mason Mccue,,Left,Danville dans 2025,Stretch,1,Top,1,0,0,Changeup,,Foul,,,,,,,80.6597113015847,-1.202879940981108,-3.1751368317086466,1620.0167136446864,225.4878323839924,1:30,5.428401991373581,2.0950019849210446,6.000000192000004,-27.53796896828517,16.21775703346966,13.889710381268404,2.013738781281379,-0.2985013188988471,72.45955845314299,-6.408088429272544,-0.5402847356524914,0.4760899013752058,36.06091406157218,-20.1471699075107,-149.4473673733088,,,,,3.3437506573436,,-120.87384235562322,0.1081883707290665,-8.582566333898187,9.17715728201262,-1.8441538922547336,50.00000000000001,5.314304134339123,6.087865618347308,-117.05209700605867,-3.265331307576391,-11.668329770499543,26.230204434354143,-19.69735050133029,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,f6efb08d-4e69-45a7-af74-d4402b863dbe,80.88808972660134,5.427640870805537,2.1013396581045214,-1.1949639824137044,-3.2513705599504084,72.64252520559778,2.015229661473588,0.2933916052753815,-6.384594522379141,-0.6172486039490985,0.4758872569228907,14.605235254928704,14.653786386417016,-4.948174224115928,32.01972138383735,1613.9791146723826,-139.7339253348374,99.62731255045384,-0.6984479525884391,-0.086254619571465,-0.7104439443950519,-17.209186794185218,-29.154127430894498,-12.420558223449538,-0.2221068712006416,2.8813833337466064,2.167370175741603,-2.8699387378485284,-1.7158438447254307,,,,,,,,,0.9966310184075482,0.0,,-29.842070479041677,medium,high,61.18225075454642,-57.377559645273,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Changeup,Offspeed,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
9,06/01/2025,6:05:07 PM,2,2,Luka Zachman,,Right,Normal cornbelters,Mason Mccue,,Left,Danville dans 2025,Stretch,1,Top,1,0,1,Curveball,,StrikeCalled,,,,,,,78.64634020799241,2.9107786434713536,-2.340630580613339,2198.312507274135,19.20771677541056,6:45,5.367983825900421,2.3209119343180564,6.000000192000004,-61.22139464671827,-14.793428213844884,-6.922997784286034,2.976050554957736,0.4325827689418446,70.53792942597778,-8.679530892556379,-3.6577589519157554,0.4904122990566562,,,,,,,,,,,,2.9023432146305685,-9.076879924744722,-2.126169826963515,49.99999999999997,5.570277795070201,4.855939184987372,-114.01979084479304,4.0740006899042,3.710667881409399,26.5909477341397,-43.77890962818051,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,82e7a1a0-7800-44c6-9fb8-8a22fbd6dbbc,78.78184351096866,5.351736646820131,2.321957069474536,3.105741075342221,-2.353570797629063,70.60063763836108,2.9890204501320548,-0.4332136603050669,-8.484119363316983,-3.6671774154075054,0.4902984261355403,-6.798548985710141,-18.4754761473704,-32.56424724488271,94.32936157511696,1852.7123356041184,-1183.2306964993038,84.2788424973047,0.7958721369830719,-0.5382449913668039,0.2772721963027443,,,,,,,,,,,,,,,,,0.997621512506003,0.0,,,medium,high,5.103574582394719,36.375612743341605,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Curveball,Breaking,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2
10,06/01/2025,6:05:34 PM,2,3,Luka Zachman,,Right,Normal cornbelters,Mason Mccue,,Left,Danville dans 2025,Stretch,1,Top,1,0,2,Changeup,,BallCalled,,,,,,,79.11348467106949,-2.02479798703131,-2.310366774967243,1562.7701689151663,228.49972130546695,1:30,6.123108685300263,2.980664072531703,6.000000192000004,-30.018566457430165,15.444158021455229,14.376405106414689,1.7374115393490224,-2.0302930765421454,71.2728664244615,-7.682793334443962,0.4192013991273706,0.4852876639610765,,,,,,,,,,,,-8.555827282286872,9.03742883070844,-2.800698874773618,49.99999999999993,5.940590147444075,4.221764114005653,-114.8431524312844,-4.922974052592157,-11.194630512169947,25.29220385035668,-20.34928113265981,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,a3d4dac5-4417-43d6-ba61-cd19c0b972e6,79.33379738811219,6.121632767617367,2.9873696660037767,-2.0085959318897117,-2.3902428253255,71.44643373455241,1.7394785197087328,2.0249900803704826,-7.651007108459495,0.3392564283235094,0.4850821970203577,15.12463836832994,13.73884289181922,-5.85244534131157,25.034725001503272,1554.6246837106974,-159.35085079330952,99.4787790702376,-0.6591699578670261,-0.1019669136018424,-0.7450488005332923,,,,,,,,,,,,,,,,,0.9881942811968282,0.0,,,medium,high,67.46874749864703,-35.234837379773964,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Changeup,Offspeed,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
