PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision,Stuff+
1,06/11/2025,6:33:53 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,87.88586312878516,0.690472102915267,3.06550138182964,2111.9546722151217,138.94915260655935,10:45,5.068653402390797,-2.58708866733658,6.000000192000004,-21.585287554575288,15.319796037958575,-10.8998408960576,3.912550448886418,-0.6436295280309474,78.47262376660257,-3.4078883289200688,0.9959868534525363,0.4372346978038067,,,,,,,,,,,,6.949813976524379,8.052886924214045,2.3434547083788235,49.99999999999997,5.112495602849536,-6.484883144992368,-127.55310949020638,0.8539852990719129,11.196880636139577,31.637870593926824,-19.20000251490894,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,fe7ac151-c45b-472c-a08d-d1089667bf45,88.14480102003125,5.0696861753316815,-2.593703458394991,0.6768547060865787,3.143520538104666,78.68075516678562,3.912574948863718,-0.6385849682027395,-3.4062441346911223,1.0723941927792655,0.437040318416199,-11.63261451838089,14.11344087476466,36.97497743441396,59.6800748639707,1687.236910220034,1270.2693203736103,79.88982587634692,-0.60247079560871,0.6014661853709624,0.5246592878182097,,,,,,,,,,,,,,,,,0.9959537353062732,0.0,,,medium,high,36.28793262242636,80.45047625781201,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-2,102.68680445151034
2,06/11/2025,6:34:11 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,1,Changeup,,StrikeSwinging,,,,,,,79.6054332075433,-0.7811453172579121,1.2504515668782232,2255.926385427736,187.211762696628,12:15,4.925186836558518,-1.243195865343962,6.000000192000004,-35.19684068217625,9.724737980338936,2.3588242413498954,1.265907187226026,0.11571915805005,71.5830107536591,-7.431728021156502,1.698877913015212,0.4823908122201393,,,,,,,,,,,,-0.8439996282992568,5.534091744088614,1.1399618335995385,49.99999999999995,4.841203717070097,-2.5925317128036807,-115.66223440840564,-2.5899354140056032,-1.116808771403574,26.23446606992771,-24.851152757236417,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,0bc89b13-f135-4af0-98ed-d5edc6372f63,79.83807799068968,4.921001131267266,-1.2462717015377556,-0.7331641564424485,1.2871898058487257,71.76408097970145,1.2701594297639824,0.1178736992602033,-7.367056917684135,1.7311668253197043,0.4821736806252299,2.01165633095128,7.604750497148404,72.89648683328015,46.33277677639321,663.4655124407536,2156.158011433944,29.409891950661187,-0.2917722881823926,0.95577498687978,-0.0369202695516625,,,,,,,,,,,,,,,,,0.9935389539416172,0.0,,,medium,high,48.30050090124612,42.10306755014799,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Changeup,Offspeed,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,91.27715951245364
3,06/11/2025,6:34:29 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,87.75901714903895,1.6359076310063665,-0.3392099385852786,,,,3.9965762297262,-1.447985433334429,6.000000192000004,,,,2.6050897386860803,-1.7632486876878195,78.41516971184745,-5.00330502426277,-0.339209938585269,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,f1840256-3204-4d0a-8aa4-9d2a5e647319,88.00375028079208,3.990640419922759,-1.4479854333344313,1.7055606472244875,-0.3392099385852727,78.60356986307691,2.610516910088544,-1.763248687687819,-4.920738858047926,-0.339209938585273,0.4376791814032117,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,
4,06/11/2025,6:34:46 PM,1,4,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,1,2,Changeup,,InPlay,,LineDrive,Single,0.0,0.0,,79.97108838523769,0.1148103156272631,-1.5079565903869103,2343.307450491937,195.98165578642823,12:30,5.050296082579121,-0.7754528369623432,6.000000192000004,-35.7054947556685,8.807348597231332,3.169142301452973,2.18157912551408,-1.9131666302446293,71.76712853507003,-6.6466608201913004,-0.9053577573574634,0.4801911932164948,88.75678870305542,11.586866322172469,15.623504815677572,1934.026734456843,38.24202715951907,103.1384862990942,12.406835239996743,186.1797455858504,,22.89777931386582,1.8058813477917648,-2.237229313830551,4.727405544040899,0.8964800293614089,49.999999999999936,5.039020903320001,2.9671394887665463,-116.1915859819384,-0.7990098021660964,-2.9875683287692354,26.47306527972219,-25.861130747813167,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,37f5855c-e359-4e77-8fad-1dadcaacb286,80.20477275443179,5.045772908754441,-0.7782580917707477,0.1673534131251541,-1.4740821779470537,71.94921226378952,2.186093767583875,-1.9112279175072164,-6.577251998312015,-0.8759876263130905,0.4799757505829461,2.848021982960173,6.656111014375866,72.17716561049538,42.39492441730966,717.2271883983543,2230.846244758525,30.60747270904571,-0.2942449072505748,0.9520074902207976,-0.0842714252911291,23.41640522352612,83.73550025388744,17.8271002834915,1.7350607644694642,0.0661870671393367,2.0028759758078465,72.44035070317862,171.50887223818037,25.53623085357224,9.187211925588937,0.1923402013820001,0.2951653674574726,0.0676616332056116,-0.953047380378145,,,0.996796787434635,0.0,0.997413878523076,51.33911072786282,medium,high,51.84456802442133,35.383106455713744,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Changeup,Offspeed,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,68.45786963434023
5,06/11/2025,6:35:25 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.78770656961511,0.7210631812509559,-0.5643265812844434,2036.8928049116948,138.49397005000196,10:30,4.879069137903341,-0.7258947451344945,6.000000192000004,-22.8189451357658,15.005760931149076,-11.425415300186865,3.647709729537082,-2.202511250359878,77.5102093438912,-3.613807229230967,-2.737233697484732,0.442648812382488,,,,,,,,,,,,5.988747631565245,7.872442204908746,0.7784571988384499,50.00000000000002,4.924639362103133,1.6001664702527292,-126.11179365330908,0.8722550839105571,9.40823823632645,31.506330727742565,-19.80655368834194,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,6a912bb1-7671-40bc-8578-807d67314e1e,87.04024100055834,4.879747626454588,-0.7325542184688308,0.7115304916978642,-0.4840688073627604,77.71569278221854,3.648033777601469,-2.197290828607096,-3.607871939129039,-2.657364517406248,0.4424502024716782,-12.178024402329664,13.63994632700432,32.957109837003415,59.45492722164711,1709.1120082817747,1108.0922533111002,83.90780330513611,-0.6283737758026486,0.544011079345503,0.5560560614118539,,,,,,,,,,,,,,,,,0.997251819011372,0.0,,,medium,high,36.4905655005176,86.53330022405129,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,102.68680445151034
6,06/11/2025,6:35:45 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,85.63524354942912,-1.8226269264448,2.929350814154537,2124.3094629889392,132.6544232959206,10:30,4.973308719256033,-2.063638215024324,6.000000192000004,-23.042875622267328,15.781328454210044,-13.898214285524595,1.3563423406966246,-0.4969280215165033,76.88654885302968,-6.178109680734199,0.2921639157543541,0.4484590607546362,,,,,,,,,,,,8.504433353231896,9.150322527907338,1.8328722203045047,50.00000000000001,4.811254596136525,-5.928178313704881,-124.26522218048642,-4.673492801493241,13.03066334676454,29.56843699626448,-18.15374189199428,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,c6410896-bb9a-4d5a-8d49-6384c7b0db42,85.87405328531464,4.973969121247685,-2.071241494452338,-1.831568645782952,3.01889025759923,77.07579796165511,1.3566371262739143,-0.4911543939634826,-6.172478190971419,0.3795745706913107,0.4482716633620698,-14.73899582464557,14.548318846694146,24.38831804593756,84.7849424805429,1934.7527996668507,877.167201122818,91.07678675707731,-0.6171134081770048,0.4129187467294096,0.6698277017618598,,,,,,,,,,,,,,,,,0.9944191062790488,0.0,,,medium,high,13.693551767511345,81.36300721858238,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,125.50609432962374
7,06/11/2025,6:36:05 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,86.40882546507268,0.0052934425907672,4.487484742138338,2110.2804148895475,130.48178937063517,10:15,4.665272769617184,-1.8915188367992395,6.000000192000004,-23.80342860613209,14.4363523860702,-13.264130228110702,2.6865884383559764,1.1823257295665572,77.29234926454544,-4.504544910517551,1.976163937672312,0.4450709213025539,,,,,,,,,,,,8.693605503793647,7.806848899367676,1.5329251404638669,50.00000000000002,4.651920116380481,-9.414017016966737,-125.22740955548896,-0.7314751892238337,13.522973280919944,30.10689435433037,-20.030433335152203,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,01045208-27f4-4367-a839-a342a20c173f,86.65677023504112,4.665666461518731,-1.8992442856151128,-0.0007197431393677,4.578371300354379,77.48879958832374,2.687100221844482,1.1881558024387806,-4.495378141061409,2.0648526592279417,0.4448829180069802,-14.121467852527156,13.181574071094635,33.32932001115975,72.40255528311127,1763.194781178874,1159.494542069942,83.55262972343701,-0.5424289623537899,0.5494504587584063,0.6355116160779185,,,,,,,,,,,,,,,,,0.9926091637913524,0.0,,,medium,high,24.837700245199844,-8.704266409783878,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,91.27715951245364
8,06/11/2025,6:36:30 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,84.87941626992605,-0.8881635474579789,2.823861256045276,2069.433339355442,126.15139518253628,10:15,4.6503927801244505,-1.5460789112027191,6.000000192000004,-25.696853323170192,13.817435428889125,-15.062902438122956,1.6824648806972573,-0.1747149700424181,76.11618364249385,-5.752907792195729,-0.0361551900257694,0.4524270959423074,,,,,,,,,,,,9.108440212821629,7.776959397129826,1.3245950947010892,50.00000000000002,4.563079807629747,-5.615416399635236,-123.21952190812358,-2.701495810806958,13.70925015851912,29.284115752979584,-20.468831199890506,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,e0038143-de5f-47ac-9534-4624b0a3ac5a,85.11485635672491,4.65014239086834,-1.5544530134783578,-0.8864801685325017,2.922544790527496,76.30048891454602,1.6834762178750682,-0.1683707023010149,-5.736521103744653,0.0600598286400113,0.4522392559120081,-15.989644765766863,12.426767666754568,25.876678813923668,64.46358716089979,1861.9426294323457,903.1743966357654,89.97354947476963,-0.530772772268086,0.4364356074968201,0.7265013590680557,,,,,,,,,,,,,,,,,0.996951944251118,0.0,,,medium,high,31.982771555190165,-3.2641918216200274,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,91.27715951245364
9,06/11/2025,6:36:51 PM,2,5,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,3,1,Fastball,,StrikeCalled,,,,,,,85.52757062750639,-0.2352319205718324,0.5302591097154229,2090.712162681349,131.27210144536116,10:30,4.606277204275561,-1.0631786626033868,6.000000192000004,-24.35783842273884,14.540088555549698,-13.812872892157182,2.3578235824054468,-1.7214179294896268,76.56809264146949,-4.854244183055853,-2.096591869452636,0.4488846460800289,,,,,,,,,,,,7.66034747834634,7.951796134777874,1.0279655716512783,49.99999999999994,4.57304323038212,-0.7233824356658319,-124.30065907454777,-1.2633710007723007,11.705833025665417,30.32370585741601,-20.02285173616886,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,63714ae6-9539-4309-af52-b1f054b513dc,85.76828940326597,4.606531292143349,-1.0708433996684938,-0.2396973968359567,0.6223149296346012,76.76106849285588,2.358464487046743,-1.7155065817199255,-4.843503583068435,-2.0054315767142965,0.4486925311403735,-14.676737082055327,13.137692525697064,27.77110329971984,64.46926870798893,1849.895738758964,974.147372272364,88.48160793145541,-0.5836563472670061,0.4659404530478337,0.6650148588629546,,,,,,,,,,,,,,,,,0.9917645612512412,0.0,,,medium,high,31.97765816280993,-4.256813710754874,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,114.09644939056705
10,06/11/2025,6:37:32 PM,2,6,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,3,2,Changeup,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,82.06840879363206,-0.6872122979976418,0.6285234729217272,2254.0648668065683,151.56046604800676,11:00,5.034862517671913,-1.590310022429147,6.000000192000004,-28.7512840533843,13.46433720157837,-4.904354791415271,2.0001622343339,-1.4148371037878036,73.64364545939529,-6.13071679712081,-0.3040055873622366,0.4676361914556302,,,,,,,,,,,,2.869881052311918,7.522324105313037,1.5419476004774229,50.00000000000005,4.962255739845891,-1.1628410470371795,-119.2716122612117,-2.284263892582963,4.041805767102673,27.713135329072927,-21.57996140022762,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,a6d51d86-fedb-4644-a2d3-13df8341efe2,82.31216822212517,5.033760906231845,-1.5954521717123027,-0.6756058700839498,0.690438621285886,73.83983080608208,2.0020011691232327,-1.4109398774098665,-6.101584647425495,-0.2446167844130247,0.4674242928128138,-5.486496377928541,11.81334697194287,56.04843719575573,67.07470212703112,1258.876829525345,1869.769384671791,55.84918375968704,-0.4910931453520442,0.8295100164179279,0.2659711549220422,,,,,,,,,,,,,,,,,0.9974597173104522,0.0,,,medium,high,29.632768085672005,-24.630237349025105,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Changeup,Offspeed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,91.27715951245364
