PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/03/2025,6:31:40 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Frederick ragsdale Iii,,Left,Lafayette aviators 2025,Windup,1,Top,0,0,0,Fastball,,Foul,,,,,,,88.75662084998959,-0.16165784005014824,1.870525509548244,2207.462966320613,139.2192220932494,10:45,5.210918903948481,-2.063583064933331,6.0000001920000035,-21.60226330946934,14.518225717876955,-10.064614599807411,3.2604059289939085,-1.1632285284085682,79.38027914777832,-4.261397226795433,-0.0425302399005946,0.4325619687277157,,,,,,,,,,,,6.088768753779687,7.912014167345422,1.916985792088477,50.000000000000014,5.185252950350507,-3.887950496666626,-128.93999131318853,-1.0573266902646812,10.022279347504423,32.37451176263821,-19.150658586411765,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,d80388a4-946a-4894-b16c-6c40aeef90ac,89.01492727175419,5.211730533955401,-2.0699874372900693,-0.17266441810687191,1.9463636918728755,79.58753244396475,3.2605852562409012,-1.1583784664011085,-4.257530996019285,0.031273788155339474,0.4323710459234361,-10.776302880982872,13.309561057794944,41.31521124060882,60.95774477299919,1658.0008901297233,1457.3694782058683,75.10888814108941,-0.5687351877610957,0.6602010998331735,0.49058617385880277,,,,,,,,,,,,,,,,,0.9935189340537733,0,,,medium,high,35.13802970430075,47.032292196940794,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
2,06/03/2025,6:32:01 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Frederick ragsdale Iii,,Left,Lafayette aviators 2025,Windup,1,Top,0,0,1,Splitter,,StrikeSwinging,,,StrikeoutSwinging,1,0,,82.15939880895911,-0.6430429882316794,2.181690381287695,1436.117349494007,120.79143125186572,10:00,4.777703746100396,-1.8806054923140607,6.0000001920000035,-32.42104758995758,9.754198180673995,-11.282091692525102,1.4778509213281215,-0.7921500712412491,73.77402471952169,-6.7764022026109325,0.037532677282384894,0.4674125117628113,,,,,,,,,,,,6.8545287960489985,5.49935434860193,1.7093346429560574,49.999999999999986,4.706537823627369,-4.210750588908637,-119.3260190482324,-2.30323098133279,9.66297683395377,27.72609004129608,-24.42149134992201,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,657f8a29-321c-434a-a597-7f4e66f62173,82.38971870726365,4.7749093807875385,-1.8877701543644343,-0.6113852427995304,2.2665664088876847,73.95241482137092,1.480908222063531,-0.7866843401672529,-6.729393233353289,0.12036052477939253,0.4672141132125579,-12.078553857205588,7.93723262757752,40.15301626567521,10.929585667733502,1097.6604742850848,926.0531975593705,76.43250564947411,-0.39126900211119164,0.6448311469015053,0.6565830944919322,,,,,,,,,,,,,,,,,0.9887272441665579,0,,,medium,high,99.83662710096017,23.569209912499087,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
3,06/03/2025,6:32:32 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Frederick ragsdale Iii,,Left,Lafayette aviators 2025,Windup,1,Top,1,0,2,Slider,,StrikeCalled,Strikeout,,,1,0,,77.37892565417843,-0.35280612447702797,0.7548379100118756,2071.527409906258,272.16907510289707,3:00,4.974914957670838,-2.2023619860934494,6.0000001920000035,-44.6937104712463,2.9430035183213903,10.453540054354377,0.9225105134191925,-0.6296514352179146,69.70310173147487,-8.78681389005313,2.7440704416911155,0.4967551982083543,,,,,,,,,,,,-5.394714345319551,1.7188804317974276,2.134846956898456,50.0,4.92040840175826,-1.7730311102994902,-112.43230582590958,-1.9396078017170195,-6.727204358404155,25.28721442678261,-30.03060709911549,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,af6f9255-38fd-4cf3-bdb8-7fc1ead57733,77.57869716914279,4.966216681427879,-2.202482897326715,-0.25013329114146343,0.7566209214705678,69.84510799833747,0.9301043972412292,-0.6298502431902144,-8.672292288636807,2.740759714055239,0.4965592717158455,10.43271639972935,0.12394837992761755,66.57015069081721,65.9903060955588,823.6930514745474,1900.7250108696626,39.762594862880505,0.015049529843957202,0.9175476036571851,-0.397341045796219,,,,,,,,,,,,,,,,,0.9959873634662734,0,,,medium,high,30.608724513997085,48.65795633925437,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
4,06/03/2025,6:32:49 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Luke Collier,,Right,Lafayette aviators 2025,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,88.70462969090241,-0.5000633022610316,1.8238590052845536,2100.8452466733766,129.24283229023735,10:15,5.100569082974392,-2.170697032782483,6.0000001920000035,-22.697285449570742,13.465536848948524,-13.378951812520388,2.7441254886301953,-1.58995394551622,79.40038776299772,-4.804359031734811,-0.7193838514604334,0.43281537616213966,,,,,,,,,,,,7.866146176258732,7.458524201885125,2.029821486785283,49.99999999999999,5.046690465808865,-3.6742627634038167,-128.86360944275512,-1.8533447749254177,12.932791041041833,32.33173102166494,-19.911432948050436,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,023909ba-0a6c-4c6f-8289-88d2b865835c,88.95271932270676,5.100878509846986,-2.1783316223918767,-0.5049358437467151,1.9141233169797705,79.59837449050383,2.7446636822013852,-1.5841643452865333,-4.795134754098248,-0.6306563737195512,0.4326321915593249,-14.22562661330128,12.206858569376807,32.0361525864412,54.47186721553212,1780.9149933230901,1114.402322784343,84.77135553621163,-0.5362707557477737,0.5304542657527795,0.6565302342424081,,,,,,,,,,,,,,,,,0.9945961863333652,0,,,medium,high,40.97531950602107,-69.84914991282388,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
5,06/03/2025,6:33:07 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Luke Collier,,Right,Lafayette aviators 2025,Windup,1,Top,2,1,0,Slider,,StrikeSwinging,,,,,,,79.18271192875739,-0.18977774152496568,3.752551214871919,2208.6869357537603,152.37489957407158,11:00,4.8749709250033595,-2.289431703774432,6.0000001920000035,-35.58392325758531,9.97329589007201,-1.9130362037831257,1.7328859917842672,1.043741233108683,71.10361249598228,-6.912596016299706,3.390090835993714,0.48579173948369864,,,,,,,,,,,,2.3328020605598856,5.463557556552538,1.9844371136750745,49.99999999999998,4.838915012457049,-7.47754504661118,-114.8408385303917,-1.3978557912988026,3.0439710793603156,25.811360377752344,-25.044892991987506,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,ed3d4fbd-9647-4c79-8985-a770dec9b0da,79.41617823791277,4.8713778348187065,-2.2943942184669583,-0.14851264858356822,3.8120919647686957,71.28756811878537,1.7367497842302508,1.0474305627922438,-6.8527204666036985,3.4459516889547843,0.48557706071492557,-2.4761578760303338,7.911094237762725,72.40025512299002,61.306837564877746,667.8310292917138,2105.302756490027,30.236563565483426,-0.2678961137824557,0.9531920175783304,0.14020217489471962,,,,,,,,,,,,,,,,,0.9964039173655587,0,,,medium,high,34.823846191609995,63.21098828910214,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
6,06/03/2025,6:33:26 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,2,1,1,Fastball,,StrikeCalled,,,,,,,89.92347987291231,-0.42058208099923833,5.313846732362039,2190.987625993119,137.08655438564858,10:30,5.15045545503683,-3.389978287598933,6.0000001920000035,-19.788538396749882,15.598342639553056,-11.405025035435045,3.108829983248332,0.6124672385244505,80.40076758573235,-4.167156442659826,3.1597519648123065,0.42814676356241804,,,,,,,,,,,,7.963024008540791,8.578664930244058,2.962502924657295,49.99999999999998,5.104585183755938,-11.736105682246139,-130.15961427776332,-1.601844205878545,13.38633465161844,32.43478328909042,-17.752784561911042,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,26676b6c-cf5f-4d02-9af2-89860fa95503,90.18192696393149,5.1518318327213946,-3.3965580918244864,-0.4381631720410529,5.39160333180944,80.61090395819035,3.1085071725086393,0.6175994881251319,-4.170576172386172,3.2367505044099008,0.42796450194996477,-12.139291373751952,14.56555578476951,36.238292440470396,74.80070557137527,1767.174832014971,1295.1910632597117,80.65654096124598,-0.5907149022165425,0.5911448553583841,0.5491845448322592,,,,,,,,,,,,,,,,,0.9968621044156103,0,,,medium,high,22.67936498576224,79.83154507832677,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
7,06/03/2025,6:33:45 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,2,1,2,Fastball,,HitByPitch,,,,,,,89.32229892140599,1.2107018588371465,-0.5922343707086852,2146.5306350134124,136.55765070800453,10:30,5.0987546666215025,-1.0968582313088227,6.0000001920000035,-21.967306333626503,13.76808998902272,-11.326077020675369,4.393591985710147,-2.5911365119322305,79.67239484676492,-2.965808879546399,-2.746761518158792,0.43024994544769013,,,,,,,,,,,,5.925064312022786,7.029971224716447,1.1516340587630536,50.00000000000002,5.184719016528155,1.706462805973514,-129.77106862904762,2.0346971327596424,9.85119088555237,33.48643882223146,-20.48580709484309,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,1f7debbd-7b92-4645-9d44-6137b944ea2d,89.5806647884795,5.099386382649907,-1.1036112257997572,1.2018051750905647,-0.5106551291736713,79.88441965675094,4.393927051942383,-2.585695240073283,-2.9597902464856745,-2.6650139161769535,0.43005577323360544,-12.08966099553555,12.462149855294655,38.09641545637253,74.32497733678072,1689.2629838494026,1324.380737721331,78.69736198006079,-0.5713952780516933,0.6169866463205896,0.5411422312870247,,,,,,,,,,,,,,,,,0.9963948540512855,0,,,medium,high,23.1075203968973,88.99004364037378,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
8,06/03/2025,6:34:18 PM,3,1,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,87.67624772272245,-0.652058697359386,2.34294344584528,2205.8947404886,134.8394545705411,10:30,5.049644316395291,-2.422326311652149,6.0000001920000035,-21.77505984714434,15.24385543140108,-12.498960850669944,2.6285034543819865,-1.285175086337986,78.49600060954792,-4.78037844222213,-0.03147565769916097,0.43790849173636376,,,,,,,,,,,,7.562268079296915,8.470330262731785,2.2386081462049785,49.99999999999999,4.9838857765983615,-4.813328035479518,-127.33039936922341,-2.140922091024572,12.147761342894098,31.39706004806836,-18.56760910436004,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,224a3950-cd5d-4cd9-873f-50ff3c3f0c5d,87.92473607675396,5.05058933230012,-2.4294681792921957,-0.6646631343715576,2.428014985581932,78.69681610446597,2.6285650545621544,-1.2796036147849554,-4.7782787365241965,0.052615907608761836,0.43772057769763206,-13.296826869489589,14.049535953643437,32.27168154290853,66.18343818931095,1865.1409837563813,1177.8033438683835,84.55258310934897,-0.5961994247250877,0.5339345174772497,0.5995499787372285,,,,,,,,,,,,,,,,,0.9955842852255834,0,,,medium,high,30.434905629620157,-61.58279141926037,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
9,06/03/2025,6:34:36 PM,3,2,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,0,1,Slider,,BallCalled,,,,,,,82.05681358723002,-1.65057225565615,2.913088162330314,2143.6356514433337,161.25673797901123,11:30,4.959195169700988,-1.5127496599008698,6.0000001920000035,-32.87177087766373,9.511218857778196,-0.3632252663161405,0.6834394457721557,1.1667225792012523,73.8367138595332,-7.8463636523556906,2.8441753503868923,0.4685622720718177,,,,,,,,,,,,1.202924156038394,5.718366010182071,1.2754706293279297,50.000000000000064,4.805539873395027,-6.047943506748726,-119.06228425913835,-4.409039324624236,1.6872120503919792,27.737589372370305,-24.15351396660958,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,dac2ec60-8f74-459a-8d82-11083c9de1f3,82.29197746307976,4.955706266335462,-1.5166201849560734,-1.6103792914422954,2.9595608389023043,74.02268449944422,0.6870695553780931,1.1695345215802273,-7.790057696105102,2.8870871745537223,0.4683585338643713,-0.8026962510569574,7.580180168303294,73.1550008713965,75.28135717908529,621.1903686998446,2051.656972296645,28.97835591984068,-0.2744157355220112,0.9570922049720725,0.09311560169815886,,,,,,,,,,,,,,,,,0.9879886820476592,0,,,medium,high,22.246778538823225,4.733890447467598,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
10,06/03/2025,6:35:15 PM,3,3,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,1,1,Fastball,,Foul,,,,,,,87.04262160371228,1.8352964370500795,1.0930085535363023,,,,4.217970166199434,-1.4058278645167066,6.0000001920000035,,,,2.962512507755953,-0.3898693851582213,77.75590900004424,-4.916914657689673,1.0930085535362948,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,f1942eda-dfe4-448d-8952-128abcec2437,87.28530598496305,4.211960706501985,-1.4058278645167053,1.9058609539028049,1.093008553536298,77.94203761201071,2.9677448421471078,-0.3898693851582198,-4.833343253098344,1.0930085535362983,0.4414071767988238,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
