PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
1,06/29/2025,3:02:17 PM,1,1,Will O'gorman,,Left,Normal cornbelters,Tyler Dorsch,,Right,Illinois valley shripm 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,83.71157050075645,0.4915330106758422,2.307029584575332,1879.638966693112,133.99801264222089,10:30,5.148149628943096,-0.2086364247847473,6.000000192000004,-24.35955401830242,16.266558294358575,-14.296720671468533,3.575396153689428,-0.7452683362110962,74.84336413753266,-4.132288910627295,-0.409972712440924,0.4587479693312072,,,,,,,,,,,,8.52791398159323,8.633635545517027,0.0288844410922224,49.99999999999994,5.1741337387045165,-4.465172186491141,-121.57411402108696,0.3066009667692599,12.48077221121946,28.754011318749555,-19.53855175723857,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,b2ed6780-2583-41ca-bae5-286cf8293d8c,83.952557189879,5.148452840329072,-0.2158253716079007,0.4864982562162636,2.3927276037781358,75.03640220522368,3.5759987075914803,0.7508384300379245,-4.121938944011508,-0.3245339151036692,0.4585493446856546,-15.100988161063738,14.84541508313509,13.61417908373336,94.34388198298902,1826.826335806252,442.4343837405196,97.19027792982104,-0.6751161505840271,0.2353826408051667,0.6991517686655675,,,,,,,,,,,,,,,,,0.9936621922583612,0.0,,,medium,high,5.0905062153099045,27.99547067897929,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,77.81623077392578,-1
2,06/29/2025,3:02:31 PM,1,2,Will O'gorman,,Left,Normal cornbelters,Tyler Dorsch,,Right,Illinois valley shripm 2025,Windup,1,Top,0,1,0,Fastball,,InPlay,,Popup,Out,1.0,0.0,,84.39430361439625,-1.2314722188257758,3.400428993685822,1951.184433976256,127.42819021247398,10:15,5.271872308504128,-1.8342749749584004,6.000000192000004,-25.007563743536007,14.981711334011518,-16.675162492830907,2.041190864491776,0.0598189738983388,75.72691986698922,-5.961988326715312,0.2372249176873639,0.4551382005224638,,,,,,,,,,,,10.165707441154046,8.518611781820965,1.5666285095515569,50.0,5.156884511319739,-6.76622864501209,-122.44237456431786,-3.4002365705480653,15.122238884189148,28.710842084508982,-19.501986862174387,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,4c348e40-d912-42da-b951-9a728eb573ae,84.62342496421515,5.27124129100284,-1.8418832896017336,-1.2250365018813554,3.491198938192892,75.90729701014463,2.0424287032865007,-0.0538528549983566,-5.942352320708638,0.3275487660906584,0.4549543843561607,-17.528271975175876,13.568783693474074,0.496212404019035,76.39869963457451,1951.1112601797968,16.898100214138527,99.99624977551149,-0.6077438351248544,0.0086604320534181,0.7940859070556423,,,,,,,,,,,,,,,,,0.9966096026003768,0.0,,,medium,high,21.241170328882,54.68085680522319,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,79.45169067382812,-1
3,06/29/2025,3:03:06 PM,2,1,Will O'gorman,,Left,Normal cornbelters,Kyle  Gibson,,Right,Illinois valley shripm 2025,Windup,1,Top,1,0,0,Cutter,,BallCalled,,,,,,,76.42031464470953,1.277179269855608,0.0049905014761807,1979.5373203411373,236.12795334135188,1:45,5.603824495137641,0.4813565648659781,6.000000192000004,-40.77961335749183,7.997324509681512,8.32055668052506,3.3927221889673045,-1.1793744639791734,68.51720412382252,-6.4539480880594,1.5881702567166918,0.502665164211837,,,,,,,,,,,,-4.502954965743141,3.884170422127104,-0.4865668295161434,49.99999999999995,5.684330206720156,-0.2393008713256206,-111.03662166378632,1.3500957299262175,-5.486251796934287,24.34743753364932,-27.441704465937924,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,51865207-3503-48c4-a9e0-812d019714cb,76.64366838017581,5.5974786210109055,0.480778036518462,1.3505577937129511,0.0120880876402865,68.68413203110687,3.398627357493063,1.1795428197144435,-6.36422153558507,1.59047872754614,0.5024417353335748,8.250361871069062,5.453522873852822,65.85293156917496,59.38189863040751,809.7895339377683,1806.3246976521752,40.90802055695599,-0.2279968018674899,0.912498430360933,-0.3396528712185868,,,,,,,,,,,,,,,,,0.9969330846968804,0.0,,,medium,high,36.55629123263322,81.3589113182106,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Cutter,Fastball,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,81.53203582763672,-1
4,06/29/2025,3:03:22 PM,2,2,Will O'gorman,,Left,Normal cornbelters,Kyle  Gibson,,Right,Illinois valley shripm 2025,Windup,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,85.52050858030883,-1.9284027062735196,3.917483317206183,2043.257963726496,133.60521806231094,10:30,5.309998967335741,-1.0540893524755202,6.000000192000004,-22.06883076419511,16.906430356106515,-15.435320872891706,1.6738083007209652,-1.306202231088032,76.77868235175895,-6.098903079176404,0.993421221831524,0.4493306450670106,,,,,,,,,,,,9.654944215725925,9.786557967202784,0.7434439727856956,50.00000000000001,5.13969861682456,-8.012035146498386,-123.97247710335655,-4.866696630841919,14.740105336261372,29.18030381246614,-17.233010871241262,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,1acd3016-b1e4-47d1-ba31-1a34023a0496,85.75273169974153,5.310445584616232,-1.0610749148828131,-1.93475134185659,4.001110569065777,76.96634201678604,1.6741737423557768,1.311592734524906,-6.092111061301018,1.0776412188751183,0.4491519192824351,-16.223947780766057,15.69076169155919,1.985576999000742,87.50900279660169,2042.0311519122972,70.79463928492686,99.93995805542042,-0.6892713923404199,0.0346479204005212,0.7236742839931637,,,,,,,,,,,,,,,,,0.997748351645089,0.0,,,medium,high,11.241897483058535,-18.67009264046821,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.20645904541016,-1
5,06/29/2025,3:03:53 PM,2,3,Will O'gorman,,Left,Normal cornbelters,Kyle  Gibson,,Right,Illinois valley shripm 2025,Windup,1,Top,1,2,0,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,a5291ba4-e018-4a5b-9946-303a462f32ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Graham,,Normal cornbelters,2019-02,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
6,06/29/2025,3:04:15 PM,2,4,Will O'gorman,,Left,Normal cornbelters,Kyle  Gibson,,Right,Illinois valley shripm 2025,Windup,1,Top,1,2,1,Fastball,,InPlay,,GroundBall,Single,0.0,0.0,,84.93306519951011,-1.313673901210802,3.49108538857575,1846.586486293625,130.490526999535,10:15,5.229122670122268,-1.4966750697729263,6.000000192000004,-24.019613821291507,15.468595007090151,-15.461283343997064,2.004083593022324,-0.4634985011015788,76.2002377827647,-5.857399054502334,0.5589758546903199,0.4522777675339932,66.50367684815457,-5.809791033080492,2.497889147275954,1777.4049930935576,,,,15.980877602207002,,0.5167236165546051,0.1466226005151545,9.537948200898644,8.808843657811913,1.2209154076564412,49.99999999999997,5.107984382825585,-7.041519040145681,-123.20963294728736,-3.568717034497321,14.368970651970256,29.03768677560963,-18.90347887929725,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,218475fc-f2f1-4738-97e0-df6392b0e58a,85.16628682068722,5.228847423604693,-1.5038009346452197,-1.311428161574307,3.575761219859844,76.38466742543562,2.004994764467628,0.4687565989549492,-5.841888456546669,0.6430582337217915,0.452097064887921,-16.26064282200403,14.114540423197289,3.107548213125338,93.6301841028744,1843.8711496112635,100.1041207617068,99.85295372285478,-0.6483675134024166,0.0542103613909959,0.7593950251892783,2.883514029680156,66.09921038044456,-6.731921586451977,-0.481230140925417,2.0009772991893677,1.98090958877958,0.1441220453334072,15.980227713420428,-0.0030018623617369,-0.8643244510417161,-0.0069473674322923,-0.9606739404099632,0.086745219691304,-0.2637818171859117,,,0.997136292159237,0.0,0.9740027644684394,33.282683876397286,medium,high,5.732834307413028,70.67068509999079,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,95.10147094726562,-1
7,06/29/2025,3:04:50 PM,3,1,Will O'gorman,,Left,Normal cornbelters,James Love,,Right,Illinois valley shripm 2025,Windup,1,Top,1,0,0,Cutter,,InPlay,,FlyBall,Single,0.0,0.0,,74.56501932973636,0.8610101497943684,-0.3668561147734754,1996.1188981273524,242.2746218889284,2:00,5.662646542071771,-0.3762018563251016,6.000000192000004,-43.79778052244495,7.420078767734381,9.454869092852412,2.813125345611559,-0.0707455298253966,67.002113196976,-7.429896528535892,1.4322176508447486,0.5150889506386449,65.28492529104527,33.92202622024142,19.23840125309158,,35.830371180818794,104.00088702039822,40.45380549302328,196.48092483309253,,19.110445146888427,3.104464006883941,-5.246516402137666,3.717012438273519,0.4006252454907384,50.0,5.70749818547196,0.4391331217501221,-108.35415465775723,0.4488222842661163,-6.0877009344717,23.16727514717669,-27.861081063743796,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,881db402-aca5-40fd-892e-d3b38a8b68c7,74.77698654909443,5.655491840947228,-0.3766153119664404,0.9444918086339456,-0.3616605801901703,67.15752643741413,2.8194853059504505,0.070771107444682,-7.330222082304242,1.4323833059343392,0.5148701666682156,9.402190788883315,4.697848513004135,64.95995662300672,56.195581760520206,844.8604328151786,1808.5080880450887,42.32515576140177,-0.1969110866529187,0.9060122068588854,-0.3746570498147056,17.850072431258187,51.14802096754516,36.43317630347045,0.0922801857043093,2.134866611152407,3.2110030866706896,64.3259213807547,185.65271250855537,,,,,,,,,0.9962426353764886,0.0,,33.32796945170048,medium,high,39.42397641553181,-45.21173338492965,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Cutter,Fastball,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,110.74076080322266,-1
8,06/29/2025,3:05:37 PM,4,1,Will O'gorman,,Left,Normal cornbelters,D'andre Gaines,,Right,Illinois valley shripm 2025,Windup,1,Top,1,0,0,Cutter,,StrikeCalled,,,,,,,74.32370684686657,1.0888326729600235,-0.7985772757484212,1858.9776339661169,217.53426132620012,1:15,5.867483626721902,-0.4119694829458461,6.000000192000004,-42.838933647258855,8.701127420105422,5.570134670454361,3.309746655233212,0.6900323019883301,66.7312368162863,-7.02591121490516,0.2611362383063539,0.5167065737260474,,,,,,,,,,,,-3.292134876966201,4.332252722354216,0.4738038328986958,50.00000000000004,5.931447196793469,1.355680854878894,-107.99197251320446,0.902244291976357,-3.796605997633359,22.91686566968465,-27.177943021827076,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,8d523606-e88c-43a7-b381-44f85364f7a0,74.54414895534947,5.86128181541571,-0.4141628774167353,1.1606216078228098,-0.7722830229918135,66.89635875510885,3.315572904074907,-0.6886478895741296,-6.935525507280767,0.2823073414966456,0.5164750470038684,5.319760700109845,6.091406243242944,69.77517516243141,37.638529601952335,642.6574577837742,1744.3592621765615,34.57047820487591,-0.2741401501199292,0.9383433293142868,-0.2106157031742948,,,,,,,,,,,,,,,,,0.9967483918479538,0.0,,,medium,high,56.125323358242895,8.604662498401535,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Cutter,Fastball,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,92.69339752197266,-2
9,06/29/2025,3:05:55 PM,4,2,Will O'gorman,,Left,Normal cornbelters,D'andre Gaines,,Right,Illinois valley shripm 2025,Stretch,1,Top,1,0,1,Cutter,,BallCalled,,,,,,,74.28837110817084,2.4739879217729337,-1.7232256537282924,1879.2737858773369,254.6385769585668,2:30,5.537110693802578,-0.1358939698490001,6.000000192000004,-46.93863370187872,4.781339774050437,8.753102143000756,3.9273374301649353,1.0085068526945735,66.52059519253356,-6.428327709788753,-0.0580925251748455,0.5176076295002561,,,,,,,,,,,,-5.338171594469663,1.7268226093351648,0.2712460983085997,49.99999999999994,5.711738527067572,3.0091031789181013,-107.81860070892974,3.402358700801736,-6.1342200381959815,22.904255292767864,-30.18971662383601,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,67adb6a6-3764-42d7-949d-7e5c195426b5,74.49933051762292,5.528718480644288,-0.136956522196575,2.571957428044493,-1.7102634459905182,66.67231391485329,3.934889701807788,-1.0079917747085152,-6.313485849707391,-0.0505364008134971,0.5173882660122622,8.627339923172624,1.920190342571592,67.26193359946228,29.791213014609724,726.3747744642819,1733.219446379396,38.65188669809358,-0.102391529061312,0.9222815001222638,-0.3727100874791462,,,,,,,,,,,,,,,,,0.9976052693407166,0.0,,,medium,high,63.18790828685124,20.516783283664637,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Cutter,Fastball,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.03145599365234,-1
10,06/29/2025,3:06:13 PM,4,3,Will O'gorman,,Left,Normal cornbelters,D'andre Gaines,,Right,Illinois valley shripm 2025,Stretch,1,Top,1,1,1,Fastball,,Foul,,,,,,,83.43544636815862,-0.4305485269521635,2.912123995941944,1794.4624336515917,132.24771230328736,10:30,5.233446466559591,-1.6395049737880971,6.000000192000004,-25.061487596792663,15.828617152432315,-14.729555820579504,2.7443150328182617,0.1581254181297759,74.75573333459826,-5.179058191400261,0.1157689844668979,0.4602360503252307,,,,,,,,,,,,8.957431980893556,8.709144628548392,1.4106212427908973,50.00000000000001,5.183823013934992,-5.7170895763413485,-121.12565770090252,-1.667798669294455,13.02856028376474,28.28246413457899,-19.506622576216603,Normal Cornbelters,Illinois Valley Shripm 2025,,,,b4c2caa8-e78a-44bd-ba56-5a4c2774bffa,d7a51a9b-5bd1-45c7-b9db-7f75efbdfa7a,83.67062778781093,5.233260322312967,-1.6465575459883512,-0.4295616262902112,2.996122722098217,74.94221256763515,2.745219798399672,-0.1529349065254223,-5.163521670546531,0.1991902937163834,0.4600465867609061,-15.5219483608875,14.392305864068632,8.271071515902179,80.5426546919761,1775.7974184407449,258.14521968453965,98.95985478097388,-0.6653439678096968,0.1438565750073877,0.73254535035477,,,,,,,,,,,,,,,,,0.996763580640187,0.0,,,medium,high,17.51161077722143,-11.610962368892872,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.5473403930664,-2
