PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/20/2025,6:46:58 PM,1,1,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,0,0,Cutter,,BallCalled,,,,,,,84.50210723471113,1.3368604319704946,-5.416536564737784,2337.043431510018,145.5815431302528,10:45,5.837934122973537,4.94673939676502,6.000000192000004,-31.31018783396797,9.002156754818724,-3.7072878735733767,4.477020637772414,0.4113466850124141,75.4700606267762,-4.5846987646200015,-6.115557257877441,0.4569730110590983,,,,,,,,,,,,0.0870013892520813,4.400751407335659,-4.502081322558079,49.99999999999997,5.929283590043977,11.700749468430448,-122.21472119689938,1.915046463245461,0.1282060592805509,29.85319293533104,-25.689061235146205,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,4139ab07-3b21-4e00-87c5-ba2f55ae3d9f,84.75474133423624,5.8342652534690105,4.948644176284587,1.3790386649543838,-5.439346599636114,75.6709183030324,4.480711806458479,-0.4126018744849615,-4.526648425160046,-6.13463969661031,0.4567686354502588,-3.488516616248888,7.023801434659371,-75.97812435366943,35.74269811484216,566.2476921117366,-2267.407231165644,24.229232733850857,-0.1998745635494161,-0.9702032921573132,0.1369515634559949,,,,,,,,,,,,,,,,,0.9961195420383993,0.0,,,medium,high,122.16842830335796,2.270738505953085,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
2,06/20/2025,6:47:15 PM,1,2,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,1,0,Cutter,,BallCalled,,,,,,,84.95417286382246,0.5712108342832533,-3.878020099294044,2341.267363498997,145.24145145411126,10:45,5.944787113330708,4.19217089949619,6.000000192000004,-30.78458142167661,8.884244333094458,-4.357809944535003,3.911520909203532,-0.2192987921463267,76.00508783839585,-5.256630226599065,-4.703143973728702,0.4533109344640434,,,,,,,,,,,,0.9943548817332232,4.609693913009375,-3.873291323448417,49.99999999999995,5.973664012364722,8.482733127916694,-123.17008952729276,0.2890863428495217,1.489308181542737,30.170116594013564,-25.269819531750105,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,d0f61d63-40cc-4ef0-8c2e-63a68be1f24c,85.20402569186007,5.94108133698612,4.1936940846931146,0.6140982571531238,-3.8963974578561302,76.20332987096711,3.9152905635207977,0.2183146659850263,-5.198733864273303,-4.717787209905939,0.4531080478474393,-4.181993779002299,6.94510404520518,-74.22212419893785,36.79237027267392,636.6108823271182,-2253.055581180418,27.19086646198795,-0.2233897950869907,-0.9623230632717028,0.155020390098717,,,,,,,,,,,,,,,,,0.997242287217164,0.0,,,medium,high,56.88686675459349,77.52391835810502,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,06/20/2025,6:47:30 PM,1,2,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,1,0,Cutter,,StrikeCalled,,,,,,,84.99284541412813,0.5274139209865788,-3.9990985113986905,2401.1290106916013,128.14959187595073,10:15,5.636004059001603,4.139022822828053,6.000000192000004,-32.32037809317324,7.340806152051535,-5.266294567013377,3.4340245390130115,0.0226193085715599,76.0682483803938,-5.5878628283307945,-4.995923976709348,0.4532672711263699,,,,,,,,,,,,1.4380708421763069,3.789010299073854,-3.8097112554254142,50.000000000000014,5.660432883462369,8.774470252009726,-123.20505396735142,0.148324026811156,2.154046064062322,30.296965451377044,-26.498597110334675,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,88398aef-a6c0-4cff-af51-38497e726c9f,85.23902649286313,5.631411213194206,4.140400285570765,0.5804900251318562,-4.015638419116823,76.26063594871762,3.438346871977402,-0.023440405690729,-5.520638855513243,-5.008297736441513,0.4530686702619851,-5.107306938354703,5.292314868823875,-76.09385334094708,43.310885349514,577.0685395129804,-2330.7536177573947,24.03321674693216,-0.1484572099420082,-0.9706907073210796,0.1889973744175737,,,,,,,,,,,,,,,,,0.9958611380757356,0.0,,,medium,high,51.0202031854374,66.51466823749134,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2
4,06/20/2025,6:47:47 PM,1,3,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,2,1,Cutter,,Foul,,,,,,,83.50450998354091,-0.1340185907747534,-1.84113068649149,2451.3575669895954,96.05465089782692,9:15,5.508159851262807,2.455615377835287,6.000000192000004,-36.99144285162437,3.93497556754356,-7.57106611910382,2.300918864575932,-0.1129687516166765,74.94604128674297,-7.1306421490345455,-3.280155501641885,0.4604403681080885,,,,,,,,,,,,3.4502194951639256,2.17844538029146,-2.301229393689685,49.99999999999998,5.475906537322651,4.12666881181888,-121.2852613528776,-1.397685821186691,5.008230456526934,29.358230791085365,-29.011886565140443,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,8567112c-7850-4490-a245-5799f48c9dd1,83.73276777168034,5.501320938974215,2.456554321946296,-0.0546382588665537,-1.852515425236594,75.11667843745694,2.306892090906762,0.1125293968971477,-7.039677434664981,-3.286560618833401,0.4602476444648451,-7.460502849235055,1.5972465810731695,-74.38054605785862,45.96060984705516,660.0202336256673,-2360.8318899154738,26.924682164430592,-0.0283993546679266,-0.9630712066272354,0.2677448927991083,,,,,,,,,,,,,,,,,0.9935304137687824,0.0,,,medium,high,48.63545113765036,70.9695992332806,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2
5,06/20/2025,6:48:08 PM,1,4,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,2,2,Cutter,,InPlay,,GroundBall,Out,1.0,0.0,,84.47711230991304,0.0888862762960776,-3.6050003815269673,2431.3997281356324,108.59676031373056,9:30,5.833244026118351,3.066367152129869,6.000000192000004,-34.77276099870139,5.33984071822703,-5.614345288940894,3.0182879947172263,0.7563878312721969,75.72175239974302,-6.484770680361167,-4.668797370858578,0.455839481735703,,,,,,,,,,,,1.7647479390221257,2.860597705068951,-2.7690982886055813,49.99999999999995,5.820449523208027,7.889610091120336,-122.51718485223576,-0.8670881104147038,2.6135183505791324,29.99431561638006,-27.93762327802258,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,4193a47e-ec86-4999-aa8b-7bcff5895d9f,84.71521613748168,5.827509445659345,3.0679884916279425,0.1552713785372664,-3.6244053270655927,75.90466888025098,3.023553908321762,-0.7573835008814876,-6.405006146503614,-4.683517183206366,0.4556427470088283,-5.428467734216178,3.1496156158665807,-78.39461786414834,55.78226095186759,489.12450248291367,-2381.693065667545,20.11699256287934,-0.0641542397611362,-0.979556359288482,0.1906661283452436,,,,,,,,,,,,,,,,,0.9907901193220896,0.0,,,medium,high,39.79596514331919,70.96768923619062,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,-1
6,06/20/2025,6:48:43 PM,2,1,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Smith,,Left,Normal cornbelters,Windup,1,Bottom,1,0,0,Cutter,,InPlay,,GroundBall,Out,1.0,0.0,,87.23535139926821,-0.8760808122025653,-2.21763886324383,2418.269143201432,159.9390016145276,11:15,5.700462735512944,2.180240641503466,6.000000192000004,-29.470813597579035,8.002259097383035,-3.1705340602734293,2.4296637354320807,0.1460599047815562,78.24188998811942,-6.450050685857003,-2.819840852586956,0.4405864892587246,93.74736943414464,-7.06053571801772,39.99164656881764,,-72.06633985816188,-83.10500978516275,7.273849715861833,20.90858605347697,,35.044237622792195,0.1416430205656373,0.9436619994726017,4.637582575285195,-1.9976828982926256,50.00000000000004,5.612025993801164,5.005204254975962,-126.67371896843072,-2.86649986299959,1.496605475484247,31.648930740988224,-24.81905226803957,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,300fd004-8114-4c5c-9484-1734c636088d,87.48428958139502,5.696854189544186,2.182238629946128,-0.8340233413865583,-2.241821847692808,78.4394605824379,2.4332810390699104,-0.1474203765240344,-6.394384123938037,-2.8403615048887647,0.4403944803398281,-2.9407205635779192,6.19412946116517,-76.53756473359724,30.956309821624014,562.9918921276294,-2351.821799873183,23.28077888726278,-0.218682866773091,-0.9725227675690878,0.079857813266233,59.79229733200628,71.27878736690674,-11.523234228559613,-0.0164308120742441,2.616559709694417,2.6087776855136777,12.005892564544926,17.118046456423016,,,,,,,,,0.9945942521252116,0.0,,51.11724721474889,medium,high,62.139321160538366,-61.60725750365056,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,-1
7,06/20/2025,6:49:18 PM,3,1,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Stanek,,Left,Normal cornbelters,Windup,1,Bottom,2,0,0,Cutter,,BallCalled,,,,,,,85.43401485651631,-1.2968381069741777,-3.983554468400075,2578.487410138363,146.67452774755273,11:00,5.865049097327108,2.7903436173498344,6.000000192000004,-30.493892241275937,8.744805302030109,-4.767207892534867,2.115492832569412,1.315191087345816,76.71146661421409,-7.04411475815837,-4.885692131651616,0.4508466158367542,,,,,,,,,,,,1.1825460445107718,5.1908940962282095,-2.46259024975595,50.00000000000003,5.741545433668673,8.769786869339436,-123.8273616289146,-3.7480439156916994,1.790737178194362,30.41668582660845,-24.313444843094526,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,469bbf0c-bffc-40e0-b22f-894f80126387,85.6777875325952,5.861219693334675,2.7918108984593104,-1.252658769922604,-4.001197553107058,76.9039793582715,2.119213115035753,-1.316094876230428,-6.986109622373984,-4.899422967752991,0.4506508653829214,-4.597933809508562,6.829084233930229,-75.83070284196621,48.85459538716663,631.1823808669627,-2500.041224925132,24.478784669850032,-0.204535715808223,-0.969576665410586,0.1344850580923632,,,,,,,,,,,,,,,,,0.9976039934006752,0.0,,,medium,high,46.030864151550055,-38.72763527604667,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
8,06/20/2025,6:49:33 PM,3,2,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Stanek,,Left,Normal cornbelters,Windup,1,Bottom,2,1,0,Cutter,,BallCalled,,,,,,,85.30973494852923,2.04798067706212,-1.5634065883993538,2504.6449635736467,135.15337590073057,10:30,5.711463468911117,2.754669075660272,6.000000192000004,-31.91968057123778,7.304197557442375,-4.661116054227386,4.956390370810102,-0.9128617985883636,76.12494955850966,-4.0171188405933895,-2.4497049507255357,0.4507614713963666,,,,,,,,,,,,1.9754803406572663,3.236278314202155,-2.6246013005012667,49.99999999999999,5.8599955499179295,3.5237692803259257,-123.8527686031975,3.448445282311447,2.9925817722353347,30.43880709326101,-27.27153180658256,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,3e90715b-5bcd-4968-bb76-338ab5b80499,85.56270786649002,5.707056114359595,2.756314427434876,2.098873132282732,-1.5832224358771454,76.32275391431484,4.960648573654941,0.9118201324233798,-3.951596515137341,-2.465256652046078,0.4505588395633291,-4.4721928735917205,5.310351654690306,-74.63284051594727,52.281463382887104,663.7395992966892,-2415.097542104729,26.50034671379773,-0.1878866922818141,-0.9642474591124682,0.1868834622393,,,,,,,,,,,,,,,,,0.9903453271638952,0.0,,,medium,high,42.94668295540161,60.55080629949265,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
9,06/20/2025,6:49:52 PM,3,3,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Stanek,,Left,Normal cornbelters,Windup,1,Bottom,2,2,0,Cutter,,InPlay,,Popup,Out,1.0,0.0,,86.33936032129374,-0.6611893650027623,-4.509691842924202,2465.00754751787,150.57939839025545,11:00,5.78634229467069,3.64258499531632,6.000000192000004,-29.75756376614405,8.70457100801412,-3.939811829091372,2.69010422408694,0.8856883786734796,77.40041695660044,-6.277045487801698,-5.254356880288264,0.4463630280541428,61.79259449954649,44.07359935875215,-19.015603376088325,,-34.55862783215063,104.43036551820836,52.63365129605912,184.56709449918444,,-18.595480573560224,3.601511750494741,0.5475121136351112,4.9461966641319615,-3.272216421184165,50.00000000000004,5.715145991594949,9.98746639192275,-125.07695210542116,-2.3724797954955528,0.8458159498220802,31.06156728856265,-24.532991196070537,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,ade5f392-5c7b-4299-8029-cbd729f2a36c,86.59027926627986,5.782709602942624,3.644309356452566,-0.6197044659221707,-4.530159891951021,77.59778639972751,2.693696403685686,-0.8867999576318824,-6.221906130345847,-5.27094074852545,0.4461646658398996,-3.744142089936592,6.838462082558526,-76.53439545863404,58.53841199014317,574.0055594161863,-2397.2442151519263,23.28615829165225,-0.2028311110782679,-0.9725098884852592,0.1143855636745468,-14.464930341856263,41.97207289930483,42.98180570574102,1.023460710894157,0.9124898233326127,2.640288150123885,-58.85559476401056,174.93150470068406,,,,,,,,,0.9970527428253958,0.0,,26.95974848060684,medium,high,37.31542920887115,58.286796115568535,54.667001749344,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11,Cutter,Fastball,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1
10,06/20/2025,6:52:12 PM,1,1,Cole Noreuil,,Right,Normal cornbelters,Nolan Decker,,Right,Springfield lucky horseshoes 2025,Windup,2,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,91.29146797821028,-0.6389609169111685,-2.912217309874922,2008.0015129023693,227.60885410881477,1:30,4.779945670269614,0.8953320716650104,6.000000192000004,-18.528620119866257,15.64002826486274,14.02870683565664,2.582287592387265,1.1992249516942737,82.1172838434447,-4.1736318636813055,-5.128730437062333,0.4207108873777825,,,,,,,,,,,,-8.429681396134459,8.296033329685388,-0.665869785420625,50.00000000000002,4.716697561198536,6.287812779280533,-132.5228334375083,-2.1149255320121823,-14.671714167049169,33.9457080070679,-17.734947559051257,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,85472525-e101-4afc-899b-f5ac959aac6b,91.54457379936184,4.780972912859748,0.9023375622107278,-0.6523611634533218,-2.9962536627977943,82.32311250104992,2.581980064088756,-1.2042655635376367,-4.177237004754198,-5.210790970509279,0.4205362684260669,14.82878539693806,14.72467037349164,-21.77047921274733,70.18651156228233,1864.7849094541384,-744.7464785350279,92.8677044052011,-0.6261031637322214,-0.3708894011033736,-0.6858832849061742,,,,,,,,,,,,,,,,,0.9950187208103092,0.0,,,medium,high,26.83213959394589,50.20786674405374,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11,Other,Other,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
