PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision,RunValue,Stuff+,xBA,xWOBA
1,06/21/2025,6:33:32 PM,1,1,Luka Zachman,,Right,Normal cornbelters,Paul Wittmann,,Left,Danville dans 2025,,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,84.76389516598152,-0.7320731937609883,-6.359142509374778,2368.3515922369183,208.6327881718816,1:00,5.699767715297522,5.152172418885801,6.000000192000004,-19.969817443391456,19.987679130393467,8.598412008014511,3.350982509573452,0.0658279173913154,75.86398316899748,-4.503598314298222,-4.741911232390808,0.4549573209541048,,,,,,,,,,,,-6.78870548822929,11.055566314576495,-4.637037474420338,49.99999999999997,5.628190301403056,13.38510387530283,-122.46111043918542,-2.184571623578261,-10.108316097715807,28.57722188851656,-15.712419435632848,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,f61dbfe9-e103-4cee-aa9a-ba83176f735c,85.01902808110407,5.702228166089254,5.157496383607977,-0.7622745316965546,-6.421287588052268,76.07228928781831,3.349965893491411,-0.069876850692956,-4.517220879995659,-4.802932614184273,0.4547546133103733,9.187717502233763,18.93722506564352,-34.33535945679423,76.79321104461953,1955.6671806229087,-1335.8349984506274,82.57503603068382,-0.7247684360707447,-0.5640357634522184,-0.395694796051755,,,,,,,,,,,,,,,,,0.9522451546783776,0.0,,,medium,high,20.886110059842416,8.575337283462387,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,-1,0.0,100.88955688476562,0.0,0.0
2,06/21/2025,6:34:28 PM,2,1,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,78.11642219034039,2.7651721773190263,-2.19861265691557,2183.3102858962056,18.3341132074672,6:30,5.3166682897234585,2.5848698881987167,6.000000192000004,-63.88865079370058,-16.815378576828778,-7.130984891165458,2.5664391693557054,0.0537591185056908,70.14083571306394,-9.323326722891332,-3.5561629114563367,0.4938086767988786,,,,,,,,,,,,3.062172366179517,-10.12819921572464,-2.40159713397477,49.99999999999998,5.505531764761015,4.548538752731953,-113.27074625471856,3.68425132467891,3.860575047060163,26.39549446260783,-44.94298238538528,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,fb13197d-0701-440a-b94a-88394ea96a66,78.23647890052239,5.2992658673585575,2.584772302232348,2.9729079485991416,-2.197676623250307,70.18537253656994,2.579534859644384,-0.053577530385005,-9.120722138296262,-3.55312449689648,0.4937090254115207,-7.13808950730465,-20.66697590749953,-22.3192877519422,71.90454460196727,2019.74088542443,-829.1505051829316,92.50819265001384,0.8781232527189409,-0.3797675990165464,0.290991621479923,,,,,,,,,,,,,,,,,0.9965054414305996,0.0,,,medium,high,25.28590985822946,-0.5231887381871019,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,122.09400939941406,0.0,
3,06/21/2025,6:34:41 PM,2,2,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,0,1,Curveball,,Foul,,,,,,,79.57224720980611,1.600456168410772,-1.992829366171304,2269.957041328352,20.385327397765,6:45,5.341662216398667,2.2898317468575,6.000000192000004,-59.92257459941088,-14.618841103684382,-7.53733008681772,1.8368553179668483,0.1911493603961745,71.554894585316,-9.72582857022982,-3.4284824425103806,0.4844383534635066,80.00501892799402,-21.282142836566884,76.09096850929974,,-107.20368339346824,-24.64488312973765,30.211796919141733,6.09893171194625,,58.458044917609634,0.0127455679935098,3.3554252406738647,-8.513927642190865,-2.123111646777477,50.00000000000004,5.437718713810858,4.233567973012693,-115.4826665880235,1.5169797164009509,4.395010722864174,27.529189242391723,-43.325781660830486,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,0f06e3f7-d31b-46e1-a41c-0e8b44699f3e,79.70598566223407,5.325763413225798,2.2906476299307674,1.7913927277228248,-2.003014214201545,71.61760997777426,1.8492437222070093,-0.1915868395369046,-9.535612091981498,-3.4350948287452803,0.4843239284247277,-7.438643409109462,-18.272870764922462,-34.025021573778375,70.66722587044386,1881.325155462447,-1270.165591133835,82.87932860445312,0.7768869760763644,-0.559554902585535,0.2886952327202766,72.36314661103988,17.920173907921992,-29.038688560740137,0.7582614301259485,2.856044700011476,1.8415330050396164,5.197859280844723,3.19049007575952,,,,,,,,,0.995490342326716,0.0,,35.96254779980862,medium,high,26.39949671660049,-10.511805933800826,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0.0,122.23873138427734,0.0,
4,06/21/2025,6:34:57 PM,2,3,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,0,2,Changeup,,BallCalled,,,,,,,78.98529341435271,0.1126549339675911,-2.3477203025096607,1677.59903453416,229.59731705903863,1:45,6.046432617231397,3.067749582067244,6.000000192000004,-30.214061116258904,15.396791039673758,14.874569124674618,3.633382938131256,-2.124118695451794,70.81086325935696,-5.612123248298089,0.47831065337263,0.4860776086512459,,,,,,,,,,,,-8.84978657340448,8.292087734709117,-2.8850156997677225,50.00000000000008,6.038136195801486,4.278171164191441,-114.71503040380216,-0.637462666423015,-11.537873418804296,25.496167087566405,-21.363273770432684,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,0cf02c7b-a5eb-491a-9f86-cc8161d2708b,79.21233444839511,6.045260917209198,3.075117048919577,0.1250953282341215,-2.435499328501524,70.98920241905205,3.6351938901098833,2.118518654292059,-5.5828964220248745,0.3909658309691855,0.4858697728084956,15.699642137510406,13.65474059231944,-11.159642780341091,12.534930714485425,1645.8785286391244,-324.688142122032,98.10917238016629,-0.6359000559092479,-0.1935433529932808,-0.747109154947745,,,,,,,,,,,,,,,,,0.9642435228064056,0.0,,,medium,high,78.7185623569631,-47.16762022471674,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Changeup,Offspeed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,93.13011169433594,0.0,
5,06/21/2025,6:35:10 PM,2,4,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,86.18291763102702,3.900165577853988,0.3379387542350679,,,,4.400113416214004,1.0004541443497164,6.000000192000004,,,,4.998869574918967,-1.314535926754402,76.67435598577997,-3.016053325478735,0.3379387542350737,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,7bc3c33c-31e6-47fb-9320-fc5743edea6d,86.4301484288638,4.394098950507469,1.0004541443497144,3.971632629607898,0.3379387542350729,76.86528130290117,5.00426281173712,1.3145359267544012,-2.9297693685338384,0.3379387542350728,0.4465357169212531,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,,0.0,
6,06/21/2025,6:35:24 PM,2,5,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,2,2,Curveball,,BallCalled,,,,,,,77.98200129707703,0.9127545836823592,-2.9714065042049493,,,,6.490843515422125,3.2023226613225755,6.000000192000004,,,,3.644381185877509,-0.4382377658996551,70.00951191471974,-7.476904714909553,-2.9714065042049658,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,cf2f9479-9341-41de-bb77-2e45d21b5768,78.19737959426438,6.483161187606928,3.202322661322575,1.0020123731101849,-2.971406504204957,70.16554458427443,3.651226110428341,0.4382377658996565,-7.373642029148089,-2.9714065042049573,0.4931347272552187,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,,0.0,
7,06/21/2025,6:35:38 PM,2,6,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,3,2,Curveball,,BallCalled,Walk,,Walk,0.0,0.0,,77.82704486729025,4.141945748969851,-0.1313297459590248,2286.5049407359816,21.029728596286645,6:45,5.3587407568487375,1.4212762963229724,6.000000192000004,-64.32095484001854,-16.942314513219934,-7.894428392544566,3.854889003230444,-0.6413499813661856,69.66606096883446,-8.054031945762157,-1.6356152204925896,0.4954077759580503,,,,,,,,,,,,4.2301273792732585,-10.662530819469875,-1.4060323140424216,49.999999999999964,5.659667178350771,0.4793210434655932,-112.79046829070674,6.369031580351864,5.302122609738191,25.67595746590509,-45.538669765511976,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,b92aab07-770b-4e54-bd55-71adbe299e52,77.95113770937,5.340625527384609,1.4207791536539682,4.355940756408514,-0.1256421199156855,69.7114297470709,3.8686897454767744,0.6418275354037121,-7.8475399259602705,-1.6281894945712112,0.4953091202672092,-7.9461648724402,-20.75245965505192,-23.57167055050466,89.16740800750699,2095.720261526772,-914.3639480186284,91.65605655119208,0.8555124600337202,-0.3998958986392186,0.3289098675603763,,,,,,,,,,,,,,,,,0.9974395032053768,0.0,,,medium,high,9.749332793243692,-16.419200573309524,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Curveball,Breaking,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.695,117.04435729980469,,0.695
8,06/21/2025,6:36:07 PM,3,1,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,84.13759539063064,-1.1215425436680035,-4.230486646352477,2302.041065831335,199.63643451777403,12:45,5.672377649894604,3.450314082684204,6.000000192000004,-22.431538693645805,17.905020482319728,4.36190084254562,2.75774681008146,0.1251423354851794,75.42497589417023,-5.361741288708341,-3.4053724382687705,0.4571102364146225,,,,,,,,,,,,-3.797013858075325,10.06739202257169,-3.1076192594493706,49.99999999999998,5.56777588515974,8.888163462818836,-121.95040125707688,-3.075640235298016,-5.598640005617571,28.65219077561446,-17.329830987763078,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,45fbe82b-c28c-41cd-95e1-82175d0c620f,84.3896186271789,5.673509563017847,3.454165764831934,-1.1365476395510368,-4.276485045090075,75.6337616651342,2.757743267894928,-0.128070983829533,-5.360268869298653,-3.450427667636505,0.4569051374346523,4.7963820296860975,16.63496572975496,-46.7013167090233,92.00128327729338,1578.7434981364167,-1675.3990676450364,68.58016225554543,-0.6459181076689284,-0.7277885231990857,-0.2304640182004217,,,,,,,,,,,,,,,,,0.9954648299401232,0.0,,,medium,high,7.198845050435824,24.93944810424988,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,99.73516082763672,0.0,
9,06/21/2025,6:36:34 PM,3,2,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,0,1,Fastball,,StrikeCalled,,,,,,,84.9461943963521,-1.0267328377564044,-4.912093935537766,2234.97760691672,201.826992907082,12:45,5.674804848555495,4.346092204520963,6.000000192000004,-21.74587361333659,17.895206213479597,5.0504902987934654,2.904789479986928,-0.1904794794270445,76.10788067880137,-5.13619835317051,-3.958268365569783,0.4531523750365404,,,,,,,,,,,,-4.4004165507327135,10.029538904630437,-3.9479206870384815,49.99999999999997,5.578265507201042,10.417014249081149,-123.01012084686155,-2.879335720701261,-6.602368380740935,29.12653934660461,-17.125767275927107,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,857d9e25-6d6d-4108-aef1-2c4a1f87bc74,85.19993118447968,5.676082766780878,4.350105111536199,-1.0434407835587969,-4.959984754189326,76.31870692297487,2.904648989334987,0.1873916943343404,-5.1368170127848565,-4.005534817369447,0.452950036378714,5.503378891207673,16.67379755044858,-45.45459346629487,93.27571279131382,1567.7793197672554,-1592.8568384915543,70.14742854314756,-0.6511861318363692,-0.7126947641721529,-0.2608117996287478,,,,,,,,,,,,,,,,,0.9970919149193912,0.0,,,medium,high,6.051858487817573,-87.47089827700172,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,0.0,96.83094024658203,0.0,
10,06/21/2025,6:36:51 PM,3,3,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,84.64789422580871,0.2125943647926557,-3.894908764324919,2262.527428705342,207.2783247442316,1:00,5.58191040998074,2.566141997831975,6.000000192000004,-22.270691618405905,17.559336375136503,7.04292511721726,3.9240615262918377,0.4724374670499919,75.67032003964516,-4.009545904386656,-2.560496946110773,0.454231060634889,,,,,,,,,,,,-5.1420557362416615,9.427900168799331,-2.252469073407295,50.0,5.586382576826749,8.142498073966962,-122.75766820264114,-0.2243303896953882,-7.676930978808383,29.19590076216499,-18.09848475677294,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,bdb03741-0725-4a36-b70b-c29c54482262,84.90355361808722,5.583263539090572,2.5711015793666703,0.194839280231405,-3.954378031247851,75.8814898514358,3.923891184464648,-0.4763470947157414,-4.010587575188036,-2.61934951910796,0.4540240862195536,7.602860646368526,16.30138990874225,-42.96641203315304,92.78345579625488,1655.612077115697,-1542.0697181880766,73.1753372847757,-0.6503755765948344,-0.6815695132016482,-0.3353723423942487,,,,,,,,,,,,,,,,,0.9867441795709936,0.0,,,medium,high,6.494889783370671,59.95273079837391,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,109.12356567382812,0.0,
