PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Knuckleball,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/15/2025,11:00:39 AM,1,1,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.85150505622225,-1.5445449667522608,-7.040830440460721,1898.2194500407757,224.59352891448748,1:30,6.01154256250889,5.4844030252825,6.000000192000004,-22.805091273728863,17.120671017931,14.095986473457597,2.6643701961824084,-0.0822265927175083,76.10686273341439,-5.844068581482246,-4.394503467444651,0.4547766212985622,,,,,,,,,,,,-9.940506417767368,9.763955840954996,-4.916176666174692,50.0,5.871502583394748,14.686304943237188,-122.4013232646988,-4.023171292452473,-14.82150147570969,28.0329648867958,-17.615788686251797,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,f1c822b4-8561-44de-b2e4-9fc2ec2b3402,85.09160029308626,6.012151665869486,5.491332316128777,-1.5527027634235129,-7.121996013779645,76.29959293910491,2.66467062469302,0.0768406513670031,-5.837891269922049,-4.475315523276663,0.4545901320658297,14.86739071723079,15.969361643866202,-13.680682875033453,64.50161656035769,1844.3649021050555,-448.9489819524183,97.16289136461208,-0.6919021416397841,-0.2365105793973265,-0.6821540678083076,,,,,,,,,,,,,,,,,0.997002710211153,0.0,,,medium,high,31.94854509567809,49.181823756367216,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,97.3283,0.0,,-2
2,07/15/2025,11:00:55 AM,1,3,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,1,1,Changeup,,BallCalled,,,,,,,80.89098107430625,-2.7640454492218383,-6.858818781864897,1581.1262513185904,234.46808465057944,1:45,5.570844455860431,4.308407764999049,6.000000192000004,-29.93017757236615,14.021217079168531,15.26349518064978,0.4872505291426759,0.8248021528671284,72.91681023340242,-8.380521924483972,-3.9911244516562063,0.4771532131326719,,,,,,,,,,,,-10.50185200141627,8.488170550639241,-3.755908359652508,49.99999999999994,5.326514850640941,13.585180094433165,-116.64312090164697,-6.54488063626713,-14.225689341532302,25.37530387626934,-20.67607024720787,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,5e036629-4303-4291-bafc-6e33f7c0f21c,81.10990609009787,5.5691656569099415,4.315711245095585,-2.744769721064751,-6.94576578607053,73.08904478249951,0.4894116378170251,-0.8306129748487291,-8.346671287844568,-4.078238510479067,0.4769668488766589,16.090029626276994,12.517723900659549,-13.444324958937468,76.45154117378269,1537.7975460522855,-367.61247253642944,97.25963026480837,-0.5652305179304716,-0.2325003915594068,-0.7914910167050371,,,,,,,,,,,,,,,,,0.9947239880822932,0.0,,,medium,high,21.19361294359556,14.326966788740082,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115.4762,0.0,,-1
3,07/15/2025,11:01:12 AM,1,3,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,1,1,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,85.28723777036828,-2.3338964888719334,-5.7278539089791485,1988.5015799554492,225.47454317115896,1:30,5.649569105336742,4.282292607297892,6.000000192000004,-22.20706433360993,17.149295962247276,15.009855032224596,1.617780812656991,-0.1918774615028745,76.62287144962073,-6.522016337590931,-2.8977551597998685,0.4515220733413019,91.17699674329722,24.98652613171564,-14.032828887520292,3334.6064587871465,-33.47579754791158,104.7824936234437,45.24321764341983,329.2271775638087,,-24.21988828715536,4.261741274254361,-9.999747503563196,10.039509603159235,-3.8228881078784234,50.00000000000003,5.445508011049854,11.903778370270947,-123.28753057497536,-5.734260789627855,-15.125233722096423,28.45931831071093,-16.988673240356615,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,5094a689-d210-4ed8-a56e-16ccc07bb98f,85.5225207236267,5.6500848429228,4.289310879389613,-2.3408875606921224,-5.810653623213792,76.80999686359895,1.6181075897434802,0.1864651855630238,-6.515629051993938,-2.97967754930954,0.4513409331967423,15.793557360258855,15.999518815804205,-5.505251679941178,62.8242810988779,1979.329435399186,-190.77085638969592,99.53874089672745,-0.6979916269873516,-0.0959369900998368,-0.7096504650785016,-20.039210247756035,80.17714808486998,38.51363022035566,-0.3031415561395575,1.5931976551681897,1.688518246196357,-135.0620324515181,300.2478673308051,-68.58247744477484,34.337869991167565,1.1434820425498868,0.8348957238232616,-0.1641683963921166,0.5253549923315404,,,0.9962220812978588,0.0,0.997699323762092,51.75505533497706,medium,high,33.458147011009906,65.3100343015824,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,130.33003,0.3333333333333333,0.31989999999999996,-1
4,07/15/2025,11:01:53 AM,2,1,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,84.27802761185963,-2.6712361513929874,-6.929523444766511,1931.45829095442,226.97293151620903,1:30,5.49850008563114,4.340834227930491,6.000000192000004,-23.641209034554468,16.831629000175322,15.192845935493574,1.02568739595079,0.8649362692935714,75.790060311371,-7.119140897790891,-4.076732191235412,0.4578817689295846,,,,,,,,,,,,-10.473137495502206,9.97013989869389,-3.782454941327442,49.99999999999995,5.265415322186346,14.307666873361296,-121.52355112728652,-6.430139213361201,-15.408468813759304,27.40627435001991,-17.50560951598108,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,d80b2b22-eeca-4175-a654-b53aa68d7831,84.50976386049966,5.498693204199184,4.348025304462241,-2.674252853197585,-7.013973240427067,75.97376063877206,1.0262686103825367,-0.8703521015873849,-7.108533048964906,-4.160256994231617,0.4577027205359978,15.997492223427152,15.662537336238673,-8.56117057246043,95.48464733403456,1909.937005528076,-287.5269806661917,98.88574940876876,-0.6747407805861289,-0.1488652289375152,-0.7228858987609333,,,,,,,,,,,,,,,,,0.9974614363039622,0.0,,,medium,high,4.063817399368672,-35.45693823668857,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100.420525,0.0,,-1
5,07/15/2025,11:02:08 AM,2,2,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,85.4492754215279,-1.9349937146751088,-8.068187308959356,1937.708359957361,223.04826424863137,1:30,5.997847520225027,5.050426792206035,6.000000192000004,-21.771211479349503,17.765228055762854,14.301282422252957,2.366539323990202,1.306281560699859,76.66101531275955,-6.032586759268954,-5.395063353072598,0.4525538881823938,,,,,,,,,,,,-10.367933602425015,10.23469995929026,-4.397169662820177,49.99999999999996,5.825943641964919,16.98945358572903,-122.95406352826652,-4.865116559946535,-15.614978290006318,28.05445874959198,-16.759732346191864,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,b6a976f1-6f1f-4016-9b56-7bf9578db626,85.68906161682804,5.998615282486681,5.057040480515097,-1.9449616994040797,-8.146275359530408,76.85542891339433,2.3666711288745703,-1.3115425938794858,-6.0288071599982604,-5.473648318323052,0.4523718829624945,15.047352509299834,16.691572187685903,-7.897594163472246,73.07921494647688,1919.3296485409355,-266.2468562826124,99.05152334601944,-0.7238476795085332,-0.1374029558753986,-0.6761397522604444,,,,,,,,,,,,,,,,,0.9970822653947716,0.0,,,medium,high,24.22870654817077,31.62713865060437,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.78338,0.0,,-1
6,07/15/2025,11:02:24 AM,2,3,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,1,1,1,Slider,,StrikeCalled,,,,,,,79.5576183845602,-1.0255526252832412,-5.753984937882419,2270.080829188589,276.7246639410339,3:15,5.500491597029653,3.9751595393062056,6.000000192000004,-40.63810383064758,4.866786067731994,-1.4272562194970309,1.1559116513206749,1.5095464242414312,71.62408935706009,-8.655127294296637,-6.022930374273735,0.4855126572472462,,,,,,,,,,,,-1.261651719775876,2.998917876963274,-3.5040661213318134,50.0,5.393085714562501,11.630065455714652,-115.01324801683316,-3.2298535676468494,-1.647190606460504,26.361607763253637,-28.25871441144176,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,88254a52-6ea3-4a3c-a36e-53a57d3f8e1d,79.77703694138465,5.49411396698659,3.9795468234641658,-0.9508672335734654,-5.80650585703425,71.79028354476137,1.161937739667722,-1.5127410407234485,-8.564367763900767,-6.070424411530266,0.4853120784930751,-0.9264854367248088,2.4246479493572397,-88.80119029513435,48.97810717970079,47.49380477580235,-2269.583950762225,2.0921635989842,0.0024498870336055,-0.9997811186192248,-0.0207777021350779,,,,,,,,,,,,,,,,,0.9966160048864204,0.0,,,medium,high,45.91970353826929,25.7141126261234,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,5.447220103151125,12.899163917930583,15.001602697383518,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.474,0.0,,-1
7,07/15/2025,11:02:40 AM,2,4,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,1,1,2,Slider,,BallCalled,,,,,,,77.36175601404997,1.882548943303421,-4.048144810428247,2292.683193880356,71.31533250248765,8:30,5.695559037928633,4.496260348272934,6.000000192000004,-45.020248301736736,2.941149571116526,-5.564563695811961,3.698508123067133,-0.2639535915431884,69.29066808239232,-6.633973034022354,-5.10164848475076,0.4984452235819161,,,,,,,,,,,,1.5726933375456773,0.9220035073962004,-4.162764225875294,49.99999999999994,5.8233974336860905,8.086353417200748,-112.07417190739496,2.441129576906362,1.9476142430172505,25.22597887611337,-31.03224582792021,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,28dfdf98-cdd6-4fd8-bc77-84a56dafd5e2,77.57802942709955,5.687237090644189,4.499246687197501,1.9796461282964937,-4.083976357243403,69.44706357140215,3.705870793983872,0.2619779508629495,-6.521707316447925,-5.1312573428975465,0.4982403879635249,-5.222468763090176,0.1338235880713414,-77.83221729700985,17.600708314797366,483.24064929980017,-2241.177079653845,21.07751522712205,0.0675238230532533,-0.9775345698158422,0.1996664672277974,,,,,,,,,,,,,,,,,0.9936552714616664,0.0,,,medium,high,74.15936251668236,21.79333884030232,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,7.643082473661352,14.82480041454605,19.13891017369845,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87.37251,0.0,,-1
8,07/15/2025,11:02:59 AM,2,5,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,1,2,2,Slider,,BallCalled,,,,,,,78.26944338238157,-0.3006064811095159,-7.013773661475736,2238.044329289698,73.68100829704386,8:30,5.612237365617892,4.83018954291069,6.000000192000004,-42.40752350979824,4.900253251407214,-4.225994720483445,1.7967861239033596,2.0732902323717317,70.3752367808663,-8.250923653764168,-7.805876721152904,0.4950371501018253,,,,,,,,,,,,-0.2312016724275854,2.7632122838064888,-4.253581129699918,49.99999999999999,5.563143997094499,14.005269483855914,-112.87612914435788,-1.7836006561249664,-0.2902246876489342,25.720253163168195,-28.70542233276672,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,070e459a-67e1-4968-8162-7d7e1247fefb,78.48706968018455,5.60524317061008,4.833463747451301,-0.2184693804363272,-7.053030433181832,70.53834791956058,1.803112111360944,-2.075511696694283,-8.152468984899919,-7.839817239129799,0.4948354520452872,-3.847458428424104,2.247384091078036,-83.50811770098981,44.67258265903703,253.03872986406043,-2223.6937336455658,11.306242979752277,0.0317688285198925,-0.9935878858803988,0.10850739406231,,,,,,,,,,,,,,,,,0.9873556227589628,0.0,,,medium,high,49.79467560686668,40.5432078125116,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,6.735395105329758,12.865696734255362,17.800341198369935,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136.07268,0.0,,-1
9,07/15/2025,11:03:18 AM,2,6,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,1,3,2,Fastball,,BallCalled,Walk,,Walk,0.0,0.0,,85.76785327865394,-2.5915197018879006,-6.481304759384682,1950.893944592072,224.8557436119222,1:30,5.566910259491531,5.054230738080514,6.000000192000004,-21.86448519712256,17.15441187151648,14.90503129614381,1.319180696373182,-0.2468075690612375,77.06773976940084,-6.710716204396724,-3.678030928139551,0.4495821056528453,,,,,,,,,,,,-10.17992819734185,10.122338084409256,-4.532695036696161,49.99999999999997,5.341613654841368,13.601751766248814,-123.78947092636665,-6.315708811504268,-15.533359320840187,28.54649252773368,-16.72856592598651,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,86afea81-8b2e-4a8f-a956-cd88bd9c2cf1,86.0023181962213,5.567347778209689,5.060898607058377,-2.5974884616814435,-6.560616171990414,77.25736766071358,1.3195467429399788,0.241483181493486,-6.703685996628758,-3.757936075357183,0.4494036021383375,15.657219925519245,16.035743911596075,-2.539731119547822,61.79472926512013,1948.977647779104,-86.44831694974884,99.90177339889338,-0.7081885419595616,-0.0443121560704956,-0.7046314085119781,,,,,,,,,,,,,,,,,0.9919976764859868,0.0,,,medium,high,34.384743661391816,75.27252591030924,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.695,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97.930504,,0.695,-1
10,07/15/2025,11:03:48 AM,3,1,Nicholas Currie,,Right,Normal cornbelters,Owen Nowak,,Left,Burlington bees 2025,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,84.22893368725697,-0.7542555322607357,-7.217213981354403,2058.1023774130163,224.6555233412168,1:30,5.904860871927967,5.664865975587705,6.000000192000004,-22.76149596461273,17.769009140134255,15.108976426563082,3.301429924531625,-0.1806111787940331,75.43208895422273,-5.049369472670518,-4.381465761994277,0.458207855540102,,,,,,,,,,,,-10.549061790091224,9.853498597875353,-5.082635157532767,50.000000000000014,5.829712371069108,14.926001564371976,-121.48927422337648,-2.303277194291271,-15.493813132398811,27.638248379275865,-17.70183688939447,Normal Cornbelters,Burlington Bees 2025,,,,66ca68c7-abd7-4cc9-961e-d5900dc35ca8,b37279ee-6498-427a-bae1-bc8582b9b5af,84.4686154246983,5.905615003663584,5.672047652616172,-0.7643645226048843,-7.301952846003815,75.62402064873447,3.3016154220829623,0.1750258792315391,-5.044912470418318,-4.465876772017869,0.4580210664985037,15.916177856462472,16.61152573895487,-8.133252297318625,78.94626519438498,2037.401401423572,-291.1716424900831,98.99417170804377,-0.7041903676634133,-0.1414757816159168,-0.6957733318446694,,,,,,,,,,,,,,,,,0.9970329331805616,0.0,,,medium,high,18.9483613250535,-17.20442984122738,54.667001749344,Nolan Mccrossin,,Normal cornbelters,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,131.00272,0.0,,-2
