Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Graham Kasey,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,88.0267711,2044.868410798222,5.1667632242949,-0.012053276,6.000000192000004,13.81860126801563,-10.33519586,3.663366922241608,1.72803721,10.33519586,0.012053276,3.4834054080156296,0.68276536,0.68,0.40308842,0.588617928425471,254.332029710753
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Out,88.95799402162497,2071.524086996364,5.636354034,0.5508731633529489,6.000000192000004,14.521891610252167,-15.61601528,3.646876202842982,0.165596118,15.61601528,0.5508731633529489,1.094123669747832,0.06913596,0.05,0.34365728,0.15426441381374995,66.65509081984797
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Out,87.26939057054254,2101.9352108275502,5.602829680718846,0.7984024112448291,6.000000192000004,15.226131717792786,-14.3696696,2.9828810377977426,0.38506499,14.3696696,0.7984024112448291,0.8564621177927858,0.011133188,0.02,0.56389475,0.19834264568984508,85.70056265774481
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,89.27261683817639,2045.3449797983385,5.154947017491479,-2.207808846,6.000000192000004,14.562867392544018,-12.38791368,2.554941259597038,0.523410966,12.38791368,2.207808846,2.174953712544017,0.03419389,0.04,0.2479866,0.10739349603652955,46.40294579162251
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,90.58821563,1979.606498132678,5.182451395,-1.553652202,6.000000192000004,15.115616483051262,-11.2860443,3.3056913059617985,0.772292959,11.2860443,1.553652202,3.829572183051262,0.059386775,0.01,0.10134141,0.05690939545631409,24.58960449052803
Graham Kasey,Normal cornbelters,Fastball,InPlay,Single,88.49943104979069,2140.8592224509493,5.208488783828716,-1.971389205,6.000000192000004,15.416739693514977,-11.26730614,2.2126376331042503,0.135666384,11.26730614,1.971389205,4.149433553514976,0.01770053,0.0,0.6563682,0.22468957553307214,97.08463341073616
Graham Kasey,Normal cornbelters,Fastball,InPlay,Double,86.43818832891868,2156.6738642856258,4.841096946430667,-2.566815147,6.000000192000004,15.205202897387014,-11.82142888,2.0852877030229293,0.945191121,11.82142888,2.566815147,3.383774017387015,0.0022056345,0.01,0.8020999,0.2714351726820072,117.2826294771016
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Out,86.40084308730378,2173.799495528173,5.244112565,-1.756734635,6.000000192000004,14.652389933266477,-17.0966376,1.9142174201671165,0.853722802,17.0966376,1.756734635,2.4442476667335242,0.0012003982,0.0,0.83165574,0.27761871297843754,119.95443452829362
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,88.03087737253347,2136.418066886193,5.105369982698078,-1.38390967,6.000000192000004,15.416522020176394,-11.37850509,3.309331196010894,1.494707303,11.37850509,1.38390967,4.0380169301763935,0.07674926,0.01,0.6853565,0.2573685851693153,111.20469066409815
Graham Kasey,Normal cornbelters,Fastball,InPlay,Single,86.74395404565465,2057.7635949643227,4.829928946760923,-1.633186558,6.000000192000004,14.667408908489971,-12.86577497,2.203649591159005,-0.3062911871449373,12.86577497,1.633186558,1.8016339384899709,0.009235486,0.0,0.47163275,0.16028941174348196,69.25839234783712
Graham Kasey,Normal cornbelters,Fastball,InPlay,Single,87.97786861127426,2206.129940986787,5.143037820214493,-2.137278654,6.000000192000004,14.33228313335723,-13.41308748,2.213751719938944,0.744757021,13.41308748,2.137278654,0.9191956533572299,0.0021321755,0.02,0.7915385,0.27122355081141,117.19119118193422
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,85.59174076085985,2187.9549700098205,4.8676951447412415,-1.810494801,6.000000192000004,14.325127927604132,-10.52607001,3.2552349994632426,0.653414801,10.52607001,1.810494801,3.7990579176041326,0.004477725,0.01,0.8999978,0.30482516522829733,131.7098906362053
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Single,87.40143703710565,2235.855212,5.247449366692675,-1.348999,6.000000192000004,14.679114527181966,-15.83236519,2.3218629204957684,-0.1182350320667626,15.83236519,1.348999,1.153250662818035,0.008824212,0.03,0.88137853,0.30673424766709406,132.5347734474427
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Out,87.33584859177603,2281.308870056477,5.370568071726574,-0.747612735,6.000000192000004,15.924939859655831,-15.35613315,2.1323411115085658,0.395066178,15.35613315,0.747612735,0.5688067096558314,0.010283622,0.14,0.9321873,0.36082364692042274,155.90590441984256
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Double,86.95038392,2039.4126205005948,5.453063299054719,-0.403171571,6.000000192000004,14.638793038733564,-15.04134018,2.160267281,0.239052525,15.04134018,0.403171571,0.402547141266437,0.014975546,0.04,0.3800386,0.14500471172233423,62.65412735323
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,85.51559598717265,1949.8710933842688,5.008372509824639,-2.102470386,6.000000192000004,14.521540521022626,-11.81127863,2.861203054979662,0.675594318,11.81127863,2.102470386,2.7102618910226255,0.008516829,0.02,0.24704874,0.09185518835981688,39.68910114156291
