Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Layton Perry,Jacksonville university fall 2024,Changeup,Foul,StrikeoutSwinging,77.14078206,2084.024302,5.407314925,2.207924683,6.211211607,12.25230272,12.5988443,2.561475778,-0.574013634,12.5988443,2.207924683,0.34654158000000024,0.33333334,0.54,0.0044395803,0.29259097450723254,116.72355395234794
Blake Barquin,Jacksonville university fall 2024,Changeup,InPlay,Out,80.07290925,1244.627214,5.341100118,1.681107423,7.468726858,4.580127084,15.87360743,2.647769461,0.81820749,15.87360743,1.681107423,11.293480345999999,0.33333334,0.04,0.28356364,0.21896566232045492,87.35214865262853
Blake Barquin,Jacksonville university fall 2024,Changeup,InPlay,Out,82.93695551,1336.837277,5.242724253,1.439308073,7.63361871,4.863403705,16.0817907,1.123855452,0.410805371,16.0817907,1.439308073,11.218386995,0.33333334,0.04,0.22340822,0.19891385515530904,79.35286501298528
"Chadwick, Tyrelle",Illinois state [ill02:2025],Changeup,StrikeSwinging,StrikeoutSwinging,78.65978978,2371.300161,5.632883908,0.981887632,6.866837656,0.505287831,-12.47026334,1.251796461,-0.817014631,12.47026334,0.981887632,11.964975509,0.33333334,0.52,0.0034020366,0.28557845996071896,113.92604585631003
"Chadwick, Tyrelle",Illinois state [ill02:2025],Changeup,StrikeCalled,StrikeoutLooking,79.39416176,2294.307532,5.707771557,1.113035086,6.733702107,-0.305129272,-12.78011329,3.254583955,0.765999286,12.78011329,1.113035086,13.085242562,0.33333334,0.56,0.0057833716,0.29970557163159056,119.56178593367551
Blake Barquin,Jacksonville university fall 2024,Changeup,InPlay,Out,82.18094195,1346.794625,5.30070649,1.594982344,7.550459613,5.012405148,16.23015762,2.608854959,0.767824989,16.23015762,1.594982344,11.217752472,0.33333334,0.01,0.21567908,0.18633747418721516,74.33575918828629
Blake Barquin,Jacksonville university fall 2024,Changeup,StrikeSwinging,StrikeoutSwinging,83.39292877,1596.236136,5.045686618,1.644860287,7.728581955,6.047138992,17.18207209,1.162001983,-0.50733377,17.18207209,1.644860287,11.134933097999998,0.33333334,0.56,0.083876625,0.32573665599028273,129.94638745700382
Blake Barquin,Jacksonville university fall 2024,Changeup,BallCalled,Walk,84.06741503,1518.46011,5.16917866,1.610357148,7.53591969,5.97645037,16.5453191,1.538607667,-1.478791493,16.5453191,1.610357148,10.56886873,0.33333334,0.13,0.11844684,0.19392672836780547,77.36334649270712
Blake Barquin,Jacksonville university fall 2024,Changeup,InPlay,Single,84.45607767,1467.309841,5.16820972,1.712089446,7.52138691,6.281189933,16.47965207,0.992574423,0.579890617,16.47965207,1.712089446,10.198462137,0.33333334,0.06,0.1429684,0.17876724819342296,71.31576281380472
Grant Brooks,Jacksonville university fall 2024,Changeup,HitByPitch,Walk,82.90949001,2185.997246,4.853771615,2.080252772,7.228915626,5.827941815,20.20819696,2.923791105,1.646312507,20.20819696,2.080252772,14.380255145,0.33333334,0.22,0.0106702605,0.1880012012645602,74.99947117599037
Grant Brooks,Jacksonville university fall 2024,Changeup,InPlay,Out,83.91314673,2422.186495,4.793920226,1.951107906,7.376106161,7.964969942,20.64128145,1.699237515,0.779792025,20.64128145,1.951107906,12.676311508000001,0.33333334,0.17,0.0033064,0.16887991443276407,67.37140076504093
"Perry, Tanner",Illinois state [ill02:2025],Changeup,InPlay,Out,78.56025792,1219.432203,5.242753581,1.575794424,7.305921251,11.0749528,11.34444889,2.640693111,-0.382834515,11.34444889,1.575794424,0.2694960900000005,0.33333334,0.11,0.12539262,0.18957531968752542,75.6274355107748
"Perry, Tanner",Illinois state [ill02:2025],Changeup,StrikeSwinging,StrikeoutSwinging,81.87939548,2354.068545,5.360930412,1.571342655,7.079356984,9.217977451,-3.643118112,2.38937193,0.671762273,3.643118112,1.571342655,5.574859339,0.33333334,0.28,0.0007466261,0.2046933231277702,81.65847284260327
Richard Long,Jacksonville university fall 2024,Changeup,InPlay,Single,82.94015676,1494.450336,5.592428432,2.769089403,5.803423789,9.097789228,15.6576587,2.170320811,1.622547879,15.6576587,2.769089403,6.559869472000001,0.33333334,0.26,0.1445178,0.24595037917296092,98.11718355750546
Nick Anello,Jacksonville university fall 2024,Changeup,StrikeSwinging,StrikeoutSwinging,80.6360383,1816.738723,6.002318128,0.675458641,6.61209772,11.96507933,14.087847,0.851264676,-0.781844763,14.087847,0.675458641,2.12276767,0.33333334,0.89,0.018479403,0.41393758212526643,165.13245421009617
Nick Anello,Jacksonville university fall 2024,Changeup,StrikeSwinging,StrikeoutSwinging,78.11099751,1659.28296,6.083834749,0.827217246,6.821537007,12.44635874,15.71626415,1.991790371,0.554014155,15.71626415,0.827217246,3.26990541,0.33333334,0.89,0.034147326,0.4191602230568727,167.21592657824
