PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/20/25,6:46:58 PM,1,1,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,0,0,Cutter,,BallCalled,,,,,,,84.5021072347111,1.33686043197049,-5.41653656473778,2337.04343151001,145.581543130252,10:45,5.83793412297353,4.94673939676502,6.000000192,-31.3101878339679,9.00215675481872,-3.70728787357337,4.47702063777241,-0.411346685012414,75.4700606267762,-4.58469876462,-6.11555725787744,0.456973011059098,,,,,,,,,,,,0.0870013892520813,4.40075140733565,-4.50208132255807,49.9999999999999,5.92928359004397,11.7007494684304,-122.214721196899,1.91504646324546,0.12820605928055,29.853192935331,-25.6890612351462,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,4139ab07-3b21-4e00-87c5-ba2f55ae3d9f,84.7547413342362,5.83426525346901,4.94864417628458,1.37903866495438,-5.43934659963611,75.6709183030324,4.48071180645847,-0.412601874484961,-4.52664842516004,-6.13463969661031,0.456768635450258,-3.48851661624888,7.02380143465937,-75.9781243536694,35.7426981148421,566.247692111736,-2267.40723116564,24.2292327338508,-0.199874563549416,-0.970203292157313,0.136951563455994,,,,,,,,,,,,,,,,,0.996119542038399,0,,,medium,high,122.168428303357,2.27073850595308,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
2,6/20/25,6:47:15 PM,1,2,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,1,0,Cutter,,BallCalled,,,,,,,84.9541728638224,0.571210834283253,-3.87802009929404,2341.26736349899,145.241451454111,10:45,5.9447871133307,4.19217089949619,6.000000192,-30.7845814216766,8.88424433309445,-4.357809944535,3.91152090920353,0.219298792146326,76.0050878383958,-5.25663022659906,-4.7031439737287,0.453310934464043,,,,,,,,,,,,0.994354881733223,4.60969391300937,-3.87329132344841,49.9999999999999,5.97366401236472,8.48273312791669,-123.170089527292,0.289086342849521,1.48930818154273,30.1701165940135,-25.2698195317501,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,d0f61d63-40cc-4ef0-8c2e-63a68be1f24c,85.20402569186,5.94108133698611,4.19369408469311,0.614098257153123,-3.89639745785613,76.2033298709671,3.91529056352079,0.218314665985026,-5.1987338642733,-4.71778720990593,0.453108047847439,-4.18199377900229,6.94510404520518,-74.2221241989378,36.7923702726739,636.610882327118,-2253.05558118041,27.1908664619879,-0.22338979508699,-0.962323063271702,0.155020390098717,,,,,,,,,,,,,,,,,0.997242287217163,0,,,medium,high,56.8868667545934,77.523918358105,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
3,6/20/25,6:47:30 PM,1,2,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,2,0,Cutter,,StrikeCalled,,,,,,,84.9928454141281,0.527413920986578,-3.99909851139869,2401.1290106916,128.14959187595,10:15,5.6360040590016,4.13902282282805,6.000000192,-32.3203780931732,7.34080615205153,-5.26629456701337,3.43402453901301,-0.0226193085715599,76.0682483803938,-5.58786282833079,-4.99592397670934,0.453267271126369,,,,,,,,,,,,1.4380708421763,3.78901029907385,-3.80971125542541,50,5.66043288346236,8.77447025200972,-123.205053967351,0.148324026811156,2.15404606406232,30.296965451377,-26.4985971103346,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,88398aef-a6c0-4cff-af51-38497e726c9f,85.2390264928631,5.6314112131942,4.14040028557076,0.580490025131856,-4.01563841911682,76.2606359487176,3.4383468719774,-0.023440405690729,-5.52063885551324,-5.00829773644151,0.453068670261985,-5.1073069383547,5.29231486882387,-76.093853340947,43.310885349514,577.06853951298,-2330.75361775739,24.0332167469321,-0.148457209942008,-0.970690707321079,0.188997374417573,,,,,,,,,,,,,,,,,0.995861138075735,0,,,medium,high,51.0202031854373,66.5146682374913,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
4,6/20/25,6:47:47 PM,1,3,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,2,1,Cutter,,Foul,,,,,,,83.5045099835409,-0.134018590774753,-1.84113068649149,2451.35756698959,96.0546508978269,9:15,5.5081598512628,2.45561537783528,6.000000192,-36.9914428516243,3.93497556754356,-7.57106611910382,2.30091886457593,0.112968751616676,74.9460412867429,-7.13064214903454,-3.28015550164188,0.460440368108088,,,,,,,,,,,,3.45021949516392,2.17844538029146,-2.30122939368968,49.9999999999999,5.47590653732265,4.12666881181888,-121.285261352877,-1.39768582118669,5.00823045652693,29.3582307910853,-29.0118865651404,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,8567112c-7850-4490-a245-5799f48c9dd1,83.7327677716803,5.50132093897421,2.45655432194629,-0.0546382588665537,-1.85251542523659,75.1166784374569,2.30689209090676,0.112529396897147,-7.03967743466498,-3.2865606188334,0.460247644464845,-7.46050284923505,1.59724658107316,-74.3805460578586,45.9606098470551,660.020233625667,-2360.83188991547,26.9246821644305,-0.0283993546679266,-0.963071206627235,0.267744892799108,,,,,,,,,,,,,,,,,0.993530413768782,0,,,medium,high,48.6354511376503,70.9695992332806,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
5,6/20/25,6:48:08 PM,1,4,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Tyler Thompson,,Right,Normal cornbelters,Windup,1,Bottom,0,2,2,Cutter,,InPlay,,GroundBall,Out,1,0,,84.477112309913,0.0888862762960776,-3.60500038152696,2431.39972813563,108.59676031373,9:30,5.83324402611835,3.06636715212986,6.000000192,-34.7727609987013,5.33984071822703,-5.61434528894089,3.01828799471722,-0.756387831272196,75.721752399743,-6.48477068036116,-4.66879737085857,0.455839481735703,,,,,,,,,,,,1.76474793902212,2.86059770506895,-2.76909828860558,49.9999999999999,5.82044952320802,7.88961009112033,-122.517184852235,-0.867088110414703,2.61351835057913,29.99431561638,-27.9376232780225,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,4193a47e-ec86-4999-aa8b-7bcff5895d9f,84.7152161374816,5.82750944565934,3.06798849162794,0.155271378537266,-3.62440532706559,75.9046688802509,3.02355390832176,-0.757383500881487,-6.40500614650361,-4.68351718320636,0.455642747008828,-5.42846773421617,3.14961561586658,-78.3946178641483,55.7822609518675,489.124502482913,-2381.69306566754,20.1169925628793,-0.0641542397611362,-0.979556359288482,0.190666128345243,,,,,,,,,,,,,,,,,0.990790119322089,0,,,medium,high,39.7959651433191,70.9676892361906,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
6,6/20/25,6:48:43 PM,2,1,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Smith,,Left,Normal cornbelters,Windup,1,Bottom,1,0,0,Cutter,,InPlay,,GroundBall,Out,1,0,,87.2353513992682,-0.876080812202565,-2.21763886324383,2418.26914320143,159.939001614527,11:15,5.70046273551294,2.18024064150346,6.000000192,-29.470813597579,8.00225909738303,-3.17053406027342,2.42966373543208,-0.146059904781556,78.2418899881194,-6.450050685857,-2.81984085258695,0.440586489258724,93.7473694341446,-7.06053571801772,39.9916465688176,,-72.0663398581618,-83.1050097851627,7.27384971586183,20.9085860534769,,35.0442376227921,0.141643020565637,0.943661999472601,4.63758257528519,-1.99768289829262,50,5.61202599380116,5.00520425497596,-126.67371896843,-2.86649986299959,1.49660547548424,31.6489307409882,-24.8190522680395,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,300fd004-8114-4c5c-9484-1734c636088d,87.484289581395,5.69685418954418,2.18223862994612,-0.834023341386558,-2.2418218476928,78.4394605824379,2.43328103906991,-0.147420376524034,-6.39438412393803,-2.84036150488876,0.440394480339828,-2.94072056357791,6.19412946116517,-76.5375647335972,30.956309821624,562.991892127629,-2351.82179987318,23.2807788872627,-0.218682866773091,-0.972522767569087,0.079857813266233,59.7922973320062,71.2787873669067,-11.5232342285596,-0.0164308120742441,2.61655970969441,2.60877768551367,12.0058925645449,17.118046456423,,,,,,,,,0.994594252125211,0,,51.1172472147488,medium,high,62.1393211605383,-61.6072575036505,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
7,6/20/25,6:49:18 PM,3,1,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Stanek,,Left,Normal cornbelters,Windup,1,Bottom,2,0,0,Cutter,,BallCalled,,,,,,,85.4340148565163,-1.29683810697417,-3.98355446840007,2578.48741013836,146.674527747552,11:00,5.8650490973271,2.79034361734983,6.000000192,-30.4938922412759,8.7448053020301,-4.76720789253486,2.11549283256941,-1.31519108734581,76.711466614214,-7.04411475815837,-4.88569213165161,0.450846615836754,,,,,,,,,,,,1.18254604451077,5.1908940962282,-2.46259024975595,50,5.74154543366867,8.76978686933943,-123.827361628914,-3.74804391569169,1.79073717819436,30.4166858266084,-24.3134448430945,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,469bbf0c-bffc-40e0-b22f-894f80126387,85.6777875325952,5.86121969333467,2.79181089845931,-1.2526587699226,-4.00119755310705,76.9039793582715,2.11921311503575,-1.31609487623042,-6.98610962237398,-4.89942296775299,0.450650865382921,-4.59793380950856,6.82908423393022,-75.8307028419662,48.8545953871666,631.182380866962,-2500.04122492513,24.47878466985,-0.204535715808223,-0.969576665410586,0.134485058092363,,,,,,,,,,,,,,,,,0.997603993400675,0,,,medium,high,46.03086415155,-38.7276352760466,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
8,6/20/25,6:49:33 PM,3,2,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Stanek,,Left,Normal cornbelters,Windup,1,Bottom,2,1,0,Cutter,,BallCalled,,,,,,,85.3097349485292,2.04798067706212,-1.56340658839935,2504.64496357364,135.15337590073,10:30,5.71146346891111,2.75466907566027,6.000000192,-31.9196805712377,7.30419755744237,-4.66111605422738,4.9563903708101,0.912861798588363,76.1249495585096,-4.01711884059338,-2.44970495072553,0.450761471396366,,,,,,,,,,,,1.97548034065726,3.23627831420215,-2.62460130050126,49.9999999999999,5.85999554991792,3.52376928032592,-123.852768603197,3.44844528231144,2.99258177223533,30.438807093261,-27.2715318065825,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,3e90715b-5bcd-4968-bb76-338ab5b80499,85.56270786649,5.70705611435959,2.75631442743487,2.09887313228273,-1.58322243587714,76.3227539143148,4.96064857365494,0.911820132423379,-3.95159651513734,-2.46525665204607,0.450558839563329,-4.47219287359172,5.3103516546903,-74.6328405159472,52.2814633828871,663.739599296689,-2415.09754210472,26.5003467137977,-0.187886692281814,-0.964247459112468,0.1868834622393,,,,,,,,,,,,,,,,,0.990345327163895,0,,,medium,high,42.9466829554016,60.5508062994926,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
9,6/20/25,6:49:52 PM,3,3,Alexander Morrison,,Right,Springfield lucky horseshoes 2025,Jackson Stanek,,Left,Normal cornbelters,Windup,1,Bottom,2,2,0,Cutter,,InPlay,,Popup,Out,1,0,,86.3393603212937,-0.661189365002762,-4.5096918429242,2465.00754751787,150.579398390255,11:00,5.78634229467069,3.64258499531631,6.000000192,-29.757563766144,8.70457100801412,-3.93981182909137,2.69010422408694,-0.885688378673479,77.4004169566004,-6.27704548780169,-5.25435688028826,0.446363028054142,61.7925944995464,44.0735993587521,-19.0156033760883,,-34.5586278321506,104.430365518208,52.6336512960591,184.567094499184,,-18.5954805735602,3.60151175049474,0.547512113635111,4.94619666413196,-3.27221642118416,50,5.71514599159494,9.98746639192275,-125.076952105421,-2.37247979549555,0.84581594982208,31.0615672885626,-24.5329911960705,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,ade5f392-5c7b-4299-8029-cbd729f2a36c,86.5902792662798,5.78270960294262,3.64430935645256,-0.61970446592217,-4.53015989195102,77.5977863997275,2.69369640368568,-0.886799957631882,-6.22190613034584,-5.27094074852545,0.446164665839899,-3.74414208993659,6.83846208255852,-76.534395458634,58.5384119901431,574.005559416186,-2397.24421515192,23.2861582916522,-0.202831111078267,-0.972509888485259,0.114385563674546,-14.4649303418562,41.9720728993048,42.981805705741,1.02346071089415,0.912489823332612,2.64028815012388,-58.8555947640105,174.931504700684,,,,,,,,,0.997052742825395,0,,26.9597484806068,medium,high,37.3154292088711,58.2867961155685,54.6670017493439,Nathan Hanel,,Springfield lucky horseshoes 2025,2022-11
10,6/20/25,6:52:12 PM,1,1,Cole Noreuil,,Right,Normal cornbelters,Nolan Decker,,Right,Springfield lucky horseshoes 2025,Windup,2,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,91.2914679782102,-0.638960916911168,-2.91221730987492,2008.00151290236,227.608854108814,1:30,4.77994567026961,0.89533207166501,6.000000192,-18.5286201198662,15.6400282648627,14.0287068356566,2.58228759238726,-1.19922495169427,82.1172838434447,-4.1736318636813,-5.12873043706233,0.420710887377782,,,,,,,,,,,,-8.42968139613445,8.29603332968538,-0.665869785420625,50,4.71669756119853,6.28781277928053,-132.522833437508,-2.11492553201218,-14.6717141670491,33.9457080070679,-17.7349475590512,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,418339cc-4263-41b9-b439-6177cadb12e6,85472525-e101-4afc-899b-f5ac959aac6b,91.5445737993618,4.78097291285974,0.902337562210727,-0.652361163453321,-2.99625366279779,82.3231125010499,2.58198006408875,-1.20426556353763,-4.17723700475419,-5.21079097050927,0.420536268426066,14.828785396938,14.7246703734916,-21.7704792127473,70.1865115622823,1864.78490945413,-744.746478535027,92.8677044052011,-0.626103163732221,-0.370889401103373,-0.685883284906174,,,,,,,,,,,,,,,,,0.995018720810309,0,,,medium,high,26.8321395939458,50.2078667440537,54.6670017493439,Kannan Kleine,,Normal cornbelters,2022-11
