PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/21/2025,6:33:32 PM,1,1,Luka Zachman,,Right,Normal cornbelters,Paul Wittmann,,Left,Danville dans 2025,,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,84.76389517,-0.732073194,-6.359142509,2368.351592,208.6327882,1:00,5.699767715,5.152172419,6.000000192,-19.96981744,19.98767913,8.598412008,3.35098251,-0.065827917,75.86398317,-4.503598314,-4.741911232,0.454957321,,,,,,,,,,,,-6.788705488,11.05556631,-4.637037474,50,5.628190301,13.38510388,-122.4611104,-2.184571624,-10.1083161,28.57722189,-15.71241944,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,f61dbfe9-e103-4cee-aa9a-ba83176f735c,85.01902808,5.702228166,5.157496384,-0.762274532,-6.421287588,76.07228929,3.349965893,-0.069876851,-4.51722088,-4.802932614,0.454754613,9.187717502,18.93722507,-34.33535946,76.79321104,1955.667181,-1335.834998,82.57503603,-0.724768436,-0.564035763,-0.395694796,,,,,,,,,,,,,,,,,0.952245155,0,,,medium,high,20.88611006,8.575337283,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
2,6/21/2025,6:34:28 PM,2,1,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,78.11642219,2.765172177,-2.198612657,2183.310286,18.33411321,6:30,5.31666829,2.584869888,6.000000192,-63.88865079,-16.81537858,-7.130984891,2.566439169,-0.053759119,70.14083571,-9.323326723,-3.556162911,0.493808677,,,,,,,,,,,,3.062172366,-10.12819922,-2.401597134,50,5.505531765,4.548538753,-113.2707463,3.684251325,3.860575047,26.39549446,-44.94298239,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,fb13197d-0701-440a-b94a-88394ea96a66,78.2364789,5.299265867,2.584772302,2.972907949,-2.197676623,70.18537254,2.57953486,-0.05357753,-9.120722138,-3.553124497,0.493709025,-7.138089507,-20.66697591,-22.31928775,71.9045446,2019.740885,-829.1505052,92.50819265,0.878123253,-0.379767599,0.290991621,,,,,,,,,,,,,,,,,0.996505441,0,,,medium,high,25.28590986,-0.523188738,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
3,6/21/2025,6:34:41 PM,2,2,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,0,1,Curveball,,Foul,,,,,,,79.57224721,1.600456168,-1.992829366,2269.957041,20.3853274,6:45,5.341662216,2.289831747,6.000000192,-59.9225746,-14.6188411,-7.537330087,1.836855318,-0.19114936,71.55489459,-9.72582857,-3.428482443,0.484438353,80.00501893,-21.28214284,76.09096851,,-107.2036834,-24.64488313,30.21179692,6.098931712,,58.45804492,0.012745568,3.355425241,-8.513927642,-2.123111647,50,5.437718714,4.233567973,-115.4826666,1.516979716,4.395010723,27.52918924,-43.32578166,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,0f06e3f7-d31b-46e1-a41c-0e8b44699f3e,79.70598566,5.325763413,2.29064763,1.791392728,-2.003014214,71.61760998,1.849243722,-0.19158684,-9.535612092,-3.435094829,0.484323928,-7.438643409,-18.27287076,-34.02502157,70.66722587,1881.325155,-1270.165591,82.8793286,0.776886976,-0.559554903,0.288695233,72.36314661,17.92017391,-29.03868856,0.75826143,2.8560447,1.841533005,5.197859281,3.190490076,,,,,,,,,0.995490342,0,,35.9625478,medium,high,26.39949672,-10.51180593,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
4,6/21/2025,6:34:57 PM,2,3,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,0,2,Changeup,,BallCalled,,,,,,,78.98529341,0.112654934,-2.347720303,1677.599035,229.5973171,1:45,6.046432617,3.067749582,6.000000192,-30.21406112,15.39679104,14.87456912,3.633382938,2.124118695,70.81086326,-5.612123248,0.478310653,0.486077609,,,,,,,,,,,,-8.849786573,8.292087735,-2.8850157,50,6.038136196,4.278171164,-114.7150304,-0.637462666,-11.53787342,25.49616709,-21.36327377,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,0cf02c7b-a5eb-491a-9f86-cc8161d2708b,79.21233445,6.045260917,3.075117049,0.125095328,-2.435499329,70.98920242,3.63519389,2.118518654,-5.582896422,0.390965831,0.485869773,15.69964214,13.65474059,-11.15964278,12.53493071,1645.878529,-324.6881421,98.10917238,-0.635900056,-0.193543353,-0.747109155,,,,,,,,,,,,,,,,,0.964243523,0,,,medium,high,78.71856236,-47.16762022,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
5,6/21/2025,6:35:10 PM,2,4,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,86.18291763,3.900165578,0.337938754,,,,4.400113416,1.000454144,6.000000192,,,,4.998869575,1.314535927,76.67435599,-3.016053325,0.337938754,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,7bc3c33c-31e6-47fb-9320-fc5743edea6d,86.43014843,4.394098951,1.000454144,3.97163263,0.337938754,76.8652813,5.004262812,1.314535927,-2.929769369,0.337938754,0.446535717,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
6,6/21/2025,6:35:24 PM,2,5,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,2,2,Curveball,,BallCalled,,,,,,,77.9820013,0.912754584,-2.971406504,,,,6.490843515,3.202322661,6.000000192,,,,3.644381186,0.438237766,70.00951191,-7.476904715,-2.971406504,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,cf2f9479-9341-41de-bb77-2e45d21b5768,78.19737959,6.483161188,3.202322661,1.002012373,-2.971406504,70.16554458,3.65122611,0.438237766,-7.373642029,-2.971406504,0.493134727,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
7,6/21/2025,6:35:38 PM,2,6,Luka Zachman,,Right,Normal cornbelters,Joshua Martin,,Left,Danville dans 2025,,1,Top,1,3,2,Curveball,,BallCalled,Walk,,Walk,0,0,,77.82704487,4.141945749,-0.131329746,2286.504941,21.0297286,6:45,5.358740757,1.421276296,6.000000192,-64.32095484,-16.94231451,-7.894428393,3.854889003,0.641349981,69.66606097,-8.054031946,-1.63561522,0.495407776,,,,,,,,,,,,4.230127379,-10.66253082,-1.406032314,50,5.659667178,0.479321043,-112.7904683,6.36903158,5.30212261,25.67595747,-45.53866977,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,b92aab07-770b-4e54-bd55-71adbe299e52,77.95113771,5.340625527,1.420779154,4.355940756,-0.12564212,69.71142975,3.868689745,0.641827535,-7.847539926,-1.628189495,0.49530912,-7.946164872,-20.75245966,-23.57167055,89.16740801,2095.720262,-914.363948,91.65605655,0.85551246,-0.399895899,0.328909868,,,,,,,,,,,,,,,,,0.997439503,0,,,medium,high,9.749332793,-16.41920057,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
8,6/21/2025,6:36:07 PM,3,1,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,84.13759539,-1.121542544,-4.230486646,2302.041066,199.6364345,12:45,5.67237765,3.450314083,6.000000192,-22.43153869,17.90502048,4.361900843,2.75774681,-0.125142335,75.42497589,-5.361741289,-3.405372438,0.457110236,,,,,,,,,,,,-3.797013858,10.06739202,-3.107619259,50,5.567775885,8.888163463,-121.9504013,-3.075640235,-5.598640006,28.65219078,-17.32983099,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,45fbe82b-c28c-41cd-95e1-82175d0c620f,84.38961863,5.673509563,3.454165765,-1.13654764,-4.276485045,75.63376167,2.757743268,-0.128070984,-5.360268869,-3.450427668,0.456905137,4.79638203,16.63496573,-46.70131671,92.00128328,1578.743498,-1675.399068,68.58016226,-0.645918108,-0.727788523,-0.230464018,,,,,,,,,,,,,,,,,0.99546483,0,,,medium,high,7.19884505,24.9394481,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
9,6/21/2025,6:36:34 PM,3,2,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,0,1,Fastball,,StrikeCalled,,,,,,,84.9461944,-1.026732838,-4.912093936,2234.977607,201.8269929,12:45,5.674804849,4.346092205,6.000000192,-21.74587361,17.89520621,5.050490299,2.90478948,0.190479479,76.10788068,-5.136198353,-3.958268366,0.453152375,,,,,,,,,,,,-4.400416551,10.0295389,-3.947920687,50,5.578265507,10.41701425,-123.0101208,-2.879335721,-6.602368381,29.12653935,-17.12576728,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,857d9e25-6d6d-4108-aef1-2c4a1f87bc74,85.19993118,5.676082767,4.350105112,-1.043440784,-4.959984754,76.31870692,2.904648989,0.187391694,-5.136817013,-4.005534817,0.452950036,5.503378891,16.67379755,-45.45459347,93.27571279,1567.77932,-1592.856838,70.14742854,-0.651186132,-0.712694764,-0.2608118,,,,,,,,,,,,,,,,,0.997091915,0,,,medium,high,6.051858488,-87.47089828,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
10,6/21/2025,6:36:51 PM,3,3,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,84.64789423,0.212594365,-3.894908764,2262.527429,207.2783247,1:00,5.58191041,2.566141998,6.000000192,-22.27069162,17.55933638,7.042925117,3.924061526,-0.472437467,75.67032004,-4.009545904,-2.560496946,0.454231061,,,,,,,,,,,,-5.142055736,9.427900169,-2.252469073,50,5.586382577,8.142498074,-122.7576682,-0.22433039,-7.676930979,29.19590076,-18.09848476,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,bdb03741-0725-4a36-b70b-c29c54482262,84.90355362,5.583263539,2.571101579,0.19483928,-3.954378031,75.88148985,3.923891184,-0.476347095,-4.010587575,-2.619349519,0.454024086,7.602860646,16.30138991,-42.96641203,92.7834558,1655.612077,-1542.069718,73.17533728,-0.650375577,-0.681569513,-0.335372342,,,,,,,,,,,,,,,,,0.98674418,0,,,medium,high,6.494889783,59.9527308,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
11,6/21/2025,6:37:05 PM,3,4,Luka Zachman,,Right,Normal cornbelters,Jorge santana Ii,,Right,Danville dans 2025,,1,Top,1,1,2,Curveball,,InPlay,,GroundBall,Error,0,0,,79.05964498,2.612970872,-1.712646867,2215.360702,17.01752259,6:30,5.262120272,2.226174203,6.000000192,-61.93670985,-16.04171651,-6.464960996,2.531977184,0.095230029,70.97066727,-9.1122981,-2.944128364,0.487589313,,,,,,,,,,,,2.88131249,-9.647030422,-2.082912916,50,5.439592701,3.612819421,-114.6903751,3.477934691,3.726342244,26.95059794,-44.65035582,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,4482ed8b-36d9-47c6-a396-352e6233dfa7,79.18841145,5.245291381,2.226975182,2.813909396,-1.722559236,71.02540432,2.545377668,0.094762807,-8.913961619,-2.950964879,0.487480972,-6.369530082,-19.75943315,-28.49466815,89.94718533,1946.995253,-1056.897595,87.88615104,0.840380819,-0.477076981,0.257211261,,,,,,,,,,,,,,,,,0.983344499,0,,,medium,high,9.047533199,74.93238788,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
12,6/21/2025,6:37:42 PM,4,1,Luka Zachman,,Right,Normal cornbelters,Ben Fabbian,,Right,Danville dans 2025,,1,Top,1,0,0,Fastball,,Foul,,,,,,,85.46337332,-1.757958911,-2.456887853,2302.493503,203.7709228,12:45,5.708960648,2.145174138,6.000000192,-21.29977954,17.66503592,5.64045402,2.298126409,0.330395387,76.69501251,-5.785237154,-1.386545989,0.449270429,76.73234656,-10.82724864,-78.13891582,,108.2796748,-19.37813247,9.922412559,13.2947617,,-63.80523014,0.112577443,-3.882628101,10.15078847,-1.948192809,50,5.55325651,5.14880813,-124.0641554,-4.469921506,-5.926857029,29.5852806,-16.67880502,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,b7a193af-16e8-4edc-a107-c899bd81140a,85.71609076,5.710296396,2.149513453,-1.775189536,-2.508321894,76.90170794,2.297940648,0.327091839,-5.786648795,-1.436558394,0.449068462,6.123447665,16.47136991,-43.02774058,85.20468743,1683.176657,-1571.111923,73.10234119,-0.669006563,-0.682352381,-0.294661581,-73.75719818,15.49076573,-14.41405222,-0.295269802,3.34565007,2.487692735,-11.92937197,5.868626176,,,,,,,,,0.980401472,0,,31.90292775,medium,high,13.31578131,44.67850073,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
13,6/21/2025,6:38:05 PM,4,2,Luka Zachman,,Right,Normal cornbelters,Ben Fabbian,,Right,Danville dans 2025,,1,Top,1,0,1,Curveball,,InPlay,,GroundBall,Single,0,1,,77.27041025,2.901581717,0.045343941,2259.960613,18.44532342,6:30,5.305154606,0.879931403,6.000000192,-65.30787276,-17.30099496,-7.209490495,2.561851858,0.321282878,69.40407824,-9.464851891,-1.329744418,0.498681496,95.83378384,-2.495453864,-46.514362,,,,,38.1470504,,-43.9424343,0.277841276,3.924005464,-10.42972777,-0.879478493,50,5.504143561,0.11143927,-112.1208646,3.869626613,4.852097471,25.67718589,-45.07057998,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,ea238fa5-8659-4f24-b69e-d2008eb9dc3f,77.38465935,5.287212712,0.879745089,3.115969685,0.047363053,69.44147421,2.575689982,0.321528971,-9.257902502,-1.325820447,0.498585303,-7.226820231,-21.20215196,-23.17478522,34.27251773,2077.601261,-889.3789804,91.93086151,0.872080075,-0.393537381,0.290868823,-69.46596567,65.8876546,-4.172614229,0.076294813,1.701428284,2.707829682,-26.47158453,27.46730177,,,,,,,,,0.995402348,0,,55.30272498,medium,high,120.845266,-1.957447093,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
14,6/21/2025,6:38:48 PM,5,1,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,86.55931781,-0.781714496,-3.187876881,2244.691967,199.7123282,12:45,5.995681959,2.249596604,6.000000192,-20.01485272,18.01638815,4.804018144,3.600085827,-0.315922226,77.48881231,-4.573606755,-2.276926697,0.443855668,,,,,,,,,,,,-3.686211178,10.01411989,-1.992441146,50,5.920323332,6.846077722,-125.6166036,-2.342881744,-5.764009261,30.5200505,-16.51529403,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,9ecc0be8-9f1c-467a-8bd5-b0aa29b5a1a9,86.81681524,5.997297328,2.253288126,-0.802518224,-3.232379102,77.70337994,3.599632953,-0.318811393,-4.579110428,-2.320946873,0.44365624,5.222932108,16.85958318,-42.87502794,66.02845821,1644.998968,-1527.291858,73.28395132,-0.689893646,-0.680401534,-0.247185173,,,,,,,,,,,,,,,,,0.996599631,0,,,medium,high,30.57438761,65.82745445,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
15,6/21/2025,6:39:18 PM,5,2,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,87.40689576,-0.542289484,-2.572694055,2215.866872,199.9219687,12:45,5.939932817,2.217419041,6.000000192,-20.02871471,17.23979138,4.689170848,3.766349185,0.21552949,78.20703441,-4.34015,-1.682521202,0.439382256,,,,,,,,,,,,-3.417686985,9.51391333,-2.010432877,50,5.884129532,5.55448491,-126.9174091,-1.835453116,-5.452896451,31.26303911,-16.99466526,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,675838be-5c0b-4568-ba76-c761561c07cc,87.66674327,5.941346944,2.221119765,-0.560645845,-2.617261507,78.42375191,3.766042482,0.212599156,-4.343460548,-1.726633883,0.439182702,5.107667635,16.06952865,-44.53598409,66.08890905,1579.492295,-1554.113922,71.2810104,-0.670153799,-0.701357081,-0.242882955,,,,,,,,,,,,,,,,,0.899534187,0,,,medium,high,30.51998186,-88.26396155,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
16,6/21/2025,6:39:43 PM,5,3,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,,1,Top,1,2,0,Fastball,,InPlay,,LineDrive,Single,0,1,,86.62578705,-1.93179866,-2.497631883,2141.282961,203.1105173,12:45,5.816425945,1.654634014,6.000000192,-19.94973235,17.98071556,5.708127144,2.356158215,-0.192443432,77.72969163,-5.703474727,-1.414579431,0.44326711,95.62506323,13.14220323,19.73614943,2825.60867,45.24553543,100.2638594,17.58496484,225.3732266,,29.29941643,2.151738957,-3.931754009,10.37920372,-1.454367309,50,5.6473094,5.30566176,-125.7367871,-4.870325917,-6.165758434,30.35125894,-15.89743036,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,e01b3440-765a-4635-bca9-fb2466d1cb4b,86.88098068,5.818001988,1.658714114,-1.951679509,-2.545817746,77.93773573,2.355761259,-0.195495116,-5.708232146,-1.461411607,0.44306987,6.160991722,16.85419635,-39.19384975,82.170872,1659.520684,-1353.175458,77.50123238,-0.712817169,-0.63194612,-0.304196952,31.44579426,87.65040771,21.74214271,0.168548718,0.524848559,2.239197102,110.2917004,196.5421891,41.03874142,3.301357902,0.24668676,0.2831847,0.081565918,-0.955590617,,,0.996952685,0,0.952367186,54.91188523,medium,high,16.0462152,16.11092701,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
17,6/21/2025,6:40:15 PM,6,1,Luka Zachman,,Right,Normal cornbelters,Jake Ottensmeier,,Left,Danville dans 2025,,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,76.90703163,3.606710349,-2.766234594,2133.832556,20.43139974,6:45,5.074393633,3.208702261,6.000000192,-64.08330404,-15.4335087,-7.495513028,3.094522126,0.011155786,68.92510489,-8.523766827,-4.190903382,0.50200961,,,,,,,,,,,,3.058082993,-9.677521335,-2.978894339,50,5.332057269,5.588530812,-111.384421,5.261639539,3.731251265,25.37034563,-43.98185984,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,d4bac211-bb8d-4cc8-8b0f-2635b813387c,77.03567963,5.056935417,3.209118501,3.813026176,-2.771472016,68.97701068,3.108033136,0.010987962,-8.321530384,-4.193248064,0.501900606,-7.443973648,-19.30107513,-27.32602963,29.16825428,1895.715563,-979.5426889,88.84087733,0.832519707,-0.459053212,0.310130756,,,,,,,,,,,,,,,,,0.994471277,0,,,medium,high,116.2514288,-12.21317642,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
18,6/21/2025,6:40:29 PM,6,2,Luka Zachman,,Right,Normal cornbelters,Jake Ottensmeier,,Left,Danville dans 2025,,1,Top,1,0,1,Curveball,,InPlay,,FlyBall,Double,0,1,,77.50853296,3.013835546,-1.447000379,2012.491971,19.30063264,6:45,4.840031259,1.805162088,6.000000192,-62.60894375,-14.86688603,-6.858458512,2.427139297,-0.111495137,69.54485654,-8.843422477,-2.753388425,0.497304157,80.64949923,27.77029811,-24.44312262,,-45.13469446,100.3138044,39.2311123,245.0109678,,-24.34503725,3.111127196,3.193581102,-9.148930453,-1.683326977,50,5.049811502,3.030759352,-112.4210023,4.177514694,3.971054636,25.77000323,-43.55027631,Normal Cornbelters,Danville Dans 2025,,,,51bc8f08-a4d1-45ed-a140-f8c3abb25a55,eb53bd16-0fa2-4f8a-a866-230348c8869d,77.64103829,4.823080234,1.805876316,3.213529251,-1.455755247,69.60196602,2.440312588,-0.111878733,-8.647780867,-2.758977108,0.49718947,-6.773929091,-18.62464456,-30.00315894,25.08799223,1742.813686,-1006.342083,86.59978332,0.817326419,-0.500047751,0.286233773,-29.52824228,64.96463767,37.57686105,-0.142206372,1.92264959,2.655933758,-101.0010276,223.2244761,,,,,,,,,0.997351783,0,,44.92157909,medium,high,112.579193,-11.94090795,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
