PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/1/2025,6:33:39 PM,1,1,Nicholas Currie,,Right,Normal cornbelters,Nick Venteicher,,Right,Clinton lumberkings 2025,,1,Top,0,0,0,Fastball,,InPlay,,FlyBall,Out,1,0,,86.22938719,-1.353244075,-5.478978943,2041.7105,229.743494,1:45,5.591446199,3.665846116,6.000000192,-22.62301635,15.83937957,15.55033261,2.442490854,-0.145999563,77.31598826,-5.628937933,-2.543214725,0.446364543,86.58371064,40.52831058,-1.919547244,,-3.146278059,109.954995,70.64104621,292.2874078,,-1.813976332,4.404724257,-10.22859145,9.013781461,-3.227214692,50,5.467566877,11.48258444,-124.7623315,-3.665594548,-15.82687428,29.38859318,-18.22687155,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,9fc7a5aa-4dfb-45b4-9040-04695e4adf90,86.46723115,5.591903673,3.673598666,-1.359594206,-5.570198094,77.50444185,2.442869928,-0.151804436,-5.621686456,-2.633152986,0.446187243,16.41450315,14.67058305,-14.03376311,41.11663714,1980.771563,-495.1017887,97.01529982,-0.626923192,-0.242493629,-0.740381085,-2.204414542,65.77404723,56.26414681,0.28828821,2.232424117,2.783371409,-9.25223244,292.1409334,,,,,,,,,0.993257174,0,,46.86109398,medium,high,52.99502657,60.18794864,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
2,7/1/2025,6:34:11 PM,2,1,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,80.03869965,1.261043871,-5.609255883,1621.113258,238.2290332,2:00,5.129484964,4.629907094,6.000000192,-31.78820981,12.92632917,16.50119824,3.658302743,0.77508082,71.55508818,-4.75362155,-2.492196378,0.48127788,,,,,,,,,,,,-10.81225729,6.565288543,-4.181104645,50,5.214292682,10.89400409,-115.7730005,1.642785998,-14.38585592,25.58219156,-23.43884356,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,76d6c941-b640-461c-be8e-ab34239467ea,80.26653664,5.127334965,4.637989035,1.28494766,-5.704820487,71.73152126,3.660838758,0.768827586,-4.713630677,-2.587467526,0.48108049,17.4054398,11.20547497,-10.73459914,89.29019354,1592.744584,-301.9484784,98.25004988,-0.51731114,-0.186259952,-0.835282236,,,,,,,,,,,,,,,,,0.97818763,0,,,medium,high,9.638825814,81.29220229,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
3,7/1/2025,6:34:26 PM,2,2,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,85.84944544,-1.851626568,-5.73989584,1951.671165,228.4713674,1:30,5.707484923,4.422070933,6.000000192,-23.11569278,15.73236157,14.28917253,2.051012986,0.260294376,77.05589487,-6.214193201,-3.045127116,0.448596787,,,,,,,,,,,,-9.629170623,9.120318211,-3.961251722,50,5.542435022,12.03402122,-124.1290737,-4.749751328,-14.75241689,29.0309425,-18.20122246,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,ea84d373-d285-49a0-994c-caf826ea94ff,86.08655348,5.707882529,4.429338521,-1.857373133,-5.826292659,77.24640203,2.051448315,0.254733218,-6.205953415,-3.131126426,0.448418545,15.1086711,14.55808025,-20.5365928,70.01372513,1827.639207,-684.6570421,93.6448332,-0.620859853,-0.350805532,-0.701048159,,,,,,,,,,,,,,,,,0.996856036,0,,,medium,high,26.98764739,-61.38479716,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
4,7/1/2025,6:34:42 PM,2,3,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,1,1,Changeup,,StrikeSwinging,,,,,,,80.3694571,-0.588335924,-6.237193138,1615.611824,236.8563894,2:00,5.452817454,4.312381232,6.000000192,-31.17318565,13.2071254,15.37254726,2.304980883,-0.226388176,72.13632205,-6.468966511,-3.340879177,0.479475801,,,,,,,,,,,,-10.38870398,7.336582077,-3.81123478,50,5.386524018,12.2485445,-116.1514311,-2.103914677,-13.93076859,25.4937431,-22.33603443,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,a40d40b2-3d8e-44ed-b382-20312a4ccc44,80.59348605,5.451011819,4.320185165,-0.567861875,-6.330515657,72.31156588,2.307279098,-0.232528606,-6.432665552,-3.433929053,0.47928434,16.25863561,11.59383741,-19.18667925,59.58529961,1525.869114,-530.9661112,94.44528022,-0.516369588,-0.328647082,-0.790792985,,,,,,,,,,,,,,,,,0.994964311,0,,,medium,high,36.37323035,63.23661154,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
5,7/1/2025,6:34:57 PM,2,4,Nicholas Currie,,Right,Normal cornbelters,Colin Coonradt,,Left,Clinton lumberkings 2025,,1,Top,1,1,2,Changeup,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,80.92614542,-0.75045242,-8.17543564,1633.112258,237.953103,2:00,4.894508318,5.552494116,6.000000192,-30.8601168,13.22606584,16.05360578,1.618164843,-0.759893235,72.62072991,-6.554135544,-5.173237485,0.477884308,,,,,,,,,,,,-11.36749669,7.395531227,-4.89133661,50,4.814823015,16.26456214,-116.465814,-2.439794555,-15.35110696,25.30339752,-22.18683833,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,cbd4cc4e-6560-4321-a5d5-17fd2a969dcf,81.15041116,4.892687416,5.560402949,-0.729683064,-8.269477319,72.79691053,1.62046175,-0.766191547,-6.517809865,-5.267705362,0.477698283,16.95384149,11.70316921,-16.74455101,58.50628122,1563.866279,-470.5081362,95.7598764,-0.508114564,-0.288105202,-0.811674185,,,,,,,,,,,,,,,,,0.991759867,0,,,medium,high,37.3443469,70.74114796,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
6,7/1/2025,6:35:24 PM,3,1,Nicholas Currie,,Right,Normal cornbelters,Jalen Martinez,,Right,Clinton lumberkings 2025,,1,Top,2,0,0,Slider,,BallCalled,,,,,,,80.49675488,-1.19774253,-7.001974263,2289.054238,261.2428518,2:45,5.293911892,4.560273916,6.000000192,-39.00630878,5.642561326,0.172231309,0.921683774,-1.965555015,72.43582755,-8.506321568,-6.9696689,0.480924341,,,,,,,,,,,,-2.561438042,3.478657059,-3.987174298,50,5.173095535,14.25260894,-116.0855667,-3.570151841,-3.408753847,26.7436577,-27.5446635,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,ad48fc06-7447-48c9-a855-3942d63d3c37,80.72230692,5.28821682,4.56519674,-1.131376122,-7.060506147,72.60759932,0.927106453,-1.969153567,-8.424047801,-7.023196632,0.480725459,0.732695198,3.339672695,-84.81663935,50.15603966,206.8008211,-2279.693559,9.034334691,-0.013754476,-0.995910679,-0.089290172,,,,,,,,,,,,,,,,,0.995846814,0,,,medium,high,44.85956431,50.39459968,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
7,7/1/2025,6:35:45 PM,3,2,Nicholas Currie,,Right,Normal cornbelters,Jalen Martinez,,Right,Clinton lumberkings 2025,,1,Top,2,1,0,Fastball,,InPlay,,FlyBall,Out,1,0,,87.24070933,-1.268611703,-5.182450011,2089.166884,227.6048551,1:30,5.639360329,3.097821951,6.000000192,-21.44266071,16.10977035,14.50643027,2.668399088,-0.523023437,78.18323322,-5.323725658,-2.441757106,0.441052767,94.60716005,23.40794804,-8.663787349,1120.122879,-15.57175306,108.8922426,42.13193907,341.6496324,,-8.244743621,4.135180058,-9.57294208,9.134241402,-2.68294568,50,5.523149607,10.99670689,-126.2868921,-3.484067249,-15.16961245,30.21931495,-17.69961728,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,0a6d58bd-b555-4ae3-88c2-bf1d938b5a6f,87.48463665,5.640285281,3.10537562,-1.280554774,-5.271160686,78.3768748,2.668434917,-0.528732077,-5.321783712,-2.528723197,0.440873001,15.3449278,15.00270853,-19.99396766,92.8530156,1963.24992,-714.3304679,93.97286238,-0.633602449,-0.34192121,-0.694001313,-13.0783628,85.83025724,37.58507817,0.281531537,3.479104702,3.043240067,-48.99318238,338.1185286,-6.952147676,57.94273185,1.069755655,0.952920087,0.303217888,-0.001489887,,,0.987872921,0,0.979073622,54.07726199,medium,high,6.432285961,-28.37043191,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
8,7/1/2025,6:37:48 PM,1,1,Brody Meyers,,Right,Clinton lumberkings 2025,Tyler Thompson,,Right,Normal cornbelters,,1,Bottom,0,0,0,Fastball,,BallCalled,,,,,,,88.45986002,-2.921645287,-4.678060593,1898.944245,191.343493,12:30,5.700141468,2.471103372,6.000000192,-17.12065569,19.45886616,2.528202215,1.546621671,-1.675660043,79.43114484,-6.144913586,-4.20082953,0.435301872,,,,,,,,,,,,-2.941813979,11.50890447,-2.090670033,50,5.451237027,10.39385889,-128.0049332,-7.101377892,-4.784496738,31.29410006,-13.45623932,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,a69833d4-3139-462c-a164-262e620c1c19,88.71872826,5.702177682,2.473187024,-2.946875226,-4.702669419,79.64559947,1.545756174,-1.677272694,-6.156491498,-4.224907503,0.435107842,2.760149514,18.46291103,-34.2205076,69.88753369,1570.197754,-1067.927085,82.68793346,-0.810726771,-0.562379379,-0.162639284,,,,,,,,,,,,,,,,,0.997026107,0,,,medium,high,27.10121968,74.03145786,54.66700175,Bryk Barnard,,Clinton lumberkings 2025,2022-11
9,7/1/2025,6:37:59 PM,1,2,Brody Meyers,,Right,Clinton lumberkings 2025,Tyler Thompson,,Right,Normal cornbelters,,1,Bottom,0,1,0,Fastball,,BallCalled,,,,,,,89.80530334,-3.336846818,-5.112957603,2011.57866,195.037092,12:30,5.52665449,3.670203668,6.000000192,-16.30429634,19.24582106,3.45031535,1.050804357,-0.806874709,80.66093682,-6.403072221,-4.462470283,0.429133128,,,,,,,,,,,,-3.579889531,11.52855936,-3.254621082,50,5.244006958,11.50398573,-129.820337,-8.127536999,-5.991568946,32.0636949,-12.87899658,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,bbe9aa31-cb7b-40ee-9d2b-76caac0b8578,90.06502945,5.528860665,3.672722229,-3.364034025,-5.142742286,80.87661738,1.049776712,-0.808832156,-6.41705187,-4.491798586,0.428945647,3.731458609,18.32606984,-36.23786692,64.20037286,1622.478597,-1189.122326,80.65697999,-0.778951293,-0.591138865,-0.209259945,,,,,,,,,,,,,,,,,0.991145808,0,,,medium,high,32.21966443,27.78193278,54.66700175,Bryk Barnard,,Clinton lumberkings 2025,2022-11
10,7/1/2025,6:38:10 PM,1,3,Brody Meyers,,Right,Clinton lumberkings 2025,Tyler Thompson,,Right,Normal cornbelters,,1,Bottom,0,2,0,Fastball,,Foul,,,,,,,89.9182694,-2.353836035,-5.51912597,2027.849206,194.4329203,12:30,5.703205479,4.284990459,6.000000192,-15.1172246,20.34712805,3.92758147,2.244370275,-0.533076084,80.60103358,-5.204411119,-4.779273478,0.428615173,79.22892178,24.00918617,68.15790079,,101.9804056,41.23101832,31.76537192,227.4716199,,68.0749439,2.742126737,-3.98402702,11.79899927,-3.836312662,50,5.501714071,12.43441005,-130.0039738,-5.858909833,-6.683206434,32.28963514,-12.38122504,Normal Cornbelters,Clinton LumberKings 2025,,,,91703472-b632-4519-a074-9907bc36731b,76fdd98a-b63b-4e99-a168-9358bd0962e7,90.18086103,5.706010861,4.287504995,-2.388048434,-5.548764692,80.81868292,2.242954701,-0.534942609,-5.225303555,-4.808578609,0.428430081,4.208664141,19.47621204,-30.3147243,65.99069847,1750.572994,-1023.555859,86.32658624,-0.836021289,-0.504749493,-0.215165876,67.17851656,26.92676381,32.23690975,1.270663323,1.752564197,2.611160172,211.0192922,84.93642439,,,,,,,,,0.799484277,0,,33.73775046,medium,high,30.60837138,20.64857073,54.66700175,Bryk Barnard,,Clinton lumberkings 2025,2022-11
