PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/4/2025,6:07:40 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Lucas Smith,,Right,Illinois valley shripm 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,83.43970523,1.345978723,7.930262592,1952.493967,128.576036,10:15,4.512150565,-5.570073707,6.000000192,-26.26714167,14.29010212,-14.30067135,3.546245862,-0.012586034,74.94259052,-3.727458776,1.729919641,0.463691649,,,,,,,,,,,,10.55445954,7.680403398,4.928435203,50,4.60751663,-16.29422993,-120.1175635,2.055973784,15.13198744,27.32205553,-21.16261246,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,109d2d2f-c02e-4dc7-b191-389788373dbc,83.68481477,4.512125151,-5.578067691,1.344622145,8.025034916,75.1364403,3.547237694,-0.006427833,-3.710913202,1.824020416,0.463498826,-15.19292059,12.86830762,28.45200352,93.42315495,1716.664944,930.2118908,87.92165164,-0.548237807,0.476422415,0.687355068,,,,,,,,,,,,,,,,,0.985712707,0,,,medium,high,5.919160548,-23.17995451,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
2,7/4/2025,6:07:57 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Lucas Smith,,Right,Illinois valley shripm 2025,,1,Top,0,1,0,Fastball,,StrikeSwinging,,,,,,,85.0322535,0.563642269,2.117710121,2058.278737,130.5264945,10:15,4.663274226,-2.214746841,6.000000192,-25.31964623,14.05649261,-13.33584878,3.07752409,-1.356984492,76.02056276,-4.242907882,-0.417291697,0.451635515,,,,,,,,,,,,7.945509621,7.413040709,2.049881099,50,4.694580047,-4.156995809,-123.5037926,0.43756709,11.99660907,29.74625158,-20.98139415,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,0964c775-0b5b-434d-8710-96cf0fc63acf,85.27780286,4.663317233,-2.222637055,0.561716243,2.210689924,76.21456529,3.078359892,-1.351023731,-4.22903331,-0.326554203,0.451438448,-14.20809626,12.63992733,32.46954838,68.34686566,1736.5222,1104.989596,84.36768885,-0.548220907,0.53685129,0.641283502,,,,,,,,,,,,,,,,,0.995931755,0,,,medium,high,28.4878209,82.46045819,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
3,7/4/2025,6:08:18 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Lucas Smith,,Right,Illinois valley shripm 2025,,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,84.59437204,1.185114521,3.79149599,2008.809604,126.6230474,10:15,4.362105619,-1.937144899,6.000000192,-26.45383679,13.43314918,-14.27493193,3.261630507,0.402222366,75.53874214,-3.834011341,1.083548433,0.454555726,,,,,,,,,,,,9.019429392,6.862698745,1.63611759,50,4.443559071,-7.693304893,-122.6695941,1.735053527,13.44652942,29.15214535,-21.94286128,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,c6d24a36-6997-41c5-ac85-577cc12a606e,84.83627522,4.361778527,-1.945228771,1.187470944,3.88834995,75.73241402,3.262755281,0.408565673,-3.815594439,1.180012641,0.454363535,-15.18685781,11.99745662,31.66744148,95.12970757,1709.717079,1054.601126,85.11095705,-0.50772751,0.524988094,0.683081457,,,,,,,,,,,,,,,,,0.995709273,0,,,medium,high,4.383263187,-19.94414166,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
4,7/4/2025,6:08:37 PM,1,4,Graham Kasey,,Left,Normal cornbelters,Lucas Smith,,Right,Illinois valley shripm 2025,,1,Top,0,2,1,Fastball,,InPlay,,Popup,Out,1,0,,84.04627117,-0.327796662,2.898532655,2032.253061,129.1889487,10:15,4.826577919,-1.74673125,6.000000192,-25.8403192,14.46513532,-14.2184652,2.368172149,-0.235425048,75.29178582,-5.224405329,0.198902438,0.456933957,,,,,,,,,,,,8.679049869,7.93737348,1.518659803,50,4.784887997,-5.745590678,-122.0131627,-1.484419744,12.80594731,28.75603733,-20.46244658,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,7d112fa4-f6f4-4047-9cda-45e24e0b2766,84.28406169,4.826501601,-1.754747754,-0.328225925,2.993165901,75.48000003,2.369088966,-0.22932224,-5.209286888,0.291852193,0.456740324,-15.10724704,13.0545005,27.6413754,90.76387131,1800.309546,942.8351088,88.5868783,-0.559762606,0.463935878,0.686607112,,,,,,,,,,,,,,,,,0.996329049,0,,,medium,high,8.31251582,11.18851935,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
5,7/4/2025,6:09:20 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Kyle Gibson,,Left,Illinois valley shripm 2025,,1,Top,1,0,0,Slider,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,8f3140ee-6805-4ce9-ac3a-d63e433b2cc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
6,7/4/2025,6:09:26 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Kyle Gibson,,Left,Illinois valley shripm 2025,,1,Top,1,1,0,Fastball,,Foul,,,,,,,84.53428304,0.603801757,4.070266692,2129.231974,130.4287926,10:15,4.811532292,-2.791545729,6.000000192,-25.91162067,14.02895084,-12.73019127,3.214839808,-0.063138485,75.56890154,-4.308764952,1.657508173,0.454860956,,,,,,,,,,,,8.272662252,7.383836592,2.466813228,50,4.845843555,-8.332894315,-122.5648756,0.503690753,12.31811515,28.99599025,-21.17940885,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,ffb661ac-3efe-4d7d-8270-bc0dde865e50,84.77978426,4.811531946,-2.79931371,0.602213011,4.162429903,75.76465065,3.215724946,-0.057134887,-4.293981364,1.748008407,0.454664898,-13.59812706,12.64417675,37.73108437,89.06308811,1683.991778,1302.996736,79.08916445,-0.512895218,0.611956213,0.602036617,,,,,,,,,,,,,,,,,0.995181782,0,,,medium,high,9.8432207,-42.98556005,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
7,7/4/2025,6:09:47 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Kyle Gibson,,Left,Illinois valley shripm 2025,,1,Top,1,1,1,Cutter,,Foul,,,,,,,78.25591698,0.412781821,1.713129999,2031.70476,179.2485876,12:00,4.861247683,-1.721618113,6.000000192,-35.76369794,10.73922722,0.92534036,2.264754372,-0.051859595,70.19923488,-6.361165016,1.88899767,0.490808029,74.50580076,44.95187104,-43.321623,,-74.6691548,80.77448435,71.69269758,238.4035125,,-43.0582292,4.232899929,0.092755537,5.669949544,1.581499699,50,4.874224796,-3.4263103,-113.6843257,-0.191774278,0.118559751,25.36977862,-24.92674308,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,c32a4695-cba9-4198-9c0f-16cb0840174a,78.49092317,4.857536471,-1.725126089,0.455751712,1.755547011,70.38430659,2.268761365,-0.049303051,-6.299380082,1.927604146,0.49058453,0.524615638,8.594965641,70.0521787,81.36927957,693.144975,1909.810011,34.11642226,-0.341134884,0.940003709,0.004474111,-36.17616759,38.36020145,52.63928372,0.138040382,1.393943272,2.381375314,-162.7679183,174.1919617,,,,,,,,,0.99492718,0,,36.91881468,medium,high,16.76764839,-46.42953316,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
8,7/4/2025,6:10:36 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Kyle Gibson,,Left,Illinois valley shripm 2025,,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,84.59375304,1.876278134,3.146791446,1929.774843,133.5807536,10:30,4.762827743,-2.197708256,6.000000192,-26.14975003,13.74724791,-11.52500024,4.330740695,-0.230572769,75.4265989,-3.089961483,0.958037893,0.454612771,,,,,,,,,,,,7.322225109,6.792546504,1.94779173,50,4.900828901,-6.394017007,-122.7039994,3.227275628,10.91069087,29.40511816,-22.05262146,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,c1a6d5aa-c804-4d5f-b2d3-61da7bfa65fa,84.84689835,4.762648146,-2.204984868,1.876752323,3.232689328,75.62827044,4.331793777,-0.224993239,-3.07272639,1.042216282,0.454407961,-12.33169733,12.27779227,39.48766288,66.73017035,1489.325974,1227.167098,77.17615241,-0.532034062,0.635912061,0.559066729,,,,,,,,,,,,,,,,,0.995666507,0,,,medium,high,29.94284669,74.78159314,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
9,7/4/2025,6:10:51 PM,2,5,Graham Kasey,,Left,Normal cornbelters,Kyle Gibson,,Left,Illinois valley shripm 2025,,1,Top,1,2,2,Cutter,,InPlay,,GroundBall,Out,1,0,,76.84525486,0.258569098,-0.353358203,2028.481833,209.0110521,1:00,4.843202413,0.399510532,6.000000192,-39.85997061,8.330159699,4.378390528,1.761856712,0.435963386,69.05188578,-7.285439266,0.479662416,0.499632376,60.2568063,-39.70518303,14.98942914,,-29.04470659,-106.0962064,57.6153448,3.079099663,,3.456501301,0.014356067,-2.492640543,4.419491799,-0.373256685,50,4.841239712,0.567189532,-111.6833579,-0.602994307,-3.074412255,24.51430012,-26.72306718,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,4bb5c824-0701-473a-8e21-1f8721abbe43,77.06863742,4.837601149,0.396945276,0.323769193,-0.322399319,69.22222267,1.767205079,0.437671091,-7.202708054,0.505766618,0.499411666,4.084378169,5.911919346,73.11090378,66.90630931,589.3147232,1940.991165,29.05200893,-0.254067422,0.956868893,-0.140895945,11.99009179,44.78067761,-38.4943024,-0.267184173,2.13191918,1.403931931,0.185641205,3.073498345,,,,,,,,,0.826477397,0,,26.83043027,medium,high,29.78432162,-22.16335967,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
10,7/4/2025,6:11:30 PM,3,1,Graham Kasey,,Left,Normal cornbelters,James Love,,Right,Illinois valley shripm 2025,,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,87.26214312,0.278638761,1.402651178,2025.922818,140.3056675,10:45,4.772720985,-1.715534111,6.000000192,-21.72856113,15.64103983,-10.85947171,3.22105223,-1.316614514,77.98637392,-3.847890836,-0.662458574,0.439977789,,,,,,,,,,,,6.361174772,8.369093078,1.607535445,50,4.782865842,-2.762033978,-126.7928568,-0.068673578,10.11933845,31.43357147,-18.86052049,Normal Cornbelters,Illinois Valley Shripm 2025,,,,cec108b1-cba0-489f-8617-e9a1812ce01f,76cd2cfc-bec6-40db-9479-f8a263e9a1fc,87.51562716,4.773681006,-1.721797311,0.265752841,1.478114392,78.19381897,3.221121266,-1.311625731,-3.84569889,-0.587147958,0.439782495,-11.56660052,14.38504685,33.17651213,90.82930507,1695.674523,1108.625805,83.69887088,-0.644031622,0.547220158,0.534577748,,,,,,,,,,,,,,,,,0.994631567,0,,,medium,high,8.253625433,76.50617347,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
