PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,07/07/2025,6:34:00 PM,1,1,Nicholas Currie,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.59065586807800,-1.450564332600170,-5.874958795875550,2056.96448552084,222.3328891970440,1:30,5.7244424890092800,4.583838172073210,6.0000001920000000,-22.514624531981400,17.506824086097600,12.882933729360100,2.4926704172481500,0.1780498320916390,75.87130540077820,-5.701451711394560,-3.4469185424735900,0.4553212553933500,,,,,,,,,,,,-8.917054665912040,9.947278091375510,-4.111086680453020,50.00000000000000,5.592574953232300,12.191285572337700,-122.30306674678400,-3.8010443861285600,-13.26037375195620,28.217424314904700,-17.381651171024800,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,c9c44688-28f6-41a1-be01-c66b7905779f,84.83191611746220,5.72551967887523,4.590651562170500,-1.4645731860793800,-5.955844945783950,76.06647721775410,2.492637245157900,0.17273698752032800,-5.7002850610077500,-3.5272445944638700,0.4551321012000910,13.649204331557500,16.360252989372900,-23.797565662843400,62.59957847505150,1882.0748053685400,-829.9983865592730,91.49768110322920,-0.6763917099465700,-0.40350642531833000,-0.6161792104918650,,,,,,,,,,,,,,,,,0.9973134154917260,0,,,medium,high,33.660379372453600,-85.12611273650040,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
2,07/07/2025,6:34:15 PM,1,2,Nicholas Currie,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,Stretch,1,Top,0,0,1,Slider,,BallCalled,,,,,,,75.40784959530010,1.1661746820530100,-2.9934002291274900,2250.8708604214400,59.22194000867770,8:00,5.412417886800710,3.6947460259748600,6.0000001920000000,-48.280558500856100,2.0357381378276100,-4.951257114131490,2.474503927500560,0.4975600366122880,67.75262401253150,-7.959453100125530,-3.933197231516100,0.5105353951238570,,,,,,,,,,,,1.6196169629996800,0.6885859924002040,-3.4478439608486600,50.00000000000000,5.479721955169680,5.855527833958480,-109.40619693204400,0.9193207862972350,1.9120079686176500,23.980671528275700,-31.361152503155600,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,f9ac5121-550e-4b06-b29b-5e7d4882fe00,75.61030078341730,5.403424929953440,3.6984424011025900,1.2723467688286400,-3.038135507706690,67.89680080964940,2.482635538456020,0.494978106830656,-7.837208668926400,-3.9717215869640100,0.5103318250357720,-4.526291758923790,-0.9277117894509790,-79.5529476475937,66.95812599217020,408.14320835249800,-2213.5579395557,18.13267991199100,0.09278744532640340,-0.9834228957681060,0.15578799077230600,,,,,,,,,,,,,,,,,0.9884830090887700,0,,,medium,high,29.737686607046800,51.9439077768303,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
3,07/07/2025,6:34:31 PM,1,3,Nicholas Currie,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,Stretch,1,Top,0,1,1,Fastball,,InPlay,,GroundBall,Out,1,0,,84.646003944248,-1.6817460890077900,-6.391317184751500,1970.5736464912100,224.9628847236340,1:30,5.594284236881260,4.41564087957509,6.0000001920000000,-23.170663782729900,16.864894309990700,13.568221702702200,2.0901643499438500,-0.41848486603217300,75.95978225175180,-6.0519290195224500,-3.8383341055450600,0.45540150957962100,82.11384137556540,-13.477400744561700,-43.63635206683820,,76.91543199988390,-78.63851675494180,16.374051974257000,9.567496416544630,,-35.224852344597600,0.07303571582793830,-9.449089261961970,9.67383306687053,-3.9007449408540700,50.00000000000010,5.44295201303363,13.279980406794600,-122.2557457095280,-4.31967478318271,-14.048499595342200,28.072937292296300,-17.79141056570570,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,15b53f60-532a-42d6-8188-cbaf0c7df31d,84.88528610604920,5.594981819874520,4.422696052162520,-1.69108010161669,-6.474449389754660,76.15249881449690,2.0904190013850000,-0.42400925669647100,-6.046441109517830,-3.9209630702914700,0.45521384737551100,14.356203901580700,15.700476108477100,-21.52934465071500,83.33251430887060,1833.0862052606300,-723.1565946106130,93.02297371755780,-0.6581977110510220,-0.3669777051460430,-0.6573455233687530,-55.104580619404,57.79204425946980,-19.13760069921520,0.3728520019078330,1.6837099380830900,2.12014434392585,-5.518404712285460,7.815637984964510,,,,,,,,,0.9956676166508580,0,,42.71746477261630,medium,high,15.000737122016500,-41.76273247373700,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
4,07/07/2025,6:35:09 PM,2,1,Nicholas Currie,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Stretch,1,Top,1,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,83.82845710854690,-2.011729489138290,-6.112021194103640,1945.868174413440,227.7803732519580,1:30,5.761083763323660,4.814103778906390,6.0000001920000000,-24.461581817832600,16.32301101264550,14.51083781146550,1.8414679879760000,0.3212209147617970,75.3117156710063,-6.622692825703590,-3.3789752601694700,0.45964187533395300,66.90084588299240,13.868352375518800,-19.662717082292100,3019.152232294640,-45.61112269412300,100.09807930370000,3.841274830761600,123.14828229751300,,-25.128445939391900,1.4558151350541500,-9.861510133455260,9.48851088757815,-4.322779380140490,50.0,5.582012979665100,12.530385996247300,-121.118758645975,-5.019049957073070,-14.393094961281200,27.510112247135500,-18.325355380155100,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,9de39d91-3ffa-462e-8c1d-f115979aef34,84.06031702346430,5.761325812660940,4.821333328901680,-2.0155716857094900,-6.198644692411210,75.49854654303850,1.8420676635639400,0.3155394564375450,-6.611916690984610,-3.465675378383160,0.4594592164015250,15.333230184557600,15.094556501925500,-18.49444224106430,55.43628887589230,1845.3727009837900,-617.2540373775560,94.83544287577730,-0.637269816257704,-0.31721266912832800,-0.7023270632912800,-21.854751422391300,61.16333056388590,16.035585878233700,-0.39756067832567600,2.3746169249430200,1.929695058109820,-52.29479037154060,111.49329277057300,-10.625605544616100,-6.3180443373113500,-0.03005457716199730,0.08810881384935840,-0.30452919187694300,0.9484191100019210,,,0.9917833018339780,0,0.987442656117369,33.51161583508790,medium,high,40.107340011696900,-61.15244195024190,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
5,07/07/2025,6:35:45 PM,3,1,Nicholas Currie,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,Stretch,1,Top,2,0,0,Slider,,BallCalled,,,,,,,76.03926601960220,-0.8236592766693370,-5.907452642680170,2281.0619616254000,21.876591455505300,6:45,5.278191820648960,4.05171436484605,6.0000001920000000,-48.33927042703150,1.589105420627550,-3.684398259489610,0.48027538235558000,-1.765206158966260,68.62055662205480,-9.877917350581820,-6.60150385796753,0.5085635638807620,,,,,,,,,,,,-0.12950426131704300,1.1579724143734700,-3.566691815692750,50.00000000000000,5.182906867838900,11.470595754280500,-109.88766551110900,-2.9050142613981400,-0.15402024562356700,24.434397079100800,-30.796865593185400,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,70531dc7-cdb3-4a8c-aa24-a074c66b0749,76.23755718172840,5.268981928715500,4.0562403430786400,-0.7167373016840990,-5.960959123398250,68.75941201506820,0.4883417809683680,-1.7683492741725800,-9.75761767440029,-6.64816472025452,0.508365586269703,-3.173237000516710,-1.4011423986777000,-80.09424404665500,57.94055093367870,392.4066445986760,-2247.0560068785900,17.202805149539300,0.15964006428912400,-0.985092051281858,0.06409914488560530,,,,,,,,,,,,,,,,,0.9970007430968690,0,,,medium,high,37.85350415968920,57.77380981675410,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
6,07/07/2025,6:36:00 PM,3,2,Nicholas Currie,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,Stretch,1,Top,2,1,0,Fastball,,BallCalled,,,,,,,83.7141462151266,-0.9724079115519460,-4.317206856266740,2077.4544011830300,228.75402918617000,1:45,5.594856469346980,3.6421092386125000,6.0000001920000000,-24.233820699385300,16.45975822695030,15.780401964004700,2.6689628960784900,0.9371472813809790,75.06458315797130,-5.557306571751780,-1.3290915287694600,0.4591287260834960,,,,,,,,,,,,-9.980304355438190,9.226941416817220,-3.2989333594552300,50.00000000000000,5.501369020845990,8.682609945747400,-121.34162121955300,-2.799126129340680,-14.592301343651800,28.02472819701910,-18.683247618517700,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,7538247c-434b-43a8-9318-f864ae1f6adc,83.94512802044820,5.59515959394564,3.6497262048711300,-0.977212542365162,-4.408872558785760,75.25076669625730,2.669521527487170,0.9311046094864640,-5.547499319188870,-1.4212693389962600,0.45894290469527800,16.644759939796300,15.158950296577400,-11.574107757694500,66.84445619744890,2035.2114793365400,-416.81053654089300,97.96660173034690,-0.6458868908882260,-0.20063522756674500,-0.7365973320872010,,,,,,,,,,,,,,,,,0.9974125906942860,0,,,medium,high,29.839989422295900,80.65242104886310,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
7,07/07/2025,6:36:22 PM,3,3,Nicholas Currie,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,Stretch,1,Top,2,2,0,Fastball,,InPlay,,LineDrive,Double,0,0,,85.48879593192210,-1.6477962361907500,-6.456182585775950,2074.1885961651300,222.45380973510700,1:30,5.58716180426386,4.420746561307380,6.0000001920000000,-21.501256980987200,17.75578061063770,13.298835004159400,2.253739600474180,-0.4968777557116930,76.67388445241420,-5.704843297717190,-3.954644795634670,0.45095196569911700,93.84089736399930,11.66182044765500,5.223242179939240,1902.1357403618500,16.954527285867300,108.68552799995400,15.707596982994100,223.7553082144770,,12.457744430401100,2.171923208380670,-9.324131778065140,10.14384099735570,-3.9003439989699300,50.0,5.43956593209475,13.560606075505000,-123.45979587865400,-4.237530325044430,-14.137799939848500,28.617810581742700,-16.793358058278200,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,9b5c58a0-8f31-4619-8ac0-77bc5a4609b4,85.7315854019923,5.588440175604400,4.4276639201841000,-1.6638445893174000,-6.5372582462413600,76.86972592899990,2.253537461095950,-0.5021938519052020,-5.706220206523980,-4.0349823783246600,0.4507658802384440,14.067974090276500,16.67977858688250,-20.730349439120300,71.55901357985470,1939.898706268410,-734.2011590018300,93.5256663668384,-0.690052698200255,-0.35397029969177300,-0.6312941474801300,8.366606099165780,91.52218166108460,18.968505066490600,0.4427507519929470,-0.6885985243776340,1.9285518329383400,48.26839171129140,218.48707127828100,31.350727550992800,36.67047050677010,0.4585579892461210,0.5330752225220170,0.17452496356250900,-0.8278718766974800,,,0.9968215233971560,0,0.9960726005187180,54.35781807015890,medium,high,25.596887778130800,-12.69835068595980,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
8,07/07/2025,6:37:16 PM,4,1,Nicholas Currie,,Right,Normal cornbelters,Tripp Johns,,Left,Lafayette aviators 2025,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,83.17191709591890,-0.4390892354651790,-4.291990964193490,1929.3257284923600,231.44901138609800,1:45,5.656846596653280,4.260606557064840,6.0000001920000000,-25.928586684506100,15.301466849285600,15.90973060386380,3.086888505464630,1.589990257347250,74.53053535398560,-5.347307357165610,-1.278535633828420,0.4621452267318960,,,,,,,,,,,,-10.04826363245180,8.423100904426110,-3.919567852061150,50.000000000000000,5.605955222169720,8.570301929394910,-120.56987882495300,-1.7063454099697900,-14.498937150042700,27.764368705429800,-20.020107861449300,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,d81d9d41-b15e-43f9-b77f-5526b35acd3a,83.40446211873510,5.656519339446760,4.268527669732010,-0.43644455581345600,-4.3855787190239,74.7131895938506,3.087928215757980,1.5840431397898700,-5.329980752759760,-1.3708671049614900,0.46195685266346800,16.793078766742100,13.891974995156500,-12.093274479146100,70.74975863464330,1886.509813921950,-404.20104972492100,97.78078351736580,-0.6093804502016360,-0.20950378868413200,-0.7646983911576160,,,,,,,,,,,,,,,,,0.9955571097872680,0,,,medium,high,26.325217228821100,65.89936904732740,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
9,07/07/2025,6:37:35 PM,4,2,Nicholas Currie,,Right,Normal cornbelters,Tripp Johns,,Left,Lafayette aviators 2025,Stretch,1,Top,2,1,0,Fastball,,Foul,,,,,,,83.9237935619835,-1.180715765380370,-6.143032765901730,1960.3677114721400,223.1506501491910,1:30,5.727599708860260,3.977116161929640,6.0000001920000000,-23.787074817881500,16.91157883174850,12.570282386359600,2.6414998167728700,-0.7066337984776310,75.25305208768260,-5.67082079090496,-3.775736952161140,0.459157353187179,,,,,,,,,,,,-8.841795309897300,9.536950175013820,-3.482104209755550,50.00000000000000,5.617056712203960,12.673674724973200,-121.29060883932500,-3.234675135761460,-12.929034416128800,27.796271674240300,-18.228515594771300,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,45e6d606-0dbe-4f1b-83cb-820475eb15b0,84.16400821077480,5.728297706136880,3.9838203677756200,-1.1902333806526300,-6.2232707757027300,75.4490113098144,2.6417914609054200,-0.7120346131514570,-5.664772343995050,-3.8562363018407800,0.45896504743623000,13.33039771956210,15.693998235081600,-26.41194895424690,61.28233876895320,1755.74259071782,-872.0146325159940,89.56190108841070,-0.6534059868206990,-0.4448219726395890,-0.6125308392594560,,,,,,,,,,,,,,,,,0.9964093320556720,0,,,medium,high,34.845895107942100,-58.34999153108690,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
10,07/07/2025,6:37:58 PM,4,3,Nicholas Currie,,Right,Normal cornbelters,Tripp Johns,,Left,Lafayette aviators 2025,Stretch,1,Top,2,1,1,Fastball,,BallCalled,,,,,,,84.40846576550250,1.0942451748873000,-5.060837906925870,2044.4659788334800,227.68714729607400,1:30,5.497036132536910,4.194333421111020,6.0000001920000000,-24.00021140784010,16.15538990452050,14.721585218424800,4.5181072400429300,0.7053511383475060,75.34427327441250,-3.453658852668790,-2.276232068837540,0.4560837399284260,,,,,,,,,,,,-9.67707651031594,8.3673285719702,-3.7895553486305700,50.00000000000000,5.572628036873410,10.373746408660600,-122.20387060369100,1.612160055010030,-14.334584194083000,28.671865828914300,-19.7795856415843,Normal Cornbelters,Lafayette Aviators 2025,,,,73642a0f-4043-4c7b-a106-08892cb6dd37,7927d8a8-fdc5-4a8f-bb2d-7afa08636f08,84.65475110724320,5.497662164981780,4.202206070708400,1.0853836685515400,-5.15333782593117,75.53910732883480,4.518464116440420,0.6994617761309670,-3.446797472586740,-2.3670635658410300,0.45589005669632200,15.59630735927760,14.85882685017610,-20.847571251135000,58.87011852152770,1910.6158474453200,-727.5906968195390,93.45305166366570,-0.6291057692509870,-0.3558830053189160,-0.6910667244342620,,,,,,,,,,,,,,,,,0.9939945252890890,0,,,medium,high,37.016893330625100,76.57111831346140,54.667001749344000,Nolan Mccrossin,,Normal cornbelters,2022-11
