PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/16/2025,6:33:33 PM,1,1,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.9123286,-0.164378291,-6.874475108,1871.450679,226.1387118,1:30,4.909568832,5.387803942,6.000000192,-23.23987859,16.60989845,14.82268053,2.81903335,0.203097567,75.95284879,-4.554174301,-4.088038474,0.454343658,,,,,,,,,,,,-10.30151504,9.034277142,-4.833744187,50,4.882598794,14.32321278,-122.5676282,-1.065525001,-15.3850584,28.34634063,-18.6815797,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,1a9dd26d-53d7-4991-9cea-73d7827fcb91,85.15353118,4.90986668,5.394666332,-0.169107124,-6.956325681,76.14853447,2.81957136,0.197576236,-4.544575672,-4.171005133,0.454156794,15.60036127,15.38346068,-7.456295924,6.473827363,1855.625945,-242.8579695,99.15441356,-0.687055636,-0.129769901,-0.714922601,,,,,,,,,,,,,,,,,0.993249266,0,,,medium,high,95.82644463,-34.27913468,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
2,7/16/2025,6:33:46 PM,1,2,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,1,Fastball,,StrikeCalled,,,,,,,86.68416607,-1.360712653,-6.553908773,2089.138656,225.7338137,1:30,5.107545953,3.799188424,6.000000192,-21.01036454,17.17286282,14.90896363,2.083486152,-1.076265513,77.68030386,-5.328390569,-3.749280364,0.444741687,,,,,,,,,,,,-10.22496009,9.732990432,-3.271657509,50,4.983762135,13.91533947,-125.1790694,-3.650165232,-15.9400761,29.39752517,-17.00092354,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,86deac5f-d781-4c4a-b9f9-ae873486957b,86.92608525,5.108588633,3.806471407,-1.374081241,-6.639854774,77.87471161,2.083400995,-1.081947162,-5.328089655,-3.834763996,0.444562358,15.72474026,16.1118243,-12.73446033,5.466734495,2037.750319,-460.5148884,97.54021414,-0.680823662,-0.220432898,-0.698490142,,,,,,,,,,,,,,,,,0.99614105,0,,,medium,high,94.92006105,6.575810661,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
3,7/16/2025,6:34:00 PM,1,3,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,0,2,Changeup,,BallCalled,,,,,,,79.62294479,0.241904518,-5.844689145,1803.302429,249.8404345,2:15,4.561607029,5.033815869,6.000000192,-35.34109567,9.827749766,18.88800248,1.842516283,1.156878698,71.41443528,-6.433113348,-2.278461219,0.483716629,,,,,,,,,,,,-12.16823666,5.232823399,-4.567033258,50,4.56092196,11.24509355,-115.1568258,-0.527005431,-16.03006635,25.1652452,-25.28048656,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,c6a54440-b247-4647-8858-f11fa2369d9a,79.83155477,4.558202701,5.043196058,0.281671036,-5.957339045,71.5717806,1.846056982,1.149455485,-6.378474231,-2.390682611,0.483537741,19.95613671,7.997003017,-13.4630328,19.2032777,1753.748285,-419.8411657,97.25203363,-0.335165329,-0.232817945,-0.912940308,,,,,,,,,,,,,,,,,0.994631009,0,,,medium,high,72.71705007,-25.26402228,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
4,7/16/2025,6:34:14 PM,1,4,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,1,2,Changeup,,BallCalled,,,,,,,80.56370078,-0.958656024,-5.124537597,1671.045787,244.0030854,2:15,4.542860067,3.829869259,6.000000192,-32.79750774,11.23275729,18.06714996,0.915106375,0.560011762,72.40980589,-7.148205434,-1.707956629,0.477581145,,,,,,,,,,,,-11.48428168,6.395064876,-3.421810814,50,4.445436985,9.934445146,-116.6418389,-2.914330786,-15.51978989,25.8438392,-23.53179699,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,071e9e25-767f-468f-8572-97265a485d28,80.77622161,4.539668461,3.838001645,-0.9218127,-5.220998928,72.57071604,0.918363227,0.553677442,-7.098147241,-1.803888404,0.477398015,18.97817287,9.454912098,-0.00844289,46.25933756,1671.045769,-0.246239021,99.99999891,-0.438322741,-0.000147356,-0.898817641,,,,,,,,,,,,,,,,,0.99679339,0,,,medium,high,48.3665962,-45.01536657,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
5,7/16/2025,6:34:27 PM,1,5,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,2,2,Fastball,,Foul,,,,,,,87.78290597,-0.438122862,-5.524401813,2132.331056,219.8209952,1:15,5.188412157,4.005047218,6.000000192,-18.54730422,18.58123416,13.82094233,3.233706704,0.006478297,78.49039044,-3.949844825,-2.915266156,0.438556396,,,,,,,,,,,,-9.324238037,10.19444172,-3.561672593,50,5.141805044,11.84759619,-127.0247468,-1.563785369,-14.94276398,30.66731615,-15.83672143,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,ffcf84e6-526f-4faf-85bf-f1a057c0bb20,88.03361757,5.190095452,4.0115071,-0.459034339,-5.600265366,78.69263559,3.233124544,0.001501389,-3.957380663,-2.990771101,0.438371887,14.53781072,17.55247193,-2.30163475,25.35892817,2130.610797,-85.63505846,99.91932497,-0.76742929,-0.040160302,-0.639874547,,,,,,,,,,,,,,,,,0.997197044,0,,,medium,high,112.8230354,6.835178455,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
6,7/16/2025,6:34:43 PM,1,6,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,2,2,Curveball,,BallCalled,,,,,,,72.13745312,3.470566077,-3.259644027,2038.948992,47.04730539,7:30,4.896072538,5.090874118,6.000000192,-59.5072488,-4.206536573,-10.10634559,3.171841109,1.215913371,64.63890781,-7.788681804,-5.176573352,0.535225609,,,,,,,,,,,,4.29850977,-3.536810467,-4.819259989,50,5.145334591,6.210155695,-104.448721,4.805086038,4.614611279,22.216186,-35.97094813,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,110e8ee3-887b-4129-9dc5-8313cab4bb5b,72.30796476,4.882327858,5.092400528,3.631581146,-3.278144227,64.73902647,3.183120806,1.21505977,-7.619014078,-5.189169064,0.535049344,-9.927905036,-7.950174274,-55.7871734,73.33127609,1146.436816,-1686.118507,56.22685121,0.383126557,-0.826954727,0.41153362,,,,,,,,,,,,,,,,,0.946773396,0,,,medium,high,24.00185152,25.06007507,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
7,7/16/2025,6:34:55 PM,1,7,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,3,2,Fastball,,Foul,,,,,,,85.58793699,-1.271568369,-5.393297217,1990.423952,224.9417367,1:30,4.991227747,4.175025765,6.000000192,-21.86487718,17.16526944,14.75166771,1.981916958,0.37697791,76.72353599,-5.404994701,-2.608072463,0.449646911,66.9866091,45.36516855,-84.53372768,,-109.3753565,11.70604096,69.22906577,216.3792074,,-84.20704134,4.026194945,-9.769546781,9.703775218,-3.742972808,50,4.874490796,11.23693632,-123.8552531,-3.437600926,-14.89641036,28.98050627,-17.37792639,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,0f52021f-b453-4bdc-8103-5c91de11573e,85.82674662,4.99192532,4.181917715,-1.280941514,-5.475631145,76.91575627,1.982112477,0.371561335,-5.400652689,-2.690400295,0.449464211,15.53052382,15.99962979,-7.155025771,7.164909554,1974.924074,-247.9161354,99.22127756,-0.702313467,-0.124554437,-0.700886572,-46.84981371,4.483291283,47.66760801,-0.728255556,1.869291039,2.544905029,-215.2741849,21.84002564,,,,,,,,,0.996468282,0,,23.07313064,medium,high,83.5515814,-4.6541718,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
8,7/16/2025,6:35:11 PM,1,8,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,3,2,Fastball,,Foul,,,,,,,85.5081634,0.196742203,-6.448237908,2034.592188,227.4207556,1:30,4.843519259,5.501585023,6.000000192,-22.86826176,16.37331224,15.85939156,3.121846495,0.804818598,76.42627636,-4.127460795,-3.461429459,0.450863141,,,,,,,,,,,,-10.7268193,8.78653814,-4.983316563,50,4.846382981,13.47250516,-123.5315844,-0.278371589,-16.26703468,28.87940857,-18.8494175,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,e5fbb8a6-83fc-4838-9731-014430df3eaa,85.748663,4.84354629,5.508452261,0.195324494,-6.530513048,76.62056918,3.122559335,0.799287288,-4.11533244,-3.54505033,0.450679607,16.64007337,15.1190063,4.455124067,12.22625285,2028.444627,158.043569,99.69784796,-0.674564883,0.077678254,-0.734117367,,,,,,,,,,,,,,,,,0.996600032,0,,,medium,high,101.0036276,-24.88319108,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
9,7/16/2025,6:35:30 PM,1,9,Jackson Mcdonal,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,,1,Top,0,3,2,Fastball,,BallCalled,Walk,,,,,,84.96274131,0.43798668,-6.430768364,1998.830154,224.1879513,1:30,4.685415109,5.154375009,6.000000192,-22.29107837,17.46747138,14.83230094,3.237472666,0.388460606,75.89696248,-3.777474117,-3.637500362,0.4538233,,,,,,,,,,,,-10.17291577,9.29776385,-4.636949439,50,4.708392304,13.38009947,-122.7420866,0.261364508,-15.22515911,28.58909297,-18.25867496,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,1d237d89-5ed0-4d6f-ad43-8ea7835606fa,85.20832657,4.686146194,5.161356877,0.428086288,-6.512739227,76.09415266,3.237682367,0.383074351,-3.772876124,-3.719529607,0.453632556,15.60984572,16.258093,-4.515502756,34.93690319,1992.625921,-157.3655666,99.68960682,-0.714831502,-0.078728834,-0.694850844,,,,,,,,,,,,,,,,,0.983390637,0,,,medium,high,121.4432129,-12.04524792,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
10,7/16/2025,6:36:03 PM,2,1,Jackson Mcdonal,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.72739372,-1.792857658,-6.266586632,2062.598291,226.359005,1:30,4.754349613,3.715436245,6.000000192,-21.95254876,17.0487723,15.64700174,1.248136388,-0.828107941,76.91847706,-5.936270012,-3.32044961,0.449480837,,,,,,,,,,,,-10.52155996,9.8064462,-3.21203536,50,4.594639511,13.11510031,-123.8441579,-4.579308694,-16.05965254,28.70113956,-17.20591566,Normal Cornbelters,Burlington Bees 2025,,,,7907f79b-6626-4fef-8273-a4b0fbdf9539,45f0020e-d7c9-4ad3-96d4-200476e5c67c,85.96334696,4.75482697,3.722593519,-1.799394652,-6.350967411,77.10759883,1.24848096,-0.83372094,-5.929637314,-3.4048327,0.449300904,16.44633658,15.91024599,-1.949675383,29.94626527,2061.404242,-70.17307645,99.94210948,-0.689737987,-0.034021688,-0.723259313,,,,,,,,,,,,,,,,,0.968623743,0,,,medium,high,116.9516387,13.36212783,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
