PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/7/2025,6:01:27 PM,1,1,Luka Zachman,,Right,Normal cornbelters,Cam Gravelle,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.05478786,-2.406851436,-3.279541729,2139.884159,191.3159233,12:30,6.006357867,3.563677133,6.000000192,-20.99027938,19.36238857,2.265333314,2.015267084,0.70113653,75.5382922,-6.364623489,-2.85052475,0.457201503,,,,,,,,,,,,-2.330359907,11.2841017,-3.297563782,50,5.797711614,6.915386721,-121.8860367,-5.769526098,-3.435432144,28.43269776,-15.53895147,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,07523d3a-15e8-47f7-9107-01a057d70f86,84.30515783,6.007789625,3.566221867,-2.425296878,-3.309845749,75.74413281,2.01500126,0.699225137,-6.367254612,-2.879641238,0.456995627,2.550952174,18.15420736,-40.48040789,90.10373638,1627.655794,-1389.18711,76.06279937,-0.745841511,-0.649187997,-0.149249408,,,,,,,,,,,,,,,,,0.996652782,0,,,medium,high,8.906637262,-1.487816118,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
2,6/7/2025,6:01:39 PM,1,2,Luka Zachman,,Right,Normal cornbelters,Cam Gravelle,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,1,Curveball,,InPlay,,GroundBall,Single,0,0,,78.47386378,1.961148877,-2.239856121,2166.940269,12.42241344,6:30,5.285019635,2.687904287,6.000000192,-57.41706824,-10.88898571,-4.191904445,2.325049398,0.255809684,70.4868894,-8.901705049,-3.037591133,0.490940771,,,,,,,,,,,,1.463302273,-6.609323074,-2.502952796,50,5.411910867,4.571783912,-113.8638329,2.282184489,1.867165784,26.37309567,-40.60751008,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,b16eac7d-7c22-44a2-af54-ee6223b8cef1,78.63230527,5.270283893,2.69158806,2.133740718,-2.283749695,70.57382227,2.336596589,0.253334807,-8.728542031,-3.074938718,0.490800318,-3.77551166,-14.35832113,-49.50231235,22.47175358,1407.248615,-1647.811114,64.94173533,0.634213325,-0.760432181,0.139700955,,,,,,,,,,,,,,,,,0.995274164,0,,,medium,high,69.77542178,31.10284573,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
3,6/7/2025,6:02:12 PM,2,1,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,83.91955779,-2.449756194,-3.243018127,2192.075382,196.1402385,12:30,5.933343502,3.306217539,6.000000192,-19.06251127,21.39138708,4.670019017,2.062970304,0.678122442,75.39847911,-6.046556209,-2.35853745,0.457774621,,,,,,,,,,,,-3.610607794,12.38804819,-3.044483708,50,5.722307283,6.753768518,-121.69699,-5.793691973,-5.310482485,28.17227189,-13.95370646,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,c56295c6-b039-4b70-a7de-f700e62a8449,84.16783382,5.935796324,3.309367387,-2.480170136,-3.280369572,75.60457309,2.061912522,0.675709997,-6.061180117,-2.395381146,0.457570055,5.021194751,20.32268167,-29.01785113,91.94862624,1916.901123,-1063.336526,87.44686147,-0.8400007,-0.485082098,-0.243092948,,,,,,,,,,,,,,,,,0.997447018,0,,,medium,high,7.24623638,-69.61828217,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
4,6/7/2025,6:02:26 PM,2,2,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,85.69421856,0.147431418,-1.685331703,2142.931745,196.4264939,12:30,5.694018576,3.057631467,6.000000192,-19.03954653,19.70546213,4.780180271,4.244471047,1.889191323,76.57490666,-3.468427544,-0.77679007,0.448001433,,,,,,,,,,,,-3.166218447,10.61320187,-2.923077685,50,5.695024679,3.515122746,-124.5025917,-0.269484336,-4.85849513,30.21470379,-15.88831616,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,f3113381-b503-440e-8197-ab46167a734e,85.95554051,5.696292574,3.061036042,0.118821956,-1.725964279,76.79035403,4.243554264,1.886580457,-3.481149659,-0.81669888,0.447792969,5.161560721,18.5490108,-33.51260959,83.82975662,1786.700049,-1183.15654,83.37643293,-0.799732834,-0.552120497,-0.235776061,,,,,,,,,,,,,,,,,0.996080551,0,,,medium,high,14.55321904,21.69793756,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
5,6/7/2025,6:02:40 PM,2,3,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,1,1,Fastball,,StrikeSwinging,,,,,,,84.39233757,-1.612047071,-3.99392388,2234.441624,196.0472748,12:30,5.915769512,3.889424997,6.000000192,-19.50007456,20.55844084,4.365993413,2.788493055,0.535306317,75.68930565,-5.296908093,-3.167910431,0.45553206,,,,,,,,,,,,-3.709153036,11.66382743,-3.566102887,50,5.772810683,8.40843764,-122.337287,-4.046151756,-5.50807887,28.6652743,-14.85330795,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,ecab3bed-173d-442b-ac27-d5082170236a,84.64685858,5.918078591,3.892713574,-1.640597041,-4.03258661,75.89794911,2.787577895,0.532822376,-5.30921305,-3.205487503,0.455324122,4.730040454,19.44995921,-34.93531457,93.89779946,1831.793169,-1279.555844,81.97990717,-0.787854732,-0.572651274,-0.226617385,,,,,,,,,,,,,,,,,0.997260557,0,,,medium,high,5.491980485,-19.02161857,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
6,6/7/2025,6:02:56 PM,2,4,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,1,2,Fastball,,Foul,,,,,,,84.81071005,-1.073276176,-3.031106568,2137.688239,195.9375798,12:30,5.859827885,3.016146818,6.000000192,-19.91590491,19.67970457,4.222590013,3.201158639,0.548307054,75.98563304,-4.844045431,-2.230438706,0.452892406,89.65777292,31.11352194,-54.59757864,,-89.44816429,64.02363553,50.8008851,291.7516071,,-54.52547397,3.698449557,-3.31413163,11.01107312,-2.771463104,50,5.760743432,6.388406528,-123.0906121,-2.920103656,-4.977964654,29.21184116,-15.63495612,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,4971bbc3-11bc-4812-881d-1929b3ac94fb,85.06497611,5.861765841,3.019334721,-1.09795796,-3.069465272,76.19755868,3.200472024,0.545798523,-4.852979614,-2.268361543,0.452686232,4.583251639,18.51606462,-36.17104245,99.14679336,1725.66743,-1261.6588,80.72587005,-0.776228819,-0.590197755,-0.221665132,-62.56738593,44.46830644,46.32934476,-0.563253401,0.902419779,3.169151905,-237.5948128,169.3154016,,,,,,,,,0.99735151,0,,47.16466618,medium,high,0.767885977,2.832018251,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
7,6/7/2025,6:03:18 PM,2,5,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,82.68972083,-2.501048457,-3.808900822,1779.931621,216.9897852,1:15,5.666238161,2.849035853,6.000000192,-23.07736909,18.61118338,12.31267859,1.412038856,0.329900158,74.38495296,-6.852473051,-1.477588946,0.464707766,,,,,,,,,,,,-7.922396238,10.89409166,-2.545468354,50,5.448548356,7.610211826,-119.8428074,-5.936790846,-11.3094993,27.14074278,-16.62235054,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,d3e1dfbd-5a3c-4a9d-a69f-be1858934d34,82.92478532,5.666750724,2.854542164,-2.508193186,-3.873932408,74.57421519,1.412445459,0.325612396,-6.845070824,-1.542576247,0.464509584,12.92369909,17.32640414,-0.223526952,42.01452786,1779.918075,-6.943996358,99.999239,-0.798736712,-0.003901271,-0.601668053,,,,,,,,,,,,,,,,,0.993508594,0,,,medium,high,52.18692492,-47.06061397,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
8,6/7/2025,6:03:46 PM,2,6,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,2,2,Fastball,,BallCalled,,,,,,,86.85523255,-0.575914827,-3.015776787,2275.168552,192.0206951,12:30,5.849443009,4.429441392,6.000000192,-17.48845844,20.2773166,3.291834267,3.856059444,1.898325793,77.68846408,-3.891601085,-2.391453021,0.442303854,,,,,,,,,,,,-2.811681443,11.16822017,-4.185469998,50,5.792347792,6.538491545,-126.0697225,-1.818083313,-4.42716079,30.80118391,-14.58901819,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,9f5e18e6-449a-402d-9b63-9b14be63e59f,87.11918625,5.852118505,4.432154864,-0.60871497,-3.047650846,77.90455416,3.854843147,1.896309712,-3.908888551,-2.422300479,0.442099424,3.591559361,19.2268977,-35.56151417,77.92696139,1850.830481,-1323.184973,81.34915889,-0.795653703,-0.58157668,-0.169421811,,,,,,,,,,,,,,,,,0.991313127,0,,,medium,high,19.86573475,-64.04348481,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
9,6/7/2025,6:04:06 PM,2,7,Luka Zachman,,Right,Normal cornbelters,Nate Hill,,Left,Chillicothe paints 2025,Windup,1,Top,0,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,85.3167334,0.028682827,-1.956792582,2329.579845,186.6462733,12:15,5.755330966,2.572908579,6.000000192,-19.91951968,19.18270138,1.471367449,4.122044103,0.876184484,76.27157324,-3.752246107,-1.677276706,0.450061886,,,,,,,,,,,,-1.469344895,10.37127292,-2.414307585,50,5.746152386,4.188962101,-123.9353847,-0.552337051,-2.234049172,29.95338527,-16.40516254,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,aecaf428-ea29-4b2f-832e-96dd2ecd04f8,85.58005329,5.757203848,2.57519954,0.005175783,-1.983784674,76.48638199,4.121488089,0.874523949,-3.759515765,-1.702827693,0.449850024,1.725341105,17.96087162,-42.11143055,64.38961101,1728.180337,-1562.157154,74.18420712,-0.736856608,-0.670574635,-0.085860343,,,,,,,,,,,,,,,,,0.993300296,0,,,medium,high,32.04935009,23.34185907,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
10,6/7/2025,6:04:43 PM,3,1,Luka Zachman,,Right,Normal cornbelters,Cj Richmond,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,0,Changeup,,BallCalled,,,,,,,80.37234681,-2.154653676,-4.786872091,1593.315997,213.2976812,1:00,5.731280144,2.815469891,6.000000192,-25.29753087,18.91067691,10.75672194,1.612673911,-0.747405341,72.31380734,-6.921427631,-2.754862244,0.478545214,,,,,,,,,,,,-7.403400413,10.93916897,-2.430889056,50,5.540397968,9.432036752,-116.3656029,-5.128593337,-9.966906701,25.53486751,-17.44707679,Normal Cornbelters,Chillicothe Paints 2025,,,,ff6bd1d0-012f-4419-9898-306fc38c4fd9,69f4fad7-3146-46f7-93ee-5c9af1ad7005,80.60767903,5.731436185,2.820317014,-2.157779896,-4.844217672,72.50281678,1.613423591,-0.751183004,-6.908656378,-2.812161005,0.478336346,11.29732314,17.51362279,-3.642558694,54.81608077,1590.0972,-101.2262752,99.79798129,-0.834141048,-0.063531826,-0.547879931,,,,,,,,,,,,,,,,,0.987786213,0,,,medium,high,40.66552731,-54.15156855,54.66700175,Charlie Graham,,Normal cornbelters,2022-11
