PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/11/2025,6:33:53 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,87.88586313,0.690472103,3.065501382,2111.954672,138.9491526,10:45,5.068653402,-2.587088667,6.000000192,-21.58528755,15.31979604,-10.8998409,3.912550449,-0.643629528,78.47262377,-3.407888329,0.995986853,0.437234698,,,,,,,,,,,,6.949813977,8.052886924,2.343454708,50,5.112495603,-6.484883145,-127.5531095,0.853985299,11.19688064,31.63787059,-19.20000251,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,fe7ac151-c45b-472c-a08d-d1089667bf45,88.14480102,5.069686175,-2.593703458,0.676854706,3.143520538,78.68075517,3.912574949,-0.638584968,-3.406244135,1.072394193,0.437040318,-11.63261452,14.11344087,36.97497743,59.68007486,1687.23691,1270.26932,79.88982588,-0.602470796,0.601466185,0.524659288,,,,,,,,,,,,,,,,,0.995953735,0,,,medium,high,36.28793262,80.45047626,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
2,6/11/2025,6:34:11 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,1,Changeup,,StrikeSwinging,,,,,,,79.60543321,-0.781145317,1.250451567,2255.926385,187.2117627,12:15,4.925186837,-1.243195865,6.000000192,-35.19684068,9.72473798,2.358824241,1.265907187,0.115719158,71.58301075,-7.431728021,1.698877913,0.482390812,,,,,,,,,,,,-0.843999628,5.534091744,1.139961834,50,4.841203717,-2.592531713,-115.6622344,-2.589935414,-1.116808771,26.23446607,-24.85115276,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,0bc89b13-f135-4af0-98ed-d5edc6372f63,79.83807799,4.921001131,-1.246271702,-0.733164156,1.287189806,71.76408098,1.27015943,0.117873699,-7.367056918,1.731166825,0.482173681,2.011656331,7.604750497,72.89648683,46.33277678,663.4655124,2156.158011,29.40989195,-0.291772288,0.955774987,-0.03692027,,,,,,,,,,,,,,,,,0.993538954,0,,,medium,high,48.3005009,42.10306755,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
3,6/11/2025,6:34:29 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,87.75901715,1.635907631,-0.339209939,,,,3.99657623,-1.447985433,6.000000192,,,,2.605089739,-1.763248688,78.41516971,-5.003305024,-0.339209939,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,f1840256-3204-4d0a-8aa4-9d2a5e647319,88.00375028,3.99064042,-1.447985433,1.705560647,-0.339209939,78.60356986,2.61051691,-1.763248688,-4.920738858,-0.339209939,0.437679181,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
4,6/11/2025,6:34:46 PM,1,4,Graham Kasey,,Left,Normal cornbelters,Delvis Claudio,,Right,Rex baseball 2025,,1,Top,0,1,2,Changeup,,InPlay,,LineDrive,Single,0,0,,79.97108839,0.114810316,-1.50795659,2343.30745,195.9816558,12:30,5.050296083,-0.775452837,6.000000192,-35.70549476,8.807348597,3.169142301,2.181579126,-1.91316663,71.76712854,-6.64666082,-0.905357757,0.480191193,88.7567887,11.58686632,15.62350482,1934.026734,38.24202716,103.1384863,12.40683524,186.1797456,,22.89777931,1.805881348,-2.237229314,4.727405544,0.896480029,50,5.039020903,2.967139489,-116.191586,-0.799009802,-2.987568329,26.47306528,-25.86113075,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,37f5855c-e359-4e77-8fad-1dadcaacb286,80.20477275,5.045772909,-0.778258092,0.167353413,-1.474082178,71.94921226,2.186093768,-1.911227918,-6.577251998,-0.875987626,0.479975751,2.848021983,6.656111014,72.17716561,42.39492442,717.2271884,2230.846245,30.60747271,-0.294244907,0.95200749,-0.084271425,23.41640522,83.73550025,17.82710028,1.735060764,0.066187067,2.002875976,72.4403507,171.5088722,25.53623085,9.187211926,0.192340201,0.295165367,0.067661633,-0.95304738,,,0.996796787,0,0.997413879,51.33911073,medium,high,51.84456802,35.38310646,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
5,6/11/2025,6:35:25 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.78770657,0.721063181,-0.564326581,2036.892805,138.4939701,10:30,4.879069138,-0.725894745,6.000000192,-22.81894514,15.00576093,-11.4254153,3.64770973,-2.20251125,77.51020934,-3.613807229,-2.737233697,0.442648812,,,,,,,,,,,,5.988747632,7.872442205,0.778457199,50,4.924639362,1.60016647,-126.1117937,0.872255084,9.408238236,31.50633073,-19.80655369,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,6a912bb1-7671-40bc-8578-807d67314e1e,87.040241,4.879747626,-0.732554218,0.711530492,-0.484068807,77.71569278,3.648033778,-2.197290829,-3.607871939,-2.657364517,0.442450202,-12.1780244,13.63994633,32.95710984,59.45492722,1709.112008,1108.092253,83.90780331,-0.628373776,0.544011079,0.556056061,,,,,,,,,,,,,,,,,0.997251819,0,,,medium,high,36.4905655,86.53330022,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
6,6/11/2025,6:35:45 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,85.63524355,-1.822626926,2.929350814,2124.309463,132.6544233,10:30,4.973308719,-2.063638215,6.000000192,-23.04287562,15.78132845,-13.89821429,1.356342341,-0.496928022,76.88654885,-6.178109681,0.292163916,0.448459061,,,,,,,,,,,,8.504433353,9.150322528,1.83287222,50,4.811254596,-5.928178314,-124.2652222,-4.673492801,13.03066335,29.568437,-18.15374189,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,c6410896-bb9a-4d5a-8d49-6384c7b0db42,85.87405329,4.973969121,-2.071241494,-1.831568646,3.018890258,77.07579796,1.356637126,-0.491154394,-6.172478191,0.379574571,0.448271663,-14.73899582,14.54831885,24.38831805,84.78494248,1934.7528,877.1672011,91.07678676,-0.617113408,0.412918747,0.669827702,,,,,,,,,,,,,,,,,0.994419106,0,,,medium,high,13.69355177,81.36300722,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
7,6/11/2025,6:36:05 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,86.40882547,0.005293443,4.487484742,2110.280415,130.4817894,10:15,4.66527277,-1.891518837,6.000000192,-23.80342861,14.43635239,-13.26413023,2.686588438,1.18232573,77.29234926,-4.504544911,1.976163938,0.445070921,,,,,,,,,,,,8.693605504,7.806848899,1.53292514,50,4.651920116,-9.414017017,-125.2274096,-0.731475189,13.52297328,30.10689435,-20.03043334,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,01045208-27f4-4367-a839-a342a20c173f,86.65677024,4.665666462,-1.899244286,-0.000719743,4.5783713,77.48879959,2.687100222,1.188155802,-4.495378141,2.064852659,0.444882918,-14.12146785,13.18157407,33.32932001,72.40255528,1763.194781,1159.494542,83.55262972,-0.542428962,0.549450459,0.635511616,,,,,,,,,,,,,,,,,0.992609164,0,,,medium,high,24.83770025,-8.70426641,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
8,6/11/2025,6:36:30 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,84.87941627,-0.888163547,2.823861256,2069.433339,126.1513952,10:15,4.65039278,-1.546078911,6.000000192,-25.69685332,13.81743543,-15.06290244,1.682464881,-0.17471497,76.11618364,-5.752907792,-0.03615519,0.452427096,,,,,,,,,,,,9.108440213,7.776959397,1.324595095,50,4.563079808,-5.6154164,-123.2195219,-2.701495811,13.70925016,29.28411575,-20.4688312,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,e0038143-de5f-47ac-9534-4624b0a3ac5a,85.11485636,4.650142391,-1.554453013,-0.886480169,2.922544791,76.30048891,1.683476218,-0.168370702,-5.736521104,0.060059829,0.452239256,-15.98964477,12.42676767,25.87667881,64.46358716,1861.942629,903.1743966,89.97354947,-0.530772772,0.436435607,0.726501359,,,,,,,,,,,,,,,,,0.996951944,0,,,medium,high,31.98277156,-3.264191822,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
9,6/11/2025,6:36:51 PM,2,5,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,3,1,Fastball,,StrikeCalled,,,,,,,85.52757063,-0.235231921,0.53025911,2090.712163,131.2721014,10:30,4.606277204,-1.063178663,6.000000192,-24.35783842,14.54008856,-13.81287289,2.357823582,-1.721417929,76.56809264,-4.854244183,-2.096591869,0.448884646,,,,,,,,,,,,7.660347478,7.951796135,1.027965572,50,4.57304323,-0.723382436,-124.3006591,-1.263371001,11.70583303,30.32370586,-20.02285174,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,63714ae6-9539-4309-af52-b1f054b513dc,85.7682894,4.606531292,-1.0708434,-0.239697397,0.62231493,76.76106849,2.358464487,-1.715506582,-4.843503583,-2.005431577,0.448692531,-14.67673708,13.13769253,27.7711033,64.46926871,1849.895739,974.1473723,88.48160793,-0.583656347,0.465940453,0.665014859,,,,,,,,,,,,,,,,,0.991764561,0,,,medium,high,31.97765816,-4.256813711,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
10,6/11/2025,6:37:32 PM,2,6,Graham Kasey,,Left,Normal cornbelters,Emil Estrella,,Right,Rex baseball 2025,,1,Top,0,3,2,Changeup,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,82.06840879,-0.687212298,0.628523473,2254.064867,151.560466,11:00,5.034862518,-1.590310022,6.000000192,-28.75128405,13.4643372,-4.904354791,2.000162234,-1.414837104,73.64364546,-6.130716797,-0.304005587,0.467636191,,,,,,,,,,,,2.869881052,7.522324105,1.5419476,50,4.96225574,-1.162841047,-119.2716123,-2.284263893,4.041805767,27.71313533,-21.5799614,Normal Cornbelters,REX Baseball 2025,,,,2c19d258-3b49-48dc-802d-02752f534010,a6d51d86-fedb-4644-a2d3-13df8341efe2,82.31216822,5.033760906,-1.595452172,-0.67560587,0.690438621,73.83983081,2.002001169,-1.410939877,-6.101584647,-0.244616784,0.467424293,-5.486496378,11.81334697,56.0484372,67.07470213,1258.87683,1869.769385,55.84918376,-0.491093145,0.829510016,0.265971155,,,,,,,,,,,,,,,,,0.997459717,0,,,medium,high,29.63276809,-24.63023735,54.66700175,Nolan Mccrossin,,Normal cornbelters,2022-11
