PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,ang_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Slider,PitchType_Splitter,PitchType_Knuckleball,PitchType_Sinker,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,7/22/2025,6:34:22 PM,1,1,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,d87e3f4e-3c52-43f7-a6a0-12c86a90441c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,107.244774,0.0,,-1
2,7/22/2025,6:34:36 PM,1,2,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,db089ded-0465-4031-9026-545ab21d4d7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107.244774,0.0,,-1
3,7/22/2025,6:34:53 PM,1,3,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,f216d184-31c0-4c00-af28-4846e2116986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107.244774,0.0,,-1
4,7/22/2025,6:35:19 PM,1,4,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,6ac68a0d-05ca-4d31-a2ea-f5d79db92701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.244774,0.0,,-1
5,7/22/2025,6:35:40 PM,1,5,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,3,1,Fastball,,InPlay,,GroundBall,Single,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,b4654f4e-4689-4272-b4cd-97a332e7505f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.891,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,107.244774,0.0,0.891,-2
6,7/22/2025,6:36:13 PM,2,1,Nicholas Currie,,Right,Normal cornbelters,Caleb Klein,,Right,Burlington bees 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,deb0add5-d235-43c9-b5bf-c1337d30fe7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107.244774,0.0,,-1
7,7/22/2025,6:36:41 PM,2,2,Nicholas Currie,,Right,Normal cornbelters,Caleb Klein,,Right,Burlington bees 2025,Stretch,1,Top,0,0,1,Fastball,,InPlay,,Popup,Out,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,3eeddd67-0647-4c71-ac8e-282c0a0d97c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,107.244774,0.0,0.0,-2
8,7/22/2025,6:37:14 PM,3,1,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,Stretch,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,a27b6364-a272-461c-9a31-3cfaa3570caf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,107.244774,0.0,,-1
9,7/22/2025,6:37:29 PM,3,2,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,Stretch,1,Top,1,1,0,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,84.16134993,-1.492751065,-6.9118419,1811.084655,225.7970551,1:30,5.638299655,4.939675419,6.000000192,-24.58015707,16.00159412,12.82508372,2.19212703,0.446733381,75.51549415,-6.124705994,-4.503193874,0.458497439,93.65456061,18.02700029,5.748346591,1368.26037,11.61822115,109.3847199,30.7929224,313.0831412,,5.886254694,3.533214814,-9.22447617,9.145943049,-4.381371197,50.0,5.501523937,14.33187985,-121.4369385,-3.93341239,-13.52948976,27.72987421,-18.75974394,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,3dcac7e7-2e8e-4a3c-8bb3-f607fc4648bf,84.40199333,5.638502477,4.946565721,-1.496255387,-6.992689635,75.70840064,2.192789187,-0.452094965,-6.113063955,-4.583316865,0.458306766,13.59314076,14.76067186,-25.64367411,81.25150075,1632.698073,-783.7886392,90.15029023,-0.628529581,-0.432773055,-0.646264689,8.9199044,88.60930016,28.98282168,0.443073413,1.332946331,2.168508168,32.10789834,311.4323942,7.634999279,71.23034452,1.095388971,0.987228679,0.157188604,0.025909016,,,0.995764504,0.0,0.996925914,54.23956502,medium,high,16.87364933,-53.82241012,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,112.01953,0.6666666666666666,0.6204500000000001,-1
10,7/22/2025,6:38:07 PM,4,1,Nicholas Currie,,Right,Normal cornbelters,Keanu Spenser,,Right,Burlington bees 2025,Stretch,1,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,79.18474116,0.615960302,-6.215881374,1607.953207,238.5505654,2:00,5.208567523,4.396584917,6.000000192,-32.83707166,12.89667622,16.15109657,3.048021997,0.057262587,70.91730166,-5.586982628,-3.171413147,0.486732022,,,,,,,,,,,,-10.81181131,6.766699726,-3.897643155,50.0,5.239997197,12.00289143,-114.4397669,0.299650428,-14.06750869,24.83661773,-23.36973323,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,537f7bd4-0d82-498c-b2a3-eb55a6330278,79.4090919,5.206349008,4.404730466,0.640974081,-6.312862482,71.09067493,3.050670235,-0.063649334,-5.545516073,-3.26780917,0.486534953,17.07134589,11.1720825,-16.0959678,57.51766295,1544.919298,-445.8002671,96.07986672,-0.501292744,-0.27724704,-0.81965826,,,,,,,,,,,,,,,,,0.99595882,0.0,,,medium,high,38.23410334,73.64512864,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,113.65821,0.0,,-2
