PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/24/25,6:31:42 PM,1,1,Will Davidsmeier,,Right,Normal cornbelters,Jarrett Chapman,,Right,Springfield lucky horseshoes 2025,,1,Top,0,0,0,,,,,,,,,,85.02501833392759,-0.380846829,-6.945348306,2065.061444851215,219.42510569445983,1:15,5.560707424809447,3.9136506248434833,6.0000001920000035,-21.18563664,18.57918466877592,12.771081740970855,3.4386591768333545,-1.508858838,76.05423125229461,-4.381718651,-4.546390161,0.4538590920897908,,,,,,,,,,,,-9.220739409,10.17186425273407,-3.352541559,49.99999999999995,5.517166188743517,14.556562795133408,-122.7079924,-1.470783915,-13.79968181,28.45669011947425,-16.95092226,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,877df197-902c-4754-bd81-35e4175becf2,85.27347543160148,5.562285033793959,3.920238292708805,-0.400854157,-7.022917873,76.25587539900975,3.4382348242661456,-1.514019331,-4.386416666,-4.623664918,0.4536658134789639,13.508198723511406,17.487831456559807,-19.67986017,80.85349478829431,1944.4390927991767,-695.4389876,94.15889767576726,-0.727335466,-0.336764308,-0.597974014,,,,,,,,,,,,,,,,,0.982384717,0,,,medium,high,17.231854690535137,37.671881225771365,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
2,7/24/25,6:33:26 PM,1,2,Will Davidsmeier,,Right,Normal cornbelters,Jarrett Chapman,,Right,Springfield lucky horseshoes 2025,,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,e24a763e-93d9-4c4f-86d6-2fadc7f5e740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
3,7/24/25,6:33:40 PM,2,1,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,eeca5e7a-d69c-4703-be59-e4da41138d38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
4,7/24/25,6:33:59 PM,2,2,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,2cc45417-9d4c-431b-9f13-3bdc57c57051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
5,7/24/25,6:34:01 PM,2,3,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,2,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,0d44eb33-d054-4a40-8f31-89d8de29bdc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
6,7/24/25,6:34:07 PM,2,4,Will Davidsmeier,,Right,Normal cornbelters,Kaden Griffitts,,Left,Springfield lucky horseshoes 2025,,1,Top,1,3,0,Fastball,,BallCalled,Walk,,Walk,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,1490be33-3eb2-459e-a476-1ffef719d2ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
7,7/24/25,6:34:35 PM,3,1,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,86.52570661146855,-0.863076927,-4.455783488,2109.9503482315376,210.28374521170875,1:00,6.263369437636757,4.030051306741923,6.0000001920000035,-17.6441202,20.47775457106683,10.43653252068993,3.9883951724678113,0.750216722,77.43025356725701,-4.205040428,-2.48123019,0.44438423922919135,,,,,,,,,,,,-7.144893519,11.365834458205176,-3.672421017,49.99999999999995,6.182626330755985,9.444894970379787,-125.3929715,-2.446518806,-11.14990653,30.050536649365313,-14.43718737,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,82f03b83-ea24-4035-ac49-9bb432188ac9,86.77514868981483,6.2658513671648395,4.035070486143523,-0.894285076,-4.51640904,77.63893190218913,3.9872014557480377,0.7462602468344752,-4.222295463,-2.542921014,0.4441954718016691,11.009126801464703,19.48151073841036,-12.95514625,6.854290354657756,2056.2433929085278,-473.0259836,97.45458677,-0.841558023,-0.224188206,-0.491446581,,,,,,,,,,,,,,,,,0.9970616350109215,0,,,medium,high,83.83113868080802,4.258235683789316,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
8,7/24/25,6:35:06 PM,3,2,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,1,0,Fastball,,BallCalled,,Throwdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,f8c5c697-72d9-4872-b4f0-d6773e49a835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
9,7/24/25,6:35:26 PM,3,3,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,0,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,2fcd9821-0bb5-4b83-ac6f-17936c13b890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
10,7/24/25,6:35:49 PM,3,4,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,1,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,48f5102f-19fd-4f49-b0c3-829c371679b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
11,7/24/25,6:36:12 PM,3,5,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,2,2,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,85c2c4d0-e196-4d39-9cb3-1c2dd609f13f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
12,7/24/25,6:36:55 PM,3,6,Will Davidsmeier,,Right,Normal cornbelters,Chase Wiese,,Right,Springfield lucky horseshoes 2025,,1,Top,1,3,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,66a97115-f896-4f41-b58c-3a0eeb2387d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
13,7/24/25,6:37:14 PM,4,1,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,0,0,Curveball,,BallCalled,,,,,,,71.47667615988583,3.6816333350037485,-3.594171866,2539.7027249490807,27.79993835808335,7:00,5.740315979,3.255376153698145,6.0000001920000035,-70.00503353,-13.4949014,-10.23487707,3.339719332820966,-0.942319384,64.20462645245783,-9.539139563,-5.535936914,0.5410466144733186,,,,,,,,,,,,4.225412055014396,-8.677131404,-2.956352746,50,6.0010081661743575,6.757537408027473,-103.4159966,4.877343063513996,4.436558826184993,22.13999595845667,-41.28478326,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,fe0b4e31-2f5d-41a7-a58c-2dbe219c9623,71.59367256700627,5.721803255990082,3.2563877847958356,3.9013442320164144,-3.606617857,64.24232614,3.3539487136884163,-0.942879379,-9.325112191,-5.544289039,0.5409363224474621,-10.11438033,-17.87855866,-35.50136342,23.99362329425066,2067.576296641694,-1474.862091,81.41016963641474,0.7201392809806565,-0.580722333,0.37968538029748455,,,,,,,,,,,,,,,,,0.9970135338361997,0,,,medium,high,68.40573903517439,65.92986745240037,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
14,7/24/25,6:37:35 PM,4,2,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,0,1,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,cc74565e-075c-4101-b6c0-41bc6d35cf91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
15,7/24/25,6:37:47 PM,4,3,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,1,1,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,6d1f0a35-6231-4303-a71a-58b9c27990f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
16,7/24/25,6:37:57 PM,4,4,Will Davidsmeier,,Right,Normal cornbelters,Brady Davidson,,Left,Springfield lucky horseshoes 2025,,1,Top,2,2,1,Fastball,,StrikeSwinging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Springfield Lucky Horseshoes 2025,,,,af308dc0-5e0e-4c10-a999-6a66b3cb381c,0235a049-4a0b-49de-8fad-ea1c5cb36519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Mccrossin,,Normal cornbelters,2019-02
