PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/3/25,6:32:44 PM,1,1,Jackson Mcdonal,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,87.32132460833503,-1.527404871,-5.522312268,1925.7592244898053,223.08558442369326,1:30,5.2192377520037265,3.4392084044735265,6.0000001920000035,-20.31054167,17.20826394065987,13.929192483213617,2.1001749748418717,-0.548379501,78.26910743021375,-5.366494185,-2.893744174,0.44085525775711415,,,,,,,,,,,,-9.367278995,9.812123448531905,-2.996073807,50.000000000000036,5.082430934495096,11.773803326361717,-126.323074,-4.024722055,-14.85855415,30.136398691859505,-16.6098748,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,b2d8352e-4acc-4de9-adb7-d163d2f73e2e,87.56476865421176,5.220181742374917,3.4456595600725093,-1.539636659,-5.599435464,78.46666834413213,2.1001405971261247,-0.553527037,-5.36562386,-2.971216479,0.4406751188656286,14.658295437624819,16.120795959286713,-7.372897893,3.057189119974046,1909.836997751562,-247.1259451,99.17319743113464,-0.724295743,-0.128326502,-0.677442238,,,,,,,,,,,,,,,,,0.9961571350238296,0,,,medium,high,92.75147020797665,-6.239836359,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
2,7/3/25,6:32:54 PM,1,2,Jackson Mcdonal,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,,1,Top,0,0,1,Slider,,BallCalled,,,,,,,79.62093057045446,3.344934175313718,-5.587594459,2200.5652956881627,57.136615277023225,8:00,4.654664790533823,4.608611811889353,6.0000001920000035,-41.45455127,4.095500157807351,-1.308611797,4.327274623215233,-0.710039946,70.96487642982855,-4.497463617,-5.834348089,0.4857535220890837,,,,,,,,,,,,-1.267965261,1.0314558313911042,-4.151273779,49.999999999999936,4.904829793,11.284112935899694,-114.9596324,5.567823744951942,-1.653760699,26.35216626368541,-30.82875948,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,f58d2478-825b-4e23-ab7e-df1d3977fa7e,79.85762624304635,4.647876688192929,4.613163818824129,3.423006250703021,-5.64158172,71.14160979659295,4.333461330134146,-0.713242073,-4.40226103,-5.88242182,0.4855457067273763,-0.793737356,1.5962968628931076,-86.62598488,32.9266841,129.51125687067773,-2196.750886,5.885363053050278,0.031936203,-0.998266623,0.049435096445099365,,,,,,,,,,,,,,,,,0.9856575394218605,0,,,medium,high,60.365984306064746,-32.21610948,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
3,7/3/25,6:33:06 PM,1,3,Jackson Mcdonal,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,86.39715964116147,0.8104182737712391,-7.010481738,1926.1590693951873,229.58802980945248,1:45,5.094921189258198,5.287389965120435,6.0000001920000035,-22.88754769,15.653000534321407,15.525960540285856,3.946547121871404,0.033012324236617104,77.11237647274876,-3.514223932,-4.091777819,0.44681780056476594,,,,,,,,,,,,-10.73997969,8.191438132,-4.722491506,50.000000000000014,5.148161927,14.84613759238258,-124.6582506,1.0644340065205355,-16.5825369,29.448614790411874,-19.52646281,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,c2ae7d2d-147a-450f-8c06-6ccb868796bd,86.64462033,5.095236279153294,5.295021121423269,0.8053805042532589,-7.099822297,77.30975603149273,3.9470550338629704,0.027128916736037543,-3.50511409,-4.180872551,0.4466335743811808,16.375438239904963,14.450258674322201,-11.6561053,2.4182040591246623,1886.4375852224757,-389.1554929,97.93778796342173,-0.6349101,-0.202037048,-0.745701144,,,,,,,,,,,,,,,,,0.9950366043882202,0,,,medium,high,87.82361635,-19.51591825,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
4,7/3/25,6:33:19 PM,1,4,Jackson Mcdonal,,Right,Normal cornbelters,Adrian Davis,,Right,Lafayette aviators 2025,,1,Top,0,2,1,Fastball,,InPlay,,Popup,Out,1,0,,87.20899076224379,0.098676527,-6.318428448,1916.326445212648,225.6380504440395,1:30,4.923388908031397,4.130534524,6.0000001920000035,-21.30750641,16.415632597786736,14.167562938623842,3.2400331976223042,-0.585063542,77.92707587968408,-3.931490483,-3.649693855,0.44205411164748815,62.072552931969625,38.97179088967846,14.339150803079647,,27.55332294859052,106.49325985471759,44.01453991781551,184.63736483381805,,14.438671913977862,3.291934094,-9.778574394,8.843157832302662,-3.621987318,49.99999999999998,4.919122105602762,13.507889723954737,-126.0169894,-0.45172328,-15.42407377,30.169492425196825,-18.22543977,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,a8dd8658-dda8-461a-b48d-ec62613f61c8,87.45801768097921,4.924230778,4.137519072251893,0.087412388,-6.401082925,78.12878516349409,3.2401201648267284,-0.590611974,-3.928793454,-3.732681549,0.4418693190884866,14.950441309429829,15.283902281200758,-15.03975446,0.9671471062880944,1850.684623215774,-497.2659952,96.57460125539363,-0.6752387,-0.259489189,-0.690447723,11.951792654730474,46.755245418374884,39.039768258764504,0.5262009221407452,-0.016336109,2.787137663390777,46.038141148799646,178.8056096780513,,,,,,,,,0.9946253118564647,0,,27.229550409751813,medium,high,89.12956760434072,-20.44794898,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
5,7/3/25,6:33:53 PM,2,1,Jackson Mcdonal,,Right,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,88.24749975040638,0.7217936614753859,-3.288872939,2028.1037670459884,229.27338845050156,1:45,4.947682468774327,4.376748350280031,6.0000001920000035,-20.97368663,15.634940188620313,15.727658967648553,3.8718478676651427,2.6273673511152182,78.78028756342094,-3.260382662,-0.302751523,0.4354750140857385,,,,,,,,,,,,-9.635127596,8.212633917068553,-4.117658217,50.00000000000002,4.994443088,6.856981596,-128.0522788,0.9471094915441777,-15.65018283,31.80539012927784,-18.83440037,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,4b45e5fa-5cfd-494f-a563-919c10934963,88.49477838999442,4.948251788574073,4.3842138890433375,0.7137705895103409,-3.377907966,78.97848293,3.8721168512680095,2.621500848317369,-3.255271473,-0.391802877,0.43529260628345623,16.564026318089933,14.407788356413299,-5.536378797,8.754184831710548,2018.6429516219011,-195.6668694,99.53351423246616,-0.649406867,-0.096477741,-0.754296206,,,,,,,,,,,,,,,,,0.9778823684222058,0,,,medium,high,97.87876634853951,-22.88367473,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
6,7/3/25,6:34:09 PM,2,2,Jackson Mcdonal,,Right,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,86.05970946304413,0.33932144348941107,-5.034393957,1854.1412804745335,228.68894168759772,1:30,5.0774816846231365,3.4136097693678447,6.0000001920000035,-23.16338887,15.436540253198466,14.712438777475949,3.463787404574878,-0.05136614,76.91380771800594,-4.048875596,-2.251908989,0.44716188274945007,,,,,,,,,,,,-9.656523938,8.234172150707682,-3.010999966,49.99999999999997,5.0918095150621205,10.521314548503838,-124.6234318,0.021086916,-14.8820616,29.728153694833967,-19.48403215,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,c76c06ae-bee4-4d36-80b1-ffacada09528,86.30356543249843,5.077727511853651,3.420818075866765,0.3351071282117265,-5.120595965,77.11031974652981,3.4643633153239786,-0.057073848,-4.03883629,-2.338508053,0.44697609012137496,15.526423758260792,14.16941593884918,-14.44141855,4.178266074850783,1795.556223303473,-462.4043003,96.84031321,-0.639288086,-0.249390003,-0.727403168,,,,,,,,,,,,,,,,,0.9949201197883856,0,,,medium,high,86.23956053263429,-14.23296136,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
7,7/3/25,6:34:22 PM,2,3,Jackson Mcdonal,,Right,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,1,1,1,Changeup,,StrikeSwinging,,,,,,,79.20625283313615,0.27983397539332333,-7.41609821,1855.3593099129967,250.79393665498037,2:15,4.454375792766695,4.843793716501901,6.0000001920000035,-36.1055848,9.761213094566052,19.787448521156097,1.707848822612519,-0.438477658,71.03471445798537,-6.523567903,-3.699754859,0.4874395153220457,,,,,,,,,,,,-13.14348083,5.183042405187432,-4.247812621,50.000000000000064,4.456396459422689,14.300174503193421,-114.2025263,-0.468048429,-17.05850828,24.417562728987143,-25.44714269,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,74024f16-5a49-4cc0-b17c-775eee29926e,79.41323615562743,4.450623541729589,4.853478277138894,0.32327179363120606,-7.530904607,71.18874985740858,1.7116231844942975,-0.446101054,-6.465759173,-3.81363401,0.4872634310193061,20.882191635307112,7.9579744629305615,-9.616364601,26.229024182196632,1829.2884776394449,-309.9384366,98.59483648,-0.324344065,-0.167050358,-0.931072019,,,,,,,,,,,,,,,,,0.9962347981841452,0,,,medium,high,66.39387823602306,-67.83882251,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
8,7/3/25,6:34:38 PM,2,4,Jackson Mcdonal,,Right,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,1,1,2,Changeup,,InPlay,,LineDrive,Double,0,0,,80.35280857343812,1.4064577724677403,-5.085095668,1900.5630351529196,250.79742195538057,2:15,4.402585683897816,3.479511741627586,6.0000001920000035,-34.8318383,9.476234533694104,19.960519988643938,2.8125140319624156,0.40438470269887766,71.86869143991726,-5.187571812,-1.307255132,0.4790854185931654,94.08409761196098,18.249882593545912,34.36418293526105,2466.627106551733,67.69075764,86.70617801,25.81094750941363,246.59505122448343,,44.33423027,2.5157873745264574,-12.51143763,4.6498632604939125,-3.075780339,49.99999999999999,4.4974447029697275,9.771579326586107,-116.317435,1.8568028870033666,-16.79799481,25.889399037009266,-25.93109164,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,59af2e35-f6bf-481f-9707-ae14815e7b54,80.56518567621266,4.3988157919856175,3.489171607739348,1.4496002071004568,-5.199278423,72.02581565408907,2.8161986235779954,0.39697003465882574,-5.13076279,-1.419661709,0.47890529750171024,21.039387321484988,7.590084901515531,-4.851906696,20.07139954941422,1893.7526391717427,-160.7507145,99.64166429341141,-0.32773054,-0.084580575,-0.940977587,50.434634094296456,73.75679132842623,29.463551044747177,-0.547851063,2.2389069434852362,2.759841477831662,172.33116069871764,176.38336185887363,35.23646629598179,-27.41341941,0.022195037906899362,0.22422668502281687,0.20201396804767724,-0.953369157,,,0.99409666,0,0.7491171389481722,54.006806864273145,medium,high,108.06425959447282,-23.4252219,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
9,7/3/25,6:35:22 PM,3,1,Jackson Mcdonal,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,86.53322163,-0.130434827,-6.998882902,1779.8054432249337,230.66278939471601,1:45,5.058037784181913,4.399143592599874,6.0000001920000035,-23.4759576,14.912967134808909,15.397104124198588,2.9795722820750976,-0.85502946,77.38966115870703,-4.564489066,-4.105289565,0.4459380149701476,,,,,,,,,,,,-10.65248772,8.105445593,-3.835133989,50.000000000000036,5.033712144104703,14.850077592867098,-124.875041,-1.018542196,-16.514884,29.409528588223644,-19.60792444,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,af43f080-fa44-41b1-bef4-d4a28fe6b13c,86.77726089432926,5.057800378074146,4.406423079646329,-0.128766704,-7.084262681,77.58292847918555,2.980465089655215,-0.860608765,-4.549461819,-4.190234761,0.44575767848649706,16.209544314426683,13.677238304998255,-7.419251862,7.408447740500327,1764.9046092272674,-229.8241416,99.16278298538819,-0.628576329,-0.1291288,-0.766953422,,,,,,,,,,,,,,,,,0.9955097016028693,0,,,medium,high,83.33239703354977,-7.937799671,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
10,7/3/25,6:35:38 PM,3,2,Jackson Mcdonal,,Right,Normal cornbelters,Gavin Collins,,Right,Lafayette aviators 2025,,1,Top,1,0,1,Fastball,,StrikeCalled,,,,,,,86.61908978481712,-0.09982241,-6.484315637,1924.0749480597244,233.67868509575732,1:45,4.6477490932157695,3.3664285288558786,6.0000001920000035,-23.82402091,14.416549988430777,16.095834968328884,2.569042189523674,-1.344595418,77.47533146052344,-4.603307512,-3.453393041,0.4450755181026245,,,,,,,,,,,,-10.86308407,7.827417060025431,-2.845322119,49.99999999999997,4.625745470597301,13.719135519238806,-125.1296174,-0.963748681,-16.90562288,29.59085454,-19.99266905,Normal Cornbelters,Lafayette Aviators 2025,,,,f87e3c18-4cc5-4224-8b5c-047178728456,67083c66-7236-4106-a49f-347b0802fed6,86.86098503856032,4.6476009459924645,3.374479457010874,-0.099255728,-6.578713615,77.66567927236746,2.5698840003366317,-1.350759732,-4.589146191,-3.546558026,0.444896905,16.99184754694345,13.186594308409452,-14.22767797,6.089149599530751,1865.0572876710678,-472.8908113,96.93267351938805,-0.574144783,-0.245775671,-0.780994294,,,,,,,,,,,,,,,,,0.9916096537334608,0,,,medium,high,84.51976536042228,-17.41907428,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
