PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,07/22/2025,6:34:22 PM,1,1,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,d87e3f4e-3c52-43f7-a6a0-12c86a90441c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
2,07/22/2025,6:34:36 PM,1,2,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,db089ded-0465-4031-9026-545ab21d4d7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
3,07/22/2025,6:34:53 PM,1,3,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,f216d184-31c0-4c00-af28-4846e2116986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
4,07/22/2025,6:35:19 PM,1,4,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,6ac68a0d-05ca-4d31-a2ea-f5d79db92701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
5,07/22/2025,6:35:40 PM,1,5,Nicholas Currie,,Right,Normal cornbelters,Jeremy Figueroa,,Right,Burlington bees 2025,Stretch,1,Top,0,3,1,Fastball,,InPlay,,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,b4654f4e-4689-4272-b4cd-97a332e7505f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
6,07/22/2025,6:36:13 PM,2,1,Nicholas Currie,,Right,Normal cornbelters,Caleb Klein,,Right,Burlington bees 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,deb0add5-d235-43c9-b5bf-c1337d30fe7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
7,07/22/2025,6:36:41 PM,2,2,Nicholas Currie,,Right,Normal cornbelters,Caleb Klein,,Right,Burlington bees 2025,Stretch,1,Top,0,0,1,Fastball,,InPlay,,Popup,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,3eeddd67-0647-4c71-ac8e-282c0a0d97c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
8,07/22/2025,6:37:14 PM,3,1,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,Stretch,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,a27b6364-a272-461c-9a31-3cfaa3570caf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
9,07/22/2025,6:37:29 PM,3,2,Nicholas Currie,,Right,Normal cornbelters,Cole Yearsley,,Left,Burlington bees 2025,Stretch,1,Top,1,1,0,Fastball,,InPlay,,FlyBall,Out,1,0,,84.16134992535670,-1.492751065323060,-6.911841900232930,1811.0846554809000,225.79705513843100,1:30,5.638299655268250,4.939675419133930,6.0000001920000000,-24.580157066784600,16.00159411819260,12.825083719824000,2.1921270302476000,-0.44673338118482300,75.51549414877020,-6.124705993629220,-4.503193874418130,0.45849743913643600,93.65456060511840,18.027000291721700,5.748346591229640,1368.2603698524600,11.618221149726700,109.38471985298400,30.79292239691100,313.0831411686990,,5.8862546944107600,3.53321481374094,-9.224476169941550,9.145943049076020,-4.381371196601600,50.00000000000000,5.501523936556740,14.33187985215860,-121.43693846352000,-3.933412390084400,-13.529489755012600,27.729874209881200,-18.7597439384212,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,3dcac7e7-2e8e-4a3c-8bb3-f607fc4648bf,84.40199333410370,5.638502477296070,4.946565720944220,-1.4962553869209100,-6.9926896354919100,75.70840063868610,2.192789187270970,-0.45209496509118,-6.11306395514051,-4.583316865170800,0.45830676550188700,13.593140764010500,14.760671862710500,-25.643674109456700,81.25150074696490,1632.6980732523600,-783.7886391855960,90.15029023139860,-0.6285295808546160,-0.4327730549831620,-0.6462646894819970,8.919904400405260,88.60930016057790,28.98282168247310,0.4430734128551600,1.3329463312148700,2.1685081683591900,32.10789833798340,311.4323941859250,7.634999279209820,71.23034452333370,1.0953889712850400,0.9872286794546070,0.15718860443473100,0.025909015770078800,,,0.9957645036163310,0,0.9969259143081070,54.23956501616930,medium,high,16.873649327731600,-53.82241012271070,54.667001749344000,Kannan Kleine,,Normal cornbelters,2022-11
10,07/22/2025,6:38:07 PM,4,1,Nicholas Currie,,Right,Normal cornbelters,Keanu Spenser,,Right,Burlington bees 2025,Stretch,1,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,79.18474116297130,0.6159603021723970,-6.215881374099370,1607.9532071347000,238.5505654153990,2:00,5.208567523085150,4.396584916558370,6.0000001920000000,-32.8370716605496,12.896676216813300,16.151096565769600,3.0480219969841500,-0.05726258665293170,70.91730166310140,-5.586982627715010,-3.1714131467549500,0.4867320216947870,,,,,,,,,,,,-10.81181131283380,6.766699726306860,-3.8976431551656900,50.000000000000000,5.239997196783980,12.002891433017400,-114.43976686323700,0.2996504284377790,-14.067508686813400,24.836617732109400,-23.369733229878800,Normal Cornbelters,Burlington Bees 2025,,,,8c001b0d-874d-4784-b895-723c0513e0da,537f7bd4-0d82-498c-b2a3-eb55a6330278,79.40909189825910,5.206349008227310,4.404730465850920,0.6409740812194780,-6.312862482132980,71.09067492947260,3.050670234694420,-0.06364933414574400,-5.545516073115390,-3.2678091703192500,0.48653495301608300,17.071345893921700,11.172082496961900,-16.09596779508330,57.51766295208990,1544.919298285910,-445.80026706872100,96.07986671694790,-0.5012927444385030,-0.27724703995778400,-0.8196582600132570,,,,,,,,,,,,,,,,,0.9959588196517590,0,,,medium,high,38.23410334311910,73.64512864478470,54.667001749344000,Kannan Kleine,,Normal cornbelters,2022-11
