PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,5/29/2025,6:30:47 PM,1,1,Zach O'donnell,,Left,Normal cornbelters,Connor Kave,,Left,Burlington bees 2025,Windup,1,Top,0,0,0,Fastball,,Foul,,,,,,,80.46631136,-1.963949293,2.239277681,1713.334584,132.0744132,10:30,5.512362142,-0.920238372,6.000000192,-27.97753481,15.96333963,-14.75737954,1.35350808,-0.067789268,72.42363122,-7.241558752,-0.56281429,0.477096104,70.03932863,-16.25587445,68.49956104,3717.790529,-100.5102068,-44.69561821,10.18170316,5.829228936,,54.21834957,0.047548541,8.73820354,9.297951834,0.746293222,50,5.336000633,-4.138064698,-116.816716,-4.823596351,11.82912178,26.17689352,-19.58718272,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,14de0a85-bddd-40fd-a7c2-0fc33b111fe2,80.68972051,5.511482822,-0.92715491,-1.954762513,2.321956581,72.59990838,1.355047242,-0.062402173,-7.217310032,-0.480518615,0.476896842,-15.53329353,14.37427687,5.977410222,81.07717743,1704.019235,178.4204097,99.456303,-0.666451917,0.10413635,0.738239435,62.56037897,24.6437423,-19.60593032,0.153499747,1.71252026,1.425197647,4.728968481,3.408337879,-0.031262236,-0.026732332,-0.009965347,-0.824299413,0.281418845,-0.491257479,,,0.995090767,0,0.996720508,29.44461266,medium,high,17.03054031,-46.92387226,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
2,5/29/2025,6:31:07 PM,1,2,Zach O'donnell,,Left,Normal cornbelters,Connor Kave,,Left,Burlington bees 2025,Windup,1,Top,0,0,1,Slider,,InPlay,,GroundBall,Out,1,0,,72.65226549,0.219357873,-0.421560411,1875.92533,264.3533125,2:45,5.719325907,-0.494824719,6.000000192,-50.52372399,3.451120034,5.691407764,1.712891694,-0.412343364,65.54530005,-9.315851822,0.661944788,0.528770503,,,,,,,,,,,,-3.229573547,1.79178428,0.525879195,50,5.708040082,0.62755316,-105.5799021,-0.920936512,-3.555332391,22.11568085,-30.2015326,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,840aa406-61ab-4f42-9ad2-18c73a1a1da6,72.84545602,5.710311936,-0.498097775,0.326424646,-0.381704306,65.68103642,1.721142839,-0.41008663,-9.192251763,0.695854027,0.528556704,5.313239254,0.390846034,79.37876417,45.43792805,345.7623706,1843.785298,18.43156362,-0.018135521,0.982867105,-0.183421255,,,,,,,,,,,,,,,,,0.997291738,0,,,medium,high,49.10586475,-76.20331256,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
3,5/29/2025,6:31:37 PM,2,1,Zach O'donnell,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,81.27192117,-1.715005494,-0.327704052,1993.696078,128.7466487,10:15,5.324974305,-0.259228967,6.000000192,-27.28009802,15.83262966,-16.68251615,1.457215156,-1.954008111,73.07897086,-6.859500062,-3.49704541,0.472578841,,,,,,,,,,,,8.916449622,9.163917626,0.295560516,50,5.169474295,1.165180912,-118.0671891,-4.336246247,12.29333658,27.35278615,-19.53952256,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,949814cd-542a-48e6-a6c1-99ccd93c3ea7,81.49236825,5.324267692,-0.266979824,-1.707947136,-0.23472266,73.2535298,1.458637518,-1.947840479,-6.837739103,-3.403942573,0.472379827,-17.55251527,14.17628016,1.982508709,85.13391893,1992.50272,68.97072105,99.94014346,-0.625503226,0.034594401,0.779454259,,,,,,,,,,,,,,,,,0.997773143,0,,,medium,high,13.37947296,3.305926642,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
4,5/29/2025,6:31:53 PM,2,2,Zach O'donnell,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,82.03728568,-0.727370855,-0.222653146,1932.049795,125.1970504,10:15,5.11936031,-0.407830124,6.000000192,-27.90983006,14.40289127,-17.03874355,2.117485725,-2.034658959,73.60827622,-6.006165763,-3.461291143,0.468173687,,,,,,,,,,,,9.147010506,8.051347,0.435803412,50,5.043995658,0.968158929,-119.2170269,-2.340551973,12.84697026,28.06741631,-20.865938,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,4e3b4738-bb93-43a7-9554-19377a9fa16e,82.26098475,5.118293915,-0.416022902,-0.7160627,-0.124952538,73.78380964,2.119195257,-2.028155638,-5.980211308,-3.36390684,0.467974693,-17.95202853,12.70148423,5.389477707,94.02356348,1923.508649,181.4687024,99.55792306,-0.573842161,0.093925479,0.813562032,,,,,,,,,,,,,,,,,0.996244893,0,,,medium,high,5.378792864,21.07953443,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
5,5/29/2025,6:32:16 PM,2,3,Zach O'donnell,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,2,0,Slider,,StrikeCalled,,,,,,,73.06583433,0.685465228,-1.171368684,1900.383856,248.2269862,2:15,5.660978936,-0.238298065,6.000000192,-49.00829953,4.357453835,5.523779994,2.214184377,-0.866797386,65.79848237,-8.577427156,-0.120191275,0.525778526,,,,,,,,,,,,-3.399482666,2.119842673,0.330535795,50,5.68853511,2.024897701,-106.1586716,-0.022654857,-3.785596659,22.26852842,-29.81343471,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,2f9643e8-f96c-4e70-bc93-45541a052aeb,73.26567583,5.652494372,-0.24147465,0.785612554,-1.132811602,65.94175899,2.22198991,-0.864623765,-8.459568796,-0.087387766,0.525559876,5.157792074,1.403198005,78.47173074,64.86677424,379.7943451,1862.045932,19.98513848,-0.07413097,0.979826221,-0.185594114,,,,,,,,,,,,,,,,,0.996725862,0,,,medium,high,31.61990318,-56.44175918,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
6,5/29/2025,6:32:30 PM,2,4,Zach O'donnell,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,2,1,Slider,,BallCalled,,,,,,,75.23580084,-0.037119383,0.751540262,1960.041501,254.0903076,2:30,5.513525126,-0.30888335,6.000000192,-46.26451346,4.075005901,4.504958702,1.623647316,0.76504672,67.78856049,-8.772636792,1.608849933,0.510653196,,,,,,,,,,,,-2.175706194,2.219573388,0.245064067,50,5.483806288,-1.556472217,-109.328243,-1.327306303,-2.568095919,23.72443769,-29.554175,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,d4264209-865a-40f1-8184-d6fac2cd345a,75.43961461,5.505590929,-0.312262145,0.056903945,0.792620535,67.93667689,1.630959621,0.767399719,-8.66234109,1.644301683,0.510443148,4.115500073,1.269021678,82.21106945,45.81235891,265.632951,1941.958244,13.55241463,-0.037150137,0.990774044,-0.130332887,,,,,,,,,,,,,,,,,0.99740358,0,,,medium,high,48.76887698,-68.75090458,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
7,5/29/2025,6:32:44 PM,2,5,Zach O'donnell,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,3,1,Slider,,StrikeSwinging,,,,,,,74.07252654,-0.395500398,-0.413282157,1912.333158,210.5330635,1:00,5.728777336,-0.858191873,6.000000192,-45.02005566,6.858500248,4.042084309,1.609514872,-0.905459981,66.80830363,-8.889884995,0.355847959,0.51840056,,,,,,,,,,,,-2.331797191,3.850258696,0.88952174,50,5.670560215,0.668320012,-107.6496639,-1.948059284,-2.671396782,22.81581681,-27.76304475,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,dedccf92-457a-43a7-b8dc-70af5a4186ac,74.28089556,5.721808847,-0.861585857,-0.313863348,-0.372272523,66.96238709,1.616125959,-0.903093254,-8.790481262,0.3913999,0.518176281,3.653822208,4.148440036,77.87176621,61.54219127,401.7818664,1869.64955,21.01003503,-0.180967023,0.977679826,-0.106738436,,,,,,,,,,,,,,,,,0.97408771,0,,,medium,high,34.61202786,-65.17923557,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
8,5/29/2025,6:33:00 PM,2,6,Zach O'donnell,,Left,Normal cornbelters,Ryan Skwarek,,Right,Burlington bees 2025,Windup,1,Top,1,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,82.61810602,-2.001817001,1.650453202,1930.397203,129.939241,10:15,5.300952883,-0.26772574,6.000000192,-25.92884575,15.75198083,-15.78921227,1.278209711,-0.049148321,74.29635828,-6.895131793,-1.349149876,0.464664703,,,,,,,,,,,,9.102219084,9.20178881,0.142391046,50,5.122753065,-2.984911311,-119.9739987,-4.970241631,12.98780199,27.76010072,-19.04417325,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,c9dae363-fc67-478f-acad-d8a337c96937,82.84379977,5.300561167,-0.27537992,-1.998423971,1.741145562,74.47437853,1.279338938,-0.043185214,-6.877453306,-1.259341477,0.464470988,-16.63815843,14.27095097,7.559505826,88.7461697,1913.619668,253.9549682,99.13087656,-0.636395346,0.13155581,0.760061861,,,,,,,,,,,,,,,,,0.997139659,0,,,medium,high,10.12844727,18.8938274,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
9,5/29/2025,6:33:30 PM,3,1,Zach O'donnell,,Left,Normal cornbelters,Kooper Schulte,,Right,Burlington bees 2025,Windup,1,Top,1,0,0,Slider,,StrikeSwinging,,,,,,,74.90080294,-0.232641814,1.336265179,1896.700422,244.4679514,2:15,5.551857551,-0.954872384,6.000000192,-46.43234303,4.377877892,3.59424056,1.4662196,0.586789301,67.52991327,-8.992618937,2.019967723,0.513035082,,,,,,,,,,,,-1.477397605,2.45217642,0.84393385,50,5.506110534,-2.635554868,-108.8203809,-1.697151338,-1.727695016,23.50335967,-29.3064309,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,5e87f7f7-92df-4521-baa3-ae40a448f38f,75.10533396,5.543929008,-0.958718092,-0.140079442,1.38240017,67.67759081,1.47340744,0.589456058,-8.884182955,2.060195747,0.512821899,3.157569583,1.568233403,84.47872001,42.93298305,182.4918443,1887.900743,9.621542873,-0.041470379,0.995360533,-0.086819447,,,,,,,,,,,,,,,,,0.993881174,0,,,medium,high,51.36031525,-70.00136532,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
10,5/29/2025,6:33:47 PM,3,2,Zach O'donnell,,Left,Normal cornbelters,Kooper Schulte,,Right,Burlington bees 2025,Windup,1,Top,1,0,1,Fastball,,StrikeCalled,,,,,,,83.32178176,-1.535267731,2.168404715,1949.184075,129.024852,10:15,5.305659318,-0.821269208,6.000000192,-25.59485358,15.38616353,-15.84629979,1.744522324,-0.125529907,74.83891298,-6.373045267,-0.841538203,0.460747396,,,,,,,,,,,,9.308511775,8.844899018,0.653731466,50,5.16566894,-4.103421037,-120.9904366,-4.01674966,13.50922631,28.21562756,-19.33765368,Normal Cornbelters,Burlington Bees 2025,,,,5def65d4-85e1-45c1-bb9f-76fc5378bf37,16425b2a-7358-4416-af04-ea04a4ac25e6,83.54964516,5.305349625,-0.828992129,-1.532790891,2.260891615,75.01888763,1.745569314,-0.119509653,-6.356320239,-0.749918503,0.460558212,-16.71440537,13.94109711,10.35866997,71.44082476,1917.415164,350.4820194,98.37014312,-0.619394904,0.179809605,0.764211004,,,,,,,,,,,,,,,,,0.992874516,0,,,medium,high,25.70325772,-6.802554216,54.66700175,Kannan Kleine,,Normal cornbelters,2022-11
