PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/25/25,5:40:56 PM,1,1,Kristopher Alcorn,,Left,Normal cornbelters,Cole Jones,,Left,O'fallon hoots 2025,Windup,1,Bottom,0,0,0,Slider,,StrikeCalled,,,,,,,75.5275727448548,2.57794932558451,-3.30855723737747,1811.67632788367,255.298435762832,2:30,4.73976879578332,2.09883870211088,6.000000192,-47.7845584905611,2.39566724564283,3.38305998769316,3.15927284260883,-0.697614168075202,67.6026187107539,-6.47568725855569,-2.66644250613841,0.509844604598034,,,,,,,,,,,,-2.98678190763952,0.395771883098958,-1.83099489576209,50,4.92265926498927,6.23652288982598,-109.472922025105,3.6369652590332,-3.53723472938929,23.6659865952267,-31.7053384135395,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,5248789e-4285-4ae4-81ed-b3bd3e3278ce,75.7370480059105,4.73143893594417,2.09502380065989,2.67769546668298,-3.2618126101795,67.7537454280509,3.16648016042767,-0.69506493656956,-6.35836387559551,-2.62520571140182,0.509639561836318,2.93638197744243,-0.437925771137753,82.4357892980799,65.5996432416974,238.483995068236,1795.91105044496,13.1637197769661,-0.033407460928897,0.991297961343284,-0.127327504455766,,,,,,,,,,,,,,,,,0.993318289140002,0,,,medium,high,30.9603210824723,-15.0384403834242,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
2,7/25/25,5:41:10 PM,1,2,Kristopher Alcorn,,Left,Normal cornbelters,Cole Jones,,Left,O'fallon hoots 2025,Windup,1,Bottom,0,0,1,Fastball,,Foul,,,,,,,88.5140842843935,-0.438594235291788,1.03067653353168,1779.09941429388,124.658060583563,10:15,5.19834543427957,-0.701470567800605,6.000000192,-23.3275603133433,12.9966499717549,-15.7557338315633,2.84668134346882,-1.05644086670115,79.2327365519731,-4.86178199403976,-1.96570681521433,0.433780088508316,,,,,,,,,,,,8.88482073315032,7.18651038553292,0.626611595711748,50,5.14913522345305,-1.80995805218326,-128.623965198795,-1.73109684086421,14.5392994697593,32.445213154046,-20.4138993504476,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,4ac5d4b6-e9cf-4ab7-ac51-6c55797e1d4b,88.7555849775693,5.1977710634425,-0.70911539040637,-0.432929748257988,1.12146089738635,79.4231052784378,2.84783774819077,-1.05050500521609,-4.84362331440349,-1.87573966519155,0.433599100629472,-16.6056159670518,11.6043537392055,9.37278957066721,3.39929017918338,1755.34775305017,289.739524060028,98.6649615500473,-0.561085512925635,0.162857410739481,0.811579023233233,,,,,,,,,,,,,,,,,0.991823878643752,0,,,medium,high,86.9406388387349,19.399769301963,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
3,7/25/25,5:41:28 PM,1,3,Kristopher Alcorn,,Left,Normal cornbelters,Cole Jones,,Left,O'fallon hoots 2025,Windup,1,Bottom,0,0,2,Slider,,Foul,,,,,,,75.8959848238691,2.31580179700907,-1.77624755115526,1749.94591816917,268.084795291582,3:00,4.95098955484052,1.18016743815751,6.000000192,-47.1866382523046,2.37610075762986,4.18563953578311,3.17326907864003,-0.122391553473867,67.9756318219001,-6.63230337968955,-0.980050233653664,0.506697978828736,91.6397113130922,36.501585745699,-60.6218443069698,,-95.4317870520431,54.7062521103556,64.7988583129578,310.711238392501,,-60.4641883542788,4.26388883478838,-2.88653248063785,0.477042478877879,-1.03785390060923,50,5.1125759316374,3.30156024242156,-110.158203761265,3.1651650198447,-3.46099023514702,23.9863749885704,-31.6020694083227,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,c1079eff-79b7-4b21-a75e-1d60554be708,76.1068703484582,4.94241025739366,1.17680363857964,2.41657503341215,-1.73566698087192,68.1270394273489,3.18103840587782,-0.120057910866122,-6.51507467504321,-0.94511229933327,0.506486325610585,3.80099958185061,-0.443778728290988,80.4695513390838,65.1672270106651,289.741540315259,1725.79273272681,16.5571711278022,-0.00553347340642525,0.986197753203924,-0.165479219987263,-64.1906167505675,36.1373174391843,54.5114272334552,-0.0119188109610563,1.31765956369839,3.48748470322182,-270.333612588648,153.170531004408,,,,,,,,,0.987639364204447,0,,50.6769060087725,medium,high,31.3494956904013,-42.3103392137618,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
4,7/25/25,5:41:45 PM,1,4,Kristopher Alcorn,,Left,Normal cornbelters,Cole Jones,,Left,O'fallon hoots 2025,Windup,1,Bottom,0,0,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,90.0210749054263,-1.51980791054284,2.22911586298792,1995.44289834787,127.363228379179,10:15,5.63782051363163,-0.740313829914707,6.000000192,-20.9828143743082,14.141488381501,-15.571052855751,2.47535139920269,0.0348704568458284,80.6892508283726,-5.49190329158357,-0.729095154345321,0.426555335270866,,,,,,,,,,,,9.18394077128085,8.16905733294166,0.567661055873751,50,5.50176029201289,-4.58091389855064,-130.710215855721,-4.1538066166894,15.5492275947884,33.0393829829553,-18.3431098109964,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,72b2c037-871e-4290-b7fc-a0b03ea7a927,90.2625604893039,5.63813767255741,-0.747932009285001,-1.52464136198938,2.32031335160884,80.8829785801919,2.47578843908599,0.0409012474778123,-5.48448826203709,-0.638058828121307,0.426382432071193,-16.4259706457975,12.9582452953589,13.876997889713,15.1701455876969,1937.20159796624,478.583670222882,97.0812845393946,-0.58915318261586,0.239838318911117,0.77160618724547,,,,,,,,,,,,,,,,,0.995092222738319,0,,,medium,high,103.653131028927,-14.158386554771,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
5,7/25/25,5:42:16 PM,2,1,Kristopher Alcorn,,Left,Normal cornbelters,Tyler Thompson,,Right,O'fallon hoots 2025,Windup,1,Bottom,1,0,0,Fastball,,Foul,,,,,,,89.9440937783184,-1.22073192240646,-0.162107310818954,1884.33934053118,123.11939329224,10:00,5.50408523775734,0.504603405955711,6.000000192,-22.9371499943362,12.2717519681608,-15.6968709086742,2.45793920572064,-0.954131147372367,80.6059167712358,-5.56031977491335,-3.14633009514316,0.427068719697681,,,,,,,,,,,,8.4415656118894,7.06942351555076,-0.482336237250163,50,5.39139261761024,0.879652386036649,-130.689020905582,-3.52994858437793,14.2484758450634,33.7162598153277,-20.241605436306,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,0068ee30-fb5d-4c00-879b-5b7067e5c5fb,90.1858430355606,5.50363469651907,0.496578617970147,-1.21651897420347,-0.0672976762214471,80.7952211804511,2.45897167331559,-0.948149180663945,-5.54394064862235,-3.05339562722404,0.426892877829684,-16.5861799814348,10.9085368085788,16.6813036783808,25.6755520101941,1805.03920394524,540.895759360526,95.7916212393262,-0.52339150766813,0.287047957725095,0.8022872301531,,,,,,,,,,,,,,,,,0.996265202098129,0,,,medium,high,113.107996809175,-8.46660387543659,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
6,7/25/25,5:42:36 PM,2,2,Kristopher Alcorn,,Left,Normal cornbelters,Tyler Thompson,,Right,O'fallon hoots 2025,Windup,1,Bottom,1,0,1,Fastball,,BallCalled,,,,,,,90.1098338451374,-0.292497285026515,-1.90428661462536,1986.13004285491,124.338189436355,10:15,5.39638894178733,0.456257715239887,6.000000192,-22.1093873084458,13.0715466865361,-16.4567006158196,3.28194220249295,-2.68561796669472,80.5930318079032,-4.47922771820279,-5.02794632998409,0.426899066338524,,,,,,,,,,,,8.23676436522407,7.18520675317533,-0.291605804340127,50.0000000000001,5.35981142092312,4.88525436158885,-130.864266756935,-1.38618501056076,13.9054514471526,34.4290837303644,-20.0438563191061,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,20e545b9-54a2-4790-b813-85fd48f20b95,90.354416697481,5.39625676476298,0.448030499789202,-0.29211389744524,-1.80703881687221,80.7855353818949,3.28275794801474,-2.67933726666063,-4.46645145234116,-4.93204056608444,0.42671688767257,-17.3683221601692,11.6650369098478,11.0051985794575,12.4638990422587,1949.60484628684,379.14837526449,98.1609866534436,-0.553703101243391,0.190898061598975,0.810537356172561,,,,,,,,,,,,,,,,,0.996547408824269,0,,,medium,high,78.7824908619671,-8.4377978804901,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
7,7/25/25,5:42:53 PM,2,3,Kristopher Alcorn,,Left,Normal cornbelters,Tyler Thompson,,Right,O'fallon hoots 2025,Windup,1,Bottom,1,1,1,Slider,,Foul,,,,,,,79.8104135603195,0.63615427709806,-2.03087505775104,1955.71304161361,271.422353628083,3:00,5.02768220815237,0.711085375657343,6.000000192,-42.9753410716637,1.80164396390969,2.53842287688171,2.03803728019821,-0.965652667412212,71.6557471550115,-7.49839669295426,-1.54813203518428,0.481613826436326,,,,,,,,,,,,-2.08548484780328,0.752704962717367,-0.547057086417094,50,5.05473167588691,4.03702796641147,-115.907981870848,0.0501268710719815,-2.7675902079723,26.6109398901745,-31.17515530657,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,088c6120-f5ad-4206-bb2a-db49ca2d6d2a,80.0269959521602,5.01973399483454,0.707159973773229,0.728418517793056,-1.98422226592602,71.8128895814168,2.04505354323593,-0.962939466481367,-7.39283200703926,-1.50741537276903,0.481412224269533,2.09714109456815,-0.765615296672655,86.5397530910373,71.9913663018008,118.038983459091,1952.14761212402,6.03559831874416,0.00149816854124375,0.998176915828791,-0.0603373863996839,,,,,,,,,,,,,,,,,0.991084955885776,0,,,medium,high,25.2077703283793,-4.74116049793066,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
8,7/25/25,5:43:14 PM,2,4,Kristopher Alcorn,,Left,Normal cornbelters,Tyler Thompson,,Right,O'fallon hoots 2025,Windup,1,Bottom,1,1,2,Fastball,,BallCalled,,,,,,,91.7878788353065,-0.134623244426598,-2.39142620283331,1902.03694600582,125.805621172086,10:15,5.23486959791133,0.594851237730082,6.000000192,-21.5816344072515,12.3548615007638,-14.9072507300621,3.31117268836574,-2.87128764073417,82.0414771916233,-4.2225799374481,-5.219413192256,0.419280844252882,,,,,,,,,,,,7.22222508033793,6.74137312743553,-0.391358452461018,50,5.2114626308513,6.05783356233779,-133.2574089622,-1.02662801065975,12.6388564061041,35.7786469629978,-20.3766816017776,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,1524aa2c-d734-4e27-824f-ad7cca614fb7,92.0375336742992,5.23483662967742,0.58728811625952,-0.135362137202471,-2.30027556671129,82.2438788798519,3.31193008109821,-2.86523934741161,-4.21066608345334,-5.12744380898792,0.41910073169478,-15.7621978304121,10.9996867404576,20.4189997887858,34.948679080513,1782.52501704851,663.588055624398,93.7166347263505,-0.548277216962488,0.348882842164501,0.760047929938033,,,,,,,,,,,,,,,,,0.995962500976482,0,,,medium,high,58.5461888275383,-64.5604495279766,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
9,7/25/25,5:43:30 PM,2,5,Kristopher Alcorn,,Left,Normal cornbelters,Tyler Thompson,,Right,O'fallon hoots 2025,Windup,1,Bottom,1,2,2,Changeup,,BallCalled,,,,,,,82.2933232758497,1.7089200586672,-3.44022968469111,1495.81187452298,94.785205791333,9:15,4.64978383130587,1.81893589561346,6.000000192,-38.2123232894164,4.26487885847813,-18.5498339252106,3.05702218592518,-2.92805926835823,73.5719324786746,-5.52564945477537,-6.95202919386041,0.469082762457163,,,,,,,,,,,,8.79146230128907,1.68261088760309,-1.52772406016036,50,4.76733236890599,7.71766329848883,-119.279295994878,2.43808582962107,12.2804346898193,29.4433226581832,-29.8236791464249,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,c8c31493-3441-48ae-8e58-cf653db474b5,82.5012584506806,4.6435189756704,1.81125795489765,1.78310157393349,-3.34825671445557,73.7235864024465,3.06273611264258,-2.92193312473921,-5.43922119559025,-6.85910634509658,0.468897028687224,-19.4135425206244,1.74491644335296,-10.4782205907826,20.2138141956331,1470.86787730051,-272.030975238912,98.3324108033023,-0.0820294265775665,-0.18186175673038,0.979896665273587,,,,,,,,,,,,,,,,,0.997229724458215,0,,,medium,high,71.8075672239302,52.0110325898257,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
10,7/25/25,5:43:49 PM,2,6,Kristopher Alcorn,,Left,Normal cornbelters,Tyler Thompson,,Right,O'fallon hoots 2025,Windup,1,Bottom,1,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,89.0569765146042,1.2868770359602,-1.61008022245646,1664.47431411655,122.73676014914,10:00,5.34206275327021,0.0244694207049985,6.000000192,-24.3635463232927,11.6687466947032,-15.3264706089113,4.50845612290991,-2.74952891636572,79.45773930507,-3.34138395290309,-4.52202281389736,0.432033549027946,,,,,,,,,,,,7.72858311433331,5.86220389089077,0.115542245155571,50,5.43290921153204,4.12664834572539,-129.32231827107,2.12481359983446,12.7384097507125,33.6887134053725,-22.5118444832436,Normal Cornbelters,O'Fallon Hoots 2025,,,,62f4d4d9-e806-4c42-bf48-9bffa15cd4d1,f6dac3e6-0a44-4c82-9543-0613b480b4b4,89.3065898933393,5.34112062180216,0.0166639706727396,1.29688093080204,-1.51797250450172,79.6532242318584,4.50991735808705,-2.74361691004833,-3.31832968814575,-4.43116404555557,0.431844919298037,-16.189879110914,10.1237701940418,14.7558694885285,18.3783627063481,1609.57970380448,423.943297451974,96.7019851344952,-0.522945102047381,0.254701015123198,0.813422284634412,,,,,,,,,,,,,,,,,0.994668194299148,0,,,medium,high,106.540526435713,23.4605274852286,54.667001749344,Kannan Kleine,,Normal cornbelters,2022-11
