PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/1/2025,6:02:47 PM,1,1,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,84.49453637184571,-0.294901827,-3.458129425,2164.996801158286,192.65206949594312,12:30,5.883425917,3.031745131289143,6.0000001920000035,-21.55075909,18.396989082195887,2.882092370523108,3.812946947002272,0.054047576,75.60422753594418,-4.378258232,-2.911908495,0.4549018197718224,,,,,,,,,,,,-2.744543029,10.055757406728409,-2.751389225,50.000000000000014,5.846895891508937,7.320147158420863,-122.5918298,-1.28994304,-4.085119491,29.189108030162576,-17.20654128,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,9f1fd6dd-8c23-4cc0-b46d-71fb8676d3a0,84.75190704079202,5.884746958185403,3.034716853266351,-0.312202022,-3.493821952,75.81777779773873,3.8127854490418853,0.051738956,-4.379250441,-2.94669931,0.45469100328118706,3.2182658592436124,17.114055549241552,-44.15402006,97.30302065,1553.3199255958866,-1508.114173,71.74698478837712,-0.700048327,-0.696589562,-0.157147456,,,,,,,,,,,,,,,,,0.9953718101974622,0,,,medium,high,2.427281417575287,49.39807330312488,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
2,6/1/2025,6:02:59 PM,1,2,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,83.93038830989546,-0.097939497,-3.167808256,1997.5387024779839,193.6249683318105,12:30,6.039161548367893,3.601842277203025,6.0000001920000035,-23.0043251,17.46319694705903,2.956904787889785,4.030970621123294,0.901106476,75.10008617552622,-4.458151237,-2.607056292,0.4578516972089798,,,,,,,,,,,,-2.686835025,9.483337215,-3.345256694,49.99999999999996,6.017867791666645,6.651872890606432,-121.8091953,-0.906139755,-3.947707276,28.851608148359297,-18.24039196,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,c33ee62d-d4f5-4456-936b-3836f6ae7ac2,84.18820407234018,6.039933939063439,3.6050138151514646,-0.108632133,-3.205427102,75.31074458631517,4.031268591449276,0.8987157764046839,-4.45223282,-2.643237453,0.4576374388555517,3.311011010626233,16.09054017630238,-45.46783354,75.40597912152487,1400.893018736857,-1423.959135,70.13095751281429,-0.681573628,-0.712856844,-0.165204447,,,,,,,,,,,,,,,,,0.9956627167842426,0,,,medium,high,22.13461879,69.84794971274702,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
3,6/1/2025,6:03:11 PM,1,3,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,86.03073393411945,-0.153850097,-4.279720815,2305.920708921297,194.51503147097867,12:30,5.693975163302722,3.2466816268308905,6.0000001920000035,-20.45270393,18.159390851535566,3.3405242878241634,3.846195611689797,-0.459900739,76.91811274143016,-4.027955174,-3.647654079,0.44723234390558686,,,,,,,,,,,,-3.276674353,9.879222759,-2.899361085,49.99999999999996,5.669579701300959,9.228137863200162,-124.6998693,-0.970742749,-5.045731355,30.22931870370691,-16.96109319,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,b8398a63-8ab8-4cf4-9bc3-bb4e45549da9,86.29093749415739,5.695526407,3.249849193887766,-0.17391934,-4.317802182,77.13579777091572,3.845814393599532,-0.46238334,-4.032289833,-3.685164544,0.4470273315935308,3.6998330072647168,16.951923748461653,-46.44766238,93.63218619132726,1588.818307023048,-1671.205165,68.90168863,-0.66702479,-0.724745287,-0.17269105,,,,,,,,,,,,,,,,,0.9966584252451279,0,,,medium,high,5.731032427805543,-78.72969511,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
4,6/1/2025,6:03:23 PM,1,4,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,85.99244994483612,-1.162909554,-2.890131177,2209.5187532375703,193.6898469879347,12:30,5.767663422,1.6675262926258996,6.0000001920000035,-19.8858495,18.628559075999977,3.1291160358272094,3.0281833361689214,-0.760064146,77.05003141371874,-4.927466976,-2.296702321,0.4466662505360833,,,,,,,,,,,,-2.676430205,10.474059334186462,-1.433723111,50.00000000000004,5.661296324587329,6.204053138945169,-124.8160872,-3.155289547,-4.13275968,30.083476375169905,-16.00072662,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,c7d25092-eb1c-446d-a8bb-7f029355f31e,86.25263276279026,5.769366424,1.6705402312963353,-1.184218892,-2.9254897,77.26168644,3.027720556341089,-0.762302932,-4.933091627,-2.330545245,0.4464599707274055,3.4614446202204667,17.46160039488633,-42.05889459,88.77344509280896,1640.4718391391484,-1480.143664,74.24566262383576,-0.72136423,-0.66989414,-0.175714225,,,,,,,,,,,,,,,,,0.9967600287204933,0,,,medium,high,10.103899416471938,67.86341104014889,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
5,6/1/2025,6:03:35 PM,1,5,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,1,Fastball,,Foul,,,,,,,84.60333434541083,-0.71046953,-4.647459333,2045.7079351372527,193.9070562172652,12:30,5.769484866157434,3.1938764483725204,6.0000001920000035,-21.49282309,18.457839948046296,3.132139184,3.315898163450158,-0.873929075,75.75325478864737,-4.774799873,-4.05557967,0.4549184158587169,,,,,,,,,,,,-3.282321047,10.229412771577133,-2.816299668,50.000000000000014,5.6989837692718535,9.867944700246415,-122.5653789,-2.181047428,-4.885781033,29.072168395222246,-16.94742484,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,a780bbcf-b50f-407d-84c0-7faaa7b3c713,84.85855435273982,5.770745280560491,3.1968265939894627,-0.727047754,-4.682849821,75.96499042915877,3.315769903932113,-0.876095739,-4.775437939,-4.090204031,0.45471634655913423,3.4680661232457006,17.193566743415108,-43.3067799,83.70726467,1488.6444680529798,-1403.16022,72.76915939,-0.70636069,-0.685904472,-0.17489892,,,,,,,,,,,,,,,,,0.9966821817937961,0,,,medium,high,14.663461793987166,64.81452000986353,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
6,6/1/2025,6:03:54 PM,1,6,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,2,Curveball,,Foul,,,,,,,78.10993481714664,2.4662731797448116,-3.22339944,2302.215758699605,18.324132746401396,6:30,5.344073095421957,3.1603827887474756,6.0000001920000035,-61.84808725,-14.70150796,-6.8635769,2.4872553778196425,-0.41055368,70.14365768462103,-9.224321603,-4.527490844,0.4941930306505915,,,,,,,,,,,,2.540211992886911,-8.875211704,-2.893601382,50.00000000000002,5.509869777947157,6.566932700017292,-113.1909684,3.151046235754193,3.1973938255415963,26.394396831876705,-43.34537985,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,1b01ff5e-04e9-4ce5-87b4-674a5ea67af4,78.24409051564305,5.3271698945468735,3.1618720325182808,2.665275403294566,-3.241381044,70.20302257599083,2.5004051287820444,-0.411482317,-9.029328451,-4.541233455,0.49407675026466413,-6.691407968,-18.48692222,-33.92066323,75.64160298527757,1910.4041501997901,-1284.738644,82.98110822066792,0.7877339687470949,-0.558044414,0.2608862331265698,,,,,,,,,,,,,,,,,0.9963203624157142,0,,,medium,high,21.922557313250167,65.63365788,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
7,6/1/2025,6:04:14 PM,1,7,Luka Zachman,,Right,Normal cornbelters,Conner Barth,,Right,Danville dans 2025,Stretch,1,Top,0,3,2,Fastball,,InPlay,,Popup,Out,1,0,,84.40166378943567,-1.1305438,-5.532552579,2123.1583662328767,197.17637455976498,12:30,5.665797353578629,4.096899146441853,6.0000001920000035,-20.5847355,19.64429228179108,4.3883619818253665,2.8946277616975604,-0.695364417,75.61825015374636,-5.016776375,-4.705508629,0.4565005351466609,,,,,,,,,,,,-4.250699702,11.010160523527897,-3.647382831,49.999999999999986,5.561346609408002,11.693183942255756,-122.0982326,-3.047274328,-6.284842605,28.650444691423402,-15.895053,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,679fee28-eda5-4a0d-80d3-aba595e5d6dd,84.65692422375437,5.6676240743388355,4.100268335949808,-1.153728588,-5.572577575,75.82981694189057,2.894053364577148,-0.697987671,-5.023813858,-4.744892688,0.4562927124931323,4.767059099,18.471000719727073,-39.10515015,72.05465268113117,1647.5490458431445,-1339.172726,77.59897104455725,-0.741380735,-0.630745566,-0.229160721,,,,,,,,,,,,,,,,,0.997464185,0,,,medium,high,25.15081258698199,-22.68494618,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
8,6/1/2025,6:04:50 PM,2,1,Luka Zachman,,Right,Normal cornbelters,Mason Mccue,,Left,Danville dans 2025,Stretch,1,Top,1,0,0,Changeup,,Foul,,,,,,,80.6597113,-1.202879941,-3.175136832,1620.0167136446864,225.48783238399236,1:30,5.428401991373581,2.0950019849210446,6.0000001920000035,-27.53796897,16.21775703346966,13.889710381268403,2.013738781281379,0.2985013188988471,72.45955845314299,-6.408088429,-0.540284736,0.47608990137520585,36.06091406157218,-20.14716991,-149.4473674,,,,,3.3437506573435996,,-120.8738424,0.1081883707290665,-8.582566334,9.177157282,-1.844153892,50.00000000000001,5.314304134339123,6.087865618347308,-117.052097,-3.265331308,-11.66832977,26.230204434354143,-19.6973505,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,f6efb08d-4e69-45a7-af74-d4402b863dbe,80.88808972660134,5.427640870805537,2.1013396581045214,-1.194963982,-3.25137056,72.64252520559778,2.015229661473588,0.2933916052753815,-6.384594522,-0.617248604,0.4758872569228907,14.605235254928703,14.653786386417016,-4.948174224,32.01972138383735,1613.9791146723826,-139.7339253,99.62731255045385,-0.698447953,-0.08625462,-0.710443944,-17.20918679,-29.15412743,-12.42055822,-0.222106871,2.8813833337466064,2.167370175741603,-2.869938738,-1.715843845,,,,,,,,,0.9966310184075482,0,,-29.84207048,medium,high,61.18225075454642,-57.37755965,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
9,6/1/2025,6:05:07 PM,2,2,Luka Zachman,,Right,Normal cornbelters,Mason Mccue,,Left,Danville dans 2025,Stretch,1,Top,1,0,1,Curveball,,StrikeCalled,,,,,,,78.64634020799241,2.9107786434713536,-2.340630581,2198.312507274135,19.207716775410557,6:45,5.367983825900421,2.3209119343180564,6.0000001920000035,-61.22139465,-14.79342821,-6.922997784,2.9760505549577356,-0.432582769,70.53792942597778,-8.679530893,-3.657758952,0.4904122990566562,,,,,,,,,,,,2.9023432146305685,-9.076879925,-2.126169827,49.99999999999997,5.570277795070201,4.855939184987372,-114.0197908,4.07400069,3.7106678814093987,26.59094773,-43.77890963,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,82e7a1a0-7800-44c6-9fb8-8a22fbd6dbbc,78.78184351096866,5.351736646820131,2.3219570694745357,3.1057410753422214,-2.353570798,70.60063763836108,2.9890204501320548,-0.43321366,-8.484119363,-3.667177415,0.4902984261355403,-6.798548986,-18.47547615,-32.56424724,94.32936157511695,1852.7123356041182,-1183.230696,84.2788425,0.7958721369830719,-0.538244991,0.27727219630274436,,,,,,,,,,,,,,,,,0.997621513,0,,,medium,high,5.103574582394719,36.375612743341605,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
10,6/1/2025,6:05:34 PM,2,3,Luka Zachman,,Right,Normal cornbelters,Mason Mccue,,Left,Danville dans 2025,Stretch,1,Top,1,0,2,Changeup,,BallCalled,,,,,,,79.11348467106949,-2.024797987,-2.310366775,1562.7701689151663,228.49972130546698,1:30,6.123108685300263,2.980664072531703,6.0000001920000035,-30.01856646,15.444158021455227,14.376405106414687,1.7374115393490224,2.0302930765421454,71.27286642,-7.682793334,0.41920139912737064,0.4852876639610765,,,,,,,,,,,,-8.555827282,9.037428831,-2.800698875,49.99999999999993,5.940590147444075,4.221764114005653,-114.8431524,-4.922974053,-11.19463051,25.29220385035668,-20.34928113,Normal Cornbelters,Danville Dans 2025,,,,224b8de9-7b39-4692-bdff-02d58ab0f8f2,a3d4dac5-4417-43d6-ba61-cd19c0b972e6,79.33379738811219,6.121632767617367,2.9873696660037767,-2.008595932,-2.390242825,71.44643373455241,1.7394785197087328,2.0249900803704826,-7.651007108,0.3392564283235094,0.48508219702035776,15.12463836832994,13.73884289181922,-5.852445341,25.034725001503272,1554.6246837106974,-159.3508508,99.47877907,-0.659169958,-0.101966914,-0.745048801,,,,,,,,,,,,,,,,,0.9881942811968282,0,,,medium,high,67.46874749864703,-35.23483738,54.667001749343996,Charlie Graham,,Normal cornbelters,2022-11
