PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/6/25,6:36:38 PM,1,1,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,91.55323721507393,-1.185372117,-5.370947897,2017.051313216997,228.47560765565947,1:30,4.983571814301408,3.670721925296717,6.0000001920000035,-18.57544934,15.545372473153204,14.990074220568655,2.3289241942569396,-0.086503034,81.94295327443967,-4.701511832,-2.539683667,0.42041796314961016,,,,,,,,,,,,-9.900158513,8.802135419443779,-3.240640155,50.000000000000064,4.875806857912759,11.960711556097847,-132.4921945,-3.367840685,-17.26534235,33.297754264839455,-16.82360027,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,f65e7274-41ae-4d0e-b2ce-6d07c659c1aa,91.80313734492171,4.984582040917071,3.677883188443289,-1.198331262,-5.456108912,82.14463190662427,2.328772052308078,-0.092070384,-4.702606067,-2.624809836,0.4202511439799514,15.795637881358461,14.559368926396086,-11.56016583,60.369179265196884,1976.1350428173198,-404.2107033,97.97148093697132,-0.649490998,-0.200396837,-0.733486572,,,,,,,,,,,,,,,,,0.996861712,0,,,medium,high,35.667738661322794,34.206585808443144,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
2,6/6/25,6:36:51 PM,1,2,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,92.68905274943447,-0.049274646,-7.781610328,2092.0991215992663,221.55988462710982,1:30,4.9345068221055906,5.3015573856295894,6.0000001920000035,-15.9727053,17.614438365060202,13.689343547882348,3.5572267883629873,-0.834641287,82.71063325261716,-3.065304616,-5.217408894,0.4171171614805667,,,,,,,,,,,,-10.00049144,9.539583079,-4.67172449,49.99999999999995,4.921190491694086,17.78982922305058,-133.5191211,-0.648373024,-17.71926619,33.704099362051146,-15.27143905,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,8fc971bc-fc5a-4736-9d59-907f444bc03f,92.95244984995071,4.936578413091005,5.308136239547268,-0.074831645,-7.85874141,82.92528799011221,3.556240007599274,-0.839830942,-3.078764616,-5.29477839,0.4169451972011793,14.424569355918289,16.782524707257846,-11.31109567,57.84085594631655,2051.463639505707,-410.3360457,98.05766936785977,-0.733729015,-0.196136044,-0.650517013,,,,,,,,,,,,,,,,,0.9973142323823861,0,,,medium,high,37.94322964831506,83.62629825580966,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
3,6/6/25,6:37:04 PM,1,3,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,1,1,Fastball,,StrikeCalled,,,,,,,91.12243963997122,-1.802171312,-5.827216002,1994.3764812441275,228.40679844366142,1:30,4.913317386369904,3.641513385003077,6.0000001920000035,-18.88405326,15.609740490127614,14.905683256191155,1.6554641550289368,-0.550874658,81.64696402783504,-5.372023765,-3.016314038,0.42270949540764535,,,,,,,,,,,,-9.993447176,9.038373381956045,-3.173865647,50,4.754753901926258,12.954045354883457,-131.7356923,-4.787780597,-17.24280014,32.72254825253857,-16.57914394,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,f0f36f76-6868-490a-afca-53f291b91f2e,91.36943435925602,4.914251672855022,3.6485855762517243,-1.814128453,-5.91145193,81.84757260994982,1.6553679084329687,-0.556505395,-5.372139674,-3.101035759,0.4225424967937683,15.702636203913297,14.631783132417072,-12.02004709,58.227475701196305,1950.649367511202,-415.3367236,97.80747947320117,-0.649282705,-0.208253922,-0.73147951,,,,,,,,,,,,,,,,,0.9958268322701197,0,,,medium,high,37.59527186892327,36.69500157568023,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
4,6/6/25,6:37:18 PM,1,4,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,92.68977326,-3.251031432,-6.185825676,2076.344780654746,225.8026355819373,1:30,5.000829765100813,2.3480614210533934,6.0000001920000035,-17.11952772,16.30290977,13.858094235661165,0.5317533320076357,-2.268606293,83.20479637362814,-6.479670809,-3.577260401,0.41609316540138025,,,,,,,,,,,,-9.524965651,9.883839286114911,-1.850279335,50.000000000000014,4.724238853649196,14.03563312,-133.7740832,-8.215617721,-16.96586953,33.44944324276708,-14.56895431,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,6439103f-f1f6-4eb9-a10d-4e35cd40f9a8,92.93983281030056,5.002364271961433,2.354827664,-3.269845552,-6.266131353,83.40730626368179,0.5311721396726922,-2.273893131,-6.486893589,-3.657095368,0.41593130982593196,14.619743658264897,15.466389138089749,-17.801626,59.58559078331758,1976.9308795957038,-634.78496,95.21207161810123,-0.663753938,-0.305722328,-0.682615974,,,,,,,,,,,,,,,,,0.9938149573629732,0,,,medium,high,36.37296829501415,31.409511156762502,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
5,6/6/25,6:37:33 PM,1,5,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,2,2,Changeup,,Foul,,,,,,,86.46078571078195,-0.164394712,-4.860923058,2070.570275393052,249.4859991779623,2:15,4.370321416957348,3.339935240389344,6.0000001920000035,-28.81801058,9.397317077838782,20.01096538930951,1.8154810767041984,0.4789343327046243,77.44000732205805,-5.618799785,-1.072175767,0.444928593,73.30488707000396,45.97636096272135,-63.79269706,,-98.06453285,49.833195736957876,70.47658106,228.51387750586053,,-63.44087568,4.205720314714175,-12.46030168,5.1377722131225525,-2.954632581,50.00000000000003,4.340185230088227,10.025802993495256,-125.2402801,-1.26076405,-19.39720161,29.98090899952049,-24.1759765,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,35a451ce-803c-4156-885e-09fe1aa867cf,86.68013991735953,4.367202420638648,3.3487810538183616,-0.128216956,-4.965979551,77.60646081217351,1.8185549225994349,0.4719814350427619,-5.57185957,-1.176899767,0.4447647715696965,21.00170616890242,7.791747116286301,7.032225763945125,49.09728406366235,2054.994306202801,253.4949049099933,99.24774496304917,-0.347800082,0.12242757849012051,-0.929541065,-45.70670861,22.497725668845295,52.71010905238674,0.18957497815943106,0.674502167,1.3930266743066322,-204.3995958,102.17336959511202,,,,,,,,,0.9973529366579251,0,,31.349976951683303,medium,high,45.812444342703856,-62.18536399,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
6,6/6/25,6:37:51 PM,1,6,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,2,2,Fastball,,Foul,,,,,,,91.91252813686373,-0.890084209,-4.975883793,2039.873649071959,226.23177959690224,1:30,4.98449205,3.6426364758297516,6.0000001920000035,-17.64127625,16.180757297395274,14.728564866908112,2.683950769915673,0.23380047956872324,82.20903654814705,-4.232226407,-2.190875457,0.4185731635162867,83.94727025209464,31.872925920876924,-70.83899821,,-103.6614528,36.80085871990915,49.66839661243975,268.94029914368247,,-70.68178596,3.581010537964504,-9.634785489,9.049142649007239,-3.244843014,49.999999999999936,4.901485311494901,11.099439343450085,-133.1028689,-2.661555501,-16.94879785,33.74375266700915,-16.25547105,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,33dcb69d-7692-444b-aa1c-3b3877648af5,92.16422186,4.9857462879980226,3.649463974099356,-0.906047346,-5.057913073,82.41381374498461,2.683592296763082,0.22838017687029524,-4.236535615,-2.27343742,0.4184056082225433,15.503491459076152,15.212666423558781,-7.655090624,52.346325925707134,2021.6941231716946,-271.7303379,99.10879157105956,-0.685577867,-0.133209397,-0.715708212,-67.34035379,23.399011063101344,44.32727394287915,-0.098584274,0.7660646687402922,2.7448818479633053,-253.7978402,88.96932519312885,,,,,,,,,0.9972449280255409,0,,37.75466645389131,medium,high,42.88830666686353,27.45942793091758,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
7,6/6/25,6:38:12 PM,1,7,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,2,2,Cutter,,BallCalled,,,,,,,85.49867330566326,2.456927108012031,-5.69797597,2072.100927725496,168.1951141352745,11:30,4.956166125067501,4.556156471748813,6.0000001920000035,-29.10877766,10.344875430534053,-1.346798456,4.8266330290074615,-0.869266921,76.14219742,-3.053447482,-5.951821362,0.45207983232894616,,,,,,,,,,,,-1.285708312,4.731506896961804,-4.089717529,49.99999999999997,5.140623006934108,12.365839385473086,-123.5200504,4.433522209426919,-1.936043015,30.411070232625036,-25.04926024,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,1cd21fd8-473a-4af5-a279-0ab71e518116,85.76470015488295,4.953530098172564,4.558720144692806,2.4863081277213244,-5.728148,76.35297202398273,4.829535226038899,-0.871049829,-3.008132878,-5.978580653,0.451868871,-1.059089168,8.527194087161215,-73.28373113,82.62753525664921,596.0035007693319,-1984.535735,28.763246654377646,-0.281549025,-0.957740865,0.058843713,,,,,,,,,,,,,,,,,0.9932770629303053,0,,,medium,high,15.635218269015645,-85.18880733,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
8,6/6/25,6:38:28 PM,1,8,Cole Noreuil,,Right,Normal cornbelters,Zack Henderson,,Left,Chillicothe paints 2025,Windup,1,Top,0,3,2,Fastball,,InPlay,,GroundBall,Out,1,0,,90.39939847921553,-0.136024601,-7.664814741,1902.1029290181266,232.26567681803542,1:45,4.830714375701272,5.765636996044505,6.0000001920000035,-20.87558085,14.398836262659056,15.240509718423317,2.9635221940322034,-0.130752245,80.76744824,-4.076636603,-4.807987019,0.42746587022743543,87.61198226523163,-7.34405524,-11.66686125,1935.8232667827647,17.722157824094186,-108.5630005,1.2717440589108655,19.360183367817683,,-11.49181538,0.15066533127082632,-10.78691336,7.8289668273131925,-5.146396189,49.99999999999997,4.807420039,17.034669136645217,-130.2611134,-0.99126067,-18.20076062,31.949628931238507,-18.96423261,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,e1714f49-2792-4e91-9aaa-e12dbfbfc19d,90.65237109750485,4.831144841955409,5.7732715834710255,-0.142132718,-7.75394257,80.96907383,2.963858937,-0.136570014,-4.070046727,-4.896458663,0.4272958606092291,16.09131564679764,13.349349648679716,-17.56516108,71.35109269879163,1813.416139642476,-574.0361113,95.33743479268858,-0.583465973,-0.301790246,-0.753982828,-17.57163165,85.09803258390893,-11.19919854,0.14602240519221968,0.6092688463302366,2.929662542209009,-3.857089674,18.972073141466296,0.06175309,-1.031753804,-0.014929273,-0.756728545,-0.065754297,0.6504139304791066,,,0.9967183000491789,0,0.9944497389162957,48.455363350536196,medium,high,25.784016571087466,65.62273318102211,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
9,6/6/25,6:39:01 PM,2,1,Cole Noreuil,,Right,Normal cornbelters,Cam Gravelle,,Left,Chillicothe paints 2025,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,90.69919169608598,1.0957936363250211,-4.760931184,1966.98916,228.47449174325402,1:30,4.900788323540723,4.263064228146306,6.0000001920000035,-19.51252097,15.2552734,14.731016881069596,4.296819166378172,1.055657724873113,80.86590485522704,-2.604888635,-1.971815173,0.4243850658959638,,,,,,,,,,,,-9.590614013,7.879294276704135,-3.882896137,49.99999999999998,4.979071680493151,10.458641085704038,-131.3645379,1.8827351692116183,-16.40539344,33.29910202207223,-18.69598421,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,c5f10199-6bdc-4c77-aef4-3981fa4ebee0,90.95453123465023,4.901729470749978,4.270228901766863,1.0832681635608306,-4.846969125,81.07444791279036,4.296767557467085,1.0498520049624913,-2.604563393,-2.058995178,0.4242078576093418,15.541707093691493,14.162049159292945,-14.99989613,65.10664436570063,1899.9665512574118,-509.0908161,96.59262948880163,-0.640364141,-0.258817296,-0.723151004,,,,,,,,,,,,,,,,,0.99651349,0,,,medium,high,31.404020070869414,-89.5683412,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
10,6/6/25,6:39:16 PM,2,2,Cole Noreuil,,Right,Normal cornbelters,Cam Gravelle,,Left,Chillicothe paints 2025,Windup,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,89.95791722,0.7608458781251632,-4.170346875,1930.0802963833892,231.61390280728114,1:45,4.6346268395535875,3.046535864212914,6.0000001920000035,-20.92885227,14.352895474359979,15.307397022750125,3.5996000150069807,0.43939918262114463,80.28722377,-3.210169018,-1.268566709,0.427510285,,,,,,,,,,,,-9.701517869,7.505528453292941,-2.715100515,49.99999999999999,4.684656305282523,9.011347324636837,-130.4075927,1.0564419092047088,-16.35308857,32.83274357,-19.52256832,Normal Cornbelters,Chillicothe Paints 2025,,,,5c4478ac-3206-4e45-be62-b9998edbfd93,ced3dcba-4ffc-4e5e-bddd-5b7f8e458781,90.20937432155065,4.635056088,3.054053589491288,0.7545225998388381,-4.260351652,80.48846903260439,3.599963284785473,0.4334938491680303,-3.203589212,-1.358320003,0.42733421908655955,16.155571950590787,13.18051984374995,-14.5616472,72.31115862548685,1868.0816470754253,-485.2637534,96.78776839367058,-0.601011003,-0.251421536,-0.758665266,,,,,,,,,,,,,,,,,0.9689991903862105,0,,,medium,high,24.919957237061805,68.86082185848825,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
