PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/25/25,10:38:00 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,83.90471971925929,2.561681005090973,-1.80637525,2209.681037,200.2053775214476,12:45,5.9382979485305745,2.400717931504152,6.0000001920000035,-22.24261807,18.336334551172108,5.933302350244923,6.4683286216004605,1.2157696347548688,74.63713410257478,-1.668871064,-0.677473936,0.45848163,,,,,,,,,,,,-3.844954885,9.030593561570997,-2.256956054,50.00000000000004,6.1343642817236494,3.660396241258991,-121.7558471,4.777122095115089,-5.630414209,29.36317104371154,-18.94997185,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,8198616e-13a0-4a2b-a88f-961df0edf673,84.16889464849243,5.9399753473067465,2.4051457044414835,2.539901563488621,-1.859664067,74.85709073875779,6.467964261163385,1.2122576763897202,-1.67296451,-0.730530337,0.4582591780412108,6.4329497647950875,16.965433711695965,-40.57614304,92.37322227649902,1678.3460145380154,-1437.304748,75.95422084050098,-0.712800445,-0.650458018,-0.262335458,,,,,,,,,,,,,,,,,0.7804794135384108,0,,,medium,high,6.864099951,-26.08163296,54.667001749343996,Grant Sn,,Interns,2022-11
2,6/25/25,10:38:14 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,82.00335820315588,2.626949071137506,-1.71807335,,,,4.805992889207549,3.0087903882882783,6.0000001920000035,,,,3.9069365173794974,1.4115451292408536,73.21879721939649,-4.992454793,-1.71807335,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,f3cc8975-b69a-4a6d-9b90-12e3c2717d56,82.23334545009907,4.799374650200287,3.008790388,2.705906218514214,-1.71807335,73.39408796285474,3.9129534924441502,1.4115451292408556,-4.897479575,-1.71807335,0.46892420230393744,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
3,6/25/25,10:38:29 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,85.35556013500292,3.8760988734617823,-2.474122605,,,,4.387444074433883,2.2514383318871274,6.0000001920000035,,,,4.9031030843958465,-0.049425844,75.94798681395416,-3.179518245,-2.474122605,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,ed5ab2df-f79f-410d-8ef2-d3920e825ae1,85.60425808,4.381050787,2.251438331887128,3.9500871801714705,-2.474122605,76.13592305,4.908776555617132,-0.049425844,-3.09179746,-2.474122605,0.45126884172325815,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
4,6/25/25,10:38:44 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,,,,,,,,70.83291969913287,4.211266530954216,-6.374621378,,,,4.785345629189783,3.1828735911644648,6.0000001920000035,,,,4.182366097580259,-2.766226194,63.21665964861691,-6.087482346,-6.374621378,,13.652130336037912,26.817077043072537,-24.49913467,,,,,4.809893349164597,,-11.84714011,0.7904336276594552,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,b5fd8c41-44fc-40e7-8ce0-3a8e89faa9e2,71.04311681120771,4.776040557226549,3.1828735911644648,4.319498225470592,-6.374621378,63.36225990241989,4.190868191999127,-2.766226194,-5.959031875,-6.374621378,0.5470666445865621,,,,,,,,,,,-5.052398112,11.08691954408405,6.159070632545907,4.280117722920398,-7.941323841,2.994337652327088,-0.987477578,4.707436888963079,,,,,,,,,,0,,-4.53321392,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
5,6/25/25,10:38:58 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,,,,,,,,69.31387567433156,5.467272650272292,-1.166614568,1930.716958069799,75.09546385299551,8:30,4.624683163274161,2.3304413262330272,6.0000001920000035,-59.15978765,0.7885431517777093,-12.64073647,4.792484452356413,0.19265250737724018,61.75130114985916,-5.756222441,-3.570639253,0.5572628221256228,,,,,,,,,,,,6.4327433725995204,-1.521720578,-2.228117535,49.99999999999998,5.037374002974257,2.3557301696406467,-100.2422187,8.125058996141084,6.373495575308865,20.169897206742785,-33.68175459,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,064fd962-91ae-415c-a749-394b7219450c,69.50362476756709,4.612195319896145,2.330402121439553,5.612105978822138,-1.166469843,61.86939310203701,4.802946530925415,0.19299653459755792,-5.597127966,-3.565156516,0.5570526019429252,-12.63775243,-2.927505073,-54.73864101,31.159228007805968,1114.6165545348097,-1576.482765,57.73070723163526,0.14848874854438504,-0.816527124,0.5578839908997217,,,,,,,,,,,,,,,,,0.9703425904560262,0,,,medium,high,61.95669479297466,-56.99976736,54.667001749343996,Grant Sn,,Interns,2022-11
6,6/25/25,10:39:15 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Sinker,,,,,,,,,77.84739875102471,3.3612008401187388,-1.625823548,,,,4.577859567258871,1.8101928003641143,6.0000001920000035,,,,3.9932522196452274,0.2987569913528387,69.47778989248225,-5.100256026,-1.625823548,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,43e0627e-9303-4de5-82d7-a97eebb008ef,78.07231993438606,4.57019344,1.8101928003641123,3.4501539050815637,-1.625823548,69.64162962997622,4.000106183565818,0.298756991,-4.995495855,-1.625823548,0.4942424882244669,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
7,6/25/25,10:39:30 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,,,,,,,,68.20289280063339,3.348685321889842,-4.092901911,,,,4.52176653,3.671401669834076,6.0000001920000035,,,,2.786160415128806,-0.138999049,61.156626205574824,-7.675093031,-4.092901911,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,71e08b12-5dc9-42c3-8e3c-8334deedeed9,68.40007911374714,4.5117299541503035,3.6714016698341023,3.4651086739380204,-4.092901911,61.287993762621355,2.7950878704159083,-0.138999049,-7.539301648,-4.092901911,0.5654383149753852,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
8,6/25/25,10:39:47 PM,WarmUp,WarmUp,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,83.38602653688233,5.019991574182867,-1.770871108,,,,4.620560808463089,2.5236123491774944,6.0000001920000035,,,,6.049055398866678,0.8772516680412161,74.02939615,-2.389166414,-1.770871108,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,6e91e30e-76d0-4513-940f-9fa7a2c28e6c,83.63200659311825,4.6140276729300895,2.5236123491774918,5.096779818688632,-1.770871108,74.21627411660843,6.054991610019208,0.8772516680412155,-2.296470742,-1.770871108,0.46244046556932017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
9,6/25/25,10:40:54 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,StrikeSwinging,,,,,,,74.52578610065527,1.1658682829567566,-3.935589121,,,,4.5876491738702505,2.7387936862167512,6.0000001920000035,,,,1.617454153,-0.9246814,66.97730864495868,-8.02737445,-3.935589121,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,ed116f74-4b5b-46f6-966c-054b2ae6ee1b,74.73085161,4.579389038977038,2.7387936862167424,1.2631887139889943,-3.935589121,67.12362622055562,1.6249730643149891,-0.9246814,-7.913880411,-3.935589121,0.5166151727716647,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
10,6/25/25,10:41:12 PM,1,2,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,85.46782550884662,2.0496968809022387,-3.41022412,,,,4.762397153277389,1.9711531941402303,6.0000001920000035,,,,3.5887576259108833,-1.202035513,76.33245985,-4.967087769,-3.41022412,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,aa1994ae-450e-4b9a-8df4-fd6bbdc064d2,85.70926113,4.756067461680374,1.971153194140231,2.123617004932556,-3.41022412,76.51550413297613,3.594494493,-1.202035513,-4.879943752,-3.41022412,0.4503425828708705,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Grant Sn,,Interns,2022-11
