PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/27/2025,6:36:06 PM,1,1,Graham Kasey,,Left,Normal cornbelters,Cooper Blythe,,Left,Dubois county bombers 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,85.5212313286241,-0.5658192797423869,2.227227021707748,2162.4035612641214,138.82183905120203,10:45,4.712714114964407,-0.9596304854986336,6.0000001920000035,-22.586510263463545,16.31194295654108,-11.667938739325631,2.304221301341142,0.13905519277793196,76.58597322440679,-4.847640584368175,0.010646351644838391,0.4488876825018371,,,,,,,,,,,,7.072617556758116,9.0185268071026,0.7848724834595135,49.99999999999994,4.6535204136615755,-4.46991988132679,-124.21321702288996,-1.9264096672298403,10.8124000072186,29.864886449460823,-18.386803416999744,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,0bbe2a67-7dbb-486d-8183-7875a6601486,85.76770850191603,4.713738531545647,-0.9664031841509985,-0.5794545000300264,2.307929225354733,76.78566707364226,2.304268479266805,0.14428459203605637,-4.845680937300922,0.09041956272601527,0.44869232948450344,-12.425374320721259,15.058398860445303,31.774098785790905,80.85795169513709,1838.3259125624038,1138.6601780027966,85.01308199324899,-0.6398644978409819,0.5265715421487496,0.5597283585828002,,,,,,,,,,,,,,,,,0.9971073860258143,0,,,medium,high,17.227843474376645,69.41037773629517,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
2,06/27/2025,6:36:26 PM,1,2,Graham Kasey,,Left,Normal cornbelters,Cooper Blythe,,Left,Dubois county bombers 2025,Stretch,1,Top,0,0,1,Cutter,,Foul,,,,,,,77.77272877787496,-0.7608517354720278,0.9848873025276066,2126.928297577847,215.56552135633112,1:15,5.256194560672516,-1.6758148589773265,6.0000001920000035,-37.086394787016715,9.982728609803708,6.356082563900793,1.4583846562619853,-0.23070309049742432,69.99350483355283,-7.763677377609845,2.1932557961617105,0.49378691531527447,,,,,,,,,,,,-3.0988200936912134,5.667901860658198,1.591912003611204,50.00000000000003,5.1727850612541335,-2.1213499507732436,-113.00757010406691,-2.5431423174624985,-3.9130520728668854,25.108250881456044,-25.016875418384483,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,7aa341aa-4f0f-4106-9e59-595923e3217a,77.99765124657982,5.251301538338711,-1.6770527519371055,-0.7040761669972686,0.9999143867540543,70.16738607470256,1.4632558851196533,-0.22998264697424856,-7.690208125582664,2.203872257409441,0.49356633062636557,6.211939395051526,7.687697549839996,68.24461862806292,71.42549259533621,788.3346204459074,1975.4372957003231,37.0644662231287,-0.30150123982874,0.9287747489889329,-0.21557937754404397,,,,,,,,,,,,,,,,,0.996359768383822,0,,,medium,high,25.71705666419741,-57.95236954145314,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
3,06/27/2025,6:36:46 PM,1,3,Graham Kasey,,Left,Normal cornbelters,Cooper Blythe,,Left,Dubois county bombers 2025,Stretch,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,87.61069142895136,0.806668825212079,2.414980448787201,2121.7667927530038,137.505408636022,10:30,4.833762161869986,-1.2127748512086178,6.0000001920000035,-22.0853269350514,15.029742229971752,-11.35810429508163,3.743747095324065,0.08651405610514336,78.21861666433763,-3.3885896226508074,0.25641212763621096,0.43847684032711537,,,,,,,,,,,,6.978505663769882,7.856003257592268,1.0225131171519206,49.99999999999997,4.88676451164011,-5.0056416551042044,-127.21530899009892,1.0935914433695162,11.178170380796233,31.586434511109065,-19.590303558341496,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,5cda41d7-bc03-4e93-b3bf-22df0ec3afc7,87.8660482917267,4.8346389184211995,-1.2195084785793437,0.794733554049964,2.495436417129773,78.42571979205793,3.7438838955128535,0.09166549992807249,-3.3852719873327706,0.33607329172674116,0.4382851274046204,-12.114436457627123,13.784129187524382,36.34415447457432,75.42058821014483,1709.023338971557,1257.4313300056901,80.54718100070225,-0.5939074770400126,0.5926340888642933,0.5441128057966987,,,,,,,,,,,,,,,,,0.9963810649771729,0,,,medium,high,22.12147061086965,-80.61550402738779,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
4,06/27/2025,6:37:01 PM,1,4,Graham Kasey,,Left,Normal cornbelters,Cooper Blythe,,Left,Dubois county bombers 2025,Stretch,1,Top,0,1,2,Cutter,,HitByPitch,,,,,,,78.09033558340553,0.9359611863689298,-0.09153373009468867,1998.6299274050841,223.8077197694327,1:30,5.201276763274789,-1.7352163208777935,6.0000001920000035,-37.248053643001114,9.438031970792622,7.225977138979111,2.9672270352993357,-1.2181224707619513,69.9949545540793,-6.126698119662629,1.2832465287310304,0.49177364846501403,,,,,,,,,,,,-3.943546810876007,4.783802690986524,1.7384989963807087,50.000000000000036,5.256010322338652,-0.022580761984402623,-113.47899745962019,0.803012779800099,-5.020342802338098,25.356699894583606,-26.08401679083586,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,eabc33d6-46f2-47ab-9742-9a38e2e46f14,78.32159235326478,5.196148833753749,-1.7358814221706704,0.9950592043086148,-0.08345917080422878,70.17184735658321,2.972113948275896,-1.2178651959704796,-6.051154249700236,1.2869831790549247,0.4915522006769832,7.146992113974349,7.118365774904441,65.0989052707465,74.5351947823912,841.52939587171,1812.8292425385926,42.10531346162256,-0.3038601379155164,0.907035973834473,-0.2914699963222849,,,,,,,,,,,,,,,,,0.9591592018664051,0,,,medium,high,22.918324695847947,52.88267642892968,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
5,06/27/2025,6:38:07 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Cole Nathan,,Right,Dubois county bombers 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,87.56619187335497,-0.04057343713053883,2.646293755633326,2049.609001625262,134.5391319742851,10:30,5.022563666249711,-2.0609309108133624,6.0000001920000035,-21.930439154687004,15.200885174353079,-12.742265195839119,3.1572780192798944,-0.6615873998973115,78.30733311032266,-4.201876168658567,0.22594981046618764,0.4385728489414734,,,,,,,,,,,,7.799568348300248,8.238747936423021,1.8525960181626724,49.99999999999994,5.006568886465416,-5.473239344118395,-127.1476413324294,-0.7845026764863252,12.49038530187291,31.3568676229646,-18.980353276721562,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,b3f9c599-61a4-4fc1-9302-663dc5947bea,87.81591903750791,5.023370269142101,-2.0679476975677336,-0.05155265280412104,2.7304558964068857,78.50877773975022,3.15744087958222,-0.6561212593808922,-4.19826120530776,0.30931618028022834,0.4383855235541492,-13.533176854196208,13.97884436025472,29.204092080985657,76.30508305952468,1789.0775234784865,1000.0493360466719,87.28872297398264,-0.6122398190145586,0.4879220062234655,0.6221692051651937,,,,,,,,,,,,,,,,,0.997155743535168,0,,,medium,high,21.325425246427745,81.93062915476673,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
6,06/27/2025,6:38:24 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Cole Nathan,,Right,Dubois county bombers 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,87.29521791903385,-0.9827738495020816,4.3725747239668475,2168.0446959277597,134.58128169589097,10:30,4.7458163157519415,-1.5914037439825135,6.0000001920000035,-22.012742278213633,15.43667241731789,-12.308232753784772,1.9952810941157777,1.45466126741237,78.20111856215634,-5.14915544827212,2.0426678760464316,0.4404473888348615,,,,,,,,,,,,8.130120618543485,8.680193998879405,1.241675602719969,49.99999999999997,4.652769849486456,-9.285723710981149,-126.51742181667079,-2.8711961290947414,12.914976916889023,30.60984025403523,-18.38526213874442,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,efa3b33f-2252-45ca-b377-d2835faa2fe1,87.54390563849405,4.746725789192014,-1.5984960930498644,-0.994829944354768,4.456504712742387,78.40033950208843,1.9953677041609927,1.460070476440446,-5.1464448382572,2.124894448163123,0.4402622805927653,-13.099841047491578,14.285493196459207,33.46950157488637,72.50812735160919,1808.5384316435207,1195.6615511125572,83.41794959488152,-0.5855276050021059,0.5514930358024304,0.5941488493987993,,,,,,,,,,,,,,,,,0.996011410770968,0,,,medium,high,24.742685383551727,-68.94003824358147,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
7,06/27/2025,6:38:58 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Cole Nathan,,Right,Dubois county bombers 2025,Stretch,1,Top,0,1,1,Fastball,,Foul,,,,,,,87.43579431746284,-0.2688703628650652,1.8466008458937728,2173.6224430382263,134.79047058752792,10:30,4.692724000846151,-1.6451970563904257,6.0000001920000035,-21.589377586254848,15.625729818812395,-13.157211053333345,2.6435910231737285,-1.0248177485962475,78.22511642416647,-4.365067189663005,-0.6543218355350202,0.43906736776794286,,,,,,,,,,,,7.753143845656737,8.547779953472936,1.502339685674195,49.99999999999997,4.658326691636836,-3.6792289917385634,-127.02314537428407,-1.2790821590939228,12.386918298334887,31.387531880828586,-18.517569837449,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,56aba908-17a7-4a3c-943c-aa10b4a2dc12,87.68461374499647,4.6937726580433,-1.6525316217596488,-0.28266538076156505,1.9335972050083388,78.42493919551502,2.643579649312651,-1.0191522951733685,-4.364135354871199,-0.568618817450195,0.43887737041811326,-13.972513988603072,14.41263267271461,27.836178511046448,94.17164761284266,1922.1045573424233,1014.9623616287226,88.4286304412537,-0.6229940133500079,0.46694510579769216,0.6275673091403283,,,,,,,,,,,,,,,,,0.9957323260229506,0,,,medium,high,5.245517148441613,11.09739390129954,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
8,06/27/2025,6:39:20 PM,2,4,Graham Kasey,,Left,Normal cornbelters,Cole Nathan,,Right,Dubois county bombers 2025,Stretch,1,Top,0,1,2,Cutter,,InPlay,,LineDrive,Single,0,0,,77.97857757226674,0.9065437819306462,-0.08894369406800959,1976.1383179277861,238.04101613139449,2:00,5.147529402358909,-1.2446156657904968,6.0000001920000035,-40.31100151518164,6.526195062701397,6.965424519888235,2.6308864907925615,-0.7468273659659077,69.94899620163214,-6.732871664286716,1.2365654538526087,0.49256887849671704,91.68389965259999,8.80828793740797,-8.078460412264857,367.3141919761032,-16.456303787946204,108.76208008506019,6.638009694614462,149.95576711452887,,-9.029687068690746,1.3155270912070287,-3.8021043305457303,3.216956474016044,1.247839274023626,49.999999999999936,5.198105494621771,-0.020263035225508465,-113.31426682215773,0.6577482031866814,-4.824159056046008,25.363996522520054,-28.092333684005585,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,b8b49432-bf8f-4c19-a4eb-1a8e67ab8d8d,78.20045658596098,5.141121809996788,-1.2458902310407327,0.9819504882624416,-0.07335146591986116,70.11729926779577,2.6370000938265807,-0.746089340647704,-6.640872204633898,1.2473982575562623,0.4923547346761483,6.815679446025642,4.042451485146177,71.15999843679414,57.67193999374125,638.1474656917168,1870.2648110932578,32.292651779602636,-0.17092889366149097,0.9464240403244905,-0.27397965108293354,-12.73229627688404,89.70351218390554,14.039444038051483,0.6081120658406428,2.044962522519131,2.718861629505194,-23.5349881143958,148.0973883137784,-2.828841623453505,-3.0368520012615567,-0.028862484266013455,-0.002548970151840991,-0.7700341389811041,0.6379975921230383,,,0.9970998723154905,0,0.9973748343542356,54.21553990873298,medium,high,38.09525400563285,-17.78572780931457,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
9,06/27/2025,6:40:02 PM,3,1,Graham Kasey,,Left,Normal cornbelters,Kendric Sorgius,,Left,Dubois county bombers 2025,Stretch,1,Top,0,0,0,Fastball,,InPlay,,FlyBall,Double,0,1,,85.679641563996,-0.32287365894279924,1.3357250846484914,2004.120794201319,135.28137336931553,10:30,5.078169342343566,-0.8642676616835585,6.0000001920000035,-23.644377200451025,15.102007344559986,-12.324289612117237,2.8076429999135244,-0.6496524583846167,76.70823570664288,-4.807010742875245,-1.0074568601379807,0.44800938792474554,92.02451627180572,19.977078629438815,-20.09141253552389,3428.037308380109,-45.07229936691893,100.3418547985826,34.02110985346276,298.72955166290683,,-32.08103988360898,3.4813115094844864,7.128539132725566,8.283631018673836,0.76257264416614,49.99999999999997,5.038191833696079,-2.5210741647213095,-124.49995524264159,-1.4344527713702753,10.938227827705486,30.21137198870139,-19.46341678510257,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,5bd8c90c-68c3-455c-abf6-0639a83da625,85.92587752602587,5.078634149878904,-0.8713693741104294,-0.32976574579214624,1.4198549872079267,76.90479796814046,2.808122431322375,-0.6442898440066269,-4.798607737456768,-0.9249812665842775,0.447814210770768,-13.113538184564593,13.756661551029609,30.182855437790927,68.11233666013267,1732.4126768224241,1007.5944000117746,86.44252790724744,-0.6142353322572885,0.5027613120562029,0.6082318798832428,-29.710040479161307,81.22422083688677,31.43964120703477,0.755766551767567,0.0137950304578534,2.4730567721472445,-158.66070888839357,253.11286907574205,-74.30847156191652,20.11977807668415,0.8480077897752873,0.6243722363263944,0.022308732944793238,0.7808083189484951,,,0.9970652759684524,0,0.9895537222762275,52.28411968606634,medium,high,28.69889700588059,7.884750491787912,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
10,06/27/2025,6:40:49 PM,4,1,Graham Kasey,,Left,Normal cornbelters,Ashton Seymore,,Right,Dubois county bombers 2025,Stretch,1,Top,0,0,0,Cutter,,StrikeSwinging,,,,,,,78.50418478671605,1.52339047843314,-1.4922239496870429,1922.3916134795334,219.58128957231978,1:15,5.08101194804265,-0.18513272954558885,6.0000001920000035,-38.63582505457789,7.604975001298136,5.182469310913825,3.278003324189713,-1.1404374192633215,70.28031477490038,-5.806830170097459,-0.5064731683898159,0.48942279429439434,,,,,,,,,,,,-3.3236285524141915,3.587504654936613,0.3037152929616023,49.99999999999999,5.182854648966442,2.8232505671102506,-114.01785615170803,1.9379129950019027,-4.272048194327453,25.570699524057623,-27.562826478011317,Normal Cornbelters,Dubois County Bombers 2025,,,,0cea4fe7-7a29-4d04-94dc-e146e471bf28,c09e9849-31ee-4a7c-bf96-615a99e809ca,78.73437722628972,5.075457027083646,-0.18699484701567695,1.5884737955970338,-1.4695859327443475,70.45740774757726,3.283277837551081,-1.1392530115013935,-5.724298826944465,-0.488299432084114,0.48920684936760095,4.966383323101216,5.254189630249159,70.94311661103055,82.4311238300513,627.6737351162808,1817.0347266416295,32.650669651028586,-0.25164568451518804,0.9451948884404423,-0.2080410352092644,,,,,,,,,,,,,,,,,0.9967039326313075,0,,,medium,high,15.811988552953808,49.91172933895924,54.667001749343996,Nolan Mccrossin,,Normal cornbelters,2022-11
