PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
1,06/24/2025,7:17:54 PM,1,1,Braden Alexander,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,LineDrive,Out,1.0,0.0,,83.89612335191063,-1.7689696617764283,-3.8832697912114273,1846.021031199676,220.3355733817997,1:15,5.8474646095061305,1.8304376596096543,6.000000192000004,-22.837296264648145,17.657507607807016,12.579675914472457,2.295980176638411,0.735878702064073,75.33033358243881,-6.084101693272893,-1.5006850535586107,0.4580060052425017,86.28842826765369,17.027838244323405,13.026500756030789,2800.238060952231,32.77785141586379,105.00291636614,25.20258183549472,250.36861961135511,,22.65649008247677,2.797238529279301,-8.101642190941995,10.140578620249851,-1.5209352986441689,50.00000000000001,5.689756988889167,7.874556664225801,-121.63218977092804,-4.458301214539028,-11.90406816019977,28.126586233808933,-17.274090264878325,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,4515bd98-565b-4cda-a556-b7e9076ffa46,84.13411178671313,5.848200981489027,1.8366393558174168,-1.7789516310374722,-3.957528929279617,75.5232175809904,2.296210049565324,-0.7407877931000627,-6.07929166934851,-1.5748990378173184,0.4578125343683444,13.278427812457403,16.40996196413335,-14.633431981616946,55.56691427760262,1786.1396591581915,-466.367629251618,96.75619231691152,-0.7375401458298746,-0.2526339740282043,-0.6262672021237932,18.59694023075084,80.38255652905035,25.268384847669264,0.703678448930164,1.6034497946941284,2.3306882678255967,96.44333517764456,231.04789284022468,49.02385877505964,27.38221696423248,0.6110431962447818,0.583080618274673,0.0984384666969007,-0.8064284598566622,,,0.996889608874661,0.0,0.9959385739308108,48.47308949216279,medium,high,39.98977715015761,0.3024624600442293,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,81.69391632080078,-1
2,06/24/2025,7:18:30 PM,1,1,Braden Alexander,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Slider,,BallCalled,,,,,,,67.75578561476327,3.814581055777746,-2.153819358456901,1948.36278793114,64.92504067340879,8:15,5.256068896914071,2.8800845097348287,6.000000192000004,-62.821825787834605,-0.2576566825312483,-11.183713726771456,3.573921468702516,0.054581190852352,60.76421536729304,-8.076360893758453,-4.278850548531295,0.569291058985509,,,,,,,,,,,,5.2873948990605575,-1.5095454487767213,-2.698124009466182,50.000000000000014,5.531291766211915,3.963958819476474,-98.1627957960684,5.0208994049578966,5.018402767255219,19.487328985822664,-33.60679807595761,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,4cb90f34-761e-417d-b033-b7935287f5a7,67.92839415762691,5.242935863892939,2.881644003956009,3.9695056292352815,-2.172880175198579,60.866971038734896,3.585105782836989,-0.0554440393782544,-7.907366928792165,-4.291691516937022,0.5690894827926986,-10.99989846744442,-4.208584046490504,-59.73682516265292,22.227542143818205,981.921439915235,-1682.8392196611046,50.39725897033189,0.2135854030928862,-0.8637196471238396,0.4564752422179314,,,,,,,,,,,,,,,,,0.997374813322454,0.0,,,medium,high,69.99521207056362,-1.90252587361081,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Slider,Breaking,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,106.9288101196289,-1
3,06/24/2025,7:19:27 PM,2,1,Braden Alexander,,Right,Kcl bobcats 2025,Josh  Eisfelder,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Slider,,BallCalled,,,,,,,66.6106893192416,1.342649973913444,-2.801134618373017,1994.298407541788,55.09049631951967,7:45,5.19441799119128,1.806179830989679,6.000000192000004,-65.22758362832313,-0.6116817563746508,-9.821802053903026,1.00835762766542,1.6177366195498846,60.286682864083794,-10.926466490484149,-4.666532301896851,0.5785504391911154,,,,,,,,,,,,4.308596941266047,-0.8181444356414231,-1.5721831464384606,50.000000000000014,5.266414391729895,4.963299911365944,-96.63641518225585,0.7065292103819757,3.958380279487267,19.05181440890705,-32.92569260203566,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,36db3cab-ebe0-41f4-967b-5c9b6368267a,66.76690811634747,5.180972076496461,1.809182882073955,1.5023874683104144,-2.8376124945046914,60.37540902424871,1.019963231854651,-1.619719686366759,-10.754217808522004,-4.696286392856166,0.57835454198949,-9.47382111480082,-4.7352539765844295,-65.12867689841275,53.30130346392976,838.7655545006786,-1809.3364758681237,42.05817701747844,0.2406913364708492,-0.907254636029293,0.3449010089159374,,,,,,,,,,,,,,,,,0.9501600248689978,0.0,,,medium,high,42.02882688246324,-9.652268581683424,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Slider,Breaking,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,92.60023498535156,-1
4,06/24/2025,7:18:45 PM,1,1,Braden Alexander,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Single,0.0,0.0,,83.79137119755457,-1.9592888829109465,-8.08123895229801,1923.720866556686,225.9276755821042,1:30,5.756905301320142,5.434212820025942,6.000000192000004,-23.894220344165728,17.216133984898224,15.038374486785282,1.9257883603412116,0.8734454526917717,75.23446534873185,-6.453424905410547,-5.270131044351086,0.4614738884738027,,,,,,,,,,,,-10.763573970803051,9.943838890429127,-4.780301536207624,49.99999999999992,5.58175814988605,16.665038139107768,-120.56506534420448,-4.886597858838616,-15.59123921025486,26.91661571698745,-17.770212047514743,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,38597a6f-ab03-4957-a8f5-54d70dd4c2cf,84.02368004479614,5.757179201601116,5.441103396875724,-1.963375141242244,-8.163741604189354,75.42165547098121,1.926303817332588,-0.8786392588201709,-6.44337738547706,-5.3530949421840095,0.4612979882122759,15.83223386268837,16.053382064538443,-9.247182514466845,71.22468918161614,1898.7207087210484,-309.13046226382505,98.7004269553729,-0.686526452704687,-0.1606940318826738,-0.7091254175771797,,,,,,,,,,,,,,,,,0.9930595256328398,0.0,,,medium,high,25.89777973654553,-26.577347864298986,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,57.9686164855957,-1
5,06/24/2025,7:19:47 PM,2,2,Braden Alexander,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,80.97241186877396,-1.6822896289877105,-5.189392740800204,1863.2924458844093,226.28153705411768,1:30,5.398597372701949,2.8793982226159307,6.000000192000004,-26.862466575664563,16.720850676166066,14.148038355249271,1.589662785609414,0.7778188411637941,72.7915390423539,-6.74873648881649,-2.517512983297596,0.4751510176218435,,,,,,,,,,,,-9.370364697868531,9.59833538439131,-2.4637483526619284,50.00000000000001,5.245376735844476,10.22961556645041,-117.19518902706372,-4.24243272627175,-12.795940822705546,25.89267306519876,-19.066797570175087,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,6babc050-4aea-45ea-9cf3-eecb0db0abb1,81.20272323627853,5.398455113537491,2.886727734281868,-1.6818239930167187,-5.275557921073618,72.97289391580382,1.5906380686057584,-0.7834051202099488,-6.732471641463448,-2.6020762578515453,0.4749530290593293,14.9620848672769,15.32380316823463,-17.369214415783137,90.72076504321416,1778.3279267637993,-556.2450213546836,95.44008675029636,-0.6596010834327076,-0.2985280290183662,-0.6897879577267261,,,,,,,,,,,,,,,,,0.99723935601691,0.0,,,medium,high,8.351311461107212,-38.29950146745823,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,62.10523223876953,-2
6,06/24/2025,7:20:02 PM,2,2,Braden Alexander,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Slider,,Foul,,,,,,,66.7379419168556,2.3919941369177207,0.1325471083419999,1919.1987315523647,68.06995551320651,8:15,5.390514089868297,1.2242880106018432,6.000000192000004,-64.40633348397273,-0.2491361881728693,-11.62977508188458,2.247721988779063,-0.3783287016006978,60.19167203092233,-9.775019407618728,-2.082275284375605,0.5764932335229701,,,,,,,,,,,,6.346549407283797,-0.9845046227485804,-1.2283819453142122,49.99999999999997,5.548347044720411,0.055457342675242,-96.8940710579554,2.4990126216806665,5.875748580512743,18.828945256426028,-33.08552151639799,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,d6412955-27bd-400d-96d0-c59ed1c78acb,66.8997406410107,5.376869374243024,1.2258824004870246,2.5518514708383915,0.1132621665026589,60.28330651905967,2.259196420922692,0.3774535885120286,-9.604567939441086,-2.0952470184223837,0.5762921636527489,-11.444328499963405,-4.238393284227712,-60.74447340419992,35.236706523352126,937.922763715372,-1674.4027772602165,48.87053895438555,0.1825188864595552,-0.8724488765714519,0.4533429318460535,,,,,,,,,,,,,,,,,0.9850366482380531,0.0,,,medium,high,58.28696412898307,24.94838815539809,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Slider,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79.252197265625,-2
7,06/24/2025,7:20:47 PM,2,3,Braden Alexander,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,,1,Top,1,1,2,Fastball,,InPlay,,GroundBall,Out,2.0,0.0,,83.38641981991785,-0.0708988873255544,-3.3106311048054526,1670.3918826990148,221.44184135790047,1:30,5.861545631093814,2.3885145595377666,6.000000192000004,-24.886100345035292,16.084913861219178,11.660975023667364,3.7217006678831113,-0.2799540926973742,74.64683347690165,-4.788004167836167,-1.0982791256026108,0.4606911610040268,50.116486813188345,-32.958687586172005,3.4960155027516167,,-6.8336857418273205,-109.78752542604514,31.141471906746528,6.2334656345551975,,2.335756822895485,0.0770383696165151,-7.434318967062022,8.725845953034849,-2.125297640245053,49.99999999999998,5.841356486534127,6.648398272271349,-121.0111366950148,-0.900328737799007,-10.791548987462004,28.25311513414722,-19.507738861853603,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,f38874e0-1d6a-43ca-a01d-84895415a797,83.62983020643898,5.861684993030107,2.3947277749766376,-0.0739788340906527,-3.3847683661926844,74.84322447374672,3.72243674301676,0.2752001327608184,-4.775314498176552,-1.1721853118963732,0.4604915064354227,12.359030561267662,14.673641736560109,-23.036921242725697,77.44761952374405,1537.1829322259666,-653.6648029838677,92.02528748775948,-0.6898472611686336,-0.3913242214322054,-0.6090780820047732,2.564226695650209,41.97263757206738,-27.265081829946404,-0.1575404975034382,1.5150303666238525,3.4615117145921976,0.2540471123548907,6.228286592786556,,,,,,,,,0.9964610472942486,0.0,,18.83534305010944,medium,high,20.29714242863037,64.04711782709904,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,Other,Other,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,78.8207778930664,-2
8,06/24/2025,7:24:04 PM,1,1,Caden Addis,,Left,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,,1,Bottom,0,0,0,Fastball,,InPlay,,LineDrive,Out,1.0,0.0,,78.8175371977156,-0.4410852599221679,1.434009446401861,1598.1367841041565,123.45624545260954,10:00,5.295779826515175,-0.7152077081242945,6.000000192000004,-32.57503719220544,13.21884307512022,-15.920928927241633,2.171114875245001,0.7089141908611372,70.7953633657101,-6.603732951821617,-1.5928012903319924,0.4870519030366667,74.20293626649958,9.511097424306962,-41.45503476855247,,-71.95905930629256,83.19791934634267,0.4668632683745581,112.00964894502368,,-40.8677226329296,1.1842230564287763,9.10900556458859,7.305319747509171,0.6075814162534137,49.99999999999999,5.241006186079559,-2.41308923367036,-114.52202530262188,-1.8104023621854533,11.8259499692878,25.572195222623083,-22.689771062826697,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,c4e9bcd3-b4a8-4e57-8b97-fbc4787ca6ec,79.0365322253097,5.293539304196509,-0.7230636938120591,-0.4158318695878899,1.5278348791096894,70.96383348314937,2.1737790475276157,-0.7028095620190007,-6.56273245859527,-1.4999755368036736,0.4868471234074519,-16.800510287363583,11.32308269730168,10.734109100262613,60.45910625678131,1570.1727333518631,297.6554520668383,98.25020917918684,-0.5416534213080358,0.1862515493213496,0.8197084430214783,-48.44943617948264,54.848801820448486,12.261191757802491,0.8161888831747796,0.6665449427309221,2.064939893113813,-73.2895825362043,84.7041825912767,,,,,,,,,0.9944678345628196,0.0,,38.52478511005689,medium,high,35.58680436889684,-86.98849201467505,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,93.55704498291016,-1
9,06/24/2025,7:24:38 PM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,,1,Bottom,1,1,0,Slider,,BallCalled,,,,,,,69.85869701184748,3.327229605166804,-2.7724446576347663,1568.2241006619752,236.05812378270852,1:45,5.327772000639194,0.5734323256660881,6.000000192000004,-53.66335421696962,4.994139157998028,4.3811871362485775,3.9552402616250815,1.6401741838842865,62.55238716161997,-6.8400506383514506,-1.94017638494269,0.5512305420679661,,,,,,,,,,,,-3.336651252787288,1.5438220437908958,-0.3499578308208971,50.00000000000001,5.568422267243513,4.792410634296505,-101.24057482081696,4.541961450675727,-3.3807774564790587,20.1888151137148,-30.609810962588664,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,a9929d6d-2b3c-4dfb-8433-8a1ebe5b8588,70.06596775050092,5.3185970422151785,0.5694653738398028,3.433431439939715,-2.725216302098597,62.69556981294958,3.9634774993764954,-1.6375060258869525,-6.71415674579116,-1.8996795405595708,0.5509882991333758,3.9328693978510536,1.7866548496104282,77.17017829147782,75.48116191869313,348.2335840558192,1529.0716794292869,22.20560083911628,-0.1239853270347518,0.9750339117883972,-0.184218646023419,,,,,,,,,,,,,,,,,0.994280236173562,0.0,,,medium,high,22.06695427317624,-11.683131990439565,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11,Slider,Breaking,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.11468505859375,-1
10,06/24/2025,7:24:49 PM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,,1,Bottom,1,1,0,Fastball,,BallCalled,,,,,,,80.70021779971573,-3.752745752747032,3.1996819404626984,1682.3000964458492,133.78645778023727,10:30,5.929775737893235,-0.914895055060563,6.000000192000004,-27.570045180519816,16.246209408392,-13.729958956297748,0.1340441694715276,-0.917801043889075,72.90087260257475,-8.922651595689077,0.5974461157895321,0.4764190821789623,,,,,,,,,,,,8.485527810749588,10.032010024403254,0.6619600463058355,49.999999999999964,5.60718800451655,-6.134105157365496,-116.89611931568258,-8.48409167762153,11.525212783389406,25.819221084831693,-18.54837387613164,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,6e5a6e46-0663-4aac-849c-f2742dc65c5f,80.9207871992605,5.929038729849457,-0.9216071562621916,-3.745149323503057,3.2795136739635358,73.0749053211464,0.1354446825707547,0.9229566621727552,-8.900427881532883,0.6763146374437751,0.4762247319373392,-14.480740188398077,14.76825408931026,12.434054495259405,56.97959849568493,1642.840863907972,362.22577265542753,97.65444746622546,-0.6757419819856885,0.2153157890323446,0.7049906983609303,,,,,,,,,,,,,,,,,0.997217006070308,0.0,,,medium,high,38.71836135388355,30.76650684089481,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84.02606201171875,-1
