PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
1,06/28/2025,8:16:27 PM,1,1,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.28815107802637,-1.4114499656707955,-6.104150885121165,1955.334355975228,228.89050351821444,1:45,5.038254601377704,4.0145133889123,6.000000192000004,-23.931526932907268,13.71878117193102,11.22804138952469,1.7244210306531564,0.7445374785543706,78.26408102457756,-5.927424729967373,-3.989283732719363,0.4416271753697781,,,,,,,,,,,,-8.118730755501486,7.89262959490624,-3.5219220064489254,50.00000000000003,4.908732879422866,13.136694138150409,-126.14374726304956,-3.879129220133863,-12.830396661681968,30.254406579487508,-19.700970793756905,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,ec3f8289-0249-4246-a5e9-18039ea2ae3c,87.53583729479394,5.03825336889302,4.021271508349587,-1.4125766876429926,-6.184068917374928,78.46296138434248,1.725188753831676,-0.7496345027636758,-5.913991334415095,-4.067902279741263,0.4414462606012007,11.987412030463611,12.495599377488263,-40.29176509182754,84.29078665969574,1491.4533331070631,-1264.475938411202,76.2761278422481,-0.5015156443241894,-0.6466801621661997,-0.5747058607312011,,,,,,,,,,,,,,,,,0.9847756844219476,0.0,,,medium,high,14.13829200627378,3.418587579197188,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,76.93508911132812,-2
2,06/28/2025,8:16:39 PM,1,2,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,88.23140326255258,-1.3034490839494357,-4.625044742589539,2006.3752073719795,224.1766589064644,1:30,5.038727403199037,3.871562960317312,6.000000192000004,-21.41436596391913,15.27215495535592,11.592843474844871,2.0386121793306065,-0.5297851418648105,79.06424139430946,-5.3540443621605895,-2.432171900033094,0.435938059456632,,,,,,,,,,,,-7.825880014599829,8.698504123160136,-3.500729187337736,49.99999999999995,4.91978160324565,9.970577929532864,-127.81722200308926,-3.6004789451399235,-12.690762379705928,31.19788377061114,-18.068204788996383,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,97a8186d-b754-46a4-9b7c-154b2811747b,88.48188262944896,5.039548188680138,3.878132928242192,-1.3143580081416968,-4.702833631082549,79.26659199789748,2.038734989449495,0.5247264731015876,-5.350776727926413,-2.50898626796871,0.4357550192361117,12.326631993190228,14.144128837887951,-33.166049803230905,73.57708936533078,1679.5138501435956,-1097.6222938391825,83.70886183065838,-0.6003554020569799,-0.5470673131357553,-0.5833444489488415,,,,,,,,,,,,,,,,,0.9907988417592938,0.0,,,medium,high,23.780619571202312,-10.86522365100479,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,78.72285461425781,-2
3,06/28/2025,8:16:50 PM,1,3,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,1,Fastball,,Foul,,,,,,,88.82307323143164,-0.6985921412169324,-4.797541297121992,1999.579181458896,224.49414886836144,1:30,5.103140930593256,4.200571224738869,6.000000192000004,-21.096999465888377,15.117979022338016,11.711458739603508,2.6934754088702038,-0.7072718118051785,79.4922942677966,-4.692781564748944,-2.5826496143353475,0.4331273798430335,,,,,,,,,,,,-7.953638295843248,8.412729926234373,-3.815658211445257,49.99999999999997,5.033813143479133,10.42285405192593,-128.66321209968612,-2.251202685230678,-13.06480201624434,31.69492789807596,-18.35513466754969,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,10a56606-de7e-440a-b547-297f9499833e,89.07665084337738,5.104008764000521,4.2071562338646284,-0.7101521853698556,-4.875791215979857,79.6970660122547,2.6935539071954917,0.7022060417208459,-4.690229545591611,-2.6599540183704087,0.4329455142427666,12.450597784433006,13.99919120853313,-33.2805930647168,74.20733505713845,1671.6347440990835,-1097.2484610354304,83.59932727842546,-0.596332412848425,-0.5487396904357027,-0.5858945344743409,,,,,,,,,,,,,,,,,0.943928307053604,0.0,,,medium,high,23.21339844857536,-44.28343448282914,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80.59867858886719,-2
4,06/28/2025,8:17:09 PM,1,4,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Slider,,Foul,,,,,,,79.63464324519,1.3446633460177806,-4.013618876942002,2053.590280412514,105.53610090220346,9:30,5.149219842374329,3.8802937437839953,6.000000192000004,-39.28925161258401,5.945173973211226,-6.941572459670021,3.128139590513856,0.4345162203260062,71.299088200285,-6.088429652007448,-5.327439206246533,0.4840676526587017,,,,,,,,,,,,2.331081012732783,2.7411903048208504,-3.548830347661633,50.00000000000004,5.236397809438032,8.296033418044862,-115.40241774173658,1.5906175677309906,3.060837680329509,26.744118672873025,-28.57471583135138,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,8a7aa79f-de64-4998-8e73-ae781ea6d500,79.86405371821895,5.142712423270488,3.881536999516054,1.4201256677237617,-4.028604939485681,71.47168339520779,3.134069715843204,-0.4352002513640696,-5.9977895422815966,-5.337539225731116,0.4838577724880867,-6.796738556591092,3.439115883594753,-73.31525587753097,82.74712827592603,589.5969899180986,-1967.1320314824488,28.71054638024794,-0.0768999027403483,-0.9578989783138736,0.2766151700535634,,,,,,,,,,,,,,,,,0.9950089274284194,0.0,,,medium,high,15.527584551666571,43.58467111807948,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Slider,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65.82649230957031,-2
5,06/28/2025,8:17:27 PM,1,5,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,83.0098053753501,-1.4782498209948718,-3.5593562202818174,1420.9149236074702,239.48080910476628,2:00,4.988100775812963,3.272706658947956,6.000000192000004,-31.02216969551968,10.366274013167118,12.152826274493366,1.0260829879132618,-0.9731370300132745,74.62920525419086,-7.334078363288259,-1.254501221195207,0.463032068862871,,,,,,,,,,,,-7.783827887808826,6.1106135639058525,-2.9894422766264697,50.00000000000005,4.8494733193798725,7.124236771254214,-120.3941420962378,-4.043561962813237,-11.185244627176283,27.941422686536008,-23.39318899663914,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,29e0dcfc-e595-4e17-8127-4952c4e0b16b,83.23948964680157,4.985623352201911,3.27987626384334,-1.4502260926524757,-3.6440164052494817,74.80676950925414,1.0288074684639672,0.967727018818228,-7.291715090998802,-1.337087334058537,0.4628411719639,12.949803562500747,8.670077763853074,-34.44882935508672,23.103705011486067,1171.7315062258697,-803.7689328706842,82.46317121161871,-0.4187701926153899,-0.5656699915784167,-0.7103865049425865,,,,,,,,,,,,,,,,,0.9965999762335346,0.0,,,medium,high,69.20666548966254,6.969721969391438,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68.19981384277344,-1
6,06/28/2025,8:17:40 PM,1,6,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,2,2,Fastball,,Foul,,,,,,,88.54756325065975,0.5772065514484336,-4.490398181640301,2012.265966108716,222.42176331315397,1:30,4.960672202042562,2.853252105939771,6.000000192000004,-22.15037962228085,14.300759279991905,10.14763904062698,3.652929188515773,0.4830244937328887,79.07268845752343,-3.62242286822472,-2.569226614626753,0.4345373120185066,,,,,,,,,,,,-7.023290948993637,7.5398913570787025,-2.492609978282867,49.99999999999996,4.995017343021993,9.752357723118132,-128.31134775088958,0.5887041351835279,-11.45809401801963,31.84841836733427,-19.873151804249897,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,78d1c78c-9c70-483e-97f6-cdd13a442e3f,88.80803395317308,4.961260993099264,2.8595989014753926,0.5688737382830661,-4.565165266120111,79.28282437582459,3.653275339054893,-0.487854725638066,-3.615807104034537,-2.6426831736383694,0.4343469474832288,10.852600571251935,13.090041326000062,-41.89893354389893,71.63065328864687,1497.777797037155,-1343.8288540814897,74.43239722100611,-0.5494593305691194,-0.6678187062320404,-0.5021081752541965,,,,,,,,,,,,,,,,,0.9966084116815326,0.0,,,medium,high,25.532412040217817,-56.18316217228006,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.42156219482422,-1
7,06/28/2025,8:18:00 PM,1,7,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,2,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,88.74787082452866,0.8174343692173333,-4.473315247120534,2077.5092817733234,218.38352038155716,1:15,5.111445458519447,3.512146524395612,6.000000192000004,-20.569730362507155,15.72646749777569,10.041299480954054,4.159392563848731,-0.1829826111348383,79.18877353993604,-3.083856387454741,-2.572025861430088,0.4336127954603161,,,,,,,,,,,,-6.963205388005167,8.229061205191853,-3.152841798164748,50.0,5.166336761182227,9.73888570847888,-128.5960697234265,1.1816322740754566,-11.40792787494446,32.04546002350103,-18.692250403536683,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,a4ad5e73-47f2-4e64-aa46-c4c68ae9f690,89.00986204694742,5.112691865458408,3.5181588725748,0.8011260735582869,-4.544909269887989,79.40315761594073,4.159209618958575,0.1782608954803807,-3.0852741161705626,-2.6432219944822344,0.4334211819771989,10.715924982135444,14.587402957732262,-38.57093494353779,87.14616472628653,1624.2733133605525,-1295.2918664760628,78.18368503143837,-0.6128600793810356,-0.623483070732866,-0.4854599711722755,,,,,,,,,,,,,,,,,0.997056677374853,0.0,,,medium,high,11.568451746342092,33.70452206926888,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,118.82484436035156,-2
8,06/28/2025,8:18:29 PM,2,1,Joe Stellano,,Left,Kcl merchants 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,InPlay,,Popup,Out,1.0,0.0,,80.20716576694721,0.3246249264126836,-3.976515578813087,2040.929350384743,100.33576830479878,9:15,5.140368318883192,3.782907688871927,6.000000192000004,-39.68043349798769,4.860634052519771,-5.040470020899941,2.1361010369917155,0.3388252927914584,71.9854317195889,-7.168723637772,-4.930839948433918,0.4803434061779922,74.02834729491845,54.19311632015754,26.359931159424377,,48.78376406242632,98.59079249048264,92.46284906074496,219.43434056917903,,26.34326814107181,4.774793922684517,1.3208367898646884,2.517476636797776,-3.455575404689613,49.99999999999998,5.143997945609445,8.228104904388724,-116.27194564389568,-0.4848077696074597,1.7615737416232284,27.03574569005305,-28.816541093987727,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,7064eae7-2883-4315-a2d5-e6425ab28e3a,80.4340476621206,5.133562638596948,3.785268089238868,0.4030358569779398,-4.004446891559132,72.15339907356339,2.142132224656898,-0.3403271799094385,-7.076852264466252,-4.953337269791529,0.4801384729834119,-4.773791308045096,2.381290341253841,-79.89553094098304,60.970336121402,358.0677972816297,-2009.273516923908,17.544350431048926,-0.031477441027248,-0.9844895006018376,0.1725966219574438,19.230309939259197,38.80732824445469,60.03651103607069,0.4085397691250325,1.1344126529244294,2.2128565910273057,97.37356411967085,196.64643101684507,,,,,,,,,0.9955665317100036,0.0,,36.22071280309415,medium,high,35.12669749073818,11.621803343727082,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,77.94747924804688,-1
9,06/28/2025,8:19:06 PM,3,1,Joe Stellano,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,87.6801123204608,-2.03723843392973,-4.039103399166695,2047.7504219798443,224.82902216700603,1:30,4.90549802770515,2.8845866855476103,6.000000192000004,-21.5051588651674,15.604738051685928,12.240692249306724,1.2144900331863138,-0.1444963563103384,78.69069494102632,-6.100492548868441,-1.721116702577966,0.4384462868335642,,,,,,,,,,,,-7.974471005204279,9.122915912561758,-2.5621319121583817,50.00000000000004,4.72660805426263,8.584842586918928,-127.07205105308697,-5.213154878841194,-12.785090340687848,30.76624241015037,-17.54771211026258,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,34b9f5f9-e143-47c3-835d-f91bc22ff6f3,87.9245757497563,4.906341410061386,2.8912812638954533,-2.0484135090856546,-4.119112301957864,78.88923796344994,1.2145885295983874,0.139207440045048,-6.097652641887591,-1.8006423240489775,0.4382643644436403,12.99374573621662,14.477652328800984,-29.83071648538269,87.07752186942874,1776.4212318461498,-1018.6311392083196,86.74988967301185,-0.6152421244050784,-0.4974391059939168,-0.6115811182382095,,,,,,,,,,,,,,,,,0.993326192869084,0.0,,,medium,high,11.630230317514128,10.395934384568235,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,82.74827575683594,-1
10,06/28/2025,8:19:18 PM,3,2,Joe Stellano,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Windup,1,Top,2,1,0,Fastball,,BallCalled,,,,,,,88.14280996266449,-1.6788017026379125,-5.620254091132836,2042.538323472528,222.42331906431943,1:30,4.968889328900341,3.397485765418633,6.000000192000004,-22.44509047530113,14.43820600747204,9.34051514705693,1.5302118415786388,1.0643845884886458,79.04241130580101,-5.914855642297033,-3.858853532663637,0.4371056168509566,,,,,,,,,,,,-6.942372499001163,8.374027892870838,-2.9436295433953434,50.00000000000004,4.818436067281313,12.24699548506664,-127.4695737960155,-4.467740469349047,-11.198319682008018,30.99753613638383,-18.66641348841065,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,f9a5e081-1d46-44fa-b07b-64964b73ba0f,88.39655282374132,4.969308044913799,3.403502474647214,-1.6848913978242273,-5.691054833389281,79.24694610669862,1.5306678018748143,-1.068972773728932,-5.906406040359439,-3.928056893101669,0.4369199149502278,10.010621652085904,13.266734815672596,-44.25020184078536,57.61549546239526,1463.0691398568322,-1425.2689201875394,71.62994804275996,-0.5287585536886299,-0.697792988169952,-0.4832176916897367,,,,,,,,,,,,,,,,,0.9945456053235862,0.0,,,medium,high,38.14605408384428,-56.94759788254531,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.33503723144531,-1
