PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,ff_diff,ivb_diff,hb_diff,Stuff+,xBA,xWOBA,Good Swing Decision,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Sinker,PitchType_Slider,PitchType_Knuckleball,PitchType_Splitter
1,07/13/2025,7:36:18 PM,1,1,Thomas Mickels,,Right,Kcl merchants 2025,Jackson Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Sinker,,StrikeCalled,,,,,,,83.14627896290872,-2.3242928672987326,-5.345165061190283,1834.009795370583,196.36642836599103,12:30,6.27948080027925,3.012490807514093,6.000000192000004,-22.088547429039235,19.355977944098047,3.899964294453608,2.267959990553784,1.644736837327923,74.71797499929905,-6.481201344820623,-4.610187389667469,0.4633456687009669,,,,,,,,,,,,-3.907363340658504,11.251156636312023,-2.578095381117082,50.00000000000001,6.076424816268671,11.13403900140944,-120.25164756177077,-5.564760630228332,-5.609049066730193,27.59064069951156,-16.022930755083806,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,cd4b7d2c-4098-4427-923e-a8f11b07adf4,83.39223562980578,6.280630745553731,3.015448674800036,-2.3394484384797685,-5.380783715259248,74.92287753233244,2.267906080885968,-1.6469663664860987,-6.4805211921250505,-4.645461910040518,0.4631445281484028,4.238461347699588,18.106975149572285,-36.21769811546682,92.5388647211231,1479.638457381698,-1083.6336857777897,80.67778378919289,-0.7740865897755983,-0.590854906289543,-0.2273333042982476,,,,,,,,,,,,,,,,,0.995480938686749,0.0,,,medium,high,6.715021750989053,-27.164730675443927,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,95.598976,0.0,,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,07/13/2025,7:36:29 PM,1,2,Thomas Mickels,,Right,Kcl merchants 2025,Jackson Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Slider,,BallCalled,,,,,,,73.63105177956655,-0.7326753481249879,-5.316134151641378,1750.4699143690302,142.5184477613976,10:45,5.893620498739715,3.0613731185835897,6.000000192000004,-41.667832238763495,11.374587353980914,-6.443140227916237,1.7373782239919502,2.4305639006995405,66.38353076130052,-8.551145715458155,-6.530107722481348,0.5241833062544847,,,,,,,,,,,,1.6091400003174885,6.419635618035885,-2.6233871179399704,49.99999999999997,5.809649615239473,10.083358190502686,-106.53201718488104,-2.470381405807724,1.8022847165203044,22.63209560820293,-24.98386653310674,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,27921ade-677d-4c1a-97d7-d5d9aa79cf58,73.84981941876387,5.888207925222837,3.0627564204186224,-0.6701630464613942,-5.332742657645325,66.54963087397951,1.7427616143326896,-2.4313810533727653,-8.46972965208115,-6.542175648636111,0.5239461903245776,-6.282706740231376,8.724605953788688,-67.90672864029037,53.920426919174815,658.3787656132289,-1621.9378292957842,37.61154420357726,-0.2984661474861794,-0.9265728110959416,0.2288684874387971,,,,,,,,,,,,,,,,,0.9921234140588524,0.0,,,medium,high,41.47161577274266,-64.8463792975475,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,84.23625,0.0,,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,07/13/2025,7:36:40 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Jackson Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,1,Sinker,,StrikeCalled,,,,,,,82.58982173116512,-2.426648229884328,-3.8852590438642647,1784.07543937012,201.9494703494489,12:45,6.4528988510298815,2.847386967678614,6.000000192000004,-23.081614132259148,18.746675115262867,5.526411681819424,2.267571588799426,0.3085587651034987,74.27957357720857,-6.775914874051859,-2.839633665409488,0.4654859464948643,,,,,,,,,,,,-4.290638557148429,10.95186105528763,-2.533632326018446,50.0,6.241284374752781,7.963422889428369,-119.68618465891431,-5.773039587676587,-6.103144527043715,27.273397929674218,-16.59576444959259,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,f3032eca-61e9-4b93-84f4-34c8a3a4f30d,82.83554756801605,6.453803870613899,2.851212518342313,-2.4386341434329486,-3.9303521277929545,74.47933311400195,2.267751805995328,-0.3114547008088648,-6.771698563266684,-2.8835759621378005,0.4652770184872093,5.951011285625827,17.45637395149133,-33.72517487280816,54.73320485542348,1483.833827747884,-990.5363925645286,83.17102489072781,-0.7714227856944071,-0.5552099259402642,-0.3108839395158378,,,,,,,,,,,,,,,,,0.9912782930823456,0.0,,,medium,high,40.7401156301188,-75.2506593698619,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,61.454636,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,07/13/2025,7:36:52 PM,1,4,Thomas Mickels,,Right,Kcl merchants 2025,Jackson Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,2,Slider,,Foul,,,,,,,72.84641229685805,-0.2455548810229053,-3.1686497187071403,1682.9773040281498,134.51513488494146,10:30,6.387475523069401,2.487198259477879,6.000000192000004,-43.15978566097903,10.69950998192946,-7.89428541786171,2.562258540751946,1.1185878849223794,65.65448304285512,-8.375432436807563,-4.66463748628546,0.528204208557024,82.44495009177231,13.138736496695364,44.32163504113632,3112.832028306417,82.22739715147111,73.0661012362039,17.738454431210812,217.16326779663493,,52.27144863064472,2.371604423063593,3.1607123291512043,5.880199715694806,-2.2242793585804543,49.99999999999994,6.342542648166539,6.058870053426991,-105.70139279146466,-1.586840514421228,3.486814963238167,22.200437196336225,-25.68716744667557,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,116c40c3-8de7-478b-b1ee-e7a0b4a1117f,73.06004697985671,6.381553191535659,2.487931537295516,-0.1764101771421227,-3.177636859503132,65.81576945079931,2.568100980505998,-1.1188962297043483,-8.28709505010183,-4.669086278740038,0.5279676810545655,-7.806245738834299,7.969359098682245,-64.17317094755997,76.61329529989509,733.1934746781272,-1514.872910366831,43.56526216504841,-0.3054350281660781,-0.9001148778067498,0.3106487571520718,56.09518550458627,57.43946475098601,18.740540225967784,1.372715015236154,0.9841376311127306,2.548874360443101,171.75848975751887,132.88681678906025,54.24290963807123,13.307778336459064,0.6474344925424411,0.3905277676651977,-0.4956444233458248,-0.7757735934463238,,,0.9960909950027952,0.0,0.9966869112737702,45.579635611542,medium,high,21.04803423009445,-0.5831116049863596,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,105.217636,0.0,,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,07/13/2025,7:37:16 PM,1,5,Thomas Mickels,,Right,Kcl merchants 2025,Jackson Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,2,Sinker,,BallCalled,,,,,,,83.39983142403918,0.3111707767410738,-2.1851508268763613,1868.1196128919623,194.3300881604057,12:30,6.363832618689472,2.3180635819804283,6.000000192000004,-22.074739509209643,18.854365446365613,3.7965375033186968,4.813684346486244,-0.6025911555426754,74.55766603735674,-3.8789197576585694,-1.463978239068566,0.4604554802234508,,,,,,,,,,,,-2.8054785078619493,10.09620098061983,-2.1421819101586874,49.99999999999994,6.376434048082716,4.50753606905004,-121.13251443101136,-0.0072063550247984,-4.075279425958385,28.588804720725744,-17.50815924987431,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,7e3d2c53-1334-4508-a313-d0ea6125faa6,83.65879611328495,6.365180216655074,2.3212276158619813,0.2937816141602863,-2.2224850252755703,74.76897672495791,4.813559771814679,0.6002151763315318,-3.879449272862144,-1.5001794602680605,0.460236739355547,4.147051983760346,17.511194388519293,-35.80314916488883,55.07105378075023,1515.104156866285,-1092.854190602808,81.1031663288847,-0.7857971343888105,-0.5850022573827612,-0.2007366992938939,,,,,,,,,,,,,,,,,0.989159003176554,0.0,,,medium,high,40.43605159732479,-54.51190698288215,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,103.95433,0.0,,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,07/13/2025,7:39:56 PM,1,6,Thomas Mickels,,Right,Kcl merchants 2025,Jackson Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,2,2,Slider,,InPlay,,GroundBall,Out,1.0,0.0,,70.09541455246442,0.6918828577640082,-1.034112351829623,1659.9782167772078,129.84314622421977,10:15,6.377255702273884,1.930128234739064,6.000000192000004,-47.93737631244355,10.040461902562086,-8.645128045783938,3.025641703041297,-0.2484990091268788,63.16166168036544,-8.362654063536757,-2.677675954378934,0.5480277265634007,,,,,,,,,,,,4.319600457599292,5.194437846928493,-1.840894994881381,50.00000000000002,6.405949787036026,2.057247271290172,-101.84765199510208,0.0167000249228883,4.427603956186473,20.49224070848183,-26.849734574234425,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,6af0b444-e8b2-4952-a0d3-ae4fb4a93316,70.30287294364038,6.370180938767834,1.9310433982558608,0.7744146452172131,-1.0452966560680654,63.31278818415785,3.032410212490978,0.2480847076168002,-8.26017651152722,-2.6837467633132888,0.5477825718364129,-8.536305089203507,7.056243499898232,-62.76778239741793,73.60726776282908,759.602658516622,-1475.9849190792293,45.759796775608606,-0.2931775583314293,-0.8891592095375833,0.3513443031917855,,,,,,,,,,,,,,,,,0.9971702303027788,0.0,,,medium,high,23.75345901345381,10.482123214845627,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,,,,111.85027,0.0,0.0,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,07/13/2025,7:40:32 PM,2,1,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Sinker,,Foul,,,,0.0,0.0,,83.36451422569573,-1.3635920086479674,-5.900389028411484,1850.4280500581951,199.50611208339905,12:45,6.487505916992816,3.949583823494884,6.000000192000004,-21.90193279827894,19.3745654007038,5.083735734529142,3.3880405361613075,1.13002375078035,74.75628942861049,-5.493415287607797,-4.9434932289798414,0.4624054512182515,,,,,,,,,,,,-4.742682485433821,10.940206749735603,-3.470209198440868,49.99999999999997,6.36313422991593,12.30197432549624,-120.51413856606948,-3.542158160029275,-6.835216201966332,27.79539105039618,-16.40688012898456,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,d9959c12-7c5a-4b20-951f-3ab370d791d4,83.61799077605633,6.488906179379104,3.953165547718367,-1.3814275155941436,-5.942362583718793,74.96320477944751,3.3878393799017195,-1.1327460354791656,-5.494829160094227,-4.984487862689235,0.4621944305567639,5.481242775082844,18.13643495109518,-35.06361293831024,52.689378329080064,1514.6025975846082,-1063.044185268012,81.85147201681117,-0.7715367852772862,-0.5744855549690676,-0.2733081339731277,,,,,,,,,,,,,,,,,0.9974521792491786,0.0,,,medium,high,42.57955950382792,-55.57492148134403,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,109.931076,0.0,,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,07/13/2025,7:41:14 PM,2,2,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,1,Sinker,,StrikeSwinging,,,,,,,84.12308712131771,-0.8721461606967943,-5.155645327777606,1861.8244102660203,196.3792840905808,12:30,6.287307051168262,2.9964846332984427,6.000000192000004,-20.2881018100196,20.15745141313016,4.616407195864887,3.782709162728092,1.4234134164843997,75.33123826664432,-4.70654242501883,-4.2845111874456006,0.457727402140803,,,,,,,,,,,,-4.24800747407896,11.200570836121216,-2.5780695822088204,49.99999999999992,6.204226217624838,10.847546941004849,-121.77841743309502,-2.4771167942744468,-6.246992362064332,28.53574950655496,-15.70282610276439,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,46051ab9-7788-4689-b76a-8fcff800b2be,84.37813120518462,6.289173060758784,2.999544231285885,-0.8958226485894926,-5.192081238218421,75.54361470815404,3.7820881215550894,-1.4258419098443935,-4.71434294947096,-4.320803023324297,0.4575168121875624,4.960241411869239,18.97082281026184,-30.35928488392799,75.1426936940307,1606.5180945899044,-941.0046473942826,86.28730430923733,-0.8278541995808589,-0.5054207272209039,-0.2433255283192208,,,,,,,,,,,,,,,,,0.9975404469758014,0.0,,,medium,high,22.37157567537232,-51.62136960632781,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,99.60939,0.0,,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,07/13/2025,7:41:34 PM,2,3,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,2,Sinker,,InPlay,,GroundBall,Single,0.0,0.0,,84.07353783797316,-2.615491827415872,-4.895506055467808,1871.611202177234,198.33595507644984,12:30,6.239079122434023,3.330768911341068,6.000000192000004,-20.02952696944999,20.440112199920904,5.161259830716309,2.1285340440437235,0.8000828638668782,75.55849438684238,-6.387259903857117,-3.921606732137687,0.4578636736940772,85.7753083955475,-0.1306376730812817,-9.229131156814642,1381.9910983717257,,,,38.9196937694424,,-8.411981717827823,0.3018332910491091,-4.4263953298393295,11.927522668695287,-2.9340272753780527,50.00000000000001,6.013492405256452,10.26340478637773,-121.65760221717274,-6.185934576403095,-6.508350061695954,28.079700697396483,-14.636417469552628,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,9c0161c2-9362-4668-80d1-5e36e53afc89,84.3206372551825,6.240898905388994,3.3339398878304967,-2.6384925677820896,-4.933357639652249,75.763384694525,2.127946889787349,-0.8024625156944044,-6.394997616758874,-3.9591894468446513,0.4576657903509769,5.519921608753696,19.3241768727564,-27.562130286260373,74.64876609068295,1659.2012976553235,-866.0135945666216,88.65095997102308,-0.8414999556084781,-0.4627102004728296,-0.2788854515555147,-13.75687078041407,84.66471394915447,-0.195572467691867,0.6179387602479057,2.577178105995728,2.1867996506185263,-5.693558203691099,38.50098645604234,0.7132231005945301,-6.662510617299164,-0.0531325857234101,-0.8635305966146862,0.0372842816013678,0.5029162863297966,,,0.9975765411471812,0.0,0.995469298300002,48.357341896361966,medium,high,22.81611051838527,-26.949758521038227,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,0.891,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,,,,99.68794,0.5,0.2862,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,07/13/2025,7:42:11 PM,3,1,Thomas Mickels,,Right,Kcl merchants 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Changeup,,InPlay,,LineDrive,HomeRun,0.0,2.0,,74.93065323347524,-0.6733156968949815,-3.556808157225013,1692.8152888935383,193.34420586107328,12:30,6.19826493510924,2.5081513429293807,6.000000192000004,-30.994689123344106,19.756678190084724,3.159128592069665,2.9883621228582764,0.5385158210856678,67.3648281241334,-6.525980985082676,-2.9585724206691064,0.5127378713440756,97.38062245390503,21.64310997614972,28.780771077440143,1794.76786736154,58.78825703720477,92.97279612686997,35.37523104087303,299.31128645887657,,39.36454823207085,3.2542320772496933,-2.913724872984612,10.91510882748796,-2.219889679063894,49.99999999999999,6.125364715116266,6.671464618941126,-108.70807072473283,-2.119835526541932,-3.414838229396707,22.71787525457887,-19.38171931222531,KCL Merchants 2025,KCL BlueCaps 2025,,,,a14bd0b5-30e4-4e34-aac9-45d44e1a94de,0ce23b7c-d134-48e8-85a4-2f3283e13e7e,75.16956492686619,6.19795179715163,2.511537862046599,-0.6715097021803063,-3.5967799851179043,67.55692850587107,2.9897780783499184,-0.5410544453386433,-6.50297180449534,-2.9968162653415784,0.5124891135480001,3.535563473195,17.953435969769615,-36.50646648579773,72.46785528910213,1360.6675262762717,-1007.0786887075534,80.3789719530259,-0.7820882740926526,-0.5949135120145344,-0.1855150795738939,43.579414683388,79.33371738423206,35.91631288651572,0.3622870200819333,1.798596164209335,2.94008092469455,189.8388607096282,231.4053870724233,55.08929949782055,-15.399623179424047,0.3073469871406646,0.4416737593814983,0.1631836619440103,-0.8822105093164314,,,0.997378940372976,0.0,0.997712188358888,58.07270979370238,medium,high,24.77893023980803,-45.08982704340959,54.667001749344,Gavin Kleist,,Kcl merchants 2025,2022-11,2.078,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,,,,87.58882,0.8333333333333334,0.5759000000000001,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
