PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Slider,PitchType_Knuckleball,PitchType_Sinker,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/17/2025,7:26:02 PM,1,1,Roy Rolston,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.23452194609848,0.2725974506172835,-4.927957509515241,1840.4863688434584,217.02565537289655,1:15,5.65881049269519,3.1872060316923974,6.000000192000004,-19.48035097110997,18.089071580303276,11.874007780843987,4.289740078726134,0.4146329649315801,77.91369360318281,-3.4192704743855145,-2.6824665474782403,0.4411525382917768,,,,,,,,,,,,-8.092316602619974,9.692056354899014,-2.791684982857385,50.00000000000003,5.669816272199554,10.51948904824694,-126.34216402411376,-0.0101778131354329,-12.81210732644565,30.657382894794424,-16.829164761211683,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,68adc5fb-7557-4758-b504-2e5b8190bf30,87.49125994863705,5.660330952294378,3.193033886274715,0.2534527453720745,-4.996386132773814,78.12055025826393,4.289332951608735,-0.4190913480862467,-3.424209924686324,-2.750337749029262,0.4409595015432682,12.519491519322006,16.9723700430903,-10.867217657112665,83.99799160397565,1807.4804564630892,-346.9934774640003,98.206674445456,-0.7840486541557039,-0.1885335764165682,-0.591373653860406,,,,,,,,,,,,,,,,,0.9945376922364688,0.0,,,medium,high,14.401807556421945,49.31002002995527,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110.92175,0.0,,-1
2,07/17/2025,7:26:24 PM,1,2,Roy Rolston,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,85.9048856488953,-0.3113746526605906,-3.58889459658506,1778.002858224448,218.9355333229502,1:15,5.45086147769016,3.3783972927385646,6.000000192000004,-21.012435248874866,17.602234489414442,12.356208144890005,3.409863988144949,-1.06821626853276,76.85661735336073,-4.295100632980418,-1.2458200514699425,0.4472472561105867,,,,,,,,,,,,-7.900736476159677,9.627341969285643,-3.092836766293547,50.000000000000014,5.413282417664489,7.433049931415248,-124.63087684024708,-1.331333380124086,-12.16954208762443,29.882796782392926,-17.345008819901317,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,21af0bc2-d05d-4458-ba1c-84408a96d3ec,86.15314857619828,5.451823288891633,3.384242829611674,-0.3240624998714494,-3.6583555923546713,77.05860238066676,3.409884380737262,1.0635741036495183,-4.293612877199015,-1.3156853081534623,0.4470521124397192,13.00814197245227,16.37952576782723,-7.420688410146879,97.4308566208054,1763.111358792267,-229.63558163314465,99.1624591960976,-0.7713387119546219,-0.129153662813829,-0.6231820944330451,,,,,,,,,,,,,,,,,0.997464995196561,0.0,,,medium,high,2.312229041275104,-22.58565470616048,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134.79123,0.0,,-1
3,07/17/2025,7:26:47 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,2,0,Slider,,BallCalled,,,,,,,80.73567484405295,0.4332561478776083,-5.46704183776257,2121.416337642256,161.0164101782271,11:15,5.9631185715190895,4.376171547854343,6.000000192000004,-34.942026673272004,9.17468596011242,-2.6033415056700333,3.4557961287319974,0.937284265578952,72.33655505941721,-6.160426813002305,-5.957814755840587,0.4780497486088543,,,,,,,,,,,,-0.516705360387583,4.815249222381157,-3.927997784136704,49.99999999999999,5.97841216797158,11.253515066261524,-116.79206716306844,-0.1264153281908536,-0.6958921613573521,27.10827928657778,-25.68893360747868,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,15fb7c55-1ce8-4e1f-a7ac-eba18186df57,80.97434001133365,5.958965939844491,4.378933326477895,0.4817368345499881,-5.500362932575332,72.5257296409431,3.460084098839365,-0.939253762644292,-6.094213868735315,-5.987408763783317,0.4778382440208878,-2.285070842986226,7.023040778497288,-77.4954837734651,39.56950893917253,459.3217593603367,-2071.094106744937,21.65165560433212,-0.2047406066797659,-0.9762789462848922,0.0704322583569633,,,,,,,,,,,,,,,,,0.997562494156803,0.0,,,medium,high,54.38744195474471,-42.93574665150818,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,5.369534417859512,9.735428603447442,14.389134491363599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,98.73032,0.0,,-2
4,07/17/2025,7:27:10 PM,2,1,Roy Rolston,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,Walk,0.0,0.0,,86.9338934703462,-0.2210713369054148,-4.234229161100402,1746.7352189536405,224.40983898098625,1:30,5.76019828250242,3.721657367665465,6.000000192000004,-21.60994380266673,16.140650570743443,13.620979826042548,3.753343881650245,-0.9142935857853308,77.76232801647951,-4.316617302941043,-1.6541141578070575,0.4422149486251957,,,,,,,,,,,,-8.798993092681208,8.805075571741545,-3.3840198752060204,50.0,5.72962563800188,8.902851468009976,-126.03084532638184,-1.1666071506208862,-13.864640264642468,30.468410030192597,-18.2998251128918,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,b599af04-b904-4e51-92d3-7b5f8be72704,87.18237836072971,5.760642531291878,3.728126114837465,-0.2274620745050821,-4.310444363246746,77.96078076155206,3.7537355898837936,0.9093242979872682,-4.309487965020186,-1.7298509772314727,0.4420270541952822,14.33847435099532,14.906964202869434,-6.820909131830928,10.995497948338516,1734.372232880341,-207.4533271525972,99.29222323228215,-0.709296499897922,-0.1187663275472681,-0.6948330984297539,,,,,,,,,,,,,,,,,0.9967176863989188,0.0,,,medium,high,99.89594815350463,-10.918359061544784,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.695,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,101.78621,0.0,,-1
5,07/17/2025,7:27:46 PM,2,1,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,87.24498841569196,-0.7220042501094849,-4.804273098477701,1789.6250614219407,219.2343561914364,1:15,5.7661725521441145,3.6962822776119015,6.000000192000004,-20.05751036816875,17.466671529575365,12.344857671009551,3.421285556573802,-0.249465484530378,78.0836143451689,-4.519760959145979,-2.469830205010641,0.4408868429500573,,,,,,,,,,,,-8.291993920837635,9.689118475146204,-3.3111864310255807,49.99999999999999,5.695528358006958,10.232673671503187,-126.378947383347,-2.23053083203447,-13.146697790277186,30.48216569712789,-16.812254381732547,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,bc6e8284-0082-4bc6-bb7a-753eff24fc5c,87.49511266463983,5.767267851248482,3.70211335488066,-0.7362090241667427,-4.873745723139084,78.28650576694366,3.4211619587873314,0.2448900997775344,-4.5203759424246295,-2.539380496768326,0.4406998764392065,13.000342247567078,16.33932368101399,-9.340179631284794,74.99502152255616,1765.898473857097,-290.4486882371152,98.67421461197064,-0.7642962920761401,-0.1622958319584216,-0.6241083566557872,,,,,,,,,,,,,,,,,0.9918082991027888,0.0,,,medium,high,22.504480629699408,23.95165959889823,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,115.739716,0.0,,-2
6,07/17/2025,7:28:07 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Fastball,,StrikeSwinging,,,,,,,86.17725482691428,-0.0471590383605586,-6.615075399186304,1796.4674388435012,223.40891600888168,1:30,5.157016276317019,4.187513244950593,6.000000192000004,-21.862579582935915,16.80547628365428,13.60158486418055,3.291011480231984,0.8544942517582711,77.03949427015132,-4.17932050828806,-4.05608819119314,0.4475563167944081,,,,,,,,,,,,-9.567291948169908,9.102331732684544,-3.6541658599158064,49.99999999999997,5.1404710718607936,14.010637691934258,-124.45541548657644,-0.7822803813670606,-14.72297846738656,29.366724489975518,-18.16659221673273,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,a95c7ff5-1d68-4adc-be70-40fe8be6e695,86.42637200881889,5.157672788171623,4.194061094020241,-0.0561207833059338,-6.691913459781073,77.2400966469833,3.291260623121005,-0.8596057456139777,-4.174138705004092,-4.132955416558515,0.4473669872964602,14.3302873367378,15.629017553569255,-10.403116406257322,95.19214747603186,1766.9364789467106,-324.3928762971357,98.35616503487526,-0.7145258111844461,-0.1805726445595739,-0.6759041242572582,,,,,,,,,,,,,,,,,0.9964831610796544,0.0,,,medium,high,4.327067271571179,-76.82103728855459,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,78.59303,0.0,,-1
7,07/17/2025,7:28:31 PM,2,3,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,87.5461456135994,-0.4506149231513612,-4.60130933867408,1942.2266124614891,216.4651142382987,1:15,5.65596870539273,3.858420555912319,6.000000192000004,-18.602105532273647,18.649113232972297,12.275739456025107,3.685631710525176,-0.5957538986958048,78.29121936879565,-3.975484091909891,-2.278593957376958,0.4392803387434692,,,,,,,,,,,,-8.190625232428777,10.238285545098382,-3.489927094489554,50.00000000000004,5.608367538353509,9.821142677099562,-126.85570379963256,-1.589407367692894,-13.08017360109996,30.7843839677294,-15.823826189463505,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,3b5fb53d-1f6a-440d-9555-6b94eb84ef6d,87.79909039498443,5.657582671572118,3.8640655916898585,-0.4709445090904989,-4.668191712563386,78.49609557958179,3.685104585531987,0.5913685873788176,-3.982295731869744,-2.3453393856494387,0.439091768283711,12.906198281238757,17.574700123831825,-2.2792936439175664,76.58095327781449,1940.689987329904,-77.2436873219435,99.92088332423587,-0.8035826109298833,-0.039770687326773,-0.5938630143734058,,,,,,,,,,,,,,,,,0.9975140954334766,0.0,,,medium,high,21.07714204996704,30.19786905087729,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.11541,0.0,,-1
8,07/17/2025,7:28:51 PM,2,4,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,1,2,Slider,,BallCalled,,,,,,,75.31877073946015,-1.7948209244615707,-4.145760236593681,2068.8594927471872,96.21609825039845,9:15,6.332836146508334,3.1101416258365098,6.000000192000004,-45.44935239503454,5.167315219829639,-6.780897714955603,0.8723711822740539,1.3147149403810074,68.12257011911285,-10.301743486371947,-5.428900849769916,0.5120569879685921,,,,,,,,,,,,2.1939990086890706,3.4405130887483333,-2.767953350073123,49.99999999999995,6.160023537429587,8.09183471902819,-109.10480579211288,-4.657866190532457,2.5743555139552914,23.948330865645108,-28.137081562870943,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,ce13091c-68d9-47dd-ac85-2b43bb08cf66,75.51886678732775,6.324980152734096,3.1124664505247277,-1.70232566057634,-4.173887772592853,68.2683331675186,0.8796219343641725,-1.316238201461056,-10.194154459860158,-5.451430145708213,0.5118474747804239,-6.51171672523553,2.3021695822663624,-78.60045280832922,47.59311004189538,408.9092124089299,-2028.0465617774307,19.76495812511412,-0.0214012348757182,-0.9802727391044028,0.1964875164343673,,,,,,,,,,,,,,,,,0.994755208726874,0.0,,,medium,high,47.16620096229416,23.296857874253927,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,10.786438522452315,13.742799343730223,18.56669070064917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99.65399,0.0,,-1
9,07/17/2025,7:29:15 PM,2,5,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,2,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,86.4326681928457,-0.5680846277947202,-3.8710782891384654,1917.534588007052,213.53543478962683,1:00,5.642732258353094,2.6100320426811985,6.000000192000004,-18.91417558506295,19.2456139184184,11.225666740185448,3.537351942973267,0.0577356737812439,77.3301781965476,-4.1531003627303065,-1.744025661347451,0.4446051691131504,,,,,,,,,,,,-7.380676186673487,10.602006997564905,-2.3007359264944487,50.0,5.585397490146284,8.131461509938834,-125.35496049591758,-1.8368586700815464,-11.504981077619702,30.150584511841245,-15.647665443580232,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,b6e10820-368f-4121-9ede-5b51962c4d37,86.68378316677826,5.644544238178649,2.6153360100048118,-0.5909337252465373,-3.93427765657188,77.53605089616033,3.536693342197921,-0.061910954076778,-4.161848964473185,-1.8075610623227572,0.4444115341447541,11.820041256832903,18.14620592092616,-7.392805543234829,90.87633696709648,1901.5947497956668,-246.73123789445532,99.16873268878284,-0.8266153337007975,-0.1286710755767331,-0.5478602416681153,,,,,,,,,,,,,,,,,0.997914547206764,0.0,,,medium,high,8.211296729613125,-39.41380218216046,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,91.1878,0.0,0.0,-2
10,07/17/2025,7:29:48 PM,3,1,Roy Rolston,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,85.20021917114097,-0.9072346457475046,-5.302401987835016,1728.3309064247344,217.6530305232296,1:15,5.826398381438193,3.621331532447776,6.000000192000004,-21.54800730209499,17.845400881475033,11.807198869733622,3.1838584837583555,0.3368710135463293,76.3177143760922,-4.982212666688792,-3.073097922605521,0.4517345422295745,,,,,,,,,,,,-8.161092404319197,9.954039432855122,-3.1950345632103847,49.99999999999992,5.739684103546975,11.081983154086098,-123.32066354406112,-2.624341259568568,-12.326697389864371,28.9121603942527,-17.13924470734871,KCL Merchants 2025,KCL BlueCaps 2025,,,,af8c51e2-0b72-40c9-a0ca-b3539702f9be,13e76e98-0ffd-49f7-82ea-6fceab08f153,85.4474897161741,5.827307831181957,3.627016868465202,-0.9191415138371676,-5.369368421341235,76.51823808036305,3.183936006906802,-0.3413171070772135,-4.979661982084571,-3.1401468206085297,0.4515394381594972,12.438995040513632,16.65195745185354,-10.687332910917906,21.90318006676191,1698.3509671504833,-320.5178848082616,98.26538198427129,-0.777991182609181,-0.1854493740850196,-0.6002818083482477,,,,,,,,,,,,,,,,,0.996562427291546,0.0,,,medium,high,109.71286206008575,5.631065057763903,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,138.09247,0.0,,-2
