PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Slider,PitchType_Knuckleball,PitchType_Sinker,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/18/2025,5:04:52 PM,1,1,Joe Stellano,,Left,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,86.59808800958125,-1.3959062570937804,-7.591555413744117,1910.4984880954005,223.76389879154465,1:30,5.094386197108708,5.667303113817992,6.000000192000004,-23.3247626763481,15.14583124543448,10.34767401270356,1.841578651253419,0.567514417132055,77.61925022413612,-5.787167791524207,-5.653992663953936,0.4464121106542571,,,,,,,,,,,,-8.132466760415037,8.65681132588234,-5.051294048575665,49.99999999999994,4.966126387133905,16.305904907936448,-124.76290028975023,-3.793612798744345,-12.579926255624414,29.456164029410253,-18.783026751632303,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,794b5ec9-4e2e-4d8d-99a0-6c7844d8bbe8,86.84977149583503,5.094780613769466,5.673619960188365,-1.4016466374260756,-7.665274623036739,77.82174533426107,1.8420732294988509,-0.5723272209231068,-5.777886330571237,-5.7263825528432895,0.4462241856520987,11.051036485960225,13.966239777424695,-40.050130611177565,66.53640575428473,1462.4517119869329,-1229.324799685299,76.5481742644491,-0.5528280009579496,-0.6434576145154808,-0.5294747394152851,,,,,,,,,,,,,,,,,0.9970274087775304,0.0,,,medium,high,30.117234821143708,-26.46645335838844,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,114.99973,0.0,,-2
2,07/18/2025,5:05:05 PM,1,2,Joe Stellano,,Left,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,1,Changeup,,InPlay,,GroundBall,Out,1.0,0.0,,80.78534989995184,-0.4596295924114934,-6.876072041266198,1417.6736385518132,236.5375582865089,2:00,5.188087600224813,5.813347749941191,6.000000192000004,-32.86323177955788,11.223940223848246,10.697172259836425,2.0192039875135785,-0.2833432432319903,72.49283934143607,-6.64940023591143,-4.86618579593718,0.4778896703222547,83.49545451087923,-10.63558640768536,-37.80722327848985,3123.5151880852777,60.74251903551162,-91.7079400267398,7.4245997128112275,10.761391231639632,,-35.892728249034434,0.0767282655754382,-8.104227726895394,6.225358179904541,-5.256754726646864,50.0,5.13133316432844,13.749042269451737,-116.59499294841638,-1.8978676528883984,-10.936155940371965,25.95204396888901,-23.77331232461171,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,3c249b94-ffa3-4de4-8f13-8cb17f1a5f40,81.01778001297382,5.185586863895271,5.8201900983496735,-0.4312657180926843,-6.957120594788908,72.67591244154974,2.0221223669251622,0.2779816566180721,-6.604090585189455,-4.946334970357984,0.4776900090449328,11.467938779220532,9.492311416583473,-42.84491150466108,21.97425063414512,1039.434132570251,-964.0410932593418,73.31970520606261,-0.4042776995793838,-0.6800162371955596,-0.611667768296805,-50.30398786140732,64.83463108286341,-15.4100727307398,-0.4515380100768175,1.5365358808225176,1.9477527933870376,-6.309075938479501,8.717975799628567,0.0290897145666545,-0.1354389186598313,-0.0075566438114604,-0.2702175218899895,-0.2717247994053383,0.9236601779073088,,,0.9972456906755196,0.0,0.9808987161014808,45.58392203526161,medium,high,70.22317442926938,-19.34118813026049,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,81.585655,0.3333333333333333,0.27755,-1
3,07/18/2025,5:05:40 PM,2,1,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,87.93605605184096,-2.233935356829875,-6.921352889430458,1972.6448813833977,222.7746306159883,1:30,5.113511945717713,4.65504869996589,6.000000192000004,-21.379891799635697,15.834366837183186,10.853026448936852,1.2393469608046006,0.9046677442964788,78.91091928959814,-6.260114128192418,-4.8841237919158,0.4390623608152357,,,,,,,,,,,,-8.16750204235819,9.304516643973349,-4.094812371272544,50.00000000000006,4.917712721558656,15.051718304415225,-126.82523938031522,-5.660913131649128,-13.062371137773182,30.30899057636126,-17.293239145936013,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,82e63517-7672-4571-8b3f-22deee85c1af,88.18742474891762,5.114397723383401,4.661342459888386,-2.2452688575695467,-6.994874684305817,79.11265285654406,1.2394219529081731,-0.9094286897612126,-6.257233301593013,-4.956058994742793,0.4388803627113933,11.55255128386148,14.766898552198272,-35.372798077079395,66.82670022308815,1608.5000057964205,-1141.952520642183,81.54027219883561,-0.598530577883007,-0.5788941189664822,-0.5537533262789974,,,,,,,,,,,,,,,,,0.9870254646816012,0.0,,,medium,high,29.855969799220627,-45.34815541007826,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111.88514,0.0,,-1
4,07/18/2025,5:05:53 PM,2,2,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,87.88489410107782,-1.3991674407912515,-7.077634594753368,1932.4882268631848,222.74697666887175,1:30,5.01290682844239,5.356185405621952,6.000000192000004,-22.075647121551288,15.199930214702784,10.2190448685983,1.862646755306456,0.4037995978196265,78.74729784380409,-5.560280166406951,-5.16012197146801,0.4394239379736174,,,,,,,,,,,,-7.895506804562797,8.688331997492291,-4.782655400810762,49.99999999999992,4.885239046862521,15.41528635251329,-126.76050335340015,-3.818346809931189,-12.60406570096133,30.47351129145425,-18.30435001650905,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,89c7f83b-35e8-4471-bcb8-982b0568cd9e,88.13904682356903,5.013534929673562,5.362298236767545,-1.4077229746554436,-7.149545556706209,78.95255756901044,1.8629293304721477,-0.4084988356860131,-5.554309704289972,-5.23088775216522,0.4392393177310663,10.903793957676186,14.072467360630109,-39.4328366709972,88.08838910332184,1492.5953009195828,-1227.4648730768615,77.23696735489891,-0.5671961010985995,-0.6351732735103296,-0.5242551816784639,,,,,,,,,,,,,,,,,0.997019356368809,0.0,,,medium,high,10.720449807010262,-8.065671554080883,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,112.62278,0.0,,-2
5,07/18/2025,5:06:07 PM,2,3,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,87.64723540438597,-1.482889625374843,-6.84863037176788,1908.4445937171936,223.28946323098145,1:30,5.013328593523323,5.4417561566672585,6.000000192000004,-22.258910319539808,15.183943296583983,10.5035923034877,1.770016529722377,0.0785065153119424,78.55462519542799,-5.679518638030365,-4.875921168220944,0.4404088042948863,,,,,,,,,,,,-7.971070579126486,8.707318395543258,-4.887323053674737,50.000000000000064,4.8787372654752525,14.858542992170522,-126.47513242976284,-4.000293848222371,-12.667967186206884,30.32710236409946,-18.33600579757261,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,d69951d6-f084-45b9-a5f0-8fc6e9fab4cc,87.89858441513765,5.013895100699295,5.44788010450656,-1.4907257412660675,-6.92120265202037,78.75927487744133,1.770344413171378,-0.0832952232879646,-5.672875178455071,-4.948029228803196,0.4402249735889692,11.193819582593449,14.045796340351629,-37.96231843740569,64.31195261254355,1504.647260316391,-1173.9665196719886,78.84154799515024,-0.5738867355633794,-0.615143097964077,-0.5406042765013663,,,,,,,,,,,,,,,,,0.9960974834169544,0.0,,,medium,high,32.11924264871077,-27.31611415403949,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,121.45076,0.0,,-2
6,07/18/2025,5:06:22 PM,2,4,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,1,2,Slider,,InPlay,,GroundBall,Single,0.0,0.0,,80.37273719269929,0.8351785431623971,-6.094036890355872,2081.910038081297,94.14379345810548,9:15,4.805953098578055,5.07070786715712,6.000000192000004,-39.36105749977326,5.351611365873005,-5.736276420116305,2.306541044605088,1.0925290160406735,72.00513856655365,-6.581858311497582,-7.172874402335239,0.4812678151122527,84.42253538212222,-9.26390667727403,-3.3116042830183963,2177.058815959383,9.933822046542256,-109.55053253813604,0.9046624062282378,15.942464430195129,,0.824057904620342,0.0999559964580581,0.917962945126799,2.5988147807329605,-4.569137338083062,50.00000000000002,4.851707910699528,12.561657405261672,-116.11156431564277,0.5691459883117616,1.2191472137116608,27.242586953980712,-28.72256190264299,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,8993ea75-cee2-4ef6-a26f-6cb274fd69bc,80.59943716797335,4.799640255329564,5.07258210550866,0.9101867952076496,-6.116883525659578,72.17968642418592,2.3123542201461817,-1.0937185971759258,-6.490066988498633,-7.191194166077935,0.4810685342281622,-5.515324688939208,2.850160636282966,-77.8571538755709,31.187232350785376,437.9291195511413,-2035.329824110292,21.034968444397325,-0.0151998276627381,-0.9776262119308796,0.2097997973895642,-4.813164844143858,83.18230413312094,-13.590518887582943,0.8374577193171412,3.923031654323356,2.4057378726291643,0.2292849668521938,15.940815553540933,0.0578030659802182,-0.5081622430112126,-0.0012452455998231,-0.9550796075710511,-0.0066126590996268,-0.2962755743249158,,,0.9917038921317012,0.0,0.9962197091419566,47.860841202930565,medium,high,61.93149088429314,50.49440296622761,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.891,5.707715447222299,9.686914564372136,16.35629357371061,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,91.716774,0.25,0.2862,-2
7,07/18/2025,5:06:54 PM,3,1,Joe Stellano,,Left,Kcl merchants 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,88.1371101350107,-1.3963480206199552,-8.094797105910132,2009.6582673941757,227.2911033867452,1:30,4.858039662959062,5.798914053533978,6.000000192000004,-21.828868083534136,15.368668765353586,12.41094437432756,1.7278902398126224,0.7405520713640132,78.95176166334038,-5.50643023837129,-5.775091582921312,0.4389637059865448,,,,,,,,,,,,-9.394497199770024,8.772230373761667,-5.142337885516987,49.99999999999996,4.7304623976467886,17.646216307417937,-126.83469205552782,-3.814519738361275,-15.032920411582388,30.219420277010087,-18.13687034834447,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,da5c52b1-f817-40c2-968c-d0aaa65972cd,88.38830527670555,4.858814520524359,5.8058284719048565,-1.4065471672758454,-8.176106205858833,79.15399509602562,1.728035826712278,-0.7458691265552825,-5.50239746965895,-5.855401520294571,0.438785992819809,13.189515954778084,14.312549769675009,-33.757764381598626,94.97853192961944,1670.8184569540483,-1116.7327503066483,83.1394314178856,-0.5639129605721812,-0.5556829080969377,-0.6109162614856867,,,,,,,,,,,,,,,,,0.9702598441128828,0.0,,,medium,high,4.519321263342472,-9.45788644707338,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,135.92468,0.0,,-2
8,07/18/2025,5:07:08 PM,3,2,Joe Stellano,,Left,Kcl merchants 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,1,Fastball,,InPlay,,,Single,0.0,0.0,,87.16805775416087,-2.113520720235194,-7.242705444157279,1974.71317954011,224.84465067628545,1:30,5.2005300284428175,5.504733295561406,6.000000192000004,-22.529283141585218,15.387135325853784,11.090152044489871,1.3420991441428944,0.3384964385723348,78.22822191266067,-6.353770172299996,-5.163387768935902,0.443185125958697,,,,,,,,,,,,-8.401438808863803,9.022270547842355,-4.918055353064889,50.00000000000004,5.013836423698731,15.619244063228551,-125.64086601911409,-5.381053167115405,-13.18799094336954,29.7231834095937,-18.01152040730255,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,e468cd41-7acd-4892-9379-6471a33ffc79,87.41829925207625,5.201141615012979,5.511331834525837,-2.121557943136943,-7.31935218335764,78.42710091679216,1.3424083289909223,-0.3433957843667827,-6.347289461490136,-5.237785605256417,0.4430020130525447,11.820951762861164,14.271350431658869,-36.97098374832465,71.47293262148573,1577.6777046968148,-1187.613237359706,79.89401808034924,-0.5664656845198245,-0.6014104983267942,-0.5634022015965182,,,,,,,,,,,,,,,,,0.9949485639465896,0.0,,,medium,high,25.674360640662822,-65.16988979703795,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.891,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,112.20252,0.0,0.891,-2
9,07/18/2025,5:07:41 PM,4,1,Joe Stellano,,Left,Kcl merchants 2025,Drew Wichtowski,,Right,Kcl groundsloths 2025,Stretch,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,82.76612961594701,-1.8860429084054915,-7.843824649610085,1371.535346217422,231.9960441149136,1:45,5.176481720629568,3.995156781728445,6.000000192000004,-29.237552304371658,12.930445671753748,11.505797549146724,0.9699479227619396,2.3819142380377607,74.39841485351064,-7.374446936071554,-5.691256953215387,0.4673723477361468,,,,,,,,,,,,-8.832063248857827,7.620374099104586,-3.358896228886373,49.99999999999999,5.004382858720846,16.071413839082933,-119.14573430530632,-4.830482881791097,-12.465656582594368,26.76181987174234,-21.41858238951912,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,479a6329-88d6-40bb-abaa-38b56a3bc546,83.00174509503138,5.174816506472141,4.001633627849013,-1.8674618153746,-7.919558478773283,74.5845213257513,0.972095468795143,-2.3869517392684445,-7.340741516220353,-5.766186938650162,0.4671791363130698,12.228451023854612,11.429163169388987,-32.00209418701881,24.697072010544765,1163.101369775478,-726.8455197290209,84.80287241471484,-0.5221447527112832,-0.5299502646676946,-0.6682197050332421,,,,,,,,,,,,,,,,,0.992614290493484,0.0,,,medium,high,67.7726351905097,-5.111668713134472,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,108.04817,0.0,,-1
10,07/18/2025,5:07:57 PM,4,2,Joe Stellano,,Left,Kcl merchants 2025,Drew Wichtowski,,Right,Kcl groundsloths 2025,Stretch,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,87.8139288562306,0.8832538011094256,-9.696056210650188,2048.7342188812518,218.3877057196997,1:15,5.181259898967489,7.179932676924723,6.000000192000004,-21.328979569865307,16.53503899273232,9.680504585757532,4.236697620560512,1.1118326393238895,78.26801422901002,-3.121517807607927,-7.90076037287469,0.4428787825813005,,,,,,,,,,,,-8.526911866777706,8.641350652423311,-6.3881268277224965,49.99999999999999,5.241895634173304,21.19433703907093,-125.8212177893936,1.298604226588832,-13.397086147381897,30.265938639202574,-18.59716255714432,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,440581d2-d3db-4d09-9a6d-9c39d868e31b,88.08072300938676,5.182587575657326,7.185934249193566,0.8661940374125494,-9.76556664013862,78.48516052259437,4.236500718444923,-1.1162683041718775,-3.1229339347867344,-7.969543232473224,0.4426887098746828,10.35328618271822,15.441371305882026,-42.88767359266471,90.88952260880596,1501.0856921502775,-1394.2932419102851,73.26893251043431,-0.5743014722959182,-0.6805632614813572,-0.4549851272740665,,,,,,,,,,,,,,,,,0.9289533003489991,0.0,,,medium,high,8.199429652074746,-81.63858094848497,54.667001749344,Lawson Alwan,,Kcl merchants 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103.075935,0.0,,-1
