PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,ff_diff,ivb_diff,hb_diff,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/06/2025,6:36:05 PM,1,1,Matt Brummer,,Right,Kcl bobcats 2025,Ethan Hamrick,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,1,Fastball,,BallCalled,,,,,,,85.2237715891218,-0.17545842450567,-6.34873316541766,2251.35549755539,212.066265952454,1:00,5.56993351215209,5.05159567079738,6.000000192,-18.3807701621734,21.1276428870986,11.7199194521244,3.87412588842508,-0.103515306032602,76.1633907307,-3.65148410998442,-4.14265850687421,0.452393457149075,,,,,,,,,,,,-8.46672252888965,11.4833529489203,-4.53913012227822,50.0,5.54489727083631,13.3406874597226,-123.140145207629,-0.944236243250475,-12.7511623433238,28.8232667200697,-14.8797427042352,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,95a403cc-6997-4097-9cc2-ce4e720873c5,85.475346712636,5.57256943203109,5.05727527690022,-0.207931907806018,-6.41558257761598,76.3695188670056,3.87289708632673,0.0991549640320972,-3.66886529484283,-4.2095387567503,0.452197745731151,12.3543208084674,20.1268852432834,-8.97683863814007,86.2077700857881,2223.77976312313,-351.290679490537,98.7751497059347,-0.837054840428498,-0.156035188521752,-0.524397000428304,,,,,,,,,,,,,,,,,0.979090767269317,0.0,,,medium,high,12.4130069227906,-81.2868801956563,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.0076274229362,0.0,,-1
2,07/06/2025,6:36:20 PM,1,2,Matt Brummer,,Right,Kcl bobcats 2025,Ethan Hamrick,,Right,Kcl bluecaps 2025,Windup,3,Top,0,3,1,Fastball,,BallCalled,Walk,,Walk,0.0,0.0,,84.2183151388422,-0.499635823613598,-6.59529471961382,1998.33712723595,213.816985856389,1:15,5.72736225385722,3.73670653393404,6.000000192,-20.699444828747,19.786459544448,11.2870766739456,3.53494470515195,1.47954611159901,75.3554964633791,-4.40966510663733,-4.47309528448788,0.457955674734814,,,,,,,,,,,,-8.30818291880762,10.8656280236922,-3.20365005380818,50.0,5.6743883677089,13.7199300773394,-121.627030746471,-1.69615081841748,-12.2114233198362,28.0365906831388,-16.2036761927016,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,c5a75b8a-9e7f-498e-b9a8-6cf36c99b19f,84.4687970542601,5.72923801499349,3.7424906758076895,-0.522936186494298,-6.66286588120693,75.5589235820994,3.53433158071908,-1.48402553177929,-4.41725671132533,-4.54023310149942,0.457754520331256,11.927695191733,18.681751735048,-16.4446799935359,20.4589597795169,1916.59216675387,-565.708176030131,95.909350861376,-0.79683360256431,-0.283089458890554,-0.533775765738232,,,,,,,,,,,,,,,,,0.993873605012812,0.0,,,medium,high,71.5869361984348,-21.8902386524572,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.695,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.20090133555877,,0.695,-1
3,07/06/2025,6:37:14 PM,2,1,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,83.6103522861536,-0.539082893035638,-7.27636841107856,2137.03656277715,216.501010005969,1:15,5.81700812899429,4.75881698662884,6.000000192,-21.05837555788,20.104391698917,12.9552495712581,3.55704068433342,0.960781775288798,74.8175951925933,-4.51311809549174,-4.84626129025314,0.461767968804795,,,,,,,,,,,,-9.41919483527846,11.0471532413311,-4.17043538601105,50.0,5.76051810765416,15.0060425096966,-120.581220329479,-1.77805830862724,-13.619764378692,27.3609893534246,-16.2003249913346,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,6db149cb-12c4-4e5a-bf01-3e1f8cb861d2,83.853800444448,5.81876256788857,4.764935180006,-0.561396620979845,-7.34945478078209,75.017807181877,3.55647621427893,-0.965582200264134,-4.52013436030958,-4.92016498622214,0.461575231287426,13.6527625157893,19.0133650683141,-10.1350653846037,18.0272075426447,2103.68953853231,-376.052650723404,98.4395669767341,-0.7913028907063,-0.175969217033288,-0.585554924679611,,,,,,,,,,,,,,,,,0.991296472761507,0.0,,,medium,high,73.7755132116198,-50.0602808416968,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,104.83986610722513,0.0,,-1
4,07/06/2025,6:37:32 PM,2,2,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,0,1,Curveball,,BallCalled,,,,,,,72.9032383664436,0.955984646159703,-6.17356307737941,2065.23710504648,21.1744996957105,6:45,5.62952729934215,4.47292375392036,6.000000192,-62.4735718996498,-7.89208986395352,-6.79679319763148,1.31714772667435,1.85345427266072,65.7921427552991,-10.7532464763115,-7.45376946548537,0.531733698282471,,,,,,,,,,,,1.38605097815587,-4.6375831393443,-3.96420438109688,50.0,5.67201581066123,11.5636162088144,-105.270111413943,0.142082459486121,1.5063448054138,23.1135866625848,-37.214123422909296,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,a085e6ca-7c26-4842-a889-0ebc5d491209,73.0517034076043,5.61461098368006,4.47641897569216,1.13103004850323,-6.21513427737651,65.8700866235077,1.32896002232799,-1.85576038918223,-10.5750663904815,-7.4887675790546,0.531581770419955,-6.39731562088144,-11.8576716733315,-52.0992334204046,25.7295126399555,1268.66637852289,-1629.62876756223,61.4295751041302,0.572821361506685,-0.789075871036875,0.221889516537001,,,,,,,,,,,,,,,,,0.99233414929073,0.0,,,medium,high,66.8434386240401,20.5336761355583,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-9.633750704611103,-26.343913439306462,-11.140311401467912,104.2154192274167,0.0,,-1
5,07/06/2025,6:37:59 PM,2,3,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,1,1,Fastball,,BallCalled,,,,,,,83.5526742169027,0.146358304442675,-5.30114608807213,1994.48115374529,211.170865358403,1:00,5.84025362377263,2.86102836680171,6.000000192,-21.2949731494069,19.6985131203983,10.0168732497264,4.20228151341376,1.24519071152802,74.6851612079149,-3.8851829708466,-3.4095630261427,0.460817485212246,,,,,,,,,,,,-7.21164358752735,10.6049918632907,-2.43379124682814,50.0,5.8398925152214,10.9198346489229,-120.94175569721,-0.331829191473269,-10.4645862507624,28.050876527504,-16.7854837625343,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,90d48d9a-4933-4b5c-be0f-d3fe3f6d87b1,83.8042911647745,5.84212335355692,2.86644824111656,0.122627675800587,-5.36537712394188,74.8914515239606,4.2016959754392,-1.24940914842018,-3.89254092954238,-3.4736889780315,0.460611230273554,10.6238073924011,18.5119449732742,-22.5899230172909,18.2983737473728,1841.46015183544,-766.145927253639,92.3277790004432,-0.789981926289663,-0.384132948970187,-0.477881191983051,,,,,,,,,,,,,,,,,0.996253654631239,0.0,,,medium,high,73.5314636273645,-20.1485687979165,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.7124848531,0.0,,-1
6,07/06/2025,6:38:17 PM,2,4,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,1,Fastball,,StrikeCalled,,,,,,,83.9462381152878,-0.965890060101006,-2.21173370736539,2134.84801344325,216.555914035777,1:15,5.71005882888573,1.85688399942269,6.000000192,-20.7614886091257,19.5900166802049,12.6521410765728,3.08148821843575,-0.854636204151351,75.2287134859042,-4.8993211074641,0.191036517966359,0.457194916278183,,,,,,,,,,,,-7.59373372647847,10.9245924476994,-1.68396388647744,50.0,5.61929632930583,4.32432393974796,-121.921696879899,-2.68792535961029,-11.1930592702359,28.609778104148,-16.071350284878,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,42004ef5-37cb-42d2-9ff7-03579f97067e,84.1887073382934,5.71182167445488,1.86315084368739,-0.988106992021455,-2.286021023789,75.4249859737682,3.08095349621986,0.84979725871186,-4.90623732188821,0.11733395428314,0.456995178847496,13.3486553222968,18.3911436579646,-9.52276618131319,87.0829794414196,2105.4296853254,-353.188166071823,98.6219942622331,-0.792206810510816,-0.165439489765912,-0.587399476171263,,,,,,,,,,,,,,,,,0.997142705449891,0.0,,,medium,high,11.6253185027223,-60.1585558281961,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.72416382829108,0.0,,-2
7,07/06/2025,6:38:51 PM,2,5,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,2,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,d832ebc5-1737-4c15-aba7-f71615f0da13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Pomatto,,Kcl bobcats 2025,2019-02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,-1
8,07/06/2025,6:39:09 PM,2,6,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,2,Curveball,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,74.7459624801274,3.11900691893987,-4.82938207114009,1705.71233020557,20.0126616209819,6:45,5.43645245604979,3.9577993601822894,6.000000192,-59.3922700591032,-7.7229694509255,-5.18055660935534,3.3990865624849,0.972970530354294,66.9949660884129,-8.09769017332449,-5.80890560102261,0.517354003205092,,,,,,,,,,,,1.05985768649367,-5.31658625014012,-3.56050933744009,50.0,5.65749549486285,9.26808492820113,-108.054688459042,4.31913798145504,1.21777874089224,23.7677821964834,-38.2828185198367,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,5f7233b4-f8cc-4b61-8209-2161628ca503,74.9117306317136,5.42255007239288,3.96103074306126,3.28321711443867,-4.86827101042926,67.0907705566164,3.41044884771389,-0.975178153743747,-7.92571784977092,-5.84219039033626,0.517197741530896,-4.80898594444763,-11.3296471898943,-51.6259963881981,28.1551392712036,1058.8927916948,-1337.23618299541,62.079213062098304,0.583306849233949,-0.783975210423812,0.212452321892944,,,,,,,,,,,,,,,,,0.991874535842723,0.0,,,medium,high,115.339625344083,16.0511686417263,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-7.791026590927302,-26.174793026278444,-9.52407481319177,103.92631269572843,0.0,0.0,-2
9,07/06/2025,6:39:45 PM,3,1,Matt Brummer,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,3,Top,1,0,0,Fastball,,BallCalled,,,,,,,83.7445777546743,0.175620235334897,-3.59388559016454,2091.48581218092,216.619257475259,1:15,5.7969953125237,2.705360918274,6.000000192,-21.5796211386649,19.0606445748833,12.1204997035334,4.16223592523909,-0.370880652290963,74.8744871660471,-3.9173215399140706,-1.29533424043651,0.458827872109836,,,,,,,,,,,,-7.77761530305275,10.2514669443208,-2.41925449398109,50.0,5.79883640734578,7.26387802559189,-121.495446030265,-0.280190749081945,-11.3821821668884,28.4462025420576,-17.1714993580022,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,96815743-af55-4da1-a64d-1866f3b54357,83.9925692087405,5.79872254428435,2.71177164002629,0.153857218525459,-3.66944851254837,75.0751039975073,4.161777110935111,0.365975638289754,-3.92294138419441,-1.37017462516975,0.458624053873188,12.830838238528,17.8395023636244,-17.987800860115,12.4736737070842,1989.25877156837,-645.881136349724,95.1122288271247,-0.763386950823321,-0.308814495698741,-0.567339378642982,,,,,,,,,,,,,,,,,0.99358709049357,0.0,,,medium,high,78.7736936636242,13.6903907113391,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,105.80679566859281,0.0,,-1
10,07/06/2025,6:40:00 PM,3,2,Matt Brummer,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,3,Top,1,1,0,Fastball,,BallCalled,,,,,,,84.9407599396531,-3.03086851964219,-4.41468387423496,2048.02074907144,215.475961348748,1:15,5.82262889649827,2.51917752479572,6.000000192,-20.1867843061686,19.3902975327804,11.5722005382654,1.31250617503685,0.62759052491854,76.4014967966722,-6.83439075581869,-2.22705991128523,0.452786434517453,,,,,,,,,,,,-7.71325397140121,11.4840740089577,-2.16558539171632,50.0,5.56306728595254,9.13768243136878,-122.963041469952,-7.15018132835008,-11.60050799415,28.4044776192379,-14.902338730857,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,02e82e1e-564e-4881-8232-0960071aa588,85.1808834952549,5.82432940686414,2.52504406517878,-3.0519078331835,-4.48380468675686,76.5963011458002,1.31197027409918,-0.63214737295533,-6.84089779596148,-2.29543207540621,0.452595683807344,12.2226725870488,18.339845145724,-15.9715519211613,11.70885042452,1968.96394134605,-563.53348286166,96.1398434190064,-0.78292354699484,-0.275160045676862,-0.557958483064937,,,,,,,,,,,,,,,,,0.994650770946866,0.0,,,medium,high,79.462034617932,-4.85768493529086,54.667001749344,Zach Pomatto,,Kcl bobcats 2025,2022-11,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,104.93179294449178,0.0,,-1
