PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
1,06/25/2025,10:38:00 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,83.90471971925929,2.561681005090973,-1.8063752499515844,2209.68103676876,200.2053775214476,12:45,5.938297948530575,2.400717931504152,6.000000192000004,-22.24261807182714,18.336334551172108,5.933302350244923,6.4683286216004605,1.2157696347548688,74.63713410257478,-1.6688710642319653,-0.6774739360992537,0.45848162962126,,,,,,,,,,,,-3.8449548850542974,9.030593561570996,-2.256956054250973,50.00000000000004,6.1343642817236494,3.660396241258991,-121.75584713177686,4.777122095115089,-5.630414209276456,29.36317104371154,-18.949971845865008,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,8198616e-13a0-4a2b-a88f-961df0edf673,84.16889464849243,5.9399753473067465,2.4051457044414835,2.539901563488621,-1.8596640670388973,74.85709073875779,6.467964261163385,1.2122576763897202,-1.6729645100083368,-0.7305303365477083,0.4582591780412108,6.432949764795088,16.965433711695965,-40.57614303774291,92.37322227649902,1678.3460145380154,-1437.3047483883931,75.95422084050098,-0.7128004446052622,-0.6504580183618623,-0.2623354579909085,,,,,,,,,,,,,,,,,0.7804794135384108,0.0,,,medium,high,6.86409995115097,-26.0816329592416,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81.79756164550781,-1
2,06/25/2025,10:38:14 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,82.00335820315588,2.626949071137506,-1.718073350249974,,,,4.805992889207549,3.0087903882882783,6.000000192000004,,,,3.9069365173794974,1.4115451292408536,73.21879721939649,-4.992454793309619,-1.7180733502499943,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,f3cc8975-b69a-4a6d-9b90-12e3c2717d56,82.23334545009907,4.799374650200287,3.00879038828828,2.705906218514214,-1.7180733502499836,73.39408796285474,3.9129534924441502,1.4115451292408556,-4.897479574504064,-1.7180733502499843,0.4689242023039374,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,-1
3,06/25/2025,10:38:29 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,85.35556013500292,3.8760988734617823,-2.4741226048085214,,,,4.387444074433883,2.2514383318871274,6.000000192000004,,,,4.903103084395847,-0.0494258444696645,75.94798681395416,-3.179518244558195,-2.4741226048085383,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,ed5ab2df-f79f-410d-8ef2-d3920e825ae1,85.60425807674,4.38105078739197,2.251438331887128,3.950087180171471,-2.474122604808532,76.1359230529666,4.908776555617132,-0.0494258444696623,-3.0917974603229808,-2.47412260480853,0.4512688417232581,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,-1
4,06/25/2025,10:38:44 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,,,,,,,,70.83291969913287,4.211266530954216,-6.3746213784409935,,,,4.785345629189783,3.1828735911644648,6.000000192000004,,,,4.182366097580259,-2.766226193945404,63.21665964861691,-6.087482345547443,-6.374621378440878,,13.652130336037912,26.817077043072537,-24.49913467460773,,,,,4.809893349164597,,-11.847140110959684,0.7904336276594552,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,b5fd8c41-44fc-40e7-8ce0-3a8e89faa9e2,71.04311681120771,4.776040557226549,3.1828735911644648,4.319498225470592,-6.374621378440953,63.36225990241989,4.190868191999127,-2.766226193945413,-5.959031874788637,-6.374621378440949,0.5470666445865621,,,,,,,,,,,-5.05239811163811,11.08691954408405,6.159070632545907,4.280117722920398,-7.941323841245045,2.994337652327088,-0.9874775778555372,4.707436888963079,,,,,,,,,,0.0,,-4.533213920258687,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,-1
5,06/25/2025,10:38:58 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,,,,,,,,69.31387567433156,5.467272650272292,-1.1666145678776094,1930.716958069799,75.09546385299551,8:30,4.624683163274161,2.3304413262330272,6.000000192000004,-59.15978764976439,0.7885431517777093,-12.640736468421617,4.792484452356413,0.1926525073772401,61.75130114985916,-5.7562224413581,-3.5706392532435367,0.5572628221256228,,,,,,,,,,,,6.43274337259952,-1.521720577671576,-2.228117535053506,49.99999999999998,5.037374002974257,2.3557301696406467,-100.24221865633248,8.125058996141084,6.373495575308865,20.169897206742785,-33.681754589429495,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,064fd962-91ae-415c-a749-394b7219450c,69.50362476756709,4.612195319896145,2.330402121439553,5.612105978822138,-1.1664698431920912,61.86939310203701,4.802946530925415,0.1929965345975579,-5.597127965763471,-3.5651565155590497,0.5570526019429252,-12.637752428160288,-2.9275050732969774,-54.73864101211921,31.159228007805968,1114.6165545348097,-1576.4827650612765,57.73070723163526,0.148488748544385,-0.8165271240158049,0.5578839908997217,,,,,,,,,,,,,,,,,0.9703425904560262,0.0,,,medium,high,61.95669479297466,-56.999767359582464,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97.78736114501953,-1
6,06/25/2025,10:39:15 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Sinker,,,,,,,,,77.84739875102471,3.3612008401187388,-1.6258235478077256,,,,4.577859567258871,1.8101928003641143,6.000000192000004,,,,3.9932522196452274,0.2987569913528387,69.47778989248225,-5.1002560261180445,-1.625823547807724,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,43e0627e-9303-4de5-82d7-a97eebb008ef,78.07231993438606,4.57019343962904,1.8101928003641123,3.450153905081564,-1.6258235478077223,69.64162962997622,4.000106183565818,0.298756991352838,-4.995495854596959,-1.625823547807722,0.4942424882244669,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Sinker,Fastball,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,-1
7,06/25/2025,10:39:30 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,,,,,,,,68.20289280063339,3.348685321889842,-4.092901910571528,,,,4.52176652987953,3.671401669834076,6.000000192000004,,,,2.786160415128806,-0.1389990488711116,61.15662620557482,-7.675093030564032,-4.092901910571637,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,71e08b12-5dc9-42c3-8e3c-8334deedeed9,68.40007911374714,4.511729954150304,3.6714016698341023,3.4651086739380204,-4.0929019105716025,61.28799376262136,2.7950878704159083,-0.1389990488711077,-7.539301648064448,-4.092901910571598,0.5654383149753852,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,-2
8,06/25/2025,10:39:47 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Fastball,,,,,,,,,83.38602653688233,5.019991574182867,-1.7708711083343642,,,,4.620560808463089,2.5236123491774944,6.000000192000004,,,,6.049055398866678,0.8772516680412161,74.029396154528,-2.389166413553371,-1.7708711083343616,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,6e91e30e-76d0-4513-940f-9fa7a2c28e6c,83.63200659311825,4.6140276729300895,2.523612349177492,5.096779818688632,-1.7708711083343616,74.21627411660843,6.054991610019208,0.8772516680412155,-2.2964707423577506,-1.7708711083343611,0.4624404655693201,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,-1
9,06/25/2025,10:40:54 PM,1,1,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,0,Slider,,StrikeSwinging,,,,,,,74.52578610065527,1.1658682829567566,-3.9355891212814695,,,,4.5876491738702505,2.7387936862167512,6.000000192000004,,,,1.61745415251154,-0.924681400016413,66.97730864495868,-8.027374449657842,-3.935589121281476,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,ed116f74-4b5b-46f6-966c-054b2ae6ee1b,74.730851608872,4.579389038977038,2.7387936862167424,1.2631887139889943,-3.9355891212814686,67.12362622055562,1.6249730643149891,-0.9246814000164144,-7.913880411283364,-3.9355891212814686,0.5166151727716647,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,,-1
10,06/25/2025,10:41:12 PM,1,2,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,85.46782550884662,2.0496968809022387,-3.410224119688086,,,,4.762397153277389,1.9711531941402305,6.000000192000004,,,,3.588757625910884,-1.202035513437027,76.3324598532308,-4.967087769072975,-3.4102241196880865,,,,,,,,,,,,,,,,,,,,,,,,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,aa1994ae-450e-4b9a-8df4-fd6bbdc064d2,85.7092611289959,4.756067461680374,1.971153194140231,2.123617004932556,-3.4102241196880856,76.51550413297613,3.59449449318795,-1.2020355134370255,-4.879943752485468,-3.4102241196880856,0.4503425828708705,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Grant Sn,,Interns,2022-11,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,-1
11,06/25/2025,10:41:31 PM,1,3,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,1,Sinker,,StrikeCalled,,,,,,,80.01240697358347,-1.3079040829489323,-2.806201741528399,1682.3582571007096,206.139557713986,12:45,5.2735232881172,2.636825678975612,6.000000192000004,-29.219296558840355,15.259963135092685,4.982801551904792,1.6213531776073231,0.4419056116616163,71.92805578533662,-6.825988174049416,-1.8609383094843823,0.4800100138201176,16.354408471749146,43.05872508899945,3.1729091995041814,,,,,9.99593444645469,,6.284527451859691,1.014296937267912,-3.649390379707406,8.700161134424295,-2.410949038233309,50.00000000000004,5.149929107580095,5.54857645020907,-116.13944153208864,-3.50032664703801,-4.879613341164862,26.01781542940638,-20.5410320338398,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,83807a67-8937-4f95-8a21-dd7522292553,80.25119441134498,5.272491982061761,2.641302898876445,-1.2971765441474798,-2.8597434726015307,72.12117010821123,1.623128769962473,0.4385156925532067,-6.797466594340052,-1.912979003150637,0.4797938296704255,5.486994303926594,13.591972613866115,-47.53744045506099,41.27155533678823,1135.7739846822185,-1241.1070707050271,67.51082772581111,-0.6060606481156622,-0.7377186550288568,-0.2974250776717357,0.6613933180044886,11.931101065888653,11.165933131416732,-0.0089830622760235,-7.4347668862492835,0.2955968381289187,1.0942138706556286,9.935864404423215,,,,,,,,,0.9665019062311222,0.0,,-5.273060470410889,medium,high,52.85560019689059,-14.033292746187218,54.667001749344,Grant Sn,,Interns,2022-11,Sinker,Fastball,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,83.5795669555664,-2
12,06/25/2025,10:41:58 PM,1,4,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,2,Slider,,Foul,,,,,,,72.60846374514146,2.584267386626338,-2.812665455868285,2156.0945340448325,69.08893094398462,8:15,4.34880884057976,3.028979062887772,6.000000192000004,-54.28108750000079,0.1621063267851923,-12.11932576885154,2.231715327558472,-0.5971401555170348,65.12891107898666,-7.685479722746966,-5.112587996107261,0.5310596680731307,,,,,,,,,,,,5.552447564635677,-0.8460451692385949,-2.792716904745128,49.99999999999996,4.528472333824516,5.487523367686397,-105.26145852188203,3.341088911827531,6.054890088859412,22.536518509456712,-33.096653617882694,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,1983536e-1e59-486c-bddb-caca83a1c047,72.79287031081624,4.33718724047462,3.02918577638776,2.72045673026918,-2.815491225325722,65.2477437845772,2.2414384947352093,-0.5969818572538383,-7.537638945406232,-5.1098677449834575,0.5308643495255123,-12.088315580787738,-3.3305487750139986,-58.84442508513334,40.98424393873494,1115.4848887056096,-1845.1116775977105,51.736362719354446,0.1846566358033035,-0.8557656672577716,0.4832877503068611,,,,,,,,,,,,,,,,,0.7093273856247646,0.0,,,medium,high,126.88581954486148,-5.44455545096188,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124.84516906738281,-2
13,06/25/2025,10:42:16 PM,1,5,Max Qu,,Right,Interns,Noah Li,,Right,Interns,,1,Top,0,1,2,Slider,,BallCalled,,,,,,,71.37149293293737,2.209317076052628,-5.142926902901565,2532.7067264426505,61.68488803790523,8:00,4.433241914622259,2.5090160195506024,6.000000192000004,-57.747590022609565,-0.9507902147238596,-13.373642731960562,1.6835899290813563,-3.398136520310375,64.13877447304085,-8.665959325546805,-7.665306811168231,0.5424172038079466,,,,,,,,,,,,5.344582136276809,-1.337052656780546,-2.0812974871405423,49.999999999999964,4.580876894926377,9.627714478940058,-103.18229466064916,2.524257613195933,5.5823765974673485,22.149042313664086,-33.57059121834412,Interns,Interns,,,,e6866ece-ad21-4252-9fdf-42dba8e1d7de,abfff673-a690-4ab1-aa7d-4dc236e7b298,71.54385413297499,4.42046887392984,2.5093007322175724,2.3600037206645728,-5.146709311910598,64.24442057195814,1.694516193162614,-3.398015421125367,-8.504354741024418,-7.663182468532095,0.5422266345855266,-13.333079965598756,-4.8065771837274776,-56.509040426802336,23.709955133267577,1397.5612387036913,-2112.208783771351,55.18053962239268,0.2617325681413839,-0.8339729040551348,0.4857831389374899,,,,,,,,,,,,,,,,,0.9477339083220768,0.0,,,medium,high,68.66104038005918,20.84144689089271,54.667001749344,Grant Sn,,Interns,2022-11,Slider,Breaking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110.67735290527344,-1
