PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Fastball,PitchType_Slider,PitchType_Splitter,PitchType_Curveball,PitchType_Cutter,PitchType_Knuckleball,PitchType_Sinker,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/17/2025,4:59:29 PM,1,1,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.97891854057744,-2.807311020360573,-5.697511946427975,2080.297343068575,218.11189216362547,1:15,5.460822696519872,2.204005154064298,6.000000192000004,-19.523706407532305,19.214555045477372,13.264640002716945,1.2096964803946946,2.003362752096354,77.26140020911173,-6.487719731937398,-3.1976941538634143,0.4479624233849962,,,,,,,,,,,,-9.040015509195433,11.30849677884247,-1.746085703729265,50.00000000000004,5.219495062836094,11.984409065980854,-124.25081175692708,-6.729457782925596,-13.892929564573809,28.826344207384764,-14.79485935453866,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,e7be53c8-1cc3-470e-8362-dc60b5cea8b0,86.2179928060611,5.4623283161095495,2.210062756194982,-2.826113847396262,-5.769714483507045,77.4558615298886,1.20923230017172,-2.0081706885231774,-6.493115391034899,-3.269905978176228,0.4477802081450891,13.947626628980442,18.20666938272281,-4.6933432923545295,79.21584285708457,2073.3218975641903,-170.21558289122163,99.66468997676574,-0.7841686921278853,-0.0818227180159459,-0.6151296652762934,,,,,,,,,,,,,,,,,0.9971550799223102,0.0,,,medium,high,18.705741428623877,4.786713070442304,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,112.37781,0.0,,-1
2,07/17/2025,4:59:41 PM,1,2,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,85.35162788093177,-1.4492372891475027,-6.52385896860944,2014.195482670988,219.9543649174455,1:15,5.515108647382997,3.1358182778283124,6.000000192000004,-20.992460403436635,18.398733257614733,12.93939225496597,2.40975710094603,1.8754715854586963,76.51276873051765,-5.411393612980265,-4.090546658002405,0.451721844795893,,,,,,,,,,,,-9.155191721525096,10.426449818704164,-2.6096223470485045,50.00000000000001,5.3840821652217965,13.6967571731806,-123.25558029712217,-3.7850220913720856,-13.833919192712402,28.552980752387104,-16.419200463649055,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,17fb478d-837f-4c02-9515-601e0f6e192a,85.59545417766128,5.516488697094566,3.1422315083393286,-1.4667661004170236,-6.600089614606508,76.71060302241585,2.409449699725429,-1.8805210263116168,-5.414368555940925,-4.166554623254724,0.4515346083557293,13.66326942636798,17.325490827496676,-16.405173603632587,81.59130785395908,1932.194513896188,-568.8653644595429,95.92884754829952,-0.7353484988554191,-0.28242808076661,-0.6160332494480887,,,,,,,,,,,,,,,,,0.9971443632421756,0.0,,,medium,high,16.567822931436837,-50.41861750011894,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.65401,0.0,,-1
3,07/17/2025,4:59:54 PM,1,3,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,1,1,Slider,,StrikeCalled,,,,,,,76.06082312218263,0.001138664269324,-3.259775181849776,2309.1694929899527,76.18388911076802,8:30,5.414274460707946,4.050976545053733,6.000000192000004,-46.820786459907616,2.6889344696930024,-8.514018380025838,1.5136020399450325,-0.3085874489785785,68.5024126032585,-8.8209928174698,-4.874406702075391,0.5064268947160966,,,,,,,,,,,,3.4452603427784885,1.456448732755813,-3.780263157356025,49.99999999999992,5.387404414856684,6.517385423334734,-110.34021706445928,-1.2787343272846006,4.132383742494869,24.589085931725904,-30.427126431808528,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,7aaa8995-ea63-48a8-b73b-339ba701149c,76.26108722964052,5.405102723166196,4.052735210169491,0.108017273593596,-3.2809332446995447,68.64323645307168,1.521561679958425,0.3075707970395308,-8.701404136818208,-4.889447504346466,0.5062245275842653,-8.310581703902646,-0.2946615724256172,-72.64767780377856,49.85413971041755,688.7019998184504,-2204.076519270949,29.824662152742505,0.0712232376430486,-0.95448884369985,0.289617502358136,,,,,,,,,,,,,,,,,0.989062344163852,0.0,,,medium,high,45.1312742606242,14.7408006234182,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,9.758377213874752,16.24833327209279,21.25347648668162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,98.9249,0.0,,-2
4,07/17/2025,5:00:06 PM,1,4,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,87.98957006742718,-2.6992532290786357,-6.551630928367118,2181.3511798791237,214.65197454485988,1:15,5.553892499908671,3.1322618204292967,6.000000192000004,-17.328766174204013,19.77341284953329,11.462353166458882,1.5827992008644,2.028264722801969,78.97509875548971,-5.965806891608421,-4.398018449911204,0.4384006917522222,,,,,,,,,,,,-8.350288659350388,11.57704675802143,-2.602920886378653,50.000000000000014,5.3223523091439855,14.217850725183414,-126.96414202070608,-6.57514981546159,-13.398601740818508,30.115715735393405,-13.597896691947774,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,7c8180f5-abf7-4962-935f-3cbce739c9a6,88.23833487499124,5.556308591139363,3.1380172582179746,-2.7287567226749605,-6.6195610193296455,79.17819310239184,1.581634187468825,-2.032743943499677,-5.981615780342276,-4.465409765008884,0.4382204907272631,12.10724064470998,18.917419420772013,-18.22165313288992,79.36767853305446,2071.965025091758,-682.0952314424679,94.9853945666178,-0.7813697300482654,-0.3126939108815414,-0.5400776454010179,,,,,,,,,,,,,,,,,0.997485834368858,0.0,,,medium,high,18.569089320251024,-76.97672734374709,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.88627,0.0,,-1
5,07/17/2025,5:00:22 PM,1,5,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,2,2,Slider,,InPlay,,GroundBall,Out,1.0,0.0,,74.14175237220164,0.7874899474493523,-3.922924028128282,2406.140106676314,63.69398965993503,8:00,5.106867705206042,3.990194583999746,6.000000192000004,-52.88594103078637,-0.5660743154894661,-12.421145654906814,1.4333589531582938,0.6965496361143345,66.76856854165278,-9.170587247495847,-6.274801656923159,0.5206008069101228,62.154382541916085,-14.248350388401803,-11.754038522104947,3593.841471246584,,,,11.291935426983104,,-5.661924599480135,0.0671830352577491,5.296550086947233,-0.5957481205611216,-3.663017538795056,49.999999999999964,5.140780481933316,7.698471110051384,-107.44826602997618,0.0744911682714492,6.007661589607548,23.779895950625043,-32.84978247669731,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,2d9eb133-ff25-4a97-bfd8-864ee91bfd4d,74.31988877109269,5.095307950284365,3.990400025937556,0.9238650088687788,-3.92577655509489,66.88382198306365,1.443212511623434,-0.6963828533997956,-9.023990361549384,-6.27195966564294,0.5204129550638923,-12.389646407555812,-4.039404205820642,-59.84659695742795,23.2011209227209,1208.6447989685514,-2080.549918382776,50.23168832167861,0.2226093770901542,-0.8646836119849697,0.4502969202605762,-12.272022836785656,58.979173543513184,-15.297771497326282,0.1698091296414066,5.469996848673607,1.8340068853042084,-1.1140451011976302,11.236846052147094,0.029285864159118,-0.1075211960759439,0.0048757967559814,-0.8187949200615686,-0.5629221576933927,-0.1126655371406199,,,0.99355346040995,0.0,0.9965016449018792,31.506722004865622,medium,high,69.1189911695512,27.82675279792388,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,11.677447963855741,19.50334205727526,25.160603761562594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,111.11435,0.08333333333333333,0.1782,-2
6,07/17/2025,5:00:55 PM,2,1,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Slider,,StrikeCalled,,,,,,,74.90786961853027,1.0972070358233237,-4.418294819754314,2208.421759772591,84.36083776081527,8:45,5.33721233944393,3.8937584623486825,6.000000192000004,-47.083411594522914,4.144066618066944,-8.88634190593601,2.4364963101382817,0.9612642203768672,67.28628768139197,-7.783814688257313,-6.098270923907935,0.5151373162685021,,,,,,,,,,,,3.2242334292564467,1.850000813903531,-3.528038028197701,50.00000000000001,5.399759990296936,8.622151858276796,-108.49651783345652,0.8180873882597804,3.73711230665943,23.866127958998664,-30.0297691048677,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,e72090f1-90ad-49ec-b4c0-cd422daadb74,75.1135356800721,5.328517591739175,3.8952062430466015,1.1992326502892672,-4.435891290803563,67.4331148898626,2.4442598426748927,-0.9620614367126488,-7.666411034671127,-6.10999735406425,0.5149264225956764,-8.715856959927189,1.1078278156671204,-70.82045308395116,21.43494374882306,725.531691781239,-2085.8404620819206,32.85294978509673,0.0322823350503784,-0.94449371042998,0.326939569036701,,,,,,,,,,,,,,,,,0.9919086787119832,0.0,,,medium,high,70.70855062605924,23.297266094331373,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,10.911330717527107,14.793201123718848,21.62580001259179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,94.857025,0.0,,-2
7,07/17/2025,5:01:05 PM,2,2,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,1,Fastball,,Foul,,,,,,,87.71231551918467,-1.420045001450997,-4.040630702624584,2127.38064269389,218.665922688334,1:15,5.289754194483411,3.000228224163879,6.000000192000004,-18.739065153736767,18.320364727948032,12.451358036212577,2.404824826751085,-0.2762668315343849,78.59106244646058,-4.967320581524134,-1.6826594743750254,0.4381480562538138,,,,,,,,,,,,-8.089208921075961,10.38417830685116,-2.677770392022965,50.000000000000064,5.16291220358393,8.587489303918488,-127.15962345656546,-3.754546505636676,-12.98663455424544,30.81399548076065,-15.503009174886255,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,38ee8ba8-4cb9-4285-af8c-59cf37228ed7,87.96116526417136,5.291669990028611,3.00659705232513,-1.4438655834935532,-4.115948138293629,78.79291835002059,2.404082490853044,0.2713250363437398,-4.977183175342229,-1.757300625608296,0.4379626769086139,13.159895498272151,17.306422119570435,-17.877180128609393,82.72429112316709,2024.663774510249,-653.0581896696344,95.171674211834,-0.7431024683577359,-0.3069775932729511,-0.5946120405348236,,,,,,,,,,,,,,,,,0.987215167811044,0.0,,,medium,high,15.54813798914959,-66.64323969334122,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68.25245,0.0,,-2
8,07/17/2025,5:01:24 PM,2,3,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,90.54987668651036,-0.8718812709088453,-10.254663182535571,2100.2674952411835,213.3126437969472,1:00,5.756241078029334,6.231310982407946,6.000000192000004,-16.06645221186333,19.5995579562686,10.654450648461586,3.593831472544532,2.5145229894119843,80.87111817597507,-3.8871321142603112,-8.286001467263677,0.4298320419448255,86.05588698180387,-2.93839187696516,163.79223199347263,,-26.710204695860785,106.70784849986792,1.4033399010403482,29.98136560892729,,155.8632374214749,0.3745245986124295,-9.181077272342383,10.887149471813402,-5.393171018590759,49.999999999999936,5.674739215970033,23.090352043328,-129.53771575989376,-2.523253590050937,-15.321628181322772,31.56384199795104,-14.005282325526728,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,1d000ed4-2651-400d-b7f5-626bd8cdcee1,90.81451062600604,5.75894787493992,6.236707950101051,-0.9050888383191356,-10.317936836610198,81.09032434787612,3.592421727787132,-2.5187162885562,-3.907089168239601,-8.349810288221278,0.4296546989404449,11.268283430117464,18.8155889839762,-24.607167745749877,65.42987504147119,1909.5296513003104,-874.5399146817659,90.91840232860577,-0.7597925278111184,-0.4163945386305845,-0.4993304545899574,23.988450073720283,-82.5270223757297,-4.411408514458923,0.1510147002995912,15.780103050805565,4.473254367597068,12.259862386623688,-27.36015456895699,,,,,,,,,0.9974874489489648,0.0,,19.977913188740548,medium,high,31.113112462675907,2.336427025258668,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67.81441,0.0,,-1
9,07/17/2025,5:01:40 PM,2,5,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,2,2,Changeup,,BallCalled,,,,,,,77.82841629865189,0.3828780205418847,-6.684976294160323,1957.4364434739005,234.11610605882544,1:45,5.697771844355126,6.48164419446163,6.000000192000004,-32.19313925043295,15.18157318716181,17.899009252222786,3.373295720259096,-1.7319068842421486,69.74312339184804,-5.693166026852539,-3.3163124903319683,0.4953872398348742,,,,,,,,,,,,-11.888554006413196,8.07907206162579,-5.945027861315527,50.00000000000005,5.710485922096416,12.67017442399336,-112.38869999683357,-0.1477663116079612,-14.937088015058023,23.72857779100229,-22.02329362363469,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,ee56073f-6387-4574-8c50-1c8538c72acf,78.04840486851461,5.695670075241397,6.489446227361657,0.4063334297092254,-6.777035477671068,69.91320338920362,3.375795348603769,1.7258457914395566,-5.653588312947958,-3.408715901125789,0.495187409760477,18.773663773787444,13.472126102308083,4.949629308504274,66.29567907238479,1950.1370350768225,168.88746152847668,99.62709346597616,-0.583958856207766,0.0862799209095896,-0.8071851271575514,,,,,,,,,,,,,,,,,0.997709711873898,0.0,,,medium,high,30.33388883485375,1.7820693188910566,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95.284485,0.0,,-1
10,07/17/2025,5:01:54 PM,2,5,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,2,2,Slider,,BallCalled,,,,,,,74.85166742436697,-0.6160127263323613,-4.547318440465708,2360.248105206222,83.54918929971576,8:45,5.409563151264704,4.104549097559475,6.000000192000004,-47.04048186085824,4.272424682988202,-8.598893199211124,0.9151744702188654,0.8471703665665888,67.53327074206572,-9.445274985171398,-6.172481548049586,0.5155666658203755,,,,,,,,,,,,3.0209517928196488,2.537344571387083,-3.728420251855745,49.999999999999936,5.332149823723126,8.853092406861924,-108.40907595303972,-2.433090756403678,3.4956051545839357,23.83979918893512,-29.23803624617185,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,af3c8b0d-24fd-49f5-aeb8-0746305bd773,75.05062231030999,5.400930401883897,4.106380099405294,-0.5142284235110263,-4.569544672481037,67.67514989468393,0.9229403951476872,-0.848263638917782,-9.329003821503877,-6.188625991406805,0.5153588986618889,-8.384525785078631,1.2408164820527947,-73.91511909833591,47.09453060938688,653.9329457999986,-2267.8498231864687,27.706110402442736,0.0311278636828746,-0.9608523011559922,0.2753069404605974,,,,,,,,,,,,,,,,,0.9942084969506348,0.0,,,medium,high,47.6149224515518,-20.863273082213333,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,0.0,10.967532911690412,14.66484305879759,21.338351305866905,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106.07265,0.0,,-1
