PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel, ,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
119,06/14/25,8:52:14 PM,1.0,1.0,Logan Lynch,,Left,Kcl merchants 2025,Jake Folmar,,Right,Kcl bobcats 2025,Windup,6,Top,0.0,0,0,Fastball,,BallCalled,,,,,,,88.59229663,-0.81494069,1.083410239,,,,4.370804269,0.259268472,6.000000192,,,,0.756472697,-1.26630312,79.50989728,-7.300365886,1.083410239,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,9bf3d47d-c8e2-4318-b5c0-60baa3cc9492,88.83214768,4.364873248,0.259268472,-0.745887349,1.083410239,79.69220733,0.761708933,1.26630312,-7.220587162,1.083410239,0.433546201,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,-1
120,06/14/25,8:52:27 PM,1.0,3.0,Logan Lynch,,Left,Kcl merchants 2025,Jake Folmar,,Right,Kcl bobcats 2025,Windup,6,Top,0.0,1,0,Fastball,,StrikeCalled,,,,,,,88.87662789,-0.004416072,1.730720005,2278.096047,139.9343297,10:45,5.124300246,-1.661355885,6.000000192,-22.44481113,13.58219595,-8.958350946,3.249793081,0.798875536,79.47142135,-4.264908296,0.027614841,0.432001858,,,,,,,,,,,,5.443985439,7.352026888,1.525516684,50.0,5.110965321,-3.613689238,-129.1220993,-0.731174203,8.983534368,32.54064154,-20.04191092,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,efec08be-828b-4019-8eae-ce2b183fd721,89.13452771,5.124713935,-1.667403563,-0.010752882,1.803432521,79.68171043,3.250288415,-0.794141039,-4.256230366,0.099239519,0.431811137,-9.64067941,12.32361992,47.3933528,78.45396029,1542.182994,1676.72097,67.69613584,-0.518083402,0.736018559,0.435736468,,,,,,,,,,,,,,,,,0.775591552,0.0,,,medium,high,19.39143574,-88.87321616,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,114.09644939056705,-2
121,06/14/25,8:52:37 PM,1.0,2.0,Logan Lynch,,Left,Kcl merchants 2025,Jake Folmar,,Right,Kcl bobcats 2025,Windup,6,Top,0.0,1,1,Fastball,,BallCalled,,,,,,,88.53969001,-1.769258194,3.962073629,2387.39454,135.7191827,10:30,5.125041896,-1.098662685,6.000000192,-24.37610271,12.05136745,-7.477284571,1.444899059,-1.966437147,79.44390268,-6.373430057,2.54584057,0.434396211,,,,,,,,,,,,5.393079126,7.122221809,0.779746367,50.0,4.966427219,-8.649654805,-128.3357651,-4.75313777,8.804973349,31.77467818,-20.54600339,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,3f6d2b03-e1eb-442d-b69a-bf87870fc6c1,88.78975971,5.124576205,-1.104384425,-1.764820823,4.031194007,79.64943609,1.446081205,1.970917678,-6.354091148,2.61412135,0.43421324,-8.129500932,10.74391167,56.16517513,84.90960162,1329.302677,1983.080202,55.68005849,-0.398628307,0.830646199,0.3887446,,,,,,,,,,,,,,,,,0.56512863,0.0,,,medium,high,13.58135854,-53.10879121,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.27715951245364,-1
122,06/14/25,8:53:06 PM,1.0,3.0,Logan Lynch,,Left,Kcl merchants 2025,Jake Folmar,,Right,Kcl bobcats 2025,Windup,6,Top,0.0,2,1,,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,126c6e61-b316-4d01-a88a-0d969f6003f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake Parpet,,Kcl merchants 2025,2019-02,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
123,06/14/25,8:53:11 PM,1.0,4.0,Logan Lynch,,Left,Kcl merchants 2025,Jake Folmar,,Right,Kcl bobcats 2025,Windup,6,Top,0.0,2,2,Fastball,,StrikeSwinging,,,StrikeoutSwinging,1.0,0.0,,90.58338823,-0.915566864,2.366058457,2370.007464,138.6700468,10:30,5.352145491,-1.195274159,6.000000192,-22.90105438,11.80157269,-7.256679926,2.592003585,-0.400253096,81.12315987,-5.254889989,0.987640436,0.423987155,,,,,,,,,,,,4.737954345,6.700085468,1.006635084,50.0,5.264253999,-5.197352677,-131.5372891,-2.853840789,8.117853261,33.63888645,-20.69434617,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,4df6c276-9379-4d5e-8b50-55e87e1247e7,90.84401612,5.351878914,-1.200892972,-0.913714273,2.433141633,81.33324499,2.592982489,0.404510645,-5.23885607,1.052526415,0.423803067,-7.887637623,10.53500601,55.77982698,50.55954008,1332.831855,1959.717997,56.2374539,-0.422297723,0.826882626,0.371388954,,,,,,,,,,,,,,,,,0.827162908,0.0,,,medium,high,44.49641393,-10.08855148,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,102.68680445151034,-1
124,06/14/25,8:53:39 PM,1.0,5.0,Logan Lynch,,Left,Kcl merchants 2025,Luke Gallet,,Right,Kcl bobcats 2025,Windup,6,Top,1.0,0,0,Fastball,,StrikeCalled,,,,,,,90.0621824,0.56857518,1.09252299,2277.063109,138.8737442,10:45,5.1738774,-1.396798186,6.000000192,-24.9287501,10.16682468,-6.466107471,3.625025059,0.920133467,80.47489343,-4.166709752,-0.13754337,0.426380861,,,,,,,,,,,,3.878878822,5.306142107,1.311531783,50.0,5.205799504,-2.285240843,-130.8665004,0.487624635,6.569353452,33.63929637,-23.18745202,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,f251305a-4881-4072-9982-e3b62bc91364,90.32482169,5.172775447,-1.402393548,0.580262327,1.159121579,80.68659154,3.626693187,-0.915893664,-4.14029428,-0.073131332,0.426190471,-7.091128084,8.744633429,60.52767166,74.43429821,1120.322214,1982.396161,49.20031461,-0.370607309,0.870593421,0.323600554,,,,,,,,,,,,,,,,,0.98755111,0.0,,,medium,high,23.00913161,31.59125759,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.09644939056705,-1
125,06/14/25,8:53:49 PM,1.0,5.0,Logan Lynch,,Left,Kcl merchants 2025,Luke Gallet,,Right,Kcl bobcats 2025,Windup,6,Top,1.0,0,1,Fastball,,BallCalled,,,,0.0,0.0,,88.03286857,-1.938195175,4.005344225,2403.877417,130.2241114,10:15,5.106269907,-2.074051729,6.000000192,-27.77885607,9.111722722,-5.231301358,0.984919186,-1.21862384,79.06888185,-7.177161882,3.014533546,0.437148766,,,,,,,,,,,,4.204724538,5.596137521,1.750291316,50.0,4.931881933,-8.766644996,-127.5740229,-5.210093048,6.777058233,31.62769672,-23.15435055,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,2e32148e-83f4-4a37-96a4-647153311e58,88.2811205,5.10419441,-2.079520063,-1.914605953,4.070865019,79.26775198,0.987377367,1.222796275,-7.138966431,3.077342092,0.43696345,-5.849989268,7.577828978,66.71201869,64.77110767,950.3797294,2208.03193,39.53528257,-0.255310574,0.918529337,0.301861504,,,,,,,,,,,,,,,,,0.902013054,0.0,,,medium,high,31.70600309,80.79445216,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.27715951245364,-1
126,06/14/25,8:54:02 PM,2.0,1.0,Logan Lynch,,Left,Kcl merchants 2025,Luke Gallet,,Right,Kcl bobcats 2025,Windup,6,Top,2.0,1,1,Fastball,,Foul,,,,0.0,0.0,,88.334062,-1.439173104,3.318265549,2279.499,148.0655914,11:00,5.468779036,-2.191877508,6.000000192,-22.86148359,13.68096033,-5.640447627,2.223568787,-0.425512802,79.20058944,-5.762833274,2.248837199,0.435081199,,,,,,,,,,,,4.18277362,7.892686337,1.92455113,50.0,5.3381007,-7.249873362,-128.1474999,-3.954716182,6.80702092,31.75000766,-19.32953877,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,921497fa-633c-41f0-ada2-4b68a3471928,88.59111754,5.46881577,-2.196632739,-1.440925665,3.375078539,79.40964872,2.224339926,0.429133191,-5.749819595,2.303867031,0.434890682,-6.175726516,12.40750449,54.7960643,77.56371623,1314.104819,1862.590727,57.64884382,-0.489239325,0.817105306,0.304932455,,,,,,,,,,,,,,,,,0.848894354,0.0,,,medium,high,20.19265539,16.54559744,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,114.09644939056705,-2
127,06/14/25,8:54:21 PM,2.0,2.0,Logan Lynch,,Left,Kcl merchants 2025,Luke Gallet,,Right,Kcl bobcats 2025,Windup,6,Top,2.0,1,2,Changeup,,BallCalled,,,,,,,76.98171752,4.098330007,-1.002379208,2206.348553,297.9259241,4:00,5.614260087,-1.243127754,6.000000192,-52.8220795,-4.476370249,13.92065477,5.028475301,1.014773082,68.7236633,-5.928224586,1.647706936,0.500438243,,,,,,,,,,,,-7.890630776,-3.867298239,1.316753679,50.0,5.918236616,1.566354162,-111.5700042,6.531690458,-9.697248941,24.75102944,-36.92679431,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,30c5c2fb-9e4d-4b44-9a32-ae2103ec495e,77.16187888,5.601731736,-1.241328941,4.247734425,-1.023788659,68.83633975,5.038888281,-1.016410765,-5.770338345,1.622502963,0.500275725,14.11826518,-7.698192544,47.3513228,33.30847871,1494.803553,1622.817389,67.75010913,0.317293839,0.735521768,-0.598608677,,,,,,,,,,,,,,,,,0.948223323,0.0,,,medium,high,60.02236916,74.68613528,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Changeup,Offspeed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102.68680445151034,-1
128,06/14/25,8:54:33 PM,2.0,3.0,Logan Lynch,,Left,Kcl merchants 2025,Luke Gallet,,Right,Kcl bobcats 2025,Windup,6,Top,2.0,2,2,Fastball,,StrikeCalled,Strikeout,,Out,1.0,0.0,,83.29615337,2.139696896,2.404956974,,,,4.489932983,-2.329844301,6.000000192,,,,3.241263197,0.09337891,74.42795295,-5.23937062,2.404956974,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL BobCats 2025,,,,6382e2ae-c12c-448b-afb8-e001b164724d,ebaad0b8-5b7e-47c1-a06f-c5f733de4e59,83.53159174,4.483251875,-2.329844301,2.21749246,2.404956974,74.60430051,3.247234466,-0.09337891,-5.148052408,2.404956974,0.461676894,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.66700175,Jake Parpet,,Kcl merchants 2025,2022-11,,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,-2
