PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,VerticalArmAngle,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/19/2025,7:44:01 PM,1,1,Caden Addis,,Left,Kcl bluecaps 2025,Gavin Bailey,,Right,Kcl groundsloths 2025,Stretch,1,Top,0,0,0,,,InPlay,,LineDrive,Single,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,aa14ed88-2dd2-4b2e-9be4-bcb760caf990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Hunter,,Kcl bluecaps 2025,2019-02,,Other,Other,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
2,06/19/2025,7:44:26 PM,2,1,Caden Addis,,Left,Kcl bluecaps 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,77.6370705598525,-0.330314429323586,1.05048568195564,1620.73088125165,130.620075165659,10:15,5.5469008118617,-0.252331611229847,6.000000192,-32.4207568673904,14.7578465050995,-13.7612664946328,2.53812378786449,-0.422679718965551,69.731380046355,-6.46523465746614,-1.56573695316589,0.494360841247225,61.5764107616506,9.22433967277031,15.7555856370095,389.967111078248,,,,90.9874236516828,,16.7308357843209,1.06524264572712,7.80794340765161,8.09982713369864,0.174711819860607,50.0,5.5012450069824,-1.68237319329954,-112.825283418404,-1.56100813578697,9.83949735520861,24.8044417436929,-21.9667230854554,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,d4af9de5-fd5c-44d6-8ca3-9ed6ab153b03,77.8613457069107,5.545328487770489,-0.259859627599553,-0.31327242654851,1.13985801259998,69.9061063768194,2.54032077637955,-0.416982042223558,-6.43053481735863,-1.47772440028569,0.494144654528259,-14.5996675395907,12.8812248730273,20.7222294208442,24.7759701865897,1515.88064551793,573.475769311059,93.5306819320459,-0.608922347202536,0.353837750575948,0.70993832221166,16.5038860152161,58.496536560741504,9.87073042292801,0.501305418631504,4.74439262274171,2.94947434924811,26.1930923712383,87.1357169867936,2.25104143617256,-0.0782463394727892,-0.0079445398888609,0.002042933020588,-0.22413872098242,-0.974555108847642,,,0.996623115938248,0.0,0.984673631845511,30.6849307880006,medium,high,112.298373167931,-21.172783556221,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,42.75287153059805,Other,Other,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,-1
3,06/19/2025,7:44:59 PM,3,1,Caden Addis,,Left,Kcl bluecaps 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,0,Fastball,,Foul,,,,,,,78.6927596798228,0.174315917833866,1.04184930255535,1691.04916818711,134.027417183458,10:30,5.47728505897204,-1.04565458842627,6.000000192,-30.7926752034291,15.1365006286823,-12.6172406606147,3.07326406030444,-1.12869647815477,70.5537173861166,-5.66150882565554,-1.35724490334292,0.48777085677198,,,,,,,,,,,,7.18694176879807,8.13168487542524,0.968075677431873,50.0,5.47368556747554,-1.72063324910479,-114.359400331526,-0.528342233577008,9.30278449328793,25.5269495641828,-21.6483886864181,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,22784eed-1da1-4453-9916-a3cdc2537f60,78.9254052135727,5.47625831116775,-1.0529985137288,0.184779029133984,1.12885771596472,70.7356491625236,3.07506310663362,-1.12311447043119,-5.63312450041782,-1.27224749883162,0.487551450474765,-13.4328587292428,13.3515134716006,26.3042733221111,10.1664865275272,1515.9467429902,749.36824168345,89.6453380249945,-0.623037348908782,0.443138056409566,0.644556533460231,,,,,,,,,,,,,,,,,0.997443295716645,0.0,,,medium,high,99.1498378747745,-1.66395293310294,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,42.39235463463216,Other,Other,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
4,06/19/2025,7:45:21 PM,3,2,Caden Addis,,Left,Kcl bluecaps 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,79.4480724322322,-2.04375522661438,4.29986590034198,1897.921566894,137.22058506812,10:30,5.24643870828999,-0.851015971869333,6.000000192,-27.1296992487801,18.046939017437,-13.8180392944767,1.08000739383844,2.00126816122125,71.5180213070431,-7.15766873056203,1.68549830163277,0.483758353807096,,,,,,,,,,,,8.89657397363887,10.4351606246126,0.508130796066433,50.0,5.06368370188931,-8.25788233362866,-115.113039947323,-4.89937117495245,11.7202663443095,24.9945234400592,-18.426863059085,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,f61b7170-caa0-4851-9e30-fbd1f1cd3989,79.6750928691814,5.24646972779632,-0.857966571522775,-2.04542194784597,4.3819601501151,71.6973597405962,1.08088054462524,2.00655454826332,-7.142968139895849,1.76621319829308,0.483554597432285,-14.592045726837,16.6097401383151,13.0761157484324,91.2269520919233,1848.70915110566,429.395794925332,97.407036378807,-0.714942248060224,0.226245279265175,0.661566818657659,,,,,,,,,,,,,,,,,0.815256962624457,0.0,,,medium,high,7.89574311726902,-40.7009028106359,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,41.166657518332954,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
5,06/19/2025,7:45:42 PM,3,3,Caden Addis,,Left,Kcl bluecaps 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,1,1,Fastball,,Foul,,,,,,,78.4860011542119,0.054256960287444,1.34261959627482,1684.43509422101,133.715415311169,10:30,5.3666062053487,-1.41482108707769,6.000000192,-30.1557269290919,16.0129865257354,-13.7992304221887,2.90406877226484,-1.31670640691676,70.3787290496365,-5.6597758457728,-1.28077002885529,0.489041155281135,,,,,,,,,,,,7.92845049560791,8.64676884988266,1.31341768149675,50.0,5.35359004257872,-2.28128080755228,-114.049267548697,-0.748047136267421,10.2100988852129,25.3309516123817,-21.0389147896376,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,a0bfc468-4ef0-4c16-8ecb-7168faedf1fc,78.7150444964205,5.36573317643884,-1.42195911234703,0.0631056572334653,1.42817502590743,70.5599565946801,2.90574533349556,-1.31111313925771,-5.63327860717612,-1.19567098947578,0.488824723058265,-14.601189230818,14.2505701192287,15.8425047868358,4.10601154651845,1620.45306928942,459.840664658782,96.2015737411849,-0.664826852490968,0.272993994388037,0.695326926873264,,,,,,,,,,,,,,,,,0.996644675105908,0.0,,,medium,high,93.6954103918666,-7.9118419429479,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,41.810542420849536,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2
6,06/19/2025,7:46:05 PM,3,4,Caden Addis,,Left,Kcl bluecaps 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,1,2,Fastball,,InPlay,,FlyBall,Out,1.0,0.0,,78.3279552380388,-0.290455342163127,2.98955441895216,1570.5724444699,130.76995374161,10:15,5.4371603832645,-1.32370490942822,6.000000192,-31.3595777317485,15.0376932072988,-13.9990980629792,2.55354455011611,0.290700702097203,70.3117451010827,-6.22468221542065,0.332339883103787,0.490250156087716,85.3618705872562,24.661715522687,-24.9501035029225,3341.62848632364,-53.898731646764,95.8901804965654,41.3975348193538,289.377708468923,,-36.3407104850762,3.7265066998677505,8.58751468931822,8.2333805873163,1.08807521926614,50.0,5.39531438619922,-5.54160028693533,-113.70559401176,-1.46579819782246,11.0082230566522,24.903606714878,-21.6197864150471,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,770842af-3116-41ac-870c-069d5942a56f,78.5529617658305,5.43572195363498,-1.33079534674622,-0.27467175052279,3.07473839578241,70.4897516920445,2.55566347266417,0.296338311695959,-6.191538211344249,0.417678155792628,0.490039298195494,-14.7990606898832,13.2721157900385,16.140447493968,21.0296197547582,1508.66541976605,436.607895634397,96.0583146023074,-0.627283407738368,0.27799284087259,0.727485743365276,-32.7236986422714,70.3360528371286,35.6180876608772,-0.300683804833419,1.54888156871716,2.510404373015,-171.481082430938,233.095895560258,-66.1377215103412,5.76533876324634,0.772710450136994,0.706604349447458,-0.0455435632145636,0.706141683510933,,,0.996393529337861,0.0,0.997212412532063,48.1937286741624,medium,high,108.926657779282,-17.7107807785925,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,42.18266169094416,Other,Other,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-2
7,06/19/2025,7:46:41 PM,4,1,Caden Addis,,Left,Kcl bluecaps 2025,Sammy Descarpentrie,,Right,Kcl groundsloths 2025,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,77.9569796660652,-0.730353571155908,2.18644478241366,1582.03307158609,126.780255569453,10:15,5.38389425527288,-0.534631871983678,6.000000192,-32.6088695956796,14.1991678736216,-15.1600366050432,1.9871709985978,0.235086593886159,70.0830237521515,-6.89442165769952,-0.693697819314746,0.492415527030299,,,,,,,,,,,,8.94689233779439,7.93100713842605,0.365222280510446,50.0,5.30548703824901,-3.89533444421887,-113.227197996346,-2.36417841700598,11.3668671002728,24.7894022278695,-22.0978465078675,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,ff5b735a-0364-47a2-b481-e8c919504d09,78.1761224965567,5.381906342556831,-0.542176400488763,-0.708138281360607,2.27655532405614,70.2530791386429,1.98967541691671,0.240977123591046,-6.85568493086203,-0.604230573898007,0.492207082984652,-16.0053200445569,12.3411188895308,12.4053818574141,13.5251141218182,1545.09592681793,339.863526320149,97.6652103276748,-0.58476812891069,0.214827068045685,0.782237538248572,,,,,,,,,,,,,,,,,0.99730478161486,0.0,,,medium,high,102.172602709636,-31.9746527283056,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,41.90212651602287,Other,Other,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
8,06/19/2025,7:46:57 PM,4,2,Caden Addis,,Left,Kcl bluecaps 2025,Sammy Descarpentrie,,Right,Kcl groundsloths 2025,Stretch,1,Top,2,1,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,79.5280714795859,-0.201650038734678,1.57303881155323,1578.35844448278,132.720352139862,10:30,5.25169453484581,-1.55577337366681,6.000000192,-29.4781090788889,15.4881484451269,-13.8562676489814,2.60770162153474,-1.2481226464426,71.3326578733024,-5.78538012085997,-1.06080424266531,0.482630644796578,79.2246170787984,-2.63876036868484,-18.5450809513205,3137.41452478182,,,,29.3036603655444,,-16.0998863169546,0.237060499686492,8.03684003546347,8.44997380029566,1.43562375413308,50.0,5.21821435188352,-2.77464518800944,-115.552999162523,-1.25488361722755,10.6270999377925,25.9535832456066,-21.0006635721907,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,59bb83b5-9f9b-40d3-8793-da4e9ed10421,79.7577797981639,5.25060597884175,-1.56265202357534,-0.190189929393828,1.65471139568721,71.5139579403886,2.60946704342061,-1.24283028935852,-5.75735205028902,-0.979446894679573,0.482419598439715,-14.6218105491156,13.7578576751347,11.1992183857844,78.8463079213947,1548.30303459186,306.550309645468,98.0957804612775,-0.665502058357492,0.194220970982243,0.720683859089862,-25.1707276537453,75.0311326119587,-3.64740450593022,0.966024207838131,2.97181121770091,2.66177919090974,-8.12627855248445,28.1543621434869,0.837719738279328,-3.63078974484756,-0.0284906075897327,-0.742741940882682,-0.211804343972972,0.635195504650344,,,0.996420039405422,0.0,0.997073747181812,43.8610383046527,medium,high,19.0383228707448,-74.7003914546758,54.667001749344,Nolan Hunter,,Kcl bluecaps 2025,2022-11,41.195087783389596,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,-1
9,06/19/2025,7:49:17 PM,1,1,Devan Tupper,,Right,Kcl groundsloths 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Bottom,0,0,0,Slider,,StrikeCalled,,,,,,,76.6094207031887,1.0770091030604,-1.92899691859557,2018.94465104111,332.354019473564,5:00,5.27446038135803,1.52108712567669,6.000000192,-50.969937136234,-2.31847601296744,1.64118257217108,2.02861638893407,-0.135622865932011,68.8868022213758,-8.5627120547682,-1.61670169896144,0.502018204745323,,,,,,,,,,,,-1.57065424866021,-1.63645924824437,-1.36484847133511,50.0,5.33285838942613,3.70141014338024,-111.244790296716,0.684963319756112,-1.91785018818563,24.718113087341,-34.1722510869865,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,708e5aac-daf4-4c3d-87be-de204d30a5bb,76.8006725626366,5.26431763523803,1.527913949162,1.19542875510918,-2.01029749576146,69.014671594716,2.03727459738917,-0.140516091537045,-8.43258306177203,-1.69050368154092,0.501833409203942,2.40833738143089,-5.29924644282776,-73.0871598142354,93.4726969927727,587.344514797498,-1931.62209681521,29.0916600657984,0.257703086836167,-0.956748415970261,-0.134987360791698,,,,,,,,,,,,,,,,,0.993926614458547,0.0,,,medium,high,5.87457270650447,29.9348521000586,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,41.31795006516952,Slider,Breaking,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-2
10,06/19/2025,7:49:29 PM,1,2,Devan Tupper,,Right,Kcl groundsloths 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Stretch,1,Bottom,0,0,1,Fastball,,BallCalled,,,,,,,85.9107542346001,-0.0989809637447093,-5.43380390523607,1635.89356570945,231.5168751139,1:45,5.6007018028941,3.23636031831071,6.000000192,-25.2969585675704,13.4775105321007,13.2155384370732,3.40021418705841,-0.727683069531134,76.8782775295702,-4.88520810462574,-2.93783842965848,0.448171723909601,,,,,,,,,,,,-8.9785990996311,7.32232988322229,-2.80007783537739,50.0,5.57794545631243,11.4170607984391,-124.332164922344,-1.00019763893323,-13.7757398802012,29.5388587652381,-20.9395005579184,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bc919d6c-b91c-4e1d-9af2-89eed83c84af,a5b3a998-68e5-4e5a-b474-7f0999697297,86.1559468324316,5.60013543000365,3.24342702437311,-0.093549640614429,-5.51741986162337,77.0725379423505,3.40142907291949,-0.733103523784067,-4.86536972715397,-3.02039802337619,0.447985277664556,14.0068075325239,12.1234255314788,-26.1667367423632,86.0374087543484,1468.23825188742,-721.404320768964,89.7514534358282,-0.558509034083719,-0.4409848757221,-0.702566721551224,,,,,,,,,,,,,,,,,0.994420102610493,0.0,,,medium,high,12.5663321210865,-22.8554030085286,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,43.02864654705291,Other,Other,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-2
