PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,VerticalArmAngle,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/19/2025,5:04:48 PM,1,1,Matt Brummer,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,0,,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,41215f9b-4dca-459b-ba27-931adbf59f25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02,,Other,Other,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
2,06/19/2025,5:05:02 PM,1,2,Matt Brummer,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,1,,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,3a022582-c4eb-4917-905f-fc728eb9da2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02,,Other,Other,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,06/19/2025,5:05:12 PM,1,3,Matt Brummer,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,2,,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,8d54dc2f-8187-45f8-8407-422be1164219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02,,Other,Other,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
4,06/19/2025,5:05:43 PM,2,1,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,86.64289037889397,-1.2998936284709943,-3.7624342452556,2181.6932576061527,216.23302717540508,1:15,5.69796437326881,1.4680556930280206,6.000000192000004,-18.44600760240064,19.50721584003585,12.43468689119995,2.949866847419969,-0.9975378188260852,77.62731212923993,-4.792813840113925,-1.4064577719198916,0.4434001708091735,,,,,,,,,,,,-7.987398567716401,10.985899374909645,-1.1683536176163305,49.99999999999998,5.5811447611292415,7.873566871827564,-125.6565391459745,-3.4356906997895504,-12.521000856023225,30.105125497484856,-14.952615809876882,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,58503128-b441-401b-aa88-b7330d917bc6,86.89180124265954,5.70018322719145,1.474301369832895,-1.3270341465188782,-3.835685367763307,77.8270804983906,2.9489455764301344,-1.0022672526150411,-4.805484764211851,-1.4782694382920054,0.4432100740054767,13.123537472220018,18.487561116979617,-11.53992309200386,20.326924983009125,2137.5915259851517,-436.4492391110548,97.97855489229538,-0.7903143583858369,-0.2000506888809592,-0.5791225576744846,,,,,,,,,,,,,,,,,0.988788402861397,0.0,,,medium,high,108.29423248470826,-14.679100202416716,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,43.52097913387475,Other,Other,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-2
5,06/19/2025,5:05:57 PM,2,2,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,0,1,Changeup,,BallCalled,,,,,,,79.6348845734278,-3.2239648563707224,-5.349296175166162,2195.2733201335063,220.79967476725903,1:15,5.564283138660675,3.165987397671681,6.000000192000004,-25.663170766628166,19.43968702257257,15.193246732538617,0.4130662154744811,-0.5540063968744001,71.83798024198516,-8.044948058988833,-2.4835110064047656,0.4833631660728847,,,,,,,,,,,,-9.951969555062869,11.556611637912509,-2.737823538412709,49.99999999999997,5.285332404164066,10.34110547637176,-115.1131512633482,-7.251509328346704,-13.138964715748434,24.572925475292926,-16.91657600712499,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,2d56e6aa-eb2b-4a85-ae2c-cdaf8c2a2dc1,79.85395589083316,5.564307638402528,3.1722331508053454,-3.2251800531169565,-5.424296058708213,72.01507332537558,0.413891619235545,-0.5590851913608345,-8.031163201346907,-2.559620020321951,0.4831671738104023,15.901242669020355,18.107342947201285,7.6892232859297405,17.727673901575358,2175.5342640439208,293.7271115523145,99.10083833714222,-0.7501921220240926,0.1337997910594802,-0.647541038055063,,,,,,,,,,,,,,,,,0.9966694432907962,0.0,,,medium,high,74.04509348858221,-52.11335023338074,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,42.84224027692773,Changeup,Offspeed,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
6,06/19/2025,5:06:17 PM,2,3,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,1,1,Fastball,,Foul,,,,,,,87.79600008254589,-1.4462728482855134,-2.9479687827064565,2145.6114884793697,215.69546125773687,1:15,5.765055784481378,2.0422479702536025,6.000000192000004,-17.672707507688745,19.25146989481233,12.04739257065692,2.946106164882736,0.3039536054859106,78.66130362607292,-4.793607014286139,-0.6623345679301993,0.4373477905795436,,,,,,,,,,,,-7.509717147454071,10.900166586247437,-1.8088892876956488,50.00000000000001,5.636831552925685,6.179117063462238,-127.42242816342136,-3.782887988116172,-12.09862989911682,31.09060921361187,-14.613190930965828,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,630293a7-2eb3-4106-811a-4bbefaa9ec0d,88.04568740007628,5.767310130598187,2.048239225773655,-1.4740100630179365,-3.0187487654217957,78.86385482747654,2.945120279064159,0.2993894232790186,-4.80751505099068,-0.7323812836048529,0.4371615478405167,12.712261091510127,18.25243271280911,-12.0597247733134,5.07014517452414,2098.258579029048,-448.28517154335583,97.79303430725564,-0.7942063251760569,-0.2089311946502779,-0.5705997449634471,,,,,,,,,,,,,,,,,0.9964366917199186,0.0,,,medium,high,85.43686934292826,11.4246177022359,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,43.855973654467334,Other,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
7,06/19/2025,5:06:37 PM,2,4,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,1,2,Curveball,,InPlay,,GroundBall,Out,1.0,0.0,,75.39153425120291,2.2387991177965776,-1.629557862472054,1814.618778431092,22.70155264606645,6:45,5.153331489523191,2.756437755439074,6.000000192000004,-59.03687481711698,-8.662796004773945,-6.046445925127254,2.3162192740006677,0.7376579761626042,67.74649816799104,-8.932189848957961,-2.7807045636408967,0.510828455051157,71.1626301830695,-5.989384020484488,2.2285617665362447,,,,,17.66273794845662,,0.1636181636495878,0.1764888876912086,2.6903396470388734,-5.499877466325381,-2.620186775574031,49.99999999999999,5.301877431341055,3.276661194438116,-109.41428249960182,2.6783786338784097,3.171071724885365,24.28249452502529,-38.65669052057289,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,29b2f5cf-c55a-4467-8050-605167c285f5,75.54981959282445,5.138975460507978,2.759184817081035,2.407612254492808,-1.6625447892407454,67.83432719669965,2.327712424111885,0.7358473262011189,-8.759882829879771,-2.8079693761498232,0.5106763050975411,-5.732940566576197,-12.240095478692892,-51.8079918882968,24.387006837316648,1121.9765549385977,-1426.1871971108365,61.82987679145764,0.5703976979435542,-0.7859431490860626,0.2386206876726682,2.752119718277748,70.72064125563165,-7.425407195624423,-0.6500298709276545,-0.2845911432519144,2.219730607117314,0.0504389825018721,17.662665929720056,,,,,,,,,0.9957394273341006,0.0,,38.78681164276616,medium,high,68.051693846415,-27.312412508602343,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,40.658904136767205,Curveball,Breaking,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,-2
8,06/19/2025,5:07:20 PM,3,1,Matt Brummer,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Stretch,1,Top,2,0,0,Fastball,,StrikeSwinging,,,,,,,86.27812232343906,-1.0658308361021909,-3.3589468551860047,2198.2403098225927,215.0001122812202,1:15,5.729345474468804,2.400674219672626,6.000000192000004,-18.42965291493509,19.822435322838317,12.10577231096674,3.201145403040728,0.2841233779290046,77.26806161260916,-4.557687834098705,-1.063441844537343,0.445142537252238,,,,,,,,,,,,-7.679531206516288,11.080444039472146,-2.1337718740779,50.00000000000003,5.63169274818008,6.969654076139001,-125.18865867241328,-2.9083940970747024,-11.94286712093073,29.99786864478372,-14.942233314189384,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,5cab87c1-cdfa-450a-9ad9-5e5565e7b6fe,86.52597865534712,5.73164223046041,2.406691810401367,-1.0942935663756588,-3.430255923197333,77.47002927974997,3.200137176451855,0.279453806273335,-4.571679498149582,-1.1343342979064188,0.4449506045896055,12.775614969581548,18.78539765370892,-11.795217091152333,14.285262595079306,2151.8232693869923,-449.35184104842,97.88844557948504,-0.8018541027953804,-0.2044143395244556,-0.5614666291303485,,,,,,,,,,,,,,,,,0.974215498301352,0.0,,,medium,high,102.8567363355714,15.483668999491384,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,43.67813414243129,Other,Other,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
9,06/19/2025,5:07:38 PM,3,2,Matt Brummer,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Stretch,1,Top,2,0,1,Curveball,,StrikeCalled,,,,,,,76.19317120565766,0.0394541178330916,-3.561610116462149,,,,6.366006837928545,3.609172239651652,6.000000192000004,,,,2.527334221525564,0.2947641694610289,68.61127247225286,-8.729972174351573,-3.561610116462193,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,fb82b78b-1df4-406f-bb03-865ad689646e,76.39974307214032,6.357928316829463,3.609172239651653,0.1332872124231293,-3.5616101164621616,68.75851523276589,2.534464863803271,0.2947641694610343,-8.622434113954323,-3.561610116462164,0.5049977898573166,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,46.695334283422724,Curveball,Breaking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
10,06/19/2025,5:07:53 PM,3,3,Matt Brummer,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Stretch,1,Top,2,0,2,Fastball,,BallCalled,,,,,,,87.63130633067661,-0.8754159976513504,-1.9921180752294332,2265.829658654387,212.9084410825325,1:00,5.67601149598294,0.3425724931286148,6.000000192000004,-17.352783802008386,19.68125477320643,11.052114869224908,3.415784634944972,-0.5886262530377242,78.42564015514994,-4.16648204002772,0.1074942296523326,0.4379979317393995,,,,,,,,,,,,-6.65750013271234,10.9459044763167,-0.186636078452532,49.999999999999964,5.594613805757609,4.0770828116859565,-127.29048563335976,-2.496448601247214,-10.690755686733024,31.308751715388805,-14.59688275251712,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,feed0741-f5da-4184-8b77-bea640577695,87.88315647738342,5.678629453736667,0.348296105407493,-0.9079603121264992,-2.060460871616781,78.63338387232022,3.414491191604579,-0.5931577041126909,-4.184797688952558,0.0390925204702824,0.4378060313658924,11.692216618008231,18.677775780427613,-18.25027431297561,47.75171247685485,2151.8530476865417,-709.5861492447534,94.96976259744376,-0.7973089857597413,-0.3131683560299748,-0.515968954500419,,,,,,,,,,,,,,,,,0.996928249811693,0.0,,,medium,high,47.02345877083064,18.163044439854097,54.667001749344,Ryan Theile,,Kcl bobcats 2025,2022-11,43.41055120047363,Other,Other,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-2
