PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,VerticalArmAngle,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/14/2025,5:03:29 PM,1,1,Devan Tupper,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.4344839222726,0.4089905098775718,-3.3887802111970635,1418.0002656568874,232.7849881800385,1:45,5.84978755794026,3.1554939381807885,6.000000192000004,-25.96931364303157,12.192515317936255,12.701903670132678,4.066463459521111,1.060797414912819,77.28836034892588,-4.516691995614316,-0.9781676160158124,0.4446170499599449,,,,,,,,,,,,-8.031421343065363,6.457059140946666,-2.886488279483306,50.0,5.868137028439854,7.029726408805827,-125.41606352555524,0.085739824870639,-12.514567357814856,30.493494654799573,-22.11265470942024,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,0b182ece-1b32-4635-9fd6-678f330b9610,86.67919029202149,5.848641196200915,3.1620313584858395,0.4214650707827611,-3.467111954874113,77.48464881513692,4.068133981930857,1.0556797285397028,-4.489960861422524,-1.056895489926372,0.4444298838981418,13.438789390078918,10.71879654775871,-23.72550707269035,65.45912837731555,1298.1559327603866,-570.5400315858775,91.54835610408134,-0.5536915888536729,-0.4023553770785616,-0.7290650005100121,,,,,,,,,,,,,,,,,0.9971977244584338,0.0,,,medium,high,31.086784460416013,55.91317350480988,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,44.27373475469742,Other,Other,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
2,06/14/2025,5:03:41 PM,1,2,Devan Tupper,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,0,Fastball,,Foul,,,,,,,88.32157376118316,-1.97724069476218,-6.199419986665372,1793.7653909114215,233.88162702718623,1:45,5.9727864959184,4.661721987741095,6.000000192000004,-23.567884278086076,13.214292667833174,13.61574264954179,2.1596173301864687,0.0120750922331693,79.25598272388812,-6.422092496327156,-3.634991322889834,0.4365060194984937,,,,,,,,,,,,-9.425696138641204,7.804065342115362,-4.162669902476056,50.00000000000001,5.79704735730324,13.425002782993817,-127.58410344738662,-5.181310532418801,-15.250458929181937,30.752884158357144,-19.547334674973847,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,041ceee7-60c0-4ca6-955a-77dbdbb39786,88.56346768950768,5.972525739454615,4.668875704791233,-1.9749265298284475,-6.284907618078655,79.44996799411679,2.160546155861177,0.0064596983283006,-6.406530980573666,-3.720080503725381,0.4363336630584044,14.427340005761636,12.02336810683408,-28.19000040824658,67.22276310477658,1580.99953935288,-847.3693021331294,88.1385908861563,-0.5195377048430351,-0.4723969513664083,-0.7119843352112142,,,,,,,,,,,,,,,,,0.9447033403979632,0.0,,,medium,high,29.49951320570111,65.71061681522956,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,44.86976906163134,Other,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,06/14/2025,5:03:59 PM,1,3,Devan Tupper,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,1,Slider,,HitByPitch,,,,,,,79.2906054262078,2.6776793508995698,-3.9115598166974985,2151.38970764607,349.534400648429,5:45,5.727888865805468,5.105294759528388,6.000000192000004,-46.208911858022994,-0.5743263924811899,0.2511779958141995,4.373392559465641,1.4851889134754952,70.88789052860733,-6.075864272663972,-3.863953504101987,0.4862040558619941,,,,,,,,,,,,-1.512701888383253,-1.254841784618651,-4.786329417803165,50.00000000000004,5.920008164278906,7.844767670717941,-114.83485423602966,4.065223437991838,-1.9695073584854648,26.21418946141296,-33.80782828854586,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,1508d3b7-7d41-499c-bdb3-dfad247d7793,79.50387358005314,5.7191821896675545,5.110970990294404,2.780189029070251,-3.979989931926268,71.04068772079535,4.380879647588725,1.4811774330898928,-5.958116302326709,-3.926306316521032,0.4860195919790041,0.9017386819821968,-3.276605741225677,-77.92170056762623,22.83071175878392,450.1744327136432,-2103.763450175992,20.924820413229497,0.2057671814281983,-0.9778625614407218,-0.0380089197384704,,,,,,,,,,,,,,,,,0.996880916803474,0.0,,,medium,high,69.45235941709448,33.02421853353009,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.6708576733117,Slider,Breaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
4,06/14/2025,5:04:27 PM,3,1,Devan Tupper,,Right,Kcl groundsloths 2025,Josh Eisfelder,,Right,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,InPlay,,Popup,Single,0.0,0.0,,86.9507830908954,-0.797878247590296,-5.801045854013604,1567.590641750882,236.2113055565257,1:45,5.630596231141149,4.608473178328043,6.000000192000004,-25.8432155578139,12.049488888257322,13.488883083057486,2.731586554775044,0.3225930033898671,77.9078959185876,-5.680900041501089,-3.256347356180301,0.443046513904165,59.37053564041549,30.76732365627002,25.21580021258424,,46.03624354430497,99.90327462264412,27.847033721525648,166.07111246003225,,24.9010689308522,2.6604993154325345,-9.242841872582662,6.784405767231055,-4.142148861650984,50.00000000000001,5.550287267167931,12.352313794883395,-125.7497032044354,-2.571061913163205,-14.512695830346034,30.114897147817853,-21.521479884300916,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,b2b43f9d-a4ff-4c55-8b14-7ccaf6f169c4,87.19128729012664,5.629535050338045,4.615499827176848,-0.78622989539943,-5.88511846879832,78.09889845927434,2.733076945594052,0.3173933493999168,-5.655671306064619,-3.339944325857642,0.4428735480261631,14.289625834812693,10.690287193412804,-26.989710792600956,86.14734493383548,1396.8612658468414,-711.4204270905508,89.1088035768478,-0.4955622467005055,-0.4538304887403175,-0.7405781168349979,21.73353456671432,46.15307139715733,30.371170179566292,-0.1242057685218082,2.575640054405422,3.1576727170860965,69.92469617827356,150.63250398930776,,,,,,,,,0.9947537447652516,0.0,,25.23498554861104,medium,high,12.467389559548042,-10.79339086133554,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.18081770321751,Other,Other,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,-2
5,06/14/2025,5:05:10 PM,3,1,Devan Tupper,,Right,Kcl groundsloths 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Slider,,BallCalled,,,,,,,78.2130896395537,-0.5980452705586066,-4.707620863236024,2098.22690602276,330.66414287147586,5:00,5.640982634186289,3.282302450621976,6.000000192000004,-47.543787421038665,-0.6004348991712476,0.9053898377884804,1.1212789867752042,-1.0273535966373604,70.49975309179642,-9.53798218270321,-4.536261432757745,0.4931267632919053,,,,,,,,,,,,-2.162279775523677,-0.1125821667454818,-2.898502003091491,49.99999999999993,5.564696570202853,9.3018528041122,-113.26570002332852,-2.5227369227679004,-2.736092278948785,25.69016150738848,-32.31650811549581,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,1db7a235-7fa6-4e6b-acf8-e288789f9d95,78.41033448863627,5.6320069575395975,3.288475406681809,-0.4929894687048819,-4.781104199173233,70.63771769045844,1.128904875484147,-1.0316954512783003,-9.42021209396789,-4.603338861016514,0.4929452609286479,1.604396621257925,-3.3971583063412987,-75.19899767678311,16.147256513360887,536.0186266699335,-2028.6054769276168,25.54626599875081,0.2227028524330516,-0.9668189227317114,-0.1251583403776016,,,,,,,,,,,,,,,,,0.9940557533587092,0.0,,,medium,high,75.4674691379752,34.253362052641954,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.23351060342302,Slider,Breaking,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
6,06/14/2025,5:05:28 PM,3,2,Devan Tupper,,Right,Kcl groundsloths 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Single,0.0,1.0,,86.71833569399034,-0.494498674305082,-3.114974482983689,1551.4990801674608,240.5645360786828,2:00,5.76938897330585,2.2903582701186527,6.000000192000004,-27.96355772225052,9.929885724392404,12.6671181641994,2.9788169712794472,0.4480582398339978,77.71108745942533,-5.790583211152405,-0.7101227026205781,0.4430508341293314,91.43522806066196,2.4426104401601973,-29.265537972510625,1860.791481265013,,,,65.16916711120399,,-30.303979204046648,0.5075681365148944,-7.919008959441816,5.541970811463855,-2.0437071196141825,49.99999999999999,5.712872207944621,6.452325093828284,-125.8604382695822,-1.964346985872966,-12.42673727150772,30.714940733429238,-23.4774291385242,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,a10a10a1-d6af-4ea0-9634-e3da0b01839d,86.95833884666924,5.767514779014094,2.2976977430362333,-0.4735134469535326,-3.201696793885323,77.89965503222483,2.981046726982542,0.4424601621355303,-5.755699683951718,-0.7955293921638771,0.4428671658116659,13.482002559845707,8.39128033784984,-35.06554797089723,66.84075444722959,1269.8947326550517,-891.3566983735702,81.8495317778716,-0.4022437191170624,-0.5745131980854038,-0.7128355880962701,-44.658214746522624,79.69227914041112,3.8968489277272953,-0.4426354636868788,1.830181093648728,3.002118695315301,-32.88355268836441,56.26448528654283,6.391120509391277,-14.87380978747646,-0.1444344523821569,-0.7025212390486293,-0.1886488236055779,0.6862037088487719,,,0.995250850231341,0.0,0.7493239441332179,51.15669273303283,medium,high,29.84332099749337,79.26259121824242,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.87748133929398,Other,Other,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,-2
7,06/14/2025,5:06:02 PM,4,1,Devan Tupper,,Right,Kcl groundsloths 2025,Michael Lucas,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.88565480858014,0.0077859174062133,-2.6620685262486266,1574.388217020313,234.4266727339205,1:45,5.885197932290471,0.1561172010725243,6.000000192000004,-25.84203604275745,12.00023050966302,11.808406392980707,3.6799827548804913,-1.8986010325323128,78.04397551126078,-4.797307527904484,-5.200744510149777,0.442088025510428,,,,,,,,,,,,-7.164264966811216,5.95445996265814,0.0541962223431922,50.00000000000004,5.870380488087175,5.502817125443819,-126.15470491607236,-0.8220033708106326,-11.290236919932582,30.95723253244353,-22.79035648976519,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,fd421fa9-325e-4d56-a235-21756c8edc31,87.13160936034386,5.883853338729851,0.1629493340830893,0.0224551583049517,-2.7432681175288494,78.24406630199448,3.681446816830263,-1.9036603985447105,-4.772773539414619,-5.279937129624932,0.4419008332087686,12.57056667933506,10.659773617454595,-37.551864311493645,82.2288917837158,1248.178062812151,-959.557075637977,79.28019590837974,-0.4612080894722021,-0.609479329980019,-0.6448426509874391,,,,,,,,,,,,,,,,,0.982221535235158,0.0,,,medium,high,15.993997394655764,16.883851401554715,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,44.44658218284785,Other,Other,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
8,06/14/2025,5:06:18 PM,4,2,Devan Tupper,,Right,Kcl groundsloths 2025,Michael Lucas,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,87.83329716486587,-1.5346448988061605,-7.925910057178797,1620.5417927813205,235.5362429806804,1:45,5.638932361703482,3.867474944118994,6.000000192000004,-24.82251320665292,12.609137133956564,13.331748384325472,2.129999301849065,-2.435186414979525,78.7535335931279,-6.20636115267541,-5.4313876652075335,0.4403429120106556,,,,,,,,,,,,-9.8375326702786,7.326987808972561,-3.2254618019947663,50.00000000000006,5.498285013085649,17.182354858655923,-126.4414090556519,-4.204260451912276,-15.64308632418425,30.05189790243614,-20.523089265605204,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,902d075c-d78c-4b56-987d-a296f156e4ab,88.07975319827052,5.6381800322673,3.8747230308327287,-1.5266595094946431,-8.009962322406395,78.94693080493185,2.1312837613800464,-2.4406031037073497,-6.185141656055614,-5.513632430978238,0.4401671734254609,14.135548393132655,11.372255424742496,-29.009678622981788,93.70883983412192,1417.2250486930568,-785.8936718843447,87.45377965604251,-0.4948876591473483,-0.4849573614115332,-0.7210426911330712,,,,,,,,,,,,,,,,,0.967418945631315,0.0,,,medium,high,5.66204414929036,16.231166570197555,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.22311625298045,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
9,06/14/2025,5:06:38 PM,4,3,Devan Tupper,,Right,Kcl groundsloths 2025,Michael Lucas,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,2,0,Fastball,,InPlay,,GroundBall,Out,1.0,0.0,,87.40539184191206,-1.2524097845133415,-5.256904180049401,1556.3074572998066,241.25402610343545,2:00,6.024341190411509,2.967249985558481,6.000000192000004,-27.74690248453025,9.727810712535096,11.548589671370252,2.543014756338556,-0.9698568580882824,78.4065964805522,-6.4914262268934655,-3.0749615122604976,0.4405961331856829,66.75047301728299,9.384369558746693,0.605581979528291,1095.3552606574058,,,,91.1845842437387,,3.908440316888462,1.0325856990346651,-8.026662123975305,5.686477436898699,-2.5445339758959857,50.00000000000001,5.905809948598066,11.274622625761715,-126.49694104281323,-3.652176662695252,-12.740585750591402,30.70911063292783,-23.147999618453863,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,4b5639aa-f1c7-40a3-9e1a-fd1906da3023,87.64553908767333,6.022485037186498,2.9740779133920894,-1.231205984419237,-5.338648809199808,78.59867103291572,2.545268443511015,-0.9752446306635546,-6.456122915691463,-3.1564759372731857,0.440418136097505,12.32151571422301,8.260353239328824,-41.08941800942246,63.7152449176051,1172.9652532808343,-1022.8613866222624,75.36847862413568,-0.3624674847086264,-0.657236063365607,-0.6608010892399326,0.6960573539341203,65.85345163197928,10.884119640357808,0.9490494750517376,0.9191451608335852,2.453435691337269,6.215347349645521,90.97251156820248,4.309307076232712,-5.56529680351619,-0.0929946760058353,-0.2685646782523141,0.1304773687594143,-0.9543839216148032,,,0.9940091655041148,0.0,0.993136897105496,33.18835358786247,medium,high,32.6562795741554,-82.48698234222705,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,45.11598427961827,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,-1
10,06/14/2025,5:07:16 PM,5,1,Devan Tupper,,Right,Kcl groundsloths 2025,Nolan Hunter,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Slider,,StrikeCalled,,,,,,,78.79333690794465,1.665499129670054,-1.7494397205776877,2182.453768392079,350.7332569913996,5:45,5.3885193117573245,2.1282843746360034,6.000000192000004,-49.53871766071661,-3.5302377167312926,0.0098495682231862,2.809355146725639,0.5026814969490835,70.69061481347907,-7.718592878726044,-1.7475653511570812,0.488191782583498,,,,,,,,,,,,-0.624029525185703,-2.50126705553234,-1.985745933679,50.00000000000006,5.495721029003356,3.493801388077334,-114.39884407882062,1.921132210313976,-0.8057288911952638,26.154656115988494,-35.403613332423014,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,114a926e-278a-4537-aa5a-f053986fa342,78.98833760308167,5.378271309856904,2.1341537770825547,1.786767550935792,-1.8202870135486464,70.82337688338347,2.8182240519386985,0.4984105042102251,-7.58509211385073,-1.8118321710746017,0.4880146945230246,0.6790724767630874,-6.438424024553893,-72.33756712619741,89.52159191876146,662.1747039139361,-2079.574262358831,30.34083532508424,0.2994486776706548,-0.9528606252635335,-0.0488581442922698,,,,,,,,,,,,,,,,,0.9917700230196218,0.0,,,medium,high,9.430567273114525,32.654351818953266,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,41.926583482715714,Slider,Breaking,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
