PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/22/2025,5:59:30 PM,1,1,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,0,0,Fastball,,Foul,,,,,,,82.17967224451083,-2.079645100947999,-3.6103104945800077,1740.6695387027244,198.63467031153357,12:30,6.295466918755569,1.7124732277497752,6.0000001920000035,-24.86402964497905,17.37148730481659,3.8489321310824187,2.285960959862046,-1.3266300675188496,73.88743674187653,-6.767423804923279,-2.881550443372587,0.4677463740223112,,,,,,,,,,,,-3.301504617159508,10.099279974412978,-1.420236472542566,49.99999999999993,6.111257850908001,7.403480158383348,-119.15010559941223,-5.073859361215628,-4.649829035415532,27.225478992680735,-17.950254466119574,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,950082cc-140a-49de-bf6a-58fced7ef176,82.42295578511789,6.295624876051692,1.7158399993919446,-2.0829529182571616,-3.6507742740086355,74.08818559688612,2.2867196545399917,-1.3291845234023412,-6.754275589562156,-2.9212410185317763,0.46753906392168476,4.230975574611083,15.949023572572102,-41.89837166677014,51.52092563205801,1295.6334649955527,-1162.43897360299,74.43305212091863,-0.7053091653438205,-0.667811406908014,-0.23783798284870764,,,,,,,,,,,,,,,,,0.9946874241413587,0,,,medium,high,43.631166931147796,-32.03911709774454,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
2,06/22/2025,5:59:44 PM,1,2,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,81.75943200550822,0.7326649438695684,-0.6697446243136842,1709.0263228475728,198.3804426700028,12:30,6.188812281822511,-0.022652902990188982,6.0000001920000035,-24.252799805988264,18.308367704533108,5.008012142378977,4.848763335980997,-0.22780330550238512,73.06809508447898,-3.874401008510076,0.2827953975578386,0.46954615525839827,,,,,,,,,,,,-2.941814518751637,9.656157432136235,0.07431500287970806,49.99999999999998,6.234482812701654,1.2408940075450594,-118.81531501395916,0.8026427781917891,-4.108836700493303,27.63418420821962,-18.68728018228555,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,86515651-edea-4614-9d0d-aac44c607340,82.01321400840473,6.189606362716822,-0.018994526258349312,0.7215794233365234,-0.713671774860573,73.27753759694956,4.84910960245214,-0.23069763883174402,-3.8678613637219517,0.23929834314254378,0.4693208854086458,5.41935842426493,16.819869708465543,-32.8516188726796,74.11344310067632,1435.7157985421195,-927.0874381645242,84.00782242779827,-0.7972205415175744,-0.5424652773163932,-0.2648977747895862,,,,,,,,,,,,,,,,,0.9703179224655406,0,,,medium,high,23.297901209391277,-64.24685321614619,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
3,06/22/2025,5:59:55 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,77.58125150880304,-3.863881087898312,-4.850506393248053,1683.5054370596633,195.98795996978268,12:30,6.269892456967825,2.458401908547032,6.0000001920000035,-27.83324275531147,19.76649850062285,3.4384815868073852,0.34100857725146266,-1.7738883366793334,70.16825576144035,-9.06363892146594,-4.202170590145098,0.4965623851321468,,,,,,,,,,,,-3.466823590892338,11.969863983609118,-2.0643548268435388,50.00000000000003,5.937399687391857,9.419812008261589,-112.13885458547753,-8.380625062673388,-4.334814835272917,23.69363683688253,-17.207281704109484,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,536c1ce2-1d68-47a8-88f4-556f1f971f16,77.81265477413913,6.269809535524561,2.4615222525990657,-3.8644076498281708,-4.8875279257280715,70.35582250148816,0.34206820082126055,-1.7762578863755274,-9.046170641929168,-4.237858907914351,0.49633897224039525,3.78848997033575,18.244105736506455,-35.38871115658463,67.0722414845578,1372.4641897150002,-974.9526165713881,81.52419110163885,-0.7837080250651688,-0.5791205630284139,-0.22454644269305568,,,,,,,,,,,,,,,,,0.9972845851241157,0,,,medium,high,29.634982663898004,77.24801906293213,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
4,06/22/2025,6:00:12 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,1,1,Fastball,,StrikeCalled,,,,,,,74.53071368456678,-0.5003631712999423,-5.435984607474347,1623.8689901288121,190.7669622273244,12:15,6.213467178794945,4.343638754772762,6.0000001920000035,-33.143605970079726,18.44661370567418,1.9192442739791462,2.9843527683185678,-0.5638076047740462,66.99573813712298,-6.74346708786057,-5.074301651881183,0.5169579411047559,,,,,,,,,,,,-2.893557723005617,10.15085757086595,-3.900630437608319,50.000000000000036,6.1533441499632655,10.211397943335413,-107.84780678104352,-1.8365831372966426,-3.3355235720971237,22.473303728965618,-20.472736550000057,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,e39f5f14-89da-4219-9999-667833f11c31,74.76743764395735,6.212337056375935,4.346836666822208,-0.48883039799800665,-5.474034400019563,67.18690256460923,2.9864034921981624,-0.5661810912012238,-6.710294579151614,-5.110605383542696,0.516712440005562,2.280616310544863,16.505499268634427,-44.8895089111911,56.61657689946327,1150.4609513476887,-1146.0323278713124,70.84690688356758,-0.6959965664125916,-0.7057418639298015,-0.13235256340083643,,,,,,,,,,,,,,,,,0.8215166524200491,0,,,medium,high,39.0450807904831,-36.16553944996969,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
5,06/22/2025,6:00:23 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,2,2,Cutter,,InPlay,,LineDrive,Out,1,0,,69.17981130538072,0.5940922191132134,-1.6079593952974596,1510.6567913895954,94.76889090273093,9:15,5.8866453556065395,0.9236226102715798,6.0000001920000035,-54.633858323001554,5.035426125268131,-11.78005339302874,1.8862064496686786,-1.5528683051626757,62.492630047981315,-9.69999677044185,-3.8472201025169612,0.5559643411190762,67.15414242227885,15.985868864811069,-12.56582037913664,1223.761118581833,-21.532279050864663,107.87196558353791,15.561686590461244,173.9734105732276,,-11.496810058979715,2.212822610529219,5.80926023247121,2.516320537256048,-0.7858246417213486,50.0,5.903576236685969,3.1143021272621922,-100.48064680016337,-0.3195988108162355,5.78251336842918,20.282621687666907,-29.669314634619404,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,0fbf3584-66de-457e-9598-f9bb8a204b61,69.36220509342856,5.876734335522482,0.9234740533608373,0.7109441523955504,-1.6064432872371681,62.615240450070644,1.8950699936252633,-1.5524537104748868,-9.566811016884872,-3.8406770734460207,0.5557436654378983,-11.790217619933376,1.5840259572490425,-59.215926144567334,76.79104476643003,773.1603055434864,-1297.8085695908355,51.18040775047824,-0.04254974252057694,-0.8591021977910887,0.5100322863917086,-14.045145262310976,63.01090987101924,18.494268740844717,1.2737737265208477,3.652114696079642,2.3181896769436476,-34.67522793929126,170.48277377447556,-6.035609884014602,33.235848544714905,0.525599758049679,0.9610218548699445,0.26776345112622385,-0.06884568761589796,,,0.7519569755552082,0,0.9959354601433217,37.00328969009109,medium,high,20.88805971021302,-27.287702189169018,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
6,06/22/2025,6:00:50 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,0,2,2,Fastball,,Foul,,,,,,,81.50072899071162,-1.0243957085432047,-1.1619944156410946,1828.919747489728,195.46465256063416,12:30,6.162772180289797,0.2813508869442421,6.0000001920000035,-24.76885251320449,18.170330569792785,3.1852014866115135,3.041303950098945,-1.078316491107765,73.39074293426812,-5.925942508987444,-5.5377011103616285,0.4716267300349479,,,,,,,,,,,,-3.810888505049092,10.259333431349807,-3.8815727433440745,50.000000000000085,6.1669943341933005,12.613837859448184,-118.19333788737643,-3.3471545426560256,-5.278613484546219,26.898012197829622,-17.963438144225137,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,fd94d335-c407-46b9-a72f-1d105000192c,81.74804076545662,6.16268429267702,0.28474662170661363,-1.0249204532836989,-1.2026528733923596,73.59425091850802,3.0418457385349296,-1.0806032759909414,-5.915760644926218,-5.574008065551965,0.47141660270380253,3.5438808795308567,16.74307187672196,-44.38901193744121,85.97361020147108,1306.958564266725,-1279.3774869239144,71.4606841585358,-0.6887345987696218,-0.6995263125568608,-0.19054550768320164,,,,,,,,,,,,,,,,,0.9975666441286876,0,,,medium,high,12.623750818675985,-50.60825010587879,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
7,06/22/2025,6:01:18 PM,1,4,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,0,2,2,Cutter,,Foul,,,,,,,69.77340653781754,2.20495786922862,3.4660347006256726,1522.26810463241,98.24579775673496,9:15,5.851126805081289,-2.6166889767164245,6.0000001920000035,-55.09580771764355,3.6397685872877474,-9.333651783690714,3.3330263195947207,-1.0224718181208765,62.947382971668645,-7.94770455073527,-4.5405077534140625,0.5515973100539224,,,,,,,,,,,,6.2526855899768226,1.2054253183670323,2.339412697782322,49.999999999999964,5.999314803531628,-5.891588487297205,-101.15007068318032,2.5155114265569187,6.327882193582382,20.062109648567695,-30.954127474449145,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,7deab35a-2420-4367-8a54-faafe8fbdf84,69.96522738372731,5.840760866345198,-2.6153573494724194,2.325606262990102,3.449990305279882,63.08442978007674,3.340976109219695,-1.0229421867799662,-7.822158042457275,-4.5477235167315735,0.5513715075736021,-9.178485513358048,0.3504114660306245,-65.46712650027577,66.21708617866814,632.0689408814856,-1384.8426034586412,41.521525607613945,-0.05955018764787666,-0.9097231947804926,0.4109227226979262,,,,,,,,,,,,,,,,,0.9971968014386579,0,,,medium,high,30.404622439198704,28.297286597512223,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
8,06/22/2025,6:01:36 PM,1,5,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,0,2,2,Fastball,,BallCalled,,,,,,,82.3621644842128,0.33795908772262795,-3.0385088829266342,1643.6737048302757,196.88143213243748,12:30,6.515896064752084,1.06032362614289,6.0000001920000035,-26.078651209564903,15.946888570874307,3.454709454468382,4.6572179062948456,-1.478405190108305,73.68637799481117,-4.606573521648289,-2.3830586438658643,0.4665822064769671,,,,,,,,,,,,-2.914570030448466,8.513551988369418,-0.8145884210511033,50.000000000000036,6.528385299557401,6.242789383068344,-119.54352388330443,-0.0698110308110928,-4.123254493439529,27.85112803460523,-20.129891743008024,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,67ae16a1-b626-4ee3-ad6d-60198f7c6d6d,82.61526151060326,6.515611139788357,1.063764729601481,0.33985225097729904,-3.079742325756098,73.89371827064153,4.658408749535054,-1.481092650348532,-4.5873997244316085,-2.423211756682637,0.46636285137575983,3.8423453280338284,14.387931055133773,-46.21354710970743,72.44100028745565,1137.3769946912503,-1186.6072728150557,69.19724951179984,-0.6621538376883364,-0.7219238644068858,-0.20094334832095478,,,,,,,,,,,,,,,,,0.9963020376238461,0,,,medium,high,24.803099741289934,53.9884415774416,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
9,06/22/2025,6:01:47 PM,1,6,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,0,3,2,Fastball,,InPlay,,GroundBall,Single,0,0,,81.54780170178567,-3.4969476514569924,-4.910736542075798,1608.550042974799,191.59756467873373,12:30,6.229021073723371,2.2163230541418346,14.914774530219535,-16.952398234526598,12.414196981503,1.3794978920099725,2.0970310596295425,-1.4779862659475675,74.75176736433541,-7.279949024013508,-4.601307360525716,0.39003027655502703,82.67760495054041,-1.0137446953022708,-1.3624200070973165,1337.1703238685268,,,,32.79673114602935,,1.3300087212020135,0.25808378694269063,-2.6808002494294145,10.670720859116502,-2.582243536944838,50.00000000000001,6.477806252071665,10.355777285231753,-119.90383677033421,-6.6935902855234275,-3.8334133637963657,27.025859609213086,-16.915440164658676,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,9832e8b8-4eb7-4092-8103-9b153c30067e,81.71534031950232,6.2290636599399845,2.217663553135506,-3.498374389880731,-4.930100360514949,74.89095708196295,2.097406246739028,-1.4789940696999682,-7.272289292555556,-4.619696833033927,0.3899101054721155,1.5324558755905378,11.602298646049173,-39.80792427871802,72.20134913125786,1235.6800713859918,-1029.819402581704,76.81949820477865,-0.7525113561260094,-0.6402159554061434,-0.1544350651399917,-1.9654742502246194,82.64129490208215,-1.4627536485753154,1.3945274328783117,2.551467314755217,2.154682455387579,0.7612431758678206,32.78789536844545,0.20064946024809752,-5.1245452475597615,-0.0423731851306397,-0.98556630428904,0.044010675365133374,-0.16346901940107175,,,0.9960417108186955,1,0.9942924491634737,46.16544354764969,medium,high,25.018785781867972,60.70217559400963,45.752227411124466,Gavin Kleist,,Kcl merchants 2025,2022-11
10,06/22/2025,6:02:23 PM,2,1,Thomas Mickels,,Right,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,,1,Top,0,0,0,Sinker,,BallCalled,,,,,,,72.3254008933549,1.089322836457933,-2.085572685044305,1448.8008576813463,183.19681563062633,12:00,6.596899106354724,2.2779310487957654,6.0000001920000035,-37.085475670847835,17.36105550424731,0.23812348985702805,4.519645554603642,0.35860009061839276,64.85451189358031,-5.937447499043859,-2.0403461129483564,0.5310759447075523,,,,,,,,,,,,-0.8471746829457277,9.020340251764386,-2.108114255494321,50.00000000000006,6.664260855141752,3.8187578330863543,-105.03518896546251,1.029178918512665,-0.9250343233310605,21.537675215219828,-22.324694418783153,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,1041ba65-da2a-48d7-b07a-cb3bf3394b99,72.56044833416125,6.594783122570747,2.2806536641812998,1.1128918074425984,-2.1185754540151596,65.04380280195362,4.522660376158792,0.3565627114512144,-5.889843072988318,-2.0714146406135914,0.5308148516010979,0.5495702006824061,15.111301393124005,-44.8925092764072,65.58744831905182,1026.3770497473915,-1022.5331666846046,70.84321108078305,-0.7073296948564313,-0.7057789628321048,-0.03950643489289076,,,,,,,,,,,,,,,,,0.9960401302443422,0,,,medium,high,30.971296512853325,-84.14278615495584,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
