PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,RunValue,ff_diff,ivb_diff,hb_diff,PitchType_Changeup,PitchType_Curveball,PitchType_Cutter,PitchType_Fastball,PitchType_Slider,PitchType_Knuckleball,PitchType_Sinker,PitchType_Splitter,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,xBA,xWOBA,Good Swing Decision
1,07/13/2025,5:00:48 PM,1,1,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,83.95922185756653,-1.6596288438317224,-2.0144622241783248,1904.6596861210185,201.55254940230108,12:45,5.944646343887912,2.073062071088624,6.000000192000004,-22.13374331127236,18.213910327350384,5.419507670438136,2.556333450810204,-0.6516874495148437,75.36356900293777,-5.8450330188427,-0.9855548425211126,0.4571730955662389,,,,,,,,,,,,-3.613718006230695,10.41473292341857,-1.9120452947582969,49.99999999999996,5.796524815409317,4.123769641674607,-121.92301270290216,-4.207395672496708,-5.32720537089424,28.589096697819908,-16.821047201640006,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,8fa90a0c-5491-4f8c-9233-67609c408457,84.20829111295294,5.945722801655826,2.076917181200558,-1.6738955373494235,-2.0604694432438486,75.56892323752918,2.5563554274751943,0.6486962184462335,-5.843386986979865,-1.03088837655136,0.4569660356816665,5.85110679665685,16.938534897482246,-35.981961087691914,11.849392961373006,1541.254443228104,-1119.0456921700036,80.92020083477401,-0.7526234425854793,-0.587530518089047,-0.2972639298414753,,,,,,,,,,,,,,,,,0.9974645026718802,0.0,,,medium,high,100.6644536652357,-21.71955387317988,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,112.015045,0.0,,-2
2,07/13/2025,5:01:02 PM,1,2,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,79.40923473443706,-2.2040650053412487,-3.5458129579521818,1502.8930602237158,213.3575725693128,1:00,5.307053943548381,2.6790971461941866,6.000000192000004,-29.712941215631417,15.50723104792717,7.150043090193071,0.7775894147473114,0.0247355646994169,71.54666672120388,-7.798143807715294,-2.1913574472475843,0.4839913820335523,,,,,,,,,,,,-5.061030495513384,9.129895520283558,-2.394047784382594,49.99999999999999,5.109874959914895,6.929062936578407,-115.1349161720784,-5.292866088368203,-6.658067995877992,25.350158876413744,-20.163162628650497,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,62e4ae6b-2fe9-4e35-8bd3-354600539047,79.64194254206605,5.305921348026701,2.6840739652411574,-2.1919422881889954,-3.60545080881696,71.73362521751628,0.7794520059599996,-0.0285983031795599,-7.768717760491537,-2.2498722270851266,0.4837779557187261,7.711690047340352,13.85635998527291,-39.38762531789103,5.081355593943669,1161.541921298761,-953.6812441975508,77.2870639994743,-0.6455442707722987,-0.634563608974007,-0.4249724939792512,,,,,,,,,,,,,,,,,0.997547649295762,0.0,,,medium,high,94.57322003454932,4.908211464327604,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.989494,0.0,,-1
3,07/13/2025,5:01:17 PM,1,3,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,84.45485314938577,0.901285553401906,-0.7063459007968756,2032.914211994984,198.0838307793976,12:30,5.5609813154480126,1.6808277724476266,6.000000192000004,-23.19770306853929,16.705254226263097,4.389085635100083,4.465621146789268,-1.390078256416465,75.41885704833659,-3.50729980442577,0.1285964961649659,0.4546467219527157,,,,,,,,,,,,-2.6203016399040893,8.730104007633901,-1.625825565866739,50.00000000000003,5.621004287904891,1.3790514338489248,-122.72369845080868,1.222722316903962,-3.9032840544921754,29.551554755782288,-19.169411017631614,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,63940551-d9ab-4ff9-8eb2-0c2bb96cc718,84.71471804236624,5.561719320206299,1.684699133539155,0.8909222744723708,-0.7528299539754943,75.63175290539527,4.46595758901162,1.3871194419435482,-3.500893161785488,0.0833719569320311,0.4544328723751186,4.825631424212012,15.300587148317206,-44.53323966738342,9.783524992243017,1449.1500838217664,-1425.7293669874916,71.28436976195148,-0.6776316202224313,-0.7013229375716566,-0.2212725118729953,,,,,,,,,,,,,,,,,0.9962707860067836,0.0,,,medium,high,81.19482750698124,-9.857708155742646,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101.30539,0.0,,-1
4,07/13/2025,5:01:33 PM,1,4,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,2,1,Slider,,BallCalled,,,,,,,72.55640568302138,3.44932812079652,-0.6977276912356141,2105.98265959513,44.11661154871277,7:30,5.356083024796356,1.4977691359580618,6.000000192000004,-57.59477615137397,-3.221462829150674,-7.251212112925052,3.7664183657509382,-0.2450056704118446,64.99655688940216,-7.469918172518247,-2.078134323308133,0.5307187380968305,,,,,,,,,,,,3.680465859201021,-2.967266012676407,-1.4367529149835532,50.00000000000004,5.6042039195685,1.4710096184919224,-105.23742808261986,4.839273382135467,4.02090903968583,22.15544965957246,-35.415787776206486,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,ffa61a16-6fbb-435d-871c-9444af444041,72.73548679338056,5.343401288053407,1.5009705000249751,3.598768585965308,-0.7364765794149486,65.10773997161698,3.7771613630909417,0.2428664582057834,-7.30885065999776,-2.110052731360453,0.5305330171229165,-6.883075669837465,-6.71919570033533,-65.77506042255419,2.6687907939982254,864.1268284802853,-1920.5332037785704,41.03200112038965,0.2945787906144346,-0.911941603615952,0.2856323646131559,,,,,,,,,,,,,,,,,0.9920979536694804,0.0,,,medium,high,87.59808828540159,23.64963104000309,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,7.795895624014207,20.581279372347392,10.122113371845966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.324196,0.0,,-1
5,07/13/2025,5:01:49 PM,1,5,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,3,1,Fastball,,StrikeSwinging,,,,,,,83.6113306092092,-2.4603030376341213,-2.651753216147632,1942.0460103829964,197.73354958233992,12:30,5.858968220617143,2.148320156582682,6.000000192000004,-23.83807589101501,16.91127532401482,3.3038661919561267,1.5820126410228093,0.0426414943105879,75.2030120035368,-6.953902046252524,-2.025218496221229,0.4594432461230971,,,,,,,,,,,,-2.682530486871542,9.97874068514576,-1.93408198128222,50.0,5.644420576542792,5.518296066045608,-121.3046500874086,-5.938577676148543,-3.9158315231648784,28.224861625838937,-17.6075544324063,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,a7ca49d6-7f45-40db-be37-d8e4e156280d,83.85895756388146,5.8592390099458695,2.151704884905287,-2.464937256861291,-2.6919640559141693,75.4038434595316,1.582665777949012,-0.0451664941927066,-6.942692583099448,-2.0636747053790674,0.4592369717787951,3.682386496703866,15.548842160896438,-45.68383310806578,1.4573450833807025,1356.7467388796215,-1389.5254560403075,69.8617196310428,-0.6654212064170792,-0.7154956415096857,-0.2127923989034428,,,,,,,,,,,,,,,,,0.997253621296095,0.0,,,medium,high,88.68838942495738,-0.6625428745621437,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,103.39017,0.0,,-1
6,07/13/2025,5:02:03 PM,1,6,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,3,2,Changeup,,Foul,,,,,,,75.96956322628684,0.1774927284680377,-4.1107975758341455,1582.286431794621,210.16201038104165,1:00,5.683252752794593,4.332138431313008,6.000000192000004,-34.077839762440405,15.380465801065249,6.117707238677424,3.008819266630596,-1.0148290211301578,68.18303480038206,-6.2648382862785486,-2.9526249606286608,0.5061638666955325,53.2819069069007,-17.248339182785585,-68.99217401385692,,103.306614398128,-37.78549219465143,6.427537459500012,11.444409394290805,,-60.14062802444904,0.1115673443389051,-4.71047361390933,8.26040907535553,-4.000260105790525,49.99999999999997,5.678025469295965,7.7483775407745,-110.14630541001256,-0.5930126301233126,-5.664063058039904,23.43552576933783,-22.241401253173688,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,c857e9a1-1e39-44c1-8445-547af3352e69,76.2065256935479,5.6814835407653055,4.337558725174399,0.1965029968108212,-4.174745438391271,68.36925191633135,3.0112983024095623,1.0108014600309514,-6.225497782417306,-3.013930013203649,0.5059284055161132,6.721267506881997,13.443909031864845,-47.27373226811039,10.700311374789766,1073.5758390954134,-1162.3533326626343,67.84965209350682,-0.5866336124336443,-0.7346036149373406,-0.3409083948570994,-47.50344122835336,18.24230756130853,-15.798825587322508,-1.4033704015878712,2.740981543268303,3.051519653435632,-9.925164104734923,5.697861342487461,,,,,,,,,0.9974441437883432,0.0,,17.867718982739422,medium,high,80.36971976268919,4.573859493774939,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.65309,0.0,,-1
7,07/13/2025,5:02:22 PM,1,7,Max Gregory,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,3,2,Slider,,BallCalled,Walk,,Walk,0.0,0.0,,74.08141919356201,4.544694759993542,-0.7530591532442223,2041.1193685265068,44.634059931579394,7:30,5.327689466962132,2.886907446615673,6.000000192000004,-55.240228206381815,-2.9712260407351536,-6.492916804571268,4.957393650432579,-1.6459023015647165,66.10152742299213,-5.939765842456428,-1.988746754765167,0.5203476854261206,,,,,,,,,,,,3.251027840817327,-3.21266141177598,-2.821818702103567,49.99999999999999,5.666823268574245,1.583504910200806,-107.30913663116502,7.058359805613491,3.6953068274297194,22.929752027895848,-35.82574690464589,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,f4d7b0cb-b7ac-409a-8bc8-03a4ba14c060,74.27078231628923,5.315995876602084,2.890007046730635,4.68502605870331,-0.7912918831316271,66.22465593179908,4.96691286714537,1.6439162685332664,-5.78535994944234,-2.020663304547313,0.5201687711519014,-6.127467861515753,-6.2904889337491845,-66.55165460766484,37.90214609672981,812.2065633954932,-1872.5620884102427,39.79221283769546,0.2831647767476265,-0.917419195214464,0.2795706162340964,,,,,,,,,,,,,,,,,0.9975011510426184,0.0,,,medium,high,55.88806851294319,57.3674037276562,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.695,6.270882113473576,20.331042583931872,9.363818063492182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109.11063,,0.695,-1
8,07/13/2025,5:02:53 PM,2,1,Max Gregory,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,84.05913059269234,-1.30989743263778,-5.72447795925037,1997.937128448735,202.7640490798871,12:45,5.516826206088751,3.746368282519544,6.000000192000004,-22.55477027986593,18.0238789481421,5.331087901444313,2.413536727795723,1.1474416971252903,75.37158892244997,-5.564408002835,-4.720255134293996,0.4584799156626558,,,,,,,,,,,,-4.820812751188649,10.192857573752578,-3.281613592808005,50.00000000000004,5.396511772189228,12.023884403819276,-121.55698205967906,-3.4770101910773064,-7.066893397379451,28.33039535317836,-17.232204381450078,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,f25b833d-a563-4b9e-ad08-7e2493a350c2,84.31164728739434,5.51787079277774,3.750387809684224,-1.3237243425700491,-5.772203602039163,75.5793499173717,2.413590546067734,-1.150559348513937,-5.561952962650892,-4.7671127292681845,0.4582738956170224,5.78310647886194,16.765845460161934,-42.6910838028287,4.2597155764198655,1468.523977712113,-1354.6918823550138,73.50201148983723,-0.6777665472821074,-0.6780453013588279,-0.2844065341909485,,,,,,,,,,,,,,,,,0.99713964059731,0.0,,,medium,high,93.83374401877788,-16.482071077293853,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,98.70693,0.0,,-2
9,07/13/2025,5:03:32 PM,2,2,Max Gregory,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,1,Slider,,InPlay,,LineDrive,Single,0.0,1.0,,72.66146839902535,1.243373656375505,-3.683202233791902,2240.581155557104,29.17868568654649,7:00,5.352874887328369,3.1670299389256678,6.000000192000004,-59.15598858519749,-4.74580646455707,-6.858427914146604,1.5813661461840225,0.8323737181728357,65.50124359787769,-9.902143325764987,-4.984153685559694,0.5308986392759896,74.03235828423507,20.855977685706232,-21.073148281556527,1393.4505667262831,-38.11309395353146,103.18620096231838,28.48431270468729,231.4588010758815,,-20.524207566008226,3.0289661934988694,2.378677170052317,-3.0246915880727765,-2.862658560257944,50.00000000000006,5.420361879311474,6.958871312370897,-105.32440126349026,0.7480538797289671,2.595009375403996,22.68887250152142,-35.47382608681109,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,c61c9631-479f-47ee-931a-3e33f96c49be,72.82442411932038,5.339630627028409,3.1707559647821606,1.4006937986613102,-3.728288721800272,65.59754715825163,1.5925407428572391,-0.8349331377357511,-9.736143804297306,-5.0223427595156185,0.5307271286643939,-6.428906758652271,-8.43687607485355,-62.88249057398984,26.71640748911786,1021.2948096075872,-1994.28203283944,45.581692369167946,0.3979753528345761,-0.8900735543067515,0.222226655601755,-24.87491563154061,64.55491264176548,26.357008541621568,0.8038747046035507,2.194546097592752,1.6795503028289096,-81.15017216371326,216.76675518465507,-15.380793882464497,41.68804110686167,0.7524033809599078,0.9774214390937296,0.207191033592836,-0.0414633090656632,,,0.9911808645518868,0.0,0.9973880068662778,41.32770563403016,medium,high,65.95523325979393,31.02262840794505,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.891,7.690832908010236,22.10562300775379,9.72932917306752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,95.696365,1.0,0.7676000000000001,-1
10,07/13/2025,5:04:09 PM,3,1,Max Gregory,,Right,Kcl groundsloths 2025,Ryan Theile,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Slider,,StrikeCalled,,,,,,,72.34777063073179,2.00574846967228,-3.0639043287711907,2031.695844537736,51.13016303686879,7:45,5.778739687153705,4.066489743537762,6.000000192000004,-55.65655119962589,-0.8748370079034729,-7.835970483133452,3.008254919785093,-0.5632014557968789,65.02998605757534,-8.510734183842745,-4.551093238909398,0.5327081379010644,,,,,,,,,,,,3.1460243874805336,-1.194598285274209,-3.812171110660651,50.000000000000014,5.910373693727097,5.819075954249771,-104.90735736879196,2.2318649820508893,3.410098798082069,22.27082587325989,-33.468921359091006,KCL GroundSloths 2025,KCL BobCats 2025,,,,327ecd54-566c-4ca5-8d38-430245970e5f,85c14ae0-1d2d-4cb4-8ef4-04caba0fb99d,72.53037937432084,5.766987030056106,4.06933110159062,2.1431694724049764,-3.0979706876853634,65.14734442112956,3.018273838926021,0.5613605510022813,-8.360962229998364,-4.578468735734795,0.532512390841854,-7.511124251184687,-4.353006536943552,-67.94391402720748,16.681929343078412,762.9302541234022,-1883.0096739143703,37.55140102169126,0.2356550446580051,-0.92681671765825,0.2923653053910828,,,,,,,,,,,,,,,,,0.7734104422897603,0.0,,,medium,high,74.98626359122943,53.46882959504194,54.667001749344,Nolan Bowles,,Kcl groundsloths 2025,2022-11,0.0,8.004530676303801,18.23465355110019,10.706871742054368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,106.11298,0.0,,-2
