PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,VerticalArmAngle,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/22/2025,3:01:18 PM,1,1,Noah Suttles,,Right,Kcl groundsloths 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,,,,86.03381883029111,0.6192474111665943,-1.993646054727492,2082.277326198924,205.77793374240716,12:45,5.33623467604328,2.6292044951885605,6.000000192000004,-22.5266320492114,15.943598060240848,6.118006195431435,4.034910874606821,1.2854081914050608,76.85033941515289,-3.659369473260475,-0.8307969915042386,0.4464099998132524,,,,,,,,,,,,-3.998779812816643,8.415259636226168,-2.470283530048647,50.000000000000014,5.373687563507545,4.159747143955287,-124.96432851298351,0.6510485799455863,-6.179303505388201,30.525737071259567,-19.16997189154541,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,bf90d22d-3fe3-496c-bf75-f3745c7c9a03,86.29245504035896,5.337002694144092,2.633778034768262,0.6085419835915556,-2.048763409196242,77.06451754989503,4.035176530704018,1.2818268372911157,-3.654019109016417,-0.8854243640013083,0.4462057145033266,6.635621744682252,14.621243204835404,-45.63807019096247,2.492138645686208,1455.904255134257,-1488.6979757775266,69.91884495001082,-0.6296096371495341,-0.7149374183001157,-0.3040660992659283,,,,,,,,,,,,,,,,,0.9955332850203188,0.0,,,medium,high,87.75707521888242,-23.979456037159284,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,41.64901173347965,Sinker,Fastball,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
2,06/22/2025,3:01:31 PM,1,2,Noah Suttles,,Right,Kcl groundsloths 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Windup,1,Top,0,1,0,Slider,,InPlay,,FlyBall,Out,1.0,0.0,,77.36547308291931,1.9266786980765955,-4.463543021022008,2558.758472798173,61.162587185560696,8:00,4.2854703125279165,3.930543268947951,6.000000192000004,-48.18277255686371,-0.0705017700194901,-9.874347460679388,2.067006792221473,-1.0491202633430872,69.32785677227824,-7.176416590676065,-6.330414054720385,0.499228591442155,87.86370772300772,34.481758872005585,10.782245613442193,2603.472204543873,20.049417126670857,108.15738935836868,68.7479686466836,329.99255497797395,,8.886901526571998,5.257270220129438,3.730765867667156,-0.7389662834448464,-3.5605511454177323,49.99999999999996,4.415232884851504,9.016636982476191,-111.9985763487242,2.4427218660334518,4.603032796460711,25.6237105658552,-33.08578893358394,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,84a643d2-0e11-44d3-b7c3-d78152785a1b,77.56429207866094,4.275335677275904,3.9316862283300105,2.0471956112508,-4.47767877638273,69.46669820660712,2.075863984494519,-1.0496884068012478,-7.042165780658268,-6.338658884726598,0.4990401923190624,-9.736264795459311,-3.1819398375943453,-65.424003263349,7.0594885289208085,1064.1872259378454,-2326.961639191148,41.58998347249576,0.2005992118874502,-0.9094104285061574,0.3643248944477729,13.549349678504644,71.14795033245953,49.74349627452422,0.8742774408583656,0.9474535445706562,1.8875113776093877,50.97874254281271,326.0310631667553,-3.7580483831160127,40.95619472204801,1.31709169604465,0.9843374038728698,-0.1084384748945678,0.1389999010767957,,,0.9910442572551555,0.0,0.9973049996206798,50.35412463294623,medium,high,83.64646032397127,6.225046381072457,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,35.53613420806788,Slider,Breaking,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1
3,06/22/2025,3:01:59 PM,2,1,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,0,0,Cutter,,BallCalled,,,,,,,78.89558134543077,1.2526328380309166,-4.252601279072187,2595.136058612254,67.04481766095033,8:15,4.348667002021426,3.1174911938750007,6.000000192000004,-44.69506846004129,1.4758222809424737,-8.62138329707211,1.7916669119770694,-1.5605718743084869,70.7455294287426,-7.189955289746968,-5.883594039831735,0.4890526865747789,,,,,,,,,,,,3.1388463917691007,0.3476953698575706,-2.765497960887309,49.99999999999998,4.425273389897286,8.742597970232335,-114.28987556672362,1.2401100170743633,4.036442102013143,26.51134474341752,-31.726926007971983,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,fd4491d0-0cfa-4ee8-b813-d92223707f64,79.10677581213965,4.339422187071222,3.119023038581208,1.3597916601082145,-4.270945496968179,70.89518956072021,1.7996094006392418,-1.5614119742769212,-7.070960863041422,-5.895808440429758,0.4888560582750907,-8.444122531831296,-1.4031811210999714,-70.52406566586662,10.73614823639851,865.2466134127084,-2446.6465745357223,33.34108863160716,0.1300339050594039,-0.9427816188736028,0.3070081475288079,,,,,,,,,,,,,,,,,0.996061474442806,0.0,,,medium,high,80.33746658724134,21.788642096922416,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,35.9337665269236,Cutter,Fastball,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,-2
4,06/22/2025,3:02:09 PM,2,2,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,1,0,Sinker,,BallCalled,,,,,,,87.27916247911674,-2.1743507684648007,-5.226091435802852,2181.3326091583963,211.93537827150575,1:00,5.25962963081397,2.1450377937376937,6.000000192000004,-22.03598560543587,15.564221453788925,6.45511496433495,1.3930592301193985,-2.187647123235021,78.34751108563823,-6.328067693591027,-4.00814032320898,0.4413332421989459,,,,,,,,,,,,-5.253682221023667,9.152352252238124,-1.721904292440204,49.99999999999999,5.068927182718007,11.345605648101529,-126.26362322815112,-5.507841599501052,-8.312179495322063,30.48788919937733,-17.693540197635198,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,63ce6a11-04e5-4335-9aa1-06704496fc73,87.53336841390437,5.260269610142005,2.1498567443023573,-2.1831628486017407,-5.283205348147292,78.55435647554442,1.393361341952325,-2.1913197520534804,-6.321938681363486,-4.063703970574371,0.4411422543274504,6.9955794633817785,14.379538362713424,-49.055186152426806,6.113470995517078,1429.4966203022807,-1647.6502554614358,65.53317977737518,-0.5561442058239735,-0.7553411380473213,-0.3466459108395764,,,,,,,,,,,,,,,,,0.996925060799528,0.0,,,medium,high,95.50212389596538,-22.30153878527484,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,41.23796423960511,Sinker,Fastball,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
5,06/22/2025,3:02:25 PM,2,3,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,2,0,Changeup,,StrikeCalled,,,,,,,72.36468328633826,-1.07737682582577,-5.769071677863346,1442.1646748367507,222.58368392295623,1:30,5.742726533584946,3.65520157679701,6.000000192000004,-39.00026917388561,15.682466198424072,9.876962303034556,1.4861807748996805,-0.9016503941205009,65.30064972608554,-8.405211363250446,-3.9077977857579222,0.5322266755972925,,,,,,,,,,,,-7.268532703728127,8.840080578248562,-3.1894175465394463,50.00000000000001,5.631896040595719,10.31554303558147,-104.65659619880572,-2.996982129687466,-7.909597435413148,20.76811557708767,-22.554298045954404,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,f619e30d-cabe-4f2c-a03d-808adb0c423a,72.58383017992088,5.740042402928685,3.661925427417685,-1.0475106447353204,-5.848339388254391,65.46957704885007,1.489462918287571,-0.9067758347503122,-8.354187979167254,-3.984955146912212,0.5319900290143056,10.627970821223787,13.603620286147049,-36.58768054996046,7.133022154413653,1157.979852957272,-859.6054964296386,80.29456504946998,-0.5912007010400115,-0.5960522480048568,-0.5433262820241218,,,,,,,,,,,,,,,,,0.9953597627497294,0.0,,,medium,high,83.58028006102771,18.15498438005493,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.7448965426062,Changeup,Offspeed,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
6,06/22/2025,3:02:39 PM,2,4,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,2,1,Slider,,BallCalled,,,,,,,76.81736814749941,1.3280339285304068,-5.102630012747257,2527.413166067214,57.73822432453954,8:00,4.6694498536250855,3.662003704284929,6.000000192000004,-50.36865763923901,-1.429389384492865,-11.616420871289364,1.711460676675281,-2.060961004006326,68.97708744682384,-8.160875176686378,-7.294470193505812,0.503500908085082,,,,,,,,,,,,4.418148016373102,-1.265271339288926,-3.238597685990957,49.99999999999999,4.749147545696006,10.241682635750696,-111.1214911174132,1.2022468531830142,5.356753731307195,25.535987112181065,-33.70811927826348,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,cf89880f-d7fc-428f-97a5-f169cc8dad5d,77.00705216889652,4.6578641745862885,3.662378754904087,1.462452233696518,-5.107409829963219,69.10089053895526,1.720969703400247,-2.060918804753617,-8.018623316014205,-7.293484093086413,0.5033157380778803,-11.56668166142293,-4.767769963668792,-59.914679022152,17.62572776835583,1266.964578262271,-2186.9197674900206,50.12890631703615,0.2675822480020383,-0.8652798825500229,0.4238991217358138,,,,,,,,,,,,,,,,,0.9810170781183186,0.0,,,medium,high,74.13684500847975,24.144003782494,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,37.891538853281105,Slider,Breaking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
7,06/22/2025,3:02:52 PM,2,5,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,3,1,Slider,,Foul,,,,,,,73.81319911134565,1.4758234702932296,-2.3068276197704143,2502.6909922567315,51.2228199871673,7:45,4.569653841464492,3.337786012923896,6.000000192000004,-56.60677273403819,-4.00605835842903,-11.593448397771722,1.2254596641343565,0.2265550626617085,66.4397103272358,-9.212938715936447,-4.510521411640963,0.5219962026095748,83.86667883920448,-12.071535551819196,-69.60138655701785,,104.04815197120315,-35.69288523269286,13.569398926115326,8.785230065118759,,-50.93815794360045,0.0579470172634567,5.446468405312047,-2.707389572113506,-3.143115838992668,50.00000000000006,4.657437944126469,4.6226069821524005,-107.1184943238871,1.2605966929237342,6.146283437762335,23.459491908662127,-35.22931080268529,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,712a93a0-5319-46fc-81a1-52b6ac743152,73.97930461710395,4.556239233794202,3.338738394990959,1.6329139879591157,-2.31849673077212,66.53842359606114,1.2364750942494684,0.2261529476050814,-9.049658851067148,-4.516231580136733,0.5218230850156083,-11.479347732508671,-7.625223415759128,-57.58536630040497,0.2148160564150898,1341.548527298701,-2112.74933478292,53.60424165226235,0.3357198082373822,-0.8441910492824395,0.4178919509496075,-76.86920879860918,28.585284998907436,-17.539271356739174,-0.353211801910122,3.125360240765532,1.5171680653311,-6.821434674920011,5.536090341826572,,,,,,,,,0.9931266342921647,0.0,,44.01550977176647,medium,high,90.1933344507736,19.186608848005665,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,37.29322303382077,Slider,Breaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
8,06/22/2025,3:03:09 PM,2,6,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,3,2,Sinker,,BallCalled,Walk,,Walk,0.0,0.0,,86.25896267800886,0.7271991053528913,-3.5405195994106724,2162.029724686048,205.6765470107624,12:45,4.919190407243004,1.851558445789684,6.000000192000004,-22.9285059379586,15.43226022379288,5.60439185170324,3.685664511204254,-0.9761400660417856,77.03268569768665,-3.6232805564481096,-2.477742030825977,0.4457744354924314,,,,,,,,,,,,-4.2519523315893375,8.100975747234083,-1.5660395002924763,49.99999999999997,4.965284722456524,7.567439875066937,-125.1277942519445,0.8772185184926521,-6.589775631079633,30.53447723661094,-19.618967025341085,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,16aaf84d-9042-4cff-822d-4b89f1017f83,86.5211636792083,4.91977519923574,1.8561808372570685,0.7187124065102379,-3.5954145111091846,77.24642630566163,3.686076833028726,-0.9796352222514204,-3.615587930575907,-2.531128075852905,0.4455702561916901,6.121589413150777,14.106546373377215,-50.51738445805341,5.90313231829396,1374.7137615292304,-1668.6924834397091,63.584406163927966,-0.5730572940753068,-0.7718175492161758,-0.2755050061777887,,,,,,,,,,,,,,,,,0.9949910591920236,0.0,,,medium,high,84.68718091353541,21.62590957380309,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,39.347128698832314,Sinker,Fastball,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
9,06/22/2025,3:03:40 PM,4,1,Noah Suttles,,Right,Kcl groundsloths 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Slider,,InPlay,,GroundBall,FieldersChoice,1.0,0.0,,72.25364559797046,1.0700509917970311,-3.515497745675749,,,,4.929669871809702,2.537269474349886,6.000000192000004,,,,1.6155402323120394,-0.73411816670955,65.05011087622648,-8.692742553084459,-3.5154977456758445,,,,,,,,,,,,,,,,,,,,,,,,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,c1f7083c-83cd-4274-8133-3d3a4777def5,72.45228928305045,4.920734808413993,2.5372694743498907,1.174139627988825,-3.515497745675784,65.18744522527312,1.623470123781069,-0.7341181667095424,-8.573065581122188,-3.515497745675786,0.5325827850312668,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,39.406922460313396,Slider,Breaking,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,-1
10,06/22/2025,3:04:33 PM,4,1,Noah Suttles,,Right,Kcl groundsloths 2025,Zach Pomatto,,Left,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,69.20066122635608,0.8207482786026025,-4.291459601536128,1272.4413880467216,225.345987065398,1:30,5.696158163989628,3.669805438557036,6.000000192000004,-43.749744954721365,15.836431531717665,11.935696326463225,2.8153411546863643,0.668516225215131,62.26369609845676,-7.439699907793166,-2.0316426601215665,0.5555770299287535,,,,,,,,,,,,-7.903825631674711,8.287999252793625,-3.3265055142323243,50.000000000000014,5.737861003475037,7.228544513578611,-100.30685163045491,0.3467633695826466,-7.890671204253036,19.26817537077332,-23.89984414518077,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,b7fc47d7-0a19-4b92-928c-464588683099,69.41638361646011,5.6926600099665245,3.6766686168784544,0.8605065717868595,-4.37373441628079,62.42772403570539,2.819453335520609,0.6631486620032774,-7.37595982486212,-2.113109708367541,0.5553232582656432,12.711782780897718,13.407759177959546,-23.501353405743743,34.11988110078571,1166.893206650676,-507.41238680857055,91.70506536587364,-0.644525181441276,-0.3987707344127503,-0.6523566446844902,,,,,,,,,,,,,,,,,0.9947330114585252,0.0,,,medium,high,59.29210700929283,49.85350460447974,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,43.511908717647174,Changeup,Offspeed,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
