PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,VerticalArmAngle,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision
1,06/17/2025,7:54:35 PM,1,1,Brayden Elliott,,Right,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,80.28073781905603,0.4300188090730348,-5.109288012623515,2042.5307870596896,199.3094840189057,12:45,5.353146093987052,3.6331910101797296,6.000000192000004,-31.1156379458808,13.357504663074693,2.455075191277503,3.161434742501752,-0.9233862729932136,71.8873233281839,-5.45129990976386,-4.645759671249834,0.479977005593077,,,,,,,,,,,,-3.093020999994896,7.080352704027014,-3.2173287657642904,49.99999999999996,5.370327114874076,10.320301123285782,-116.21947833857146,-0.0241186713699497,-4.134615047686947,26.37810582164512,-22.709344098048454,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,eb35a0a5-a043-46dc-b2ee-26c02f345635,80.5279210905943,5.351329642706515,3.637516325752709,0.4498136234100958,-5.160589889287927,72.08509472656529,3.163874674855395,-0.9266044590498946,-5.412843591720816,-4.694187443955207,0.4797558179235339,2.941329153636556,11.542512669272844,-63.505017928530044,75.63876802700598,911.2126597043572,-1828.01080546073,44.61194247241123,-0.4210235249812182,-0.8949734403231344,-0.1475185836718966,,,,,,,,,,,,,,,,,0.9968590118126844,0,,,medium,high,21.9251087756946,35.682367138723535,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,41.73905516976596,Other,Other,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,-1
2,06/17/2025,7:54:49 PM,1,2,Brayden Elliott,,Right,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,1,Fastball,,InPlay,,Popup,Out,1.0,0.0,,82.82905187451975,-0.4077912979659998,-5.843597561498798,2015.5022825570063,216.9270724479864,1:15,5.3159550078142015,3.9547476475355454,6.000000192000004,-28.64240985673219,13.184566259515972,6.030402840323974,2.5481025681637144,-0.992631076171082,74.23307751572705,-5.8134118542608855,-4.707294628513012,0.465478639849503,54.67525995457294,57.86654414614385,-49.65230464807209,,-82.56923790951467,72.67957726189917,40.476346903488285,135.2506859650381,,-48.83301734703499,3.903070878463446,-5.257086160898604,7.27236960366322,-3.4805928120860785,49.999999999999964,5.265987886236713,12.078281898996805,-119.77338505380692,-1.7115879752237573,-7.474669606681632,27.709937825782024,-21.833994585690625,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,e691e4ce-ee0e-4207-9cf6-6469c74c6dd8,83.07584609520222,5.314815732233607,3.960182976906207,-0.3957416929206347,-5.9082650421176846,74.43199678962613,2.549907411568117,-0.9967318032074656,-5.784082004099056,-4.770011791499915,0.4652750856821926,6.644827624752568,11.607281761581762,-57.76398121999017,58.78205768502316,1075.085282003642,-1704.8287560372898,53.34081193099488,-0.4264069139260532,-0.8458580130578792,-0.3204705376502433,-22.163793790444124,18.82800593757085,46.29963810149702,1.0351656935395082,1.5648378248868977,2.494687511905107,-101.81595375181335,89.02954349889679,,,,,,,,,0.9946328441596716,0,,18.31259984744817,medium,high,37.09614808347917,11.27510005417348,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,41.5407014472079,Other,Other,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-1
3,06/17/2025,7:55:23 PM,2,1,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,0,Fastball,,Foul,,,,,,,83.59095213246809,-1.015326762159354,-4.4823088352798965,1994.9311312230984,217.88939745025252,1:15,5.416837775309665,3.156200625819341,6.000000192000004,-26.10407379902702,14.770186528288464,8.074146682920619,2.294865860153425,-0.3453025409173761,74.98699269453742,-5.948071160767089,-2.95502516764336,0.4601468737292266,75.16999686865991,53.1013688016541,-48.90221374115727,,-81.8302888171826,73.51056952613035,92.58514360549296,227.80354581099127,,-48.498299661136826,4.784028722761503,-5.884819692597063,8.333372611273601,-2.7950254107108954,49.99999999999997,5.318755086000068,9.251345529712411,-121.125324203944,-2.9414433572578504,-8.56385113235001,28.170456133725065,-20.046955435073656,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,f5e44ae6-d514-4ed0-96a6-06bb033f4d2a,83.83915545238295,5.416641073445823,3.1621348991556464,-1.014404850536322,-4.551889374469802,75.18392454850937,2.295907873368041,-0.3496986633267362,-5.930741508444908,-3.0218275216359545,0.4599437414772146,8.731037892960325,13.35273383907644,-46.93655522612133,65.30516789647699,1362.154495255262,-1457.4928299579908,68.28077791437947,-0.5388703591813745,-0.7305980678462808,-0.4193390027829722,-34.01108261293797,29.66744436719269,60.11337150293416,0.1810893503283406,2.3010780267696247,2.706712768410449,-170.61028918980983,150.95225969368548,,,,,,,,,0.99511485924454,0,,34.95806783618192,medium,high,31.22534889317068,79.83741054804334,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,42.07592137968497,Other,Other,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
4,06/17/2025,7:55:41 PM,2,2,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,1,Sinker,,BallCalled,,,,,,,75.04071511819247,2.623304936173385,-0.8620373841505634,2352.590824517684,90.64906476880977,9:00,5.014367069137137,3.3302795702289685,6.000000192000004,-47.06283788140316,3.702282421670773,-12.427118873690723,3.5325279673243477,1.493453729212685,67.15945864563639,-6.304558143212821,-3.226092041243068,0.5128073394327588,,,,,,,,,,,,6.42557576431985,1.0750091893095766,-3.252893981183428,50.00000000000002,5.201092159069381,1.97476493238052,-108.91875477494128,3.718780928761409,7.518646063800401,23.75601927179848,-30.916167972552515,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,219e154f-d889-46e7-9676-3589b63ae5cc,75.24471311423808,5.005300042436302,3.3296161741997587,2.7306761214735404,-0.854371141069473,67.30356593599265,3.5405725641074546,1.4942812172588025,-6.182346907392781,-3.213235816006088,0.5126018442671216,-12.494746940451192,0.7024613282955967,-60.08695132827178,31.888051718273847,1173.2021028745587,-2039.1862135213423,49.868514773072896,-0.0056491427452535,-0.8667832044016434,0.498653149747861,,,,,,,,,,,,,,,,,0.9963982253624524,0,,,medium,high,61.30075345355355,53.11166631583583,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,39.88644267813122,Sinker,Fastball,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
5,06/17/2025,7:55:55 PM,2,2,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,1,Curveball,,BallCalled,,,,,,,73.71189177871095,0.3486304788822283,-1.944796918937788,2349.0132183807204,79.16290334958678,8:45,4.837550255469275,3.091600134661637,6.000000192000004,-50.71387206684693,1.9190600408647072,-12.98447314636759,0.935599741995672,0.2013842234166245,66.44937467260935,-9.212793378381203,-4.4125158831585685,0.5221560384562328,,,,,,,,,,,,6.33665321062697,0.9145075435179388,-2.9256526250176287,49.999999999999936,4.83677270814707,3.979065715465334,-107.03840636004094,-0.6936573471290558,7.148489831650107,23.230096652354465,-31.14237755685348,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,92be389b-294b-41c6-bf1c-579acbd01a85,73.89533244172502,4.827007286876846,3.091247881534316,0.4723614476356515,-1.9409813328348235,66.57167289835981,0.944666462458628,0.2019768258007095,-9.078042451343345,-4.403283955964033,0.5219581652668552,-13.015738027223266,-1.363022994532618,-60.953887782904914,43.89452573160232,1140.4772945385446,-2053.576061598253,48.55133575300724,0.0912848939356786,-0.8742292489157957,0.476854577915821,,,,,,,,,,,,,,,,,0.99712906346677,0,,,medium,high,50.49492684155793,-72.02490955861231,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,38.87778628569848,Curveball,Breaking,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
6,06/17/2025,7:56:10 PM,2,3,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,1,1,Fastball,,BallCalled,,,,,,,82.40155144316988,0.311584166483055,-5.181482560452078,1998.281443443138,208.4583365295984,1:00,5.491568796664725,5.1971521952112925,6.000000192000004,-28.008068305198734,14.184504158257816,4.983858047992787,3.4483384074686056,0.7836656182613514,73.73783331707405,-4.985306829030344,-4.240432062067804,0.4675085145393926,,,,,,,,,,,,-4.474341054884514,7.568129257993664,-4.776825299749204,50.000000000000064,5.500852730849895,10.668797984142277,-119.28398632518126,-0.1805132038145585,-6.305578417279003,27.62560772643277,-21.50847181197528,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,0e92ce4c-de2d-40d2-a393-c0e5b53fe6ab,82.65231631338446,5.490761045948813,5.202022868978551,0.3195678838052264,-5.239418225064444,73.93977002646604,3.4498631697427165,0.7801196725462326,-4.959731941278223,-4.296202935308489,0.4673006503705287,5.534372303588849,12.59524096351304,-56.63086594998615,54.54733959836826,1099.116560565089,-1668.8533529045503,55.003090989588365,-0.4835672941837008,-0.8351442978067362,-0.2621005033126562,,,,,,,,,,,,,,,,,0.997172915926139,0,,,medium,high,40.90739436146855,89.58870980194605,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,42.466665578941225,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
7,06/17/2025,7:56:24 PM,2,4,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,2,1,Curveball,,BallCalled,,,Walk,0.0,0.0,,74.23508456723341,-0.1257725517387112,-2.189217039213418,2373.867505886132,66.782373537419,8:15,4.847510750286973,2.866584347970443,6.000000192000004,-51.94855578330718,-0.0163884787407297,-11.54045983612246,0.4014864340612959,-0.130755879392565,67.01198971826012,-9.904182796626106,-4.382682812569372,0.5186683485362339,,,,,,,,,,,,5.463653422049024,0.0365473992104064,-2.6815358088924937,49.99999999999993,4.8073688945461965,4.428296666887812,-107.779525997474,-1.623828898633631,6.246022936580758,23.64132642507448,-32.132268770837136,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,ba3e68e8-6b13-46a1-ac78-c23c562d3575,74.41286529158853,4.836410915832044,2.867266173431074,0.0056582582200114,-2.1977755649097164,67.12814593606242,0.4109493555425088,-0.1309524970759226,-9.763055486554968,-4.3853400744068,0.5184798435659062,-11.455410248502467,-3.357929724568551,-63.91625210653214,39.56895602563003,1043.7525460396378,-2132.094640989893,43.96844151797003,0.1733344362515172,-0.8981523339879961,0.404076178661009,,,,,,,,,,,,,,,,,0.9901280540989686,0,,,medium,high,54.38793957693295,61.56223119648691,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,38.93538359916383,Curveball,Breaking,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
8,06/17/2025,7:57:08 PM,2,5,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,3,1,Sinker,,BallCalled,Walk,,,,,,74.36521944410339,2.5293966447029463,-1.759185241829038,2285.834963773975,91.0929029255884,9:00,4.932274849514695,3.8052381549713226,6.000000192000004,-47.59528763514511,4.151436511860986,-11.76446875502891,3.3194434872351186,1.1893761114203387,66.58176725325666,-6.493517435911319,-3.995045080053596,0.5177414710373759,,,,,,,,,,,,5.74656278532031,1.347467887559244,-3.655121144492908,49.99999999999999,5.111113913769629,3.6289676701563223,-107.90356948368073,3.494899313899837,6.595679151678612,23.41005733390526,-30.62747884701249,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,f7ae0dd5-62a0-491d-b535-07724b0747fd,74.56967135343925,4.923269361644799,3.8050154035271615,2.635475658262316,-1.756855806184662,66.7268020139074,3.327495662687219,1.189867454631258,-6.3715666766766,-3.987322207040069,0.5175304770864122,-11.7819036454121,1.0996560028382845,-61.89685564288434,45.19001269694887,1076.7660639118749,-2016.337354020725,47.10602825560534,-0.0089848143521811,-0.8821010204042455,0.4709745883939447,,,,,,,,,,,,,,,,,0.9968567199846388,0,,,medium,high,49.328988572746006,-63.27597031075253,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,39.42177005982649,Sinker,Fastball,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
9,06/17/2025,7:57:21 PM,2,5,Brayden Elliott,,Right,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,3,1,Fastball,,InPlay,,FlyBall,Double,0.0,1.0,,81.94356017860498,-0.8493391287924588,-4.833092570044026,1994.6290895065245,214.64699977200544,1:15,5.290536125622945,4.155853890276508,6.000000192000004,-29.103584394468136,13.496670337789766,5.733743111953018,2.0729921284880715,0.1311358727777934,73.53989768031174,-6.343466209487129,-3.749605792356161,0.4697617161075106,,,,,,,,,,,,-4.749015423827103,7.591494279584722,-3.764558642800356,50.000000000000014,5.2042573587687695,9.865237123253,-118.67879807048216,-2.626194044750319,-6.629804670102941,27.194061950302448,-21.576037211618008,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,a8688644-9763-4eb8-b6ac-cecb57a01e36,82.1864149423014,5.28934741903205,4.161123617030966,-0.8365076345683814,-4.896340839369286,73.73603893843055,2.074895369516558,0.127068577275485,-6.313138886083543,-3.811003080205288,0.4695547130043737,6.332199023132837,11.882727185701748,-56.442169578311066,76.67339775904388,1102.5878043014973,-1662.180898251219,55.2778363707851,-0.4547543362158394,-0.8333283150214391,-0.3142648772555096,,,,,,,,,,,,,,,,,0.9953736697137276,0,,,medium,high,20.99394201686053,17.806586672543656,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,41.40442926887294,Other,Other,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-2
10,06/17/2025,7:58:23 PM,3,1,Brayden Elliott,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,0,Curveball,,BallCalled,,,,,,,73.34248212730799,0.5511617981662678,-4.279289215242854,,,,5.045429897963243,3.608724305228443,6.000000192000004,,,,1.3686438737210913,-0.3758317267652303,66.0697705706289,-8.92432946761366,-4.279289215242868,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL GroundSloths 2025,,,,ef1cbb92-a212-4ecf-8c96-ccb1ba92a7a4,e4feda3a-388b-4a67-8fb5-a96777fb4610,73.54246110598406,5.036722318723404,3.608724305228444,0.6524090586422201,-4.2792892152428585,66.20952454145714,1.376402696877143,-0.3758317267652312,-8.807915142830478,-4.27928921524286,0.5251242363557784,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344,Jake Parpet,,Kcl merchants 2025,2022-11,40.06064568184583,Curveball,Breaking,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
