PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/17/2025,5:02:36 PM,1,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,,,,86.2939274012734,-0.253089045954285,-5.81155868699163,2058.87987660328,226.386868473967,1:30,4.67612005805228,4.2654613942613,6.000000192,-22.1212597286143,16.3366070459095,14.0484260222221,2.59624555541632,0.0163382086167018,77.1874663446345,-4.438289050825089,-3.16136299375127,0.44633826174691,,,,,,,,,,,,-9.54423296754318,8.91867744129978,-3.79859791913048,50.0,4.64257345796355,12.2656752957047,-124.810419656344,-1.24314482606952,-14.7666005040617,29.6090721659828,-18.3752930753275,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,402a6c88-9a37-46a7-8c92-029473ddb58f,86.5381447598809,4.6770374623377,4.2726935867151,-0.265350690841515,-5.89808766633794,77.3863577846831,2.59629958022221,0.0106377661988638,-4.43596961004719,-3.24835081709107,0.446155093289134,14.8684158018119,15.188184036831,-22.6355381255567,70.3005158069208,1900.28781080046,-792.396732959667,92.2971676198774,-0.636652476741121,-0.384867879842973,-0.668244221018463,,,,,,,,,,,,,,,,,0.995342238527815,0.0,,,medium,high,26.7295357737712,-49.3676486645987,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
2,06/17/2025,5:02:54 PM,1,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,86.8508607086075,-0.56871967183845,-3.8420080603462097,2010.09169262974,232.07757475674,1:45,4.60267375776015,4.14320602689879,6.000000192,-22.8227085776565,14.9657724006794,16.2580661774774,2.17100884919122,1.92194541453547,77.7618370540138,-4.89289825145456,-0.759466335816175,0.442436797073418,,,,,,,,,,,,-10.0919523625595,8.28705649192646,-3.8392036358769506,49.9999999999999,4.54302436610032,7.94885544229662,-125.966304527858,-1.96995081445011,-15.886131590907,30.4306319280413,-19.1290742232115,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,b54309fe-1ef4-48e7-8951-16c339f4b351,87.0875972955622,4.60274940749941,4.150942424409511,-0.570748879637642,-3.93464503579911,77.9512925811137,2.17166634370188,1.91589737313382,-4.8817412583039905,-0.852297358353812,0.442259243615504,17.1305806013948,13.7006370731355,-8.66609498265313,80.0786842579424,1987.14292352481,-302.87227384555,98.8583222750944,-0.607577313325265,-0.150675849741616,-0.779837545029152,,,,,,,,,,,,,,,,,0.984709287731266,0.0,,,medium,high,17.9291841678518,80.8474776480226,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
3,06/17/2025,5:03:09 PM,1,3,Brody Stonecipher,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Stretch,1,Top,0,1,1,Slider,,InPlay,,Popup,Out,1.0,0.0,,75.9573004018607,2.62476650586635,-3.05851126339484,2434.81325692872,68.5385564982015,8:15,4.06167138535928,3.09580511482653,6.000000192,-48.9891480678113,0.75089766723903,-9.84732277358505,2.42387369922442,-0.570069256285538,67.9906977051142,-6.65395986370249,-4.92651233710971,0.507603505386959,76.7640805735043,66.9025694504766,-34.3491672085177,338.199527102402,-51.6433328067416,97.123458424064,117.904436268278,177.301428831874,,-27.7713023178922,5.40141248763309,4.23809376646978,-0.536069265157659,-2.84076880863471,50.0000000000001,4.2477191490326,6.15128544281647,-110.094081671019,3.71721128419186,5.05951812987353,24.5202688374485,-32.814019420408,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,6caf4bdb-1432-410c-97b1-6d41cc04f369,76.1580782969873,4.0515053088308,3.09697754384767,2.74444815471363,-3.07293311678762,68.1292765666316,2.43247399590848,-0.570635333337325,-6.5208322870165,-4.93492678301783,0.507409437551831,-9.70688052841226,-2.37368851668904,-65.8946851878519,0.67159710449733,994.414559726773,-2222.48853304561,40.8415124608419,0.149428896212519,-0.912796300382013,0.38009724937918,-16.9914956069471,24.862743533855,70.6106020885272,0.565155320301248,1.8684327859732,2.36085640620846,-82.6124523177844,156.878868519205,14.2168260882374,12.359199204565,-0.126961415018425,-0.809682157293883,0.431932400189855,-0.397302411050014,,,0.743412360160853,0.0,0.583751089215975,38.2206071353822,medium,high,90.6044373940476,38.797956479708,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
4,06/17/2025,5:03:47 PM,2,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,0,Slider,,StrikeSwinging,,,,,,,75.7290171316055,2.88671230140933,-1.81542377734872,,,,4.45997653613721,1.31604562079575,6.000000192,,,,3.22542407851847,-0.371762614134357,67.723817966295,-6.04078171934802,-1.81542377734871,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,06f4467d-dbd6-4dfc-a15d-70e2c70a2c83,75.9461311263452,4.45184909834617,1.31604562079575,2.98100171339664,-1.81542377734872,67.8788937251512,3.23264234499371,-0.371762614134359,-5.9307769902114,-1.81542377734872,0.507898494041289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
5,06/17/2025,5:04:02 PM,2,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,1,Slider,,BallCalled,,,,,,,75.7469637799704,2.57160997572377,-2.37559860716016,2425.40763486442,64.9500075902762,8:15,4.10324259208311,1.38934679370978,6.000000192,-51.0063927240089,-1.03773964965314,-11.7542779629714,2.24641109809944,-1.79930878720968,67.8560386931668,-7.09005566801614,-4.60812790769389,0.508768651671556,,,,,,,,,,,,5.5151406164287,-1.48776334923909,-1.18896641096371,50.0,4.2836721782792,4.87740167944131,-109.853863334285,3.54941303172859,6.55350447564823,24.4636733728841,-33.9419217847432,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,2a116d5d-1f80-49ac-ac45-ede0e9881ca3,75.937924455001,4.09176539398213,1.3895267818139,2.70574487198187,-2.37814147660104,67.9808918649474,2.25591370188667,-1.79913164522799,-6.94662441889877,-4.60511711659361,0.508581737121107,-11.7259033348611,-4.30842156755245,-59.6034069831811,6.857362392553,1227.21373972677,-2092.02022750365,50.5982467477213,0.21423747160017,-0.862543762719128,0.458389095809112,,,,,,,,,,,,,,,,,0.981503384774921,0.0,,,medium,high,83.8283738467023,44.135945838342096,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
6,06/17/2025,5:04:17 PM,2,3,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,85.9836236179298,-0.241085581980006,-4.78017543662161,2114.02936721177,233.225572883455,1:45,4.38456235484022,2.474151270269,6.000000192,-23.8375360105183,14.7873004164072,16.2165530744179,2.17325410977471,-0.627470597960392,76.9517405842235,-4.75542255069572,-1.71138537530718,0.447306129129247,,,,,,,,,,,,-10.377574099914,8.07813985198207,-2.09327574778301,50.0,4.35104242805198,9.91274470286053,-124.56502033015,-1.26663306040952,-15.9844875338072,29.6121423383807,-19.7313607150597,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,90f643a5-9e24-4a7f-84a6-4ed1e31b4db9,86.2206421345412,4.38474843286562,2.48235063705048,-0.244470732083237,-4.87860984928806,77.1404422662204,2.17387960238689,-0.633921431601656,-4.74465881424927,-1.80925355658597,0.447126931962496,17.1463993521857,13.5315202527616,-18.0372449621517,78.8274503142912,2010.13632172015,-654.577828478179,95.0855438858613,-0.569244962520576,-0.309635163366492,-0.761633926668156,,,,,,,,,,,,,,,,,0.996685693607419,0.0,,,medium,high,19.0552947171378,89.0087928740584,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
7,06/17/2025,5:04:36 PM,2,4,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,86.1760203661474,0.0663681911875712,-7.23479158770776,2052.63176790231,226.461086440688,1:30,4.83537786048516,3.53197040134431,6.000000192,-22.3751037248445,16.3834396193046,13.8870525733742,3.03296302279158,-2.07071052766438,77.0195345920601,-4.15846820922101,-4.62793544196422,0.448079676145789,,,,,,,,,,,,-9.92284128476927,8.83534710292852,-2.94756708896734,50.0,4.82784805426198,15.3476102625055,-124.293210557509,-0.549239339740586,-15.2358025649517,29.2088081871984,-18.6080154038693,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,447109e4-c790-471d-bb0c-c7db5366b7de,86.4251442136462,4.8363281968206,3.539372063098,0.0537369772635566,-7.32201942321529,77.2192817888043,3.03301279331076,-2.07643278333807,-4.15608637232773,-4.71424638267557,0.447894018964956,14.7182628352555,15.2579945762738,-25.1928311819782,68.367002248269,1857.38608480325,-873.735718956834,90.4880316990031,-0.623324154348983,-0.425666080307111,-0.655953799197096,,,,,,,,,,,,,,,,,0.996501162231474,0.0,,,medium,high,28.4696979765579,57.528030997023,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
8,06/17/2025,5:04:52 PM,2,5,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,2,2,Slider,,Foul,,,,,,,74.2308600321943,3.34354151358873,-1.22070870449954,2409.76253655167,65.4534960209195,8:15,4.31483767677963,2.36033490779461,6.000000192,-53.6328703872663,-1.63626707811622,-12.4218886746038,2.95713632014464,0.190486826976987,66.4265363375252,-6.82737374418724,-3.58359102171205,0.518990023495185,54.660909811355694,50.1711187752699,82.0609418738471,,108.721982514156,16.7191661921473,40.0823164900296,146.587976259412,,81.4581147351849,3.53972875063049,6.29400869946243,-2.08086851677206,-2.25373200560429,50.0,4.55666079467594,2.62563218503314,-107.654579701408,4.85884848544784,7.18884692986952,23.3460427706,-34.5507614659084,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,e27e6017-87a5-40bd-b5ad-625dc5ec9302,74.4155023098736,4.30269166972393,2.36031080014152,3.48600897043389,-1.22081930389022,66.5440194620051,2.96706359701306,0.190810092689062,-6.6751285747255,-3.57829805932316,0.518806546086785,-12.4164861498853,-5.02570934412811,-57.1315094448638,24.0830472343355,1307.80853207814,-2024.00403309666,54.271261679982494,0.225460010798958,-0.839918457688773,0.493664631064701,34.6745892908995,4.83559170886231,41.9774340775824,-0.309325100853649,1.3248325664171,2.77686263225029,144.96195574855,21.7730606343122,,,,,,,,,0.997475750825017,0.0,,16.873105692394,medium,high,68.325257489098,56.0576697496206,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
9,06/17/2025,5:05:13 PM,2,6,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,2,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,85.3855793324809,-0.819509984966091,-4.5186169568887,2087.59071912343,225.758422679974,1:30,4.82688254909805,1.78333135504588,6.000000192,-22.8227248615631,16.3206685572952,13.6248132395225,2.16091446987244,-1.28956983695158,76.4972599273907,-5.13904239744215,-1.9401134574458,0.450298768091795,,,,,,,,,,,,-8.88648311294049,9.10171857057118,-1.42240049817896,50.0,4.74669054171146,9.35796191537384,-123.73363121735,-2.47986073827947,-13.5066905568984,29.2011486463575,-18.3402196325436,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,3b716e2f-307d-47c8-89fc-4d63c100068b,85.6277837693536,4.8277289169117,1.7906797627797,-0.830781083422061,-4.60551000674461,76.6915561211854,2.16106473104148,-1.29515373901016,-5.13532342550732,-2.0259533430312,0.450111348905511,14.4448898311391,15.1177190111034,-24.6649827164801,67.0418382693604,1897.1260245795,-871.176134563751,90.8763392747837,-0.634030727084085,-0.417311749177327,-0.65104219610697,,,,,,,,,,,,,,,,,0.996671053471433,0.0,,,medium,high,29.6623455575756,-81.1032436308463,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
10,06/17/2025,5:05:45 PM,3,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,85.2525454418387,-0.129159192812168,-6.78968398166339,2113.98376968044,224.392435603056,1:30,4.37073711508792,3.00414030811504,6.000000192,-22.0412490558883,17.4841538376166,14.2207514080915,2.4130785183912,-2.15079127451255,76.231971165089,-4.29373428207809,-4.11583177973962,0.452490718309909,,,,,,,,,,,,-9.95205511978158,9.49569220081475,-2.45673569477137,49.9999999999999,4.34735609415397,14.2167900519526,-123.079037517651,-0.956767029545851,-14.9843844259458,28.6288764657838,-17.876791319751,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,0f8c56e4-9606-44f9-b561-0469d5d37016,85.4955338392869,4.3719109512089,3.01124888350187,-0.144592923986088,-6.87519647378482,76.4292731437838,2.41294748769272,-2.15611633335018,-4.29429974905201,-4.20153394050619,0.452311097682765,15.0389365726879,16.361945330092,-19.5804658557234,90.434113538157,1991.73581784307,-708.460168529843,94.217176423457,-0.673243009580632,-0.335130372659831,-0.659114165658496,,,,,,,,,,,,,,,,,0.960850070377388,0.0,,,medium,high,8.60929781565867,57.004375183884,54.667001749344,Zach Bava,,Kcl bluecaps 2025,2022-11
