PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel, ,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Stuff+,Good Swing Decision
201,06/22/25,4:40:19 PM,6.0,1.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,0,0,Fastball,,BallCalled,,,,,,,88.94514625996423,-2.472783666,-6.599458753,2429.638194881896,220.6855898106261,1:15,5.315655984,3.470653218571204,6.000000192000004,-18.05809541,18.25190420274152,12.485992410346798,1.4958579234302918,1.649611571,79.79582971351232,-5.878614184,-4.252949861,0.4336952289911396,,,,,,,,,,,,-8.923731563,10.682017781938503,-2.937958015,50.0,5.102280609716522,14.44902698955932,-128.3517463,-6.159147194,-14.63038519,30.82803485893766,-14.66096846,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,5d0cbff4-988c-49c2-99ba-d6bb28ad4aa2,89.19404668146979,5.317927179624542,3.477357144611776,-2.500600361,-6.678594475,79.99862705,1.4948073282569518,-1.654840135,-5.892552696,-4.331280429,0.4335196814623258,13.237338356970517,17.40117025580332,-27.9761927,73.59945808282558,2145.7169620158047,-1139.754569,88.31425875,-0.669685539,-0.469104647,-0.57572746,,,,,,,,,,,,,,,,,0.99541939,0.0,,,medium,high,23.760487725456965,-0.65743192,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Other,Other,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,102.68680445151034,-1
202,06/22/25,4:40:32 PM,6.0,2.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,1,0,Fastball,,BallCalled,,,,,,,89.63781527642678,-1.099700612,-7.261774514,2265.801659,221.232724150754,1:15,5.313147160629923,4.396213592886274,6.000000192000004,-18.66518325,17.169899633069292,11.80835319595343,2.727269621027824,1.405175717,80.20534699488522,-4.622613976,-5.047018813,0.430849634708739,,,,,,,,,,,,-8.804527277,9.650008353279595,-3.808371935,50.00000000000001,5.212007595671894,16.08931949587905,-129.2561212,-3.103673017,-14.62213957,31.54930924981967,-16.14777531,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,af611db5-0f6e-4c82-b6e7-ca546d8b50fa,89.89520884897567,5.315081199407377,4.402757890948495,-1.123748213,-7.338901221,80.41396727493378,2.726504916217268,-1.410219833,-4.632533266,-5.123102044,0.4306715835395844,12.543582278738487,16.25556427065605,-32.56325699,2.462336122123504,1909.6124890261915,-1219.523391,84.27977274114814,-0.633816406,-0.538230425,-0.555504071,,,,,,,,,,,,,,,,,0.9967560490992946,0.0,,,medium,high,92.21610250991117,-1.154037706,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.27715951245364,-1
203,06/22/25,4:40:49 PM,6.0,3.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,2,0,Slider,,StrikeCalled,,,,,,,79.86506470327325,3.0289122736096608,7.331025483584079,2707.775031755131,59.60921062526934,8:00,4.053620240191385,-4.891062288,6.000000192000004,-45.06212914,0.8531364551770366,-7.496936453,2.742385142438995,0.30733476,70.84599009834841,-6.38722342,-5.996683548,0.4852568227755544,,,,,,,,,,,,6.507616498562544,-3.271523803,4.294866504786329,50.000000000000014,4.273969666886142,-14.58191175,-114.9698239,4.716404245310358,8.510121194529992,25.880009367425693,-36.45227712,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,934210a5-2148-464f-9652-0a6e51e3c5af,80.06571550812072,4.042156218296022,-4.88844761,3.1639202235642645,7.2995965626729085,70.99947328528647,2.750361585284024,-0.308698172,-6.265311146,-6.017035724,0.4850761987563017,-7.24309442,-2.008442144,-71.74858405,5.137188514686974,848.0406579661914,-2571.550634,31.31872655670758,0.158439904148521,-0.94969139,0.2701537711874287,,,,,,,,,,,,,,,,,0.9503042335630344,0.0,,,medium,high,94.62346966321827,7.889547919825826,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Slider,Breaking,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,148.32538420773716,-2
204,06/22/25,4:41:02 PM,6.0,4.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,2,1,Slider,,StrikeCalled,,,,,,,78.81940859293218,2.2032202657737736,-4.414636397,2731.0963590736883,54.45332621497912,7:45,4.363369186841066,4.310643148,6.000000192000004,-47.26199384,-0.919505971,-8.787045737,2.4796345810678164,0.532684456,70.55679351486633,-6.733477102,-6.076361755,0.4899606418748387,,,,,,,,,,,,3.1653480560219704,-1.296360541,-3.945281896,50.00000000000004,4.516261415990449,9.056814869973334,-114.0949704,3.0667080450327138,4.055066044,26.49500356,-33.83479195,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,c39cb40f-5c80-4294-808e-e84380b4262d,79.02318379897372,4.353084188230936,4.312365137864766,2.324301249223752,-4.435581292,70.69699730603682,2.487745460523707,-0.533605736,-6.601708791,-6.09094416,0.4897819640180098,-8.583773436,-3.951547543,-66.88459028,1.045689368095507,1072.1860415092838,-2511.83288,39.25844791038202,0.2282352488853528,-0.919715949,0.3194232997128713,,,,,,,,,,,,,,,,,0.9926027033449628,0.0,,,medium,high,89.05887956871403,4.323093094845152,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Slider,Breaking,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,148.32538420773716,-2
205,06/22/25,4:41:17 PM,6.0,5.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,2,2,Fastball,,BallCalled,,,,,,,90.85721444428776,-0.718886926,-5.157059271,2378.9855750450547,218.3419823870773,1:15,5.721638186351093,4.900196105760591,6.000000192000004,-16.33426842,18.30204546112352,12.17378359426464,3.689569366539062,-1.108754643629021,81.22693523529504,-3.813190296,-2.856964865,0.4235818626538454,,,,,,,,,,,,-8.318445708,10.139885004237929,-4.486046853,50.00000000000003,5.653374753428566,11.472340281678845,-131.5410975,-2.193189829,-14.28832818,33.018479883568624,-14.75709337,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,85bf7a8a-5f14-4ecf-a335-0a577947435c,91.11541775243286,5.724285345312734,4.906648153,-0.751346301,-5.233181417,81.43823457188263,3.6882313652209096,1.1037712625848066,-3.832189733,-2.932720772,0.4234041307283344,12.89254598234838,17.449078069410135,-25.17112087,82.51390860416745,2153.080777822773,-1011.8377,90.50415439286542,-0.70984402,-0.425323176,-0.561446047,,,,,,,,,,,,,,,,,0.9978590320321435,0.0,,,medium,high,15.737482256249288,-8.777796069,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Other,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.27715951245364,-1
206,06/22/25,4:41:34 PM,6.0,6.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,3,2,Slider,,Foul,,,,,,,78.15928414979568,1.8309589724767847,-6.429377056,,,,4.854615722504643,6.008616767350056,6.000000192000004,,,,2.847669958234955,-0.007986719,69.97196285145823,-6.58670606,-6.429377056,,75.69299808942259,45.51921064377472,-59.5050833,,-94.21020134,56.78413478220387,75.38546187603163,243.7301636892501,,-59.24148065,4.341258225260996,,,,,,,,,,,,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,473da20d-2ffb-4d0a-b7d9-b466e1d531b5,78.38038102,4.846905528278295,6.008616767350044,1.9201950252477245,-6.429377056,70.13337777022778,2.854542405014406,0.007986719,-6.482062266,-6.429377056,0.4947699220338019,,,,,,,,,,,-45.69959618,26.913658387463578,54.005850246350896,-0.037299573,1.4895654560396023,3.136687531223556,-209.4447336,124.648691442356,,,,,,,,,,0.0,,37.19017571,low,high,,,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Slider,Breaking,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,-2
207,06/22/25,4:41:55 PM,6.0,7.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,3,2,Fastball,,Foul,,,,,,,89.13428357703792,-0.111417614,-8.382257674,2249.607792323624,221.5154641573776,1:30,5.372064815630486,6.351372236564576,6.000000192000004,-19.14269343,17.28747179173304,12.034370720613415,3.672171201292153,0.492240431,79.59533583057305,-3.718918918,-6.135086726,0.4344122794427286,,,,,,,,,,,,-9.310970477,9.383867713579736,-5.670666472,49.99999999999997,5.351787746,18.506145871901342,-128.2066743,-0.864735549,-15.20982026,31.091923137525782,-16.84514895,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,3bc27de7-b9cc-4671-836d-322797cb4856,89.39408423099827,5.374009679503239,6.358077938229257,-0.135666828,-8.460664858,79.80774437,3.671416396492592,-0.497431165,-3.728676281,-6.213268224,0.434230626465047,12.785234241849755,16.352689822494778,-33.21669574,1.4276593825488093,1882.032491822221,-1232.350972,83.66047176064704,-0.626430247,-0.547807034,-0.554520152,,,,,,,,,,,,,,,,,0.9973168088691998,0.0,,,medium,high,91.28489344429391,1.8555082293183345,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Other,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.09644939056705,-1
208,06/22/25,4:42:15 PM,6.0,8.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Jake Folmar,,Right,Kcl bobcats 2025,,5,Top,1.0,3,2,Fastball,,BallCalled,Walk,,Walk,0.0,0.0,,90.07566646311332,-2.961828698,-6.890096255,2373.511366188458,221.6431421610584,1:30,5.583423622592371,4.630046844204445,6.000000192000004,-17.29653576,18.15839042774845,13.00042598478219,1.3668438853793268,0.721243787,80.85089949556398,-6.22187661,-4.449746732,0.4285582058489157,,,,,,,,,,,,-9.284242309,10.786781159235494,-4.07364951,49.99999999999999,5.330147994078145,15.26964138938449,-129.8582864,-7.32938314,-15.59100266,31.394047328610785,-14.05983756,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,4cdbd22f-7892-407c-8bc9-7638b46fd0c1,90.32532836915912,5.585729532260086,4.6368845192409465,-2.989549493,-6.969995953,81.0527393,1.3657648571682095,-0.726471198,-6.236290145,-4.528373495,0.428387370538523,13.759908813379862,17.359989794808495,-24.60620577,28.07700177383692,2157.9752063740725,-988.2809389,90.91910143,-0.67943659,-0.416379274,-0.604147515,,,,,,,,,,,,,,,,,0.9906045269448708,0.0,,,medium,high,115.26930159645325,-1.743127426,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Other,Other,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.27715951245364,-1
209,06/22/25,4:42:44 PM,7.0,1.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Zayn Giles,,Right,Kcl bobcats 2025,,5,Top,1.0,0,0,Slider,,StrikeCalled,,,,,,,79.30266544114238,2.1179850396445623,-4.483547405,2677.935402141325,60.02951436671627,8:00,4.729654497,4.94570353,6.000000192000004,-45.4318083,0.3406154939009624,-8.424954157,2.9190542992308526,-0.068117029,70.96664662901586,-6.473697348,-6.076425851,0.4869377869019123,,,,,,,,,,,,2.9471806214004763,-0.581038256,-4.574902495,50.00000000000004,4.876637079772332,9.24080801005216,-114.7921606,2.966110654683375,3.822834520721884,26.77087196003991,-32.92772348,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,36d14d0d-83a4-4888-808d-e464e26f9ec8,79.51305807172682,4.720138748692948,4.947389332,2.2297040347834285,-4.504025514,71.11633054,2.927181989904963,0.067149892,-6.348945054,-6.090836908,0.4867487981243337,-8.226992028,-2.568706776,-69.11012461,25.67456575398812,954.8791987419308,-2501.908019,35.65729023853198,0.1781273569874341,-0.934267502,0.30889299,,,,,,,,,,,,,,,,,0.9794718408811718,0.0,,,medium,high,113.10710917858934,-20.12352954,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Slider,Breaking,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,148.32538420773716,-2
210,06/22/25,4:42:58 PM,7.0,2.0,Brayden Zilis,,Right,Kcl groundsloths 2025,Zayn Giles,,Right,Kcl bobcats 2025,,5,Top,1.0,0,1,Fastball,,BallCalled,,,,,,,90.06690395003503,-0.637448482,-7.020071,2336.414372858596,226.7641335413925,1:30,5.116484554303931,3.845832117010801,6.000000192000004,-19.6117827,15.842776410570806,13.095001207171777,2.8852291936455905,1.620172632,80.53821345558778,-4.342111031,-4.560555244,0.4285559873512733,,,,,,,,,,,,-9.423146725,8.778670896961998,-3.278732555,49.99999999999996,5.052791263346993,15.578123807182902,-129.9576694,-2.093165088,-15.81671249,31.94209288673046,-17.43908708,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,20a6fd23-ec11-4957-ab6b-54e491c08836,90.32424858324178,5.118076547613914,3.853274672000945,-0.657185875,-7.106683093,80.74410562879694,2.884756014377835,-1.625780981,-4.347648564,-4.645275781,0.4283797195762083,13.919181748795028,14.892064051302889,-33.62751178,67.50999656298998,1945.428088994523,-1293.886267,83.26554191730543,-0.570371708,-0.553791434,-0.606622751,,,,,,,,,,,,,,,,,0.9843260779612084,0.0,,,medium,high,29.24100309330897,-61.75852131,54.667001749344,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11,,Other,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57.04822469528352,-1
