PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/27/2025,7:32:20 PM,1,1,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,,,,87.51730031252214,-1.233703406777728,-4.336348834656672,2034.0305279720576,223.72959450411236,1:30,5.2554438883972585,3.8645214693160543,6.000000192000004,-20.070567314667517,17.174361853936304,14.069260914336034,2.4328309350564687,0.99907214231757,78.40538612893369,-5.033057855561628,-1.672869153427817,0.4392432525370488,,,,,,,,,,,,-9.062682250881862,9.701572402165528,-3.518785006453108,50.00000000000002,5.143015768576476,9.172785490286172,-126.8391236224701,-3.3745218846456964,-14.47726303554204,30.641887758975567,-16.676185748741574,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,f1acb2bc-da76-415a-85f1-7a5299bb1982,87.76015715110077,5.256630410952533,3.871247849358853,-1.2490003463744257,-4.417237740279624,78.60405268149425,2.432614700380911,0.9936500627290932,-5.035042670691194,-1.7545101577464168,0.4390624722833378,14.830895959101849,16.082048953187112,-12.026754218626406,77.33916287473755,1989.384390836382,-423.8277176151228,97.8050409508756,-0.7067491959990225,-0.2083684152163054,-0.6760829664286632,,,,,,,,,,,,,,,,,0.9977329268305576,0.0,,,medium,high,20.39475341273616,68.2543802533243,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
2,05/27/2025,7:32:44 PM,1,2,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,86.17037422351804,-0.2685045798532318,-4.394257360174179,2005.7048577271933,222.3245294716461,1:30,5.84770640352517,3.5096098488922083,6.000000192000004,-20.87791165289029,17.55210071088213,13.729176829925692,3.857596333667215,0.5616867345609229,77.07843844564043,-4.224902420518929,-1.7947144533133002,0.4461765946772311,,,,,,,,,,,,-8.907979608453699,9.583769928126316,-3.1589275246428272,49.999999999999964,5.813676197746414,9.170299637896507,-124.8993945029718,-1.237283132485397,-13.789095637578622,29.863632911756905,-17.33886518772504,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,67cd03b0-6577-4963-b95d-8f8434a4508c,86.41618194593428,5.848910789600105,3.516316038874748,-0.2841504849654965,-4.474326242374385,77.27775147262598,3.8574188418330495,0.5564146814746797,-4.226301633504392,-1.8748563136226424,0.4459882631495275,14.483794302247787,16.39328453874944,-12.434053011576763,3.30534097287696,1958.6600077998096,-431.8598732877479,97.65444802378885,-0.7220012251252933,-0.2153157637445815,-0.6575358186446295,,,,,,,,,,,,,,,,,0.997033432628146,0.0,,,medium,high,87.02519312441073,-2.4421374936952422,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
3,05/27/2025,7:33:01 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,1,1,Slider,,BallCalled,,,,,,,77.51496979169663,-0.8879793812476687,-1.778986767287588,2289.761105147526,126.3168726615136,10:15,5.665911108319737,3.5864481762877523,6.000000192000004,-41.487410688045934,5.979156971783695,-5.166906931066263,1.3828802082540057,1.5019620105941045,69.8557968743715,-8.7088023467918,-2.761075619537153,0.4958672624782839,,,,,,,,,,,,2.174079762099289,3.5488838591038423,-3.438513380004824,50.0,5.569599459030272,3.641250254096868,-112.58301535598436,-2.9061997004281808,2.7215766950343334,25.135405785718675,-27.73145287326751,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,b8fa3490-035a-4a53-8428-6135d6f6da1e,77.72909618046307,5.659165785535057,3.589183182831768,-0.8092617675097975,-1.811931731434257,70.01581559077965,1.389096649831972,1.5001384813025875,-8.614650138070779,-2.788514865407196,0.4956573827010182,-4.853822227654562,3.4291739131509957,-79.83930404720704,67.63611784567246,403.9357100632573,-2253.8504521778086,17.640954296724868,-0.104478637505318,-0.984316856073331,0.1421426788650963,,,,,,,,,,,,,,,,,0.9951653293312788,0.0,,,medium,high,29.12749393889478,-19.072189895561262,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
4,05/27/2025,7:33:23 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,1,1,Fastball,,Foul,,,,,,,87.47701557012057,-1.511618621570531,-3.922521157542111,2141.026786715492,223.47229037320943,1:30,5.279422781371065,2.0043649541676487,6.000000192000004,-19.60981679942511,17.638754617996128,14.462090084272395,2.236756975832705,-0.441733321262883,78.40872582988561,-5.223137695589394,-1.1826237287943313,0.4392647292070559,,,,,,,,,,,,-9.135656935947358,10.045702319850276,-1.6927402777611615,49.999999999999964,5.14461045160654,8.239007896740599,-126.83224514827424,-3.975342205687149,-14.592460045183808,30.635227613240342,-16.12796655595416,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,10b364b7-7b67-4ccb-baab-363e6699ae19,87.71812892400135,5.280790475291727,2.0112238252102475,-1.529064478036192,-4.004955910179016,78.60555414456337,2.23639076534476,-0.4472533231930977,-5.227404771565894,-1.2655906171003433,0.4390845658813934,15.23732989294457,16.567089706351677,-9.488164062398948,79.4439518053038,2111.736844730587,-352.9351215741597,98.63196751359484,-0.7157792809850252,-0.1648438607886783,-0.6785915726509159,,,,,,,,,,,,,,,,,0.9968454576713024,0.0,,,medium,high,18.500443375226705,-84.13849236277213,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
5,05/27/2025,7:33:47 PM,1,4,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,87.81080909249489,-0.5531614976964938,-2.946794814322826,1952.5283995463972,213.147679692959,1:00,5.928817249049152,2.7378192841558,6.000000192000004,-18.148591092848807,18.77448069522548,10.606404835727076,3.901633090820592,0.880536573178934,78.5460003687777,-3.995569689975756,-0.9338347228718518,0.4373412428149015,,,,,,,,,,,,-6.739536149295249,10.344780697316788,-2.503716886874141,50.00000000000003,5.873193724615691,6.224887017592143,-127.47051130386312,-1.808748141859774,-10.855622575239218,31.34248769617805,-15.511324973203898,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,41d7eae0-c09b-42ea-a8be-a1faf7c3bdaa,88.06668480841476,5.930883057646116,2.743253491743324,-0.578770899675495,-3.010961683258041,78.75413771622375,3.900804687555997,0.8763734214611926,-4.007025811070481,-0.9974852670123808,0.4371490128921953,11.20880987065784,17.716568726289886,-16.274308782517586,73.94952713010031,1874.2926263685915,-547.1693538343892,95.99310446926246,-0.8037156853132736,-0.2802363099873503,-0.5248892337875568,,,,,,,,,,,,,,,,,0.9870026419564778,0.0,,,medium,high,23.44542558290969,-68.86544835243743,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
6,05/27/2025,7:34:07 PM,1,5,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,2,2,Fastball,,Foul,,,,,,,87.03525999524857,-0.572114803792195,-3.4165729984012674,2018.49099905784,223.33819037502465,1:30,5.348745176106299,2.594339031390164,6.000000192000004,-20.27267844222545,17.329568573646558,14.250960352808738,3.1266708919301456,0.6028088138200681,77.88994172876767,-4.415422769104905,-0.7132142754503732,0.4413452140541643,,,,,,,,,,,,-8.865444602442421,9.567723115296914,-2.323965490863245,50.000000000000014,5.290320162333553,7.091109177486241,-126.29083535956094,-1.9015049093971457,-14.023631921829868,30.65123546095274,-17.039531993735935,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,eb609bb1-0634-4966-b5fc-e26258338212,87.27954095031528,5.349842430830771,2.6009971570613497,-0.5863997698138679,-3.4967595961873985,78.08801334647343,3.1265430185722742,0.5975153202683147,-4.416248984669728,-0.7936792578688855,0.4411608895752192,15.005102957377543,16.168113213753877,-6.391784498904447,85.56294667747197,2005.9438411919289,-224.71141328754592,99.37838920898,-0.7227943938990398,-0.1113264381126461,-0.6820371605163981,,,,,,,,,,,,,,,,,0.9978429084288006,0.0,,,medium,high,12.993347990275277,8.50984973608505,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
7,05/27/2025,7:34:31 PM,1,6,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,2,2,Slider,,StrikeCalled,Strikeout,,StrikeoutLooking,1.0,0.0,,78.99712681849832,-0.2328179817912072,-1.251512453027634,2234.354700424513,167.7624448207247,11:30,5.643353391092588,1.8720885552811048,6.000000192000004,-39.15867924499623,6.484273234893365,-2.228676748608152,2.163697574815283,0.5230327057781816,71.0175993395369,-7.6364818168155475,-1.675381644741179,0.4862486261130267,,,,,,,,,,,,0.7703186022056459,3.5916293937984176,-1.7688441679073703,49.99999999999997,5.601775263949888,2.57115887036621,-114.78153086614314,-1.5837442575654643,1.0029948176651358,26.00031938454737,-27.497561625513374,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,ca1617a0-3726-4806-aacc-9421b893c9d6,79.22042180460419,5.6376621248701255,1.875795320526837,-0.1659533851535132,-1.2964179827154767,71.18894752423834,2.16923249316109,0.5203585679172065,-7.552675050537865,-1.7155084151347098,0.4860386091542326,-1.8041809176386177,4.134683403708829,-81.30725498331435,36.29715013736621,337.69062779124164,-2208.6887438503127,15.113564006962845,-0.147701410471046,-0.9885130339559228,0.0320355278420668,,,,,,,,,,,,,,,,,0.9969415849356852,0.0,,,medium,high,57.33256487637042,-0.2285193260639087,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
8,05/27/2025,7:35:03 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,1,Sinker,,StrikeCalled,,,,,,,79.79845847697742,-0.5775944152326845,-4.346543222747195,1514.0131535592948,240.1689837455724,2:00,4.906255248775215,3.355787392876952,6.000000192000004,-32.9349696646485,11.869678772723525,16.68800007550888,1.6232950890450624,0.6990371334877612,71.68052078291763,-6.8006286224749255,-1.1853875854048477,0.4817625749469138,,,,,,,,,,,,-10.490037324081843,6.614344203768487,-3.0107294657644905,49.999999999999936,4.839988731197056,8.310198107730317,-115.66747548144863,-2.1194770941504752,-13.92822184893668,25.58478443539308,-23.39180691048317,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,4ac949f7-9412-488b-8d83-c1e254e4919a,80.01622476350582,4.902975248071499,3.3629780139839838,-0.5400857699049807,-4.431169310184838,71.84584626912157,1.6266419198380182,0.6934549547705298,-6.749406534761925,-1.2697525513610823,0.4815677743402928,17.484097620058613,10.011342283057566,5.7603040492391,41.01790696217496,1506.3681203573726,151.95695154074718,99.49504842914016,-0.4949317911816572,0.1003669956126282,-0.8631158602814638,,,,,,,,,,,,,,,,,0.9943740363674324,0.0,,,medium,high,53.08388373404247,-46.51432862951571,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
9,05/27/2025,7:35:32 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,1,Sinker,,BallCalled,,,,,,,79.72066452201294,0.9286968799652532,-4.2214539066263725,1513.8500329447488,242.6955548473955,2:00,4.898814550257166,3.2831192590771594,6.000000192000004,-33.6430782577035,11.276707154682214,16.964254661647413,2.960773402380407,0.7662998527280217,71.37146686538668,-5.44361952173273,-1.0057876363079112,0.4823811837070118,,,,,,,,,,,,-10.609925982145429,5.784531459120553,-2.9484605557076216,50.00000000000006,4.955195871969681,8.040969794037213,-115.55748057484143,0.9094398145016528,-14.048307118934993,25.708111608464066,-24.514912791491035,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,55d0c94e-07ed-4c7f-9f7f-8e763594181c,79.94061370317152,4.895658318265364,3.290872267099929,0.9650769881719052,-4.314191124641973,71.54021429350202,2.964113210281093,0.7601705892401451,-5.391950939059699,-1.098942477960852,0.4821866804700101,17.837700042148143,9.38584020008258,-3.314471740732204,39.29771750726938,1511.3177331028342,-87.52503559397866,99.83272452443728,-0.4579511707508341,-0.0578161863389628,-0.8870952676038569,,,,,,,,,,,,,,,,,0.997118721858507,0.0,,,medium,high,54.63205424345761,-61.16679230139516,54.667001749344,Josh Eisfelder,,Kcl merchants 2025,2022-11
10,05/27/2025,7:36:10 PM,2,3,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,05762857-db01-499d-8d6e-209524ab8a3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Eisfelder,,Kcl merchants 2025,2019-02
