"","Player","OAA","playerPosition","innings","inRightOAA","inLeftOAA","backRightOAA","backLeftOAA","inTotal","backTotal","leftTotal","rightTotal"
"1","Adan Nieves",1.4,"Total",45,-0.18,0.03,0.69,0.85,-0.15,1.54,0.88,0.51
"2","Andrew Schweigert",0.65,"Total",30,0.79,-0.14,0.18,-0.18,0.65,0,-0.32,0.97
"3","Ashton Horchem",-0.28,"Total",21,-0.71,-0.01,0.44,0,-0.72,0.44,-0.01,-0.27
"4","Bennett Summers",0.69,"Total",22,0.56,-0.2,0.19,0.14,0.36,0.33,-0.06,0.75
"5","Blake Willan",-0.58,"Total",33,-0.01,0,-0.53,-0.04,-0.01,-0.57,-0.04,-0.54
"6","Braden Mehn",-1.74,"Total",21,-1.05,-0.37,-0.32,0,-1.42,-0.32,-0.37,-1.37
"7","Brady Hart",-0.97,"Total",43,0.15,-0.11,-0.89,-0.11,0.04,-1,-0.22,-0.74
"8","Brady Veselack",-0.69,"Total",64,-0.01,0.95,-0.36,-1.26,0.94,-1.62,-0.31,-0.37
"9","Brandon Schultz",1.78,"Total",62,1.52,0.71,0.3,-0.75,2.23,-0.45,-0.04,1.82
"10","Braxton Waller",0.06,"Total",50,0,0,-0.26,0.32,0,0.06,0.32,-0.26
"11","Brayden Elliott",0.42,"Total",14,0,0,0.6,-0.18,0,0.42,-0.18,0.6
"12","Brayden Zilis",1.37,"Total",38,0.18,0.26,-0.07,0.99,0.44,0.92,1.25,0.11
"13","Cal Darling",-0.39,"Total",26,-0.55,0.47,0,-0.31,-0.0800000000000001,-0.31,0.16,-0.55
"14","Cameron Anderson",-2.26,"Total",26,-1.03,-0.71,-0.52,0,-1.74,-0.52,-0.71,-1.55
"15","Cameron Steinbaugh",0.35,"Total",51,0.83,0.23,-0.97,0.26,1.06,-0.71,0.49,-0.14
"16","Chase Peterson",1.35,"Total",55,1.35,0.03,0.06,-0.1,1.38,-0.04,-0.07,1.41
"17","Clint Goodman",1.53,"Total",87,-0.17,-0.08,0.93,0.85,-0.25,1.78,0.77,0.76
"18","Cody Delfavero",2.03,"Total",59,2.23,-0.13,0.09,-0.17,2.1,-0.08,-0.3,2.32
"19","Cole Yates",1.24,"Total",79,1.17,0.04,-0.8,0.83,1.21,0.0299999999999999,0.87,0.37
"20","Colin Karr",-0.62,"Total",50,-0.2,-0.2,-0.06,-0.16,-0.4,-0.22,-0.36,-0.26
"21","Deegan Aeilts",0.05,"Total",56,0.17,0.71,-0.15,-0.67,0.88,-0.82,0.0399999999999999,0.02
"22","Drew Wichtowski",0.76,"Total",22,0.85,0,-0.09,0,0.85,-0.09,0,0.76
"23","Ethan Hamrick",0,"Total",83,0.25,0.63,-0.4,-0.48,0.88,-0.88,0.15,-0.15
"24","Gabe Peters",-1.07,"Total",30,-0.08,-0.72,-0.14,-0.13,-0.8,-0.27,-0.85,-0.22
"25","Gavin Bailey",0.93,"Total",34,-0.43,0.81,0.48,0.08,0.38,0.56,0.89,0.05
"26","Gavin Kleist",0.13,"Total",36,0,0.13,0,0,0.13,0,0.13,0
"27","Grayson Schnierle",2.63,"Total",66,0.05,2.24,0.38,-0.04,2.29,0.34,2.2,0.43
"28","Jackson Natanek",0.51,"Total",40,-0.13,0.66,0.15,-0.17,0.53,-0.02,0.49,0.02
"29","Jackson Newton",0.08,"Total",58,0.21,-0.48,0.18,0.18,-0.27,0.36,-0.3,0.39
"30","Jacob Blunck",-0.2,"Total",53,0.56,-0.93,-0.29,0.47,-0.37,0.18,-0.46,0.27
"31","Jacob Trusner",1.94,"Total",60,0.38,0.97,0.62,-0.03,1.35,0.59,0.94,1
"32","Jake Folmar",0.08,"Total",79,-1.13,0.79,0,0.42,-0.34,0.42,1.21,-1.13
"33","Jake Parpet",-0.47,"Total",29,-0.05,-0.08,-0.45,0.11,-0.13,-0.34,0.03,-0.5
"34","Jake Zimmerman",-0.15,"Total",41,0,0,-0.15,0,0,-0.15,0,-0.15
"35","Jaxson Grubbs",-0.64,"Total",44,-0.14,0,-0.48,-0.03,-0.14,-0.51,-0.03,-0.62
"36","Josh Eisfelder",-0.16,"Total",42,0,-0.05,0,-0.11,-0.05,-0.11,-0.16,0
