Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,86.40840754108443,2047.8107759671188,4.498045986751974,-1.312382865,6.000000192000004,13.718078683785071,-14.56594475,2.284538931653361,-0.032548722,14.56594475,1.312382865,0.8478660662149284,0.00356677,0.04,0.021512236,0.021693002187336486,24.73779290895153
Graham Kasey,Normal cornbelters,Fastball,StrikeCalled,StrikeoutLooking,86.90214989,2055.6559037505704,4.546120185,-1.718920698,6.000000192000004,15.775727302300108,-12.4371246,2.143809118338321,-0.278251247,12.4371246,1.718920698,3.3386027023001077,0.04654299,0.24,0.021750718,0.102764569769303,117.18841972064777
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,87.71828795191783,2051.729611406281,4.888377501396994,-1.720178192,6.000000192000004,15.399522108342286,-12.08253019,2.802204911705509,-0.542450305,12.08253019,1.720178192,3.3169919183422856,0.0065818042,0.03,0.019365022,0.01864894206946095,21.266473994764414
Graham Kasey,Normal cornbelters,Fastball,StrikeCalled,StrikeoutLooking,86.67356174713493,1940.0890487620488,4.793148678741955,-1.181324033,6.000000192000004,15.826287645502838,-11.20769135,2.1602878797022096,-1.304608137,11.20769135,1.181324033,4.618596295502838,0.022915846,0.06,0.016168907,0.033028251007199284,37.66403684031916
Graham Kasey,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,87.55873231,2145.5637859147755,4.651032036437971,-2.161899693,6.000000192000004,16.62108160532062,-13.45724672,2.6441494820087845,-1.041331967,13.45724672,2.161899693,3.163834885320618,0.9592341,0.73,0.025939716,0.5717246114959319,651.9708483869224
Graham Kasey,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,86.54387990632216,2037.4816336571128,4.545262252405626,-2.093471284,6.000000192000004,14.950449307089944,-14.3995538,2.8761852254815,-0.985980758,14.3995538,2.093471284,0.550895507089944,0.87625414,0.57,0.020907402,0.48905384778976435,557.696565162912
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,86.64995338299794,1920.6375595282884,4.574613254229846,-0.71739402,6.000000192000004,13.836663188318486,-13.91953482,2.1822389657724925,-0.279161807,13.91953482,0.71739402,0.08287163168151501,0.00883231,0.08,0.0143694645,0.03440059160192808,39.22899668957259
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,87.58350647930183,2016.025395891489,4.782880363164392,-1.834237018,6.000000192000004,15.388930035872528,-11.88373609,2.7366487434949827,-0.178876008,11.88373609,1.834237018,3.505193945872529,0.036122914,0.02,0.018022971,0.02471529521048069,28.18428953818965
Toby Schriefer,Normal cornbelters,Fastball,InPlay,Out,88.98383286548275,2141.650944655461,6.306741583530953,1.084696987654246,6.000000192000004,21.72082864946137,5.602522337,4.288961670684654,-0.26327371,5.602522337,1.084696987654246,16.11830631246137,0.023579778,0.08,0.021976365,0.041852047642072045,47.72632568070889
Toby Schriefer,Normal cornbelters,Fastball,StrikeCalled,StrikeoutLooking,89.75554770160862,2254.8065694367174,5.882520618103099,1.860184828835254,6.000000192000004,21.612350592384185,8.154847571423007,2.3202044963783,1.1287225540726824,8.154847571423007,1.860184828835254,13.457503020961179,0.0038094511,0.08,0.02827094,0.03736013016353051,42.603930754057025
Toby Schriefer,Normal cornbelters,Fastball,InPlay,Out,88.63263827925603,2168.72434,6.048382669,3.180290458160932,6.000000192000004,21.336232544031997,6.998944385819658,3.438925967635364,0.3064065789769352,6.998944385819658,3.180290458160932,14.337288158212338,0.007227093,0.01,0.026014425,0.014413839280605316,16.43693980516328
