Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Roy Rolston,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,86.577867267964,2090.80672696388,5.23848163580308,2.21200558288116,6.000000192,17.0964344251033,15.0316490917729,3.6305184000704,-0.129349026440144,15.0316490917729,2.21200558288116,2.0647853333304003,0.00036375233,0.02,0.023914522,0.014759424631095803,16.8310308931083
Roy Rolston,Kcl merchants 2025,Fastball,StrikeCalled,StrikeoutLooking,87.5303920825195,1987.2982341306,5.56659183098092,2.25796323032344,6.000000192,18.5435342070267,12.8244077763847,1.82777882430153,-1.16921043925117,12.8244077763847,2.25796323032344,5.7191264306419995,0.0120071415,0.04,0.016890636,0.022965925733248394,26.18938171144929
Devan Tupper,Kcl groundsloths 2025,Fastball,InPlay,Out,85.0230463891795,1722.17211452798,5.83709254484968,2.93578234364541,6.000000192,14.2982276011005,13.3497950462652,2.35107038661637,-1.91772455142592,13.3497950462652,2.93578234364541,0.9484325548352999,0.03415808,0.12,0.010140402,0.05476616101960341,62.45304075579349
Roy Rolston,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,87.0334800159224,2170.01504092865,5.66035876036496,2.35770430786204,6.000000192,20.0743333360401,12.1294781446268,2.61919946482808,-0.811372159189782,12.1294781446268,2.35770430786204,7.944855191413302,0.85506445,0.58,0.030039484,0.48836797845860325,556.9144284475628
Roy Rolston,Kcl merchants 2025,Fastball,InPlay,Out,82.7780944653261,1901.31714169679,5.66032810669429,2.42079495881075,6.000000192,18.4460992105343,13.4397409579063,1.55156698221856,-1.50253114197929,13.4397409579063,2.42079495881075,5.006358252627999,0.0011380316,0.03,0.022342201,0.017826744307142994,20.32887403516554
Roy Rolston,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,86.6685357027712,2119.35752249328,5.70550945569834,1.92597192017613,6.000000192,19.8995804209857,12.163700446817,3.11145543404692,-1.04832497357634,12.163700446817,1.92597192017613,7.7358799741687,0.045185186,0.12,0.026877068,0.06402075131734213,73.00658868178307
Devan Tupper,Kcl groundsloths 2025,Fastball,InPlay,Out,83.5333768678551,1766.92000035966,5.54407703751402,2.49089196192314,6.000000192,15.7578336076958,13.3660524764728,2.22205267054304,-0.809286242032988,13.3660524764728,2.49089196192314,2.3917811312229986,0.005491735,0.03,0.01382836,0.016440031497428814,18.747524712713297
Devan Tupper,Kcl groundsloths 2025,Fastball,InPlay,Single,85.6788996453732,1783.43506008723,5.40373709030339,2.580052412269,6.000000192,14.0893398381176,15.0870518523597,1.83645562166269,0.252927210954751,15.0870518523597,2.580052412269,0.9977120142421008,0.0009029773,0.02,0.011275097,0.01072602470094959,12.231510212232571
Devan Tupper,Kcl groundsloths 2025,Fastball,StrikeCalled,StrikeoutLooking,86.8839506119751,1563.04017255065,5.44241363310529,2.75212746711554,6.000000192,10.3079309522758,15.0822726338012,1.76796113664059,-0.58812629067871,15.0822726338012,2.75212746711554,4.774341681525399,0.00086608005,0.02,0.005693439,0.008853172993597886,10.09578841192369
Roy Rolston,Kcl merchants 2025,Fastball,InPlay,Single,84.2071718035834,2089.12676952672,5.48844666828467,2.19099776503339,6.000000192,19.5026369749642,13.0833210036314,2.69137050094232,-0.399159643535433,13.0833210036314,2.19099776503339,6.4193159713328,0.000790073,0.02,0.03241976,0.01773661093087867,20.226089700523605
