Pitcher,Pitches,stuff_plus_mean,stuff+_percentile
Brad Nardi,5,111.81452040275569,1.0
Cole Noreuil,82,108.53076893249062,0.9818181818181818
Brett Sherrard,24,107.4408231761173,0.9636363636363636
Owen Corbett,14,106.76167764403058,0.9454545454545454
Trent Hedges,17,106.0425823747623,0.9272727272727272
Keegan Shovlain,36,105.85615026791498,0.9090909090909091
Jake Fenton,48,105.77691662250487,0.8909090909090909
Eli Woodall,53,105.27012028676846,0.8727272727272727
Micah Vessely,9,103.9545427780722,0.8545454545454545
Reese Ellison,69,103.51359031665937,0.8363636363636363
Gavin Beuter,73,103.15569396955377,0.8181818181818182
Aiden Cline,23,102.68680445151034,0.8
Rj Bergren,69,102.52144727848054,0.7818181818181819
Hayden Trier,71,102.36540600252283,0.7636363636363637
Dylan King,52,102.24797195385432,0.7454545454545455
Samuel Guadamuz,69,101.5293042403017,0.7272727272727273
Nick Krueger,63,101.41906612494849,0.7090909090909091
Jack Bussard,87,101.24420566611236,0.6909090909090909
Anthony Pesci,13,100.93147446088622,0.6727272727272727
Will O'gorman,19,100.88528156639613,0.6545454545454545
Zach Courson,51,100.67333769755916,0.6363636363636364
Toby Schriefer,112,100.24188053599819,0.6181818181818182
Tadeáš Kal?ev,28,99.83439321674616,0.6
Theo Nagy,59,99.59266345108819,0.5818181818181818
Zach Neville,22,99.57508310449488,0.5636363636363636
Trey Bryant,35,99.42690589749414,0.5454545454545454
Graham Kasey,226,99.3042990934714,0.5272727272727272
Luka Zachman,197,99.26970266773193,0.509090909090909
Logan Barnett,90,98.88358947182478,0.4909090909090909
Samuel Mommer,32,98.7647390037096,0.4727272727272727
Wesley Culley,61,98.75889389872033,0.45454545454545453
Jimmy Amptmann,42,98.6119312589901,0.43636363636363634
Matt Cuzco,11,98.53784265548971,0.41818181818181815
Zach Leuschen,58,98.16229007912578,0.4
Wyatt Mammen,113,97.73925930094593,0.38181818181818183
Braeden Sunken,28,97.38946930123402,0.36363636363636365
Zach O'donnell,77,97.20424779248309,0.34545454545454546
Jt Fabian,65,96.71868248338838,0.32727272727272727
Vince Waterman,7,96.16700734347793,0.3090909090909091
Rj Anglin,10,95.84101748807632,0.2909090909090909
Alexander Morrison,82,95.59056186746288,0.2727272727272727
Dylan Eggl,11,95.42612130847425,0.2545454545454545
Mitchell Cox,43,94.99192763214651,0.23636363636363636
Brice Deaton,34,94.96851522803081,0.21818181818181817
Erick Mckendry,20,94.70005299417065,0.2
Zach O'Donnell,22,94.3888808594691,0.18181818181818182
Eli Tritinger,40,93.8443296237414,0.16363636363636364
Landen Ray,66,93.17876700229642,0.14545454545454545
Braden Vanderhe,26,93.03248950307774,0.12727272727272726
Tyler Zuber,20,92.98860625331214,0.10909090909090909
Aj Dallmayer,44,92.57371007371007,0.09090909090909091
Alex Logan,39,92.15482450776568,0.07272727272727272
Branin Seibert,4,91.27715951245364,0.05454545454545454
Alec Bergman,49,90.81145971902276,0.03636363636363636
Nick Heitman,13,86.88883453589337,0.01818181818181818
